scenario,matrix,env_class,endpoint,driver_metric,n_provinces,n_clusters,env_records_total,env_refs_total,n_units,env_year_min,env_year_max,env_amr_rho,env_amr_p,partial_env_amr_rho,partial_env_amr_p,cluster_contrast_p,cluster_contrast_epsilon,driver_env_rho,driver_env_p,driver_amr_rho,driver_amr_p,coherent_direction,loo_sign_stability,loo_influence_ratio,loo_most_influential_province,env_amr_q_fdr,partial_env_amr_q_fdr,abs_env_amr_rho,abs_partial_env_amr_rho,loo_label,loo_rank
all_years,sediment,macrolides,S. aureus | Erythromycin,milk_output_2024,23,3,430,93,2,2008,2025,0.2974308300395257,0.16810724114298076,0.4130434782608696,0.0501242719244853,0.00317702010885927,0.4751811594202898,0.2193675889328063,0.31456006390749924,0.7322134387351779,7.12843257532693e-5,TRUE,1,0.6231608922638827,Guangdong,0.9051250825112186,0.6972701266437956,0.2974308300395257,0.4130434782608696,stable,0
all_years,sediment,tetracyclines,K. pneumoniae | Tigecycline,grp_2024,23,3,693,129,2,2004,2025,0.2500617817876724,0.2498250138060217,0.22134387351778656,0.31010997516676875,0.06310630550908343,0.17629345855989417,-0.29701014002844095,0.1687385708187329,0.3675889328063241,0.08442064140763417,FALSE,1,0.42855125136510774,Qinghai,0.9093446062785512,0.9152354706110216,0.2500617817876724,0.22134387351778656,stable,0
all_years,sediment,fluoroquinolones,P. aeruginosa | Levofloxacin,grp_2024,23,3,950,128,2,2007,2025,-0.2450592885375494,0.25973639878298577,-0.05237154150197629,0.8124077904361993,0.02586217895452839,0.2654973649538867,-0.32707509881422925,0.12766439967393878,0.6067193675889329,0.0021442022138609,TRUE,1,0.6612903225806456,Qinghai,0.9094639281547536,0.9839482303587244,0.2450592885375494,0.05237154150197629,stable,0
all_years,sediment,fluoroquinolones,P. aeruginosa | Ciprofloxacin,grp_2024,23,3,950,128,2,2007,2025,-0.22035573122529645,0.3123301820262031,-0.04446640316205533,0.8403387863596052,0.02586217895452839,0.2654973649538867,-0.32707509881422925,0.12766439967393878,0.5592885375494071,0.00552697537765464,TRUE,1,0.7245355541319672,Qinghai,0.9244591515353,0.9839482303587244,0.22035573122529645,0.04446640316205533,stable,0
all_years,sediment,fluoroquinolones,A. baumannii | Levofloxacin,urban_env_infra_investment_2024,23,3,950,128,2,2007,2025,-0.1907114624505929,0.3833965923148738,-0.11857707509881422,0.5899765469581981,0.02586217895452839,0.2654973649538867,-0.3616600790513834,0.08994509168798827,0.5009881422924901,0.01488720725056415,TRUE,1,0.7971872686898598,Qinghai,0.9595630073590772,0.9595063759323308,0.1907114624505929,0.11857707509881422,stable,0
all_years,sediment,tetracyclines,E. coli | Tigecycline,grp_2024,23,3,693,129,2,2004,2025,0.17247344237924442,0.431310781368156,0.01482213438735177,0.946483197696098,0.06310630550908343,0.17629345855989417,-0.29701014002844095,0.1687385708187329,-0.2272727272727273,0.29699219432941915,TRUE,1,0.8076774168851604,Guangdong,0.9640431604344516,0.9863711687033072,0.17247344237924442,0.01482213438735177,stable,0
all_years,sediment,fluoroquinolones,E. coli | Ciprofloxacin,milk_output_2024,23,3,950,128,2,2007,2025,-0.16798418972332016,0.44357751168209614,-0.13636363636363635,0.5349839119305697,0.02586217895452839,0.2654973649538867,-0.10573122529644267,0.6311269024565604,0.6867588932806324,2.9542354789082316e-4,TRUE,1,0.5932773109243696,Guangdong,0.9640431604344516,0.9595063759323308,0.16798418972332016,0.13636363636363635,stable,0
all_years,sediment,fluoroquinolones,S. aureus | Ciprofloxacin,EconomicScaleIndex,23,3,950,128,2,2007,2025,-0.15810276679841898,0.47121646253366734,-0.07114624505928854,0.747008309304177,0.02586217895452839,0.2654973649538867,-0.2185955569818106,0.31630899109510546,0.6429281087700311,9.368082854488898e-4,TRUE,1,0.8035714285714289,Qinghai,0.9640431604344516,0.9758047564714102,0.15810276679841898,0.07114624505928854,stable,0
all_years,sediment,tetracyclines,S. aureus | Tetracycline,milk_output_2024,23,3,693,129,2,2004,2025,0.15122313285973865,0.4909654970585828,0.14525691699604742,0.5084195727681444,0.06310630550908343,0.17629345855989417,-0.30343465220875665,0.15927575726801604,-0.48122529644268774,0.02008472667009632,TRUE,1,0.9533836309545664,Tianjin,0.9640431604344516,0.9595063759323308,0.15122313285973865,0.14525691699604742,stable,0
all_years,sediment,fluoroquinolones,K. pneumoniae | Levofloxacin,grp_2024,23,3,950,128,2,2007,2025,-0.13932806324110672,0.5260576523058191,-0.05138339920948617,0.8158878128403202,0.02586217895452839,0.2654973649538867,-0.32707509881422925,0.12766439967393878,0.6788537549407114,3.6891813158812834e-4,TRUE,1,1.095238095238096,Qinghai,0.9640431604344516,0.9839482303587244,0.13932806324110672,0.05138339920948617,stable,0
