sample_type,province,location,season,lon,lat,antibiotic,antibiotic_class,median_concentration,concentration_unit,sample_year,reference_number
lake sediment,Hubei,"Honghu Lake, Liangzi Lake, Daye Lake, East Lake (Wuhan), Middle Yangtze river",NA,NA,NA,Tetracycline,Tetracyclines,2.1,ng/g dw,2021,N78
livestock wastewater,Heilongjiang,Harbin,NA,NA,NA,Azithromycin,Macrolides,368,ng/L,2019,N53
livestock wastewater,Heilongjiang,Harbin,NA,NA,NA,Enrofloxacin,Fluoroquinolones,921,ng/L,2019,N53
livestock wastewater,Heilongjiang,Harbin,NA,NA,NA,Ofloxacin,Fluoroquinolones,88.8,ng/L,2019,N53
livestock wastewater,Heilongjiang,Harbin,NA,NA,NA,Roxithromycin,Macrolides,104,ng/L,2019,N53
livestock wastewater,Heilongjiang,Harbin,NA,NA,NA,Sulfadiazine,Sulfonamides,128,ng/L,2019,N53
livestock wastewater,Heilongjiang,Harbin,NA,NA,NA,Sulfadimidine,Sulfonamides,14.3,ng/L,2019,N53
livestock wastewater,Heilongjiang,Harbin,NA,NA,NA,Sulfamethoxazole,Sulfonamides,5.09,ng/L,2019,N53
livestock wastewater,Heilongjiang,Harbin,NA,NA,NA,Tylosin,Macrolides,77.8,ng/L,2019,N53
livestock wastewater,Jiangxi,Jinjiang river basin (pig farm effluent + domestic sewage),NA,NA,NA,Ciprofloxacin,Fluoroquinolones,80.87,ng/L,2021,N55
livestock wastewater,Jiangxi,Jinjiang river basin (pig farm effluent + domestic sewage),NA,NA,NA,Doxycycline,Tetracyclines,459.67,ng/L,2021,N55
livestock wastewater,Jiangxi,Jinjiang river basin (pig farm effluent + domestic sewage),NA,NA,NA,Enrofloxacin,Fluoroquinolones,331.67,ng/L,2021,N55
livestock wastewater,Jiangxi,Jinjiang river basin (pig farm effluent + domestic sewage),NA,NA,NA,Norfloxacin,Fluoroquinolones,40.98,ng/L,2021,N55
livestock wastewater,Jiangxi,Jinjiang river basin (pig farm effluent + domestic sewage),NA,NA,NA,Ofloxacin,Fluoroquinolones,84.09,ng/L,2021,N55
livestock wastewater,Jiangxi,Jinjiang river basin (pig farm effluent + domestic sewage),NA,NA,NA,Oxytetracycline,Tetracyclines,459.57,ng/L,2021,N55
livestock wastewater,Jiangxi,Jinjiang river basin (pig farm effluent + domestic sewage),NA,NA,NA,Roxithromycin,Macrolides,32.88,ng/L,2021,N55
livestock wastewater,Jiangxi,Jinjiang river basin (pig farm effluent + domestic sewage),NA,NA,NA,Sulfadiazine,Sulfonamides,42.34,ng/L,2021,N55
livestock wastewater,Jiangxi,Jinjiang river basin (pig farm effluent + domestic sewage),NA,NA,NA,Sulfamethoxazole,Sulfonamides,33.65,ng/L,2021,N55
municipal sludge,Beijing,Beijing,4,116.407526,39.90403,Azithromycin,Macrolides,749,ng/g,2015,121
municipal sludge,Beijing,Beijing,4,116.407526,39.90403,Chlortetracycline,Tetracyclines,8.5,ng/g,2015,121
municipal sludge,Beijing,Beijing,4,116.407526,39.90403,Ciprofloxacin,Fluoroquinolones,83.3,ng/g,2015,121
municipal sludge,Beijing,Beijing,4,116.407526,39.90403,Clarithromycin,Macrolides,5.3,ng/g,2015,121
