Province,Total_Water_Resources_100_million_cu_m,Surface_Water_Resources_100_million_cu_m,Groundwater_Resources_100_million_cu_m,Overlapped_Measurement_100_million_cu_m,Per_Capita_Water_Resources_cu_m_person,Water_Supply_100_million_cu_m,Surface_Water_Supply_100_million_cu_m,Groundwater_Supply_100_million_cu_m,Nonconventional_Water_Supply_100_million_cu_m,Water_Use_100_million_cu_m,Agriculture_Use_100_million_cu_m,Industry_Use_100_million_cu_m,Households_Service_Use_100_million_cu_m,Artificial_Ecoenvironment_Use_100_million_cu_m,Per_Capita_Water_Use_cu_m_person,Cultivated_Land_1000_ha,Garden_Land_1000_ha,Forest_Land_1000_ha,Grassland_1000_ha,Wetland_1000_ha,Land_for_Urban_Rural_Industrial_Mining_1000_ha,Land_Used_for_Transport_1000_ha,Land_Used_for_Water_Water_Conservancy_1000_ha,Investment_in_Urban_Env_Infra_10000_yuan,Gas_Supply_10000_yuan,Centralized_Heating_10000_yuan,Drainage_Works_10000_yuan),Gardening_Greening_10000_yuan,Environmental_Sanitation_10000_yuan),Irrigated_Area_of_Cultivated_Land_1000_ha,Consumption_of_Chemical_Fertilizers_10000_tons,Nitrogenous_Fertilizer_10000_tons,Phosphatic_Fertilizer_10000_tons,Potassic_Fertilizer_10000_tons,Compound_Fertilizer_10000_tons,Village_Clinics,Village_run,Outlets_of_Township_Health_Centers,Joint_run,Private_run,Others,Investment_Completed_in_Treatment_of_Industrial_Pollution_10000_yuan,Treatment_of_Wastewater_10000_yuan,Treatment_of_Waste_Gas_10000_yuan,Treatment_of_Solid_Waste_10000_yuan,Treatment_of_Noise_Pollution_10000_yuan,Treatment_of_Other_Pollution_10000_yuan,Total_Health_Care_Institutions,General_Hospitals,Traditional_Chinese_Medicine_Hospitals,Specialized_Hospitals,Health_Care_Institutions_at_Grassroot_Level,Community_Health_Service_Centers_Stations,Township_Health_Centers,Village_Clinics,Outpatient_Departments,Specialized_Public_Health_Institutions,Centers_for_Disease_Control,Specialized_Disease_Prevention_Treatment_Institutions,Maternal_and_Children_Care_Centers,Health_Inspection_Institutions,COD_ton,Ammonia_Nitrogen_ton,Total_Nitrogen_ton,Total_Phosphorus_ton,Petroleum_ton,Volatile_Phenol_kg,Cyanide_kg,Heavy_Metals_kg
Zhejiang,1209.1,1189.9,245.9,19.2,1818.6,173.1,166.8,0.1,6.2,173.1,73.7,36.9,55.5,7,260.4,1320.8,681.8,6079,79.8,156.8,1179.4,282.2,685.1,1940981,135706,1115,902997,776893,124270,1243.8,65.4,19.6,3,4.5,38.3,11681,4816,4612,72,1453,728,247092,71381,120402,13461,10,41839,39593,1620,614,196,37395,3623,11681,11681,21081,322,102,14,95,9,514440,39375,113863,12599,125,1014,1336,2392
Anhui,889.7,810.9,216.6,78.7,1453.3,274.7,244.6,21.5,8.6,274.7,148,80,37.2,9.6,448.7,5563.5,369.3,4047.2,66.1,40.3,1755.5,333.7,1709.1,2968658,226473,65846,1816061,496932,363346,4701.1,275.5,62.2,8,11,194.3,15555,9269,25,2508,698,3055,211040,15252,188767,4412,5,2603,32635,1354,699,156,30583,1825,15555,15555,11894,499,128,57,129,101,1397464,59516,175309,22504,119,1106,814,2189
Fujian,1326.8,1324.6,342.6,2.2,3168.1,172.5,161,2.1,9.5,172.5,94.2,29.4,31.5,17.5,411.9,926.3,922,8769.6,76.7,186.3,730.3,235.2,372.3,1410718,63222,63222,895674,254111,197711,873.1,86.4,30.2,11.8,16.8,27.6,16302,10511,1105,203,2916,1567,346087,34676,304190,1765,2187,3269,30543,736,390,93,29416,755,16302,16302,11484,282,101,18,94,46,602380,48195,125430,15302,45,500,951,2129
Jiangxi,2059.7,2039.7,446.5,20,4568.5,238.2,232.4,2.1,3.7,238.2,165.7,37.8,30.1,4.5,528.3,2718.3,586.2,10334.3,102.5,225.5,1133.7,372,1089.9,2040867,155292,65846,1450218,276346,159011,2201.6,106,27,13.2,14.5,51.4,25889,12351,1312,1312,9543,1371,47663,2977,40311,1244,315,2816,39392,1098,621,149,37681,703,25889,25889,9485,439,149,73,116,23,1044465,48684,133302,17393,101,8503,850,4140
Shandong,461.7,355.8,194,105.9,457.1,231.6,142.8,68.2,20.5,231.6,132.9,34.3,45,19.4,229.3,6539.3,1199.4,2443.7,243.7,245.5,2863.1,489.1,1346.1,4140387,103408,832734,2418338,665930,119977,5271.4,349.6,92.1,28.9,26.4,202.2,50598,29392,10677,3743,3383,3403,326398,75745,238477,1535,34,10607,90070,2930,1491,436,86289,2529,50598,50598,31658,497,185,69,159,35,1542184,55320,155534,16048,108,2390,881,3124
Henan,417.7,323.5,191.8,94.1,426.2,214.2,114.2,85.7,14.3,214.2,125.1,20.6,42.9,25.4,218.6,7579.6,385.5,4299.9,250.5,33.5,2470.7,415,868.5,2136370,66802,340526,856264,740508,132270,5767.4,571.1,147.5,65.5,45.2,312.9,59058,35380,4383,2316,12166,4813,223400,19170,161095,862,3,42271,86702,2472,1282,477,83517,2018,59058,59058,20449,568,185,18,165,60,1699957,46992,168786,21009,47,78,344,1200
Hubei,918.2,895.8,283.7,22.4,1573.3,340.2,329,4.2,7,340.2,190.9,70.1,52.5,26.6,582.9,4752,474.4,9292.5,98.2,47,1428.3,364.4,1949.1,3421650,454325,22410,2249615,547146,148154,3226.9,249.9,79.8,29.4,20.4,120.4,21759,16923,733,2644,387,1072,105260,25572,68982,447,114,10145,38897,1268,605,173,37036,1131,21759,21759,13038,446,121,53,102,73,1490235,48609,174567,24650,57,1035,1733,1339
Hunan,2087.5,2079.7,451.4,7.8,3185.3,298.7,286.9,5.2,6.6,298.7,193.5,44.4,46.1,14.8,455.8,3666.6,906.2,12612.5,141.5,230.9,1645.2,398.5,1250.2,684706,77212,22410,520435,29349,57710,2932,211.8,58.9,13.9,26.9,112.1,35502,24550,2480,374,5225,2873,298433,5063,216775,53424,—,23171,57611,1763,822,225,55275,1103,35502,35502,16671,458,146,62,140,67,1732340,70723,206064,28663,72,908,451,3328
Guangdong,2349.1,2339.4,555.7,9.7,1843.4,411.3,379.4,5.4,26.5,411.3,194.8,73,117.1,26.3,322.8,1914.7,1282.9,10698.5,244,176.3,1849.6,374.3,1322.7,2577356,196177,340526,2092772,171500,116907,1560.9,204.9,76.1,24.5,39.4,64.9,24921,12604,2888,213,5202,4014,305089,175457,96588,50,90,32904,66125,1895,971,208,63170,2816,24921,24921,34273,662,147,121,132,85,1706500,97879,280421,33917,121,1782,4236,5999
Guangxi,2467,2465.9,426.3,1.1,4914.3,250.5,240.2,5.2,5,250.5,179.6,28.7,35.8,6.3,499,3286.7,1625.3,16025.4,287,125.6,1034.6,416,750.7,1044628,80767,340526,762239,96746,104876,1778.3,247.9,62.7,25.4,47.8,112,17814,12930,1306,32,3421,125,83097,72,25219,4794,—,53013,34685,929,464,126,33324,360,17814,17814,13885,352,122,24,106,55,1005915,59270,205939,25624,23,377,921,1432
