"x","antibiotic_subtype","antibiotic_type","location","studied_system","treatment_system","scale_of_experiment","type_of_sample","antibiotic_detection_method","antibiotic_concentration_residue_system_mg_kg_water_system_mg_l","test_method_of_ar_gs","target_ar_gs_q_pcr_or_detected_ar_gs_metagenomics","absolute_abundance_residue_system_copies_mg_water_system_copies_m_l","relative_abundance_copies_16s","year","source_id","source"
153,"Oxytetracycline","Tetracyclines","Pharmaceutical Plant","Wastewater","Enhanced hydrolysis","Full-scale","Raw wastewater","Ultra performance liquid chromatography-tandem mass spectrometry(UPLC-MS/MS)","451","","","","",2023,"S045","Feng H, Hu Y, Tang L, et al. New hydrolysis products of oxytetracycline and their contribution to hard COD in biological effluents of antibiotic production wastewater. Chemical Engineering Journal. 2023;471:144409. doi:10.1016/j.cej.2023.144409"
154,"Oxytetracycline","Tetracyclines","Pharmaceutical Plant","Wastewater","Enhanced hydrolysis","Full-scale","Pretreated effluent","Ultra performance liquid chromatography-tandem mass spectrometry(UPLC-MS/MS)","Not detected","","","","",2023,"S045","Feng H, Hu Y, Tang L, et al. New hydrolysis products of oxytetracycline and their contribution to hard COD in biological effluents of antibiotic production wastewater. Chemical Engineering Journal. 2023;471:144409. doi:10.1016/j.cej.2023.144409"
155,"Oxytetracycline","Tetracyclines","Pharmaceutical Plant","Wastewater","Enhanced hydrolysis","Pilot scale","Raw wastewater","Ultra performance liquid chromatography-tandem mass spectrometry(UPLC-MS/MS)","495.7","","","","",2023,"S045","Feng H, Hu Y, Tang L, et al. New hydrolysis products of oxytetracycline and their contribution to hard COD in biological effluents of antibiotic production wastewater. Chemical Engineering Journal. 2023;471:144409. doi:10.1016/j.cej.2023.144409"
156,"Oxytetracycline","Tetracyclines","Pharmaceutical Plant","Wastewater","Enhanced hydrolysis","Pilot scale","Pretreated effluent","Ultra performance liquid chromatography-tandem mass spectrometry(UPLC-MS/MS)","Not detected","","","","",2023,"S045","Feng H, Hu Y, Tang L, et al. New hydrolysis products of oxytetracycline and their contribution to hard COD in biological effluents of antibiotic production wastewater. Chemical Engineering Journal. 2023;471:144409. doi:10.1016/j.cej.2023.144409"
157,"Oxytetracycline","Tetracyclines","Shijiazhuang, Hebei Province, China","Wastewater","Anoxic/Oxic-Membrane bioreactor (A/O-MBR) system","Full-scale","Influent","Ultra performance liquid chromatography-tandem mass spectrometry(UPLC-MS/MS)","91.4±10.2","","","","",2023,"S046","Tian Y, Tian Z, Feng H, et al. Unveiling the threshold values of organic and oxytetracycline loadings for nitrification recovery of a full-scale pharmaceutical wastewater treatment system. Chemical Engineering Journal. 2023;463:142487. doi:10.1016/j.cej.2023.142487"
158,"Oxytetracycline","Tetracyclines","Shijiazhuang, Hebei Province, China","Wastewater","Anoxic/Oxic-Membrane bioreactor (A/O-MBR) system","Full-scale","Pretreated effluent","Ultra performance liquid chromatography-tandem mass spectrometry(UPLC-MS/MS)","9.69 ±1.54","","","","",2023,"S046","Tian Y, Tian Z, Feng H, et al. Unveiling the threshold values of organic and oxytetracycline loadings for nitrification recovery of a full-scale pharmaceutical wastewater treatment system. Chemical Engineering Journal. 2023;463:142487. doi:10.1016/j.cej.2023.142487"
159,"Oxytetracycline","Tetracyclines","Shijiazhuang, Hebei Province, China","Wastewater","Anoxic/Oxic-Membrane bioreactor (A/O-MBR) system","Full-scale","Sludge","Ultra performance liquid chromatography-tandem mass spectrometry(UPLC-MS/MS)","2936-5704 mg/kg","Metagenomic sequencing","24","","2.41-6.55(Tet:0.82±0.21)",2023,"S046","Tian Y, Tian Z, Feng H, et al. Unveiling the threshold values of organic and oxytetracycline loadings for nitrification recovery of a full-scale pharmaceutical wastewater treatment system. Chemical Engineering Journal. 2023;463:142487. doi:10.1016/j.cej.2023.142487"
160,"Oxytetracycline","Tetracyclines","Shijiazhuang, Hebei Province, China","Wastewater","Enhanced hydrolysis","Pilot scale","Raw wastewater","Ultra performance liquid chromatography-tandem mass spectrometry(UPLC-MS/MS)","874 ± 60","Quantitative Real-time PCR","8tet","1.39×10^6","6.99×10^-1",2017,"S047","Yi, Q., Zhang, Y., Gao, Y., Tian, Z., Yang, M., 2017. Anaerobic treatment of antibiotic production wastewater pretreated with enhanced hydrolysis: Simultaneous reduction of COD and ARGs. Water Research 110, 211–217. https://doi.org/10.1016/j.watres.2016.12.020"
161,"Oxytetracycline","Tetracyclines","Shijiazhuang, Hebei Province, China","Wastewater","Enhanced hydrolysis","Pilot scale","Pretreated effluent","Ultra performance liquid chromatography-tandem mass spectrometry(UPLC-MS/MS)","0.27 ± 0.15","","","","",2017,"S047","Yi, Q., Zhang, Y., Gao, Y., Tian, Z., Yang, M., 2017. Anaerobic treatment of antibiotic production wastewater pretreated with enhanced hydrolysis: Simultaneous reduction of COD and ARGs. Water Research 110, 211–217. https://doi.org/10.1016/j.watres.2016.12.020"
162,"Oxytetracycline","Tetracyclines","Shijiazhuang, Hebei Province, China","Wastewater","Enhanced hydrolysis","Pilot scale","Anaerobic sludge","","","Quantitative Real-time PCR","8tet","Initial3.5×10^8, decrease to 6.2×10^7 finally","Initial 1.0×10^-1, decrease to 3.9×10^-2 finally",2017,"S047","Yi, Q., Zhang, Y., Gao, Y., Tian, Z., Yang, M., 2017. Anaerobic treatment of antibiotic production wastewater pretreated with enhanced hydrolysis: Simultaneous reduction of COD and ARGs. Water Research 110, 211–217. https://doi.org/10.1016/j.watres.2016.12.020"
163,"Oxytetracycline","Tetracyclines","Shijiazhuang, Hebei Province, China","Wastewater","Enhanced hydrolysis","Full-scale","Anaerobic sludge","","","Quantitative Real-time PCR","8tet","Initial 1.3×10^8, increase to 5.2×10^8 finally","Initial 1.8×10^-1, increase to 2.1×10^-1 finally",2017,"S047","Yi, Q., Zhang, Y., Gao, Y., Tian, Z., Yang, M., 2017. Anaerobic treatment of antibiotic production wastewater pretreated with enhanced hydrolysis: Simultaneous reduction of COD and ARGs. Water Research 110, 211–217. https://doi.org/10.1016/j.watres.2016.12.020"
164,"Oxytetracycline","Tetracyclines","Shijiazhuang, Hebei Province, China","Wastewater","Enhanced hydrolysis","Full-scale","Influent","Ultra performance liquid chromatography-tandem mass spectrometry(UPLC-MS/MS)","96.9 ± 4.2","","","","",2017,"S047","Yi, Q., Zhang, Y., Gao, Y., Tian, Z., Yang, M., 2017. Anaerobic treatment of antibiotic production wastewater pretreated with enhanced hydrolysis: Simultaneous reduction of COD and ARGs. Water Research 110, 211–217. https://doi.org/10.1016/j.watres.2016.12.020"
165,"Oxytetracycline","Tetracyclines","Shijiazhuang, Hebei Province, China","Wastewater","Sequencing batch reactor activated sludge process(SBR)-Biological contact reactor","Full-scale","Raw wastewater","Ultra performance liquid chromatography-tandem mass spectrometry(UPLC-MS/MS)","844","Quantitative Real-time PCR","79, 8tet","","2.2×10^-1",2013,"S048","Zhang, Y., Xie, J., Liu, M., Tian, Z., He, Z., Van Nostrand, J.D., Ren, L., Zhou, J., Yang, M., 2013. Microbial community functional structure in response to antibiotics in pharmaceutical wastewater treatment systems. Water Research 47, 6298–6308. https://doi.org/10.1016/j.watres.2013.08.003"
166,"Oxytetracycline","Tetracyclines","Shijiazhuang, Hebei Province, China","Wastewater","Sequencing batch reactor activated sludge process(SBR)-Biological contact reactor","Full-scale","Influent","Ultra performance liquid chromatography-tandem mass spectrometry(UPLC-MS/MS)","4.25","Quantitative Real-time PCR","44, 9tet","","3.2",2013,"S048","Zhang, Y., Xie, J., Liu, M., Tian, Z., He, Z., Van Nostrand, J.D., Ren, L., Zhou, J., Yang, M., 2013. Microbial community functional structure in response to antibiotics in pharmaceutical wastewater treatment systems. Water Research 47, 6298–6308. https://doi.org/10.1016/j.watres.2013.08.003"
167,"Oxytetracycline","Tetracyclines","Shijiazhuang, Hebei Province, China","Wastewater","Sequencing batch reactor activated sludge process(SBR)-Biological contact reactor","Full-scale","Biotreated effluent","Ultra performance liquid chromatography-tandem mass spectrometry(UPLC-MS/MS)","2.0499999999999998","Quantitative Real-time PCR","175, 9tet","","8.8×10^-1",2013,"S048","Zhang, Y., Xie, J., Liu, M., Tian, Z., He, Z., Van Nostrand, J.D., Ren, L., Zhou, J., Yang, M., 2013. Microbial community functional structure in response to antibiotics in pharmaceutical wastewater treatment systems. Water Research 47, 6298–6308. https://doi.org/10.1016/j.watres.2013.08.003"
168,"Oxytetracycline","Tetracyclines","Shijiazhuang, Hebei Province, China","Wastewater","Sequencing batch reactor activated sludge process(SBR)-Biological contact reactor","Full-scale","Biotreated effluent","Ultra performance liquid chromatography-tandem mass spectrometry(UPLC-MS/MS)","0.49","Quantitative Real-time PCR","31, 9tet","","1.4",2013,"S048","Zhang, Y., Xie, J., Liu, M., Tian, Z., He, Z., Van Nostrand, J.D., Ren, L., Zhou, J., Yang, M., 2013. Microbial community functional structure in response to antibiotics in pharmaceutical wastewater treatment systems. Water Research 47, 6298–6308. https://doi.org/10.1016/j.watres.2013.08.003"
169,"Oxytetracycline","Tetracyclines","Shijiazhuang, Hebei Province, China","Wastewater","Sequencing batch reactor activated sludge process(SBR)-Biological contact reactor","Full-scale","Sludge","Ultra performance liquid chromatography-tandem mass spectrometry(UPLC-MS/MS)","173 mg/kg","Quantitative Real-time PCR","60, 9tet","","1.6",2013,"S048","Zhang, Y., Xie, J., Liu, M., Tian, Z., He, Z., Van Nostrand, J.D., Ren, L., Zhou, J., Yang, M., 2013. Microbial community functional structure in response to antibiotics in pharmaceutical wastewater treatment systems. Water Research 47, 6298–6308. https://doi.org/10.1016/j.watres.2013.08.003"
170,"Oxytetracycline","Tetracyclines","Hebei Province, China","Wastewater","Sequencing batch reactor activated sludge process(SBR)-Biological contact reactor","Full-scale","Sludge","Ultra performance liquid chromatography-tandem mass spectrometry(UPLC-MS/MS)","131 mg/kg","Quantitative Real-time PCR","190, 9tet","","1.7",2013,"S048","Zhang, Y., Xie, J., Liu, M., Tian, Z., He, Z., Van Nostrand, J.D., Ren, L., Zhou, J., Yang, M., 2013. Microbial community functional structure in response to antibiotics in pharmaceutical wastewater treatment systems. Water Research 47, 6298–6308. https://doi.org/10.1016/j.watres.2013.08.003"
171,"Oxytetracycline","Tetracyclines","Hebei Province, China","Wastewater","Sequencing batch reactor activated sludge process(SBR)-Biological contact reactor","Full-scale","Excess sludge","Ultra performance liquid chromatography-tandem mass spectrometry(UPLC-MS/MS)","52 mg/kg","Quantitative Real-time PCR","52, 8tet","","1.6×10^-1",2013,"S048","Zhang, Y., Xie, J., Liu, M., Tian, Z., He, Z., Van Nostrand, J.D., Ren, L., Zhou, J., Yang, M., 2013. Microbial community functional structure in response to antibiotics in pharmaceutical wastewater treatment systems. Water Research 47, 6298–6308. https://doi.org/10.1016/j.watres.2013.08.003"
172,"Oxytetracycline","Tetracyclines","Shijiazhuang, Hebei Province, China","Wastewater","Circulating activated sludge process (CASS, aerobic anaerobic)","Full-scale","Raw wastewater","Ultra performance liquid chromatography-tandem mass spectrometry(UPLC-MS/MS)","1077","Quantitative Real-time PCR","23, 8tet","","1",2013,"S048","Zhang, Y., Xie, J., Liu, M., Tian, Z., He, Z., Van Nostrand, J.D., Ren, L., Zhou, J., Yang, M., 2013. Microbial community functional structure in response to antibiotics in pharmaceutical wastewater treatment systems. Water Research 47, 6298–6308. https://doi.org/10.1016/j.watres.2013.08.003"
173,"Oxytetracycline","Tetracyclines","Shijiazhuang, Hebei Province, China","Wastewater","Circulating activated sludge process (CASS, aerobic anaerobic)","Full-scale","Influent","Ultra performance liquid chromatography-tandem mass spectrometry(UPLC-MS/MS)","3.66","Quantitative Real-time PCR","87, 8tet","","4.4×10^-1",2013,"S048","Zhang, Y., Xie, J., Liu, M., Tian, Z., He, Z., Van Nostrand, J.D., Ren, L., Zhou, J., Yang, M., 2013. Microbial community functional structure in response to antibiotics in pharmaceutical wastewater treatment systems. Water Research 47, 6298–6308. https://doi.org/10.1016/j.watres.2013.08.003"
174,"Oxytetracycline","Tetracyclines","Shijiazhuang, Hebei Province, China","Wastewater","Circulating activated sludge process (CASS, aerobic anaerobic)","Full-scale","Final effluent","Ultra performance liquid chromatography-tandem mass spectrometry(UPLC-MS/MS)","1.19","Quantitative Real-time PCR","84, 8tet","","2.1",2013,"S048","Zhang, Y., Xie, J., Liu, M., Tian, Z., He, Z., Van Nostrand, J.D., Ren, L., Zhou, J., Yang, M., 2013. Microbial community functional structure in response to antibiotics in pharmaceutical wastewater treatment systems. Water Research 47, 6298–6308. https://doi.org/10.1016/j.watres.2013.08.003"
175,"Oxytetracycline","Tetracyclines","Shijiazhuang, Hebei Province, China","Wastewater","Circulating activated sludge process (CASS, aerobic anaerobic)","Full-scale","Sludge","Ultra performance liquid chromatography-tandem mass spectrometry(UPLC-MS/MS)","1106 mg/kg","Quantitative Real-time PCR","423, 8tet","","3.7",2013,"S048","Zhang, Y., Xie, J., Liu, M., Tian, Z., He, Z., Van Nostrand, J.D., Ren, L., Zhou, J., Yang, M., 2013. Microbial community functional structure in response to antibiotics in pharmaceutical wastewater treatment systems. Water Research 47, 6298–6308. https://doi.org/10.1016/j.watres.2013.08.003"
176,"Oxytetracycline","Tetracyclines","Pharmaceutical Plant","Wastewater","Bench-scale aerobic wastewater treatment system","Laboratory scale","Influent","Ultra performance liquid chromatography-tandem mass spectrometry(UPLC-MS/MS)","121.3±8.3","","","","",2013,"S049","Liu, M., Zhang, Y., Ding, R., Gao, Y., Yang, M., 2013. Response of activated sludge to the treatment of oxytetracycline production waste stream. Appl Microbiol Biotechnol 97, 8805–8812. https://doi.org/10.1007/s00253-012-4589-8"
177,"Oxytetracycline","Tetracyclines","Pharmaceutical Plant","Wastewater","Bench-scale aerobic wastewater treatment system","Laboratory scale","Final effluent","Ultra performance liquid chromatography-tandem mass spectrometry(UPLC-MS/MS)","43.1±2.3","","","","",2013,"S049","Liu, M., Zhang, Y., Ding, R., Gao, Y., Yang, M., 2013. Response of activated sludge to the treatment of oxytetracycline production waste stream. Appl Microbiol Biotechnol 97, 8805–8812. https://doi.org/10.1007/s00253-012-4589-8"
178,"Oxytetracycline","Tetracyclines","Pharmaceutical Plant","Wastewater","Bench-scale aerobic wastewater treatment system","Laboratory scale","Sludge","","","Quantitative Real-time PCR","9tet","","3.78×10^-3",2013,"S049","Liu, M., Zhang, Y., Ding, R., Gao, Y., Yang, M., 2013. Response of activated sludge to the treatment of oxytetracycline production waste stream. Appl Microbiol Biotechnol 97, 8805–8812. https://doi.org/10.1007/s00253-012-4589-8"
179,"Oxytetracycline","Tetracyclines","Pharmaceutical Plant","Wastewater","Bench-scale aerobic wastewater treatment system","Laboratory scale","Influent","Ultra performance liquid chromatography-tandem mass spectrometry(UPLC-MS/MS)","191.6±12.9","","","","",2013,"S049","Liu, M., Zhang, Y., Ding, R., Gao, Y., Yang, M., 2013. Response of activated sludge to the treatment of oxytetracycline production waste stream. Appl Microbiol Biotechnol 97, 8805–8812. https://doi.org/10.1007/s00253-012-4589-8"
180,"Oxytetracycline","Tetracyclines","Pharmaceutical Plant","Wastewater","Bench-scale aerobic wastewater treatment system","Laboratory scale","Final effluent","Ultra performance liquid chromatography-tandem mass spectrometry(UPLC-MS/MS)","74.3±4.5","","","","",2013,"S049","Liu, M., Zhang, Y., Ding, R., Gao, Y., Yang, M., 2013. Response of activated sludge to the treatment of oxytetracycline production waste stream. Appl Microbiol Biotechnol 97, 8805–8812. https://doi.org/10.1007/s00253-012-4589-8"
181,"Oxytetracycline","Tetracyclines","Pharmaceutical Plant","Wastewater","Bench-scale aerobic wastewater treatment system","Laboratory scale","Sludge","","","Quantitative Real-time PCR","9tet","","3.36×10^-1",2013,"S049","Liu, M., Zhang, Y., Ding, R., Gao, Y., Yang, M., 2013. Response of activated sludge to the treatment of oxytetracycline production waste stream. Appl Microbiol Biotechnol 97, 8805–8812. https://doi.org/10.1007/s00253-012-4589-8"
182,"Oxytetracycline","Tetracyclines","Pharmaceutical Plant","Wastewater","Bench-scale aerobic wastewater treatment system","Laboratory scale","Influent","Ultra performance liquid chromatography-tandem mass spectrometry(UPLC-MS/MS)","316.1±22.7","","","","",2013,"S049","Liu, M., Zhang, Y., Ding, R., Gao, Y., Yang, M., 2013. Response of activated sludge to the treatment of oxytetracycline production waste stream. Appl Microbiol Biotechnol 97, 8805–8812. https://doi.org/10.1007/s00253-012-4589-8"
183,"Oxytetracycline","Tetracyclines","Pharmaceutical Plant","Wastewater","Bench-scale aerobic wastewater treatment system","Laboratory scale","Final effluent","Ultra performance liquid chromatography-tandem mass spectrometry(UPLC-MS/MS)","189.3±12.3","","","","",2013,"S049","Liu, M., Zhang, Y., Ding, R., Gao, Y., Yang, M., 2013. Response of activated sludge to the treatment of oxytetracycline production waste stream. Appl Microbiol Biotechnol 97, 8805–8812. https://doi.org/10.1007/s00253-012-4589-8"
184,"Oxytetracycline","Tetracyclines","Pharmaceutical Plant","Wastewater","Bench-scale aerobic wastewater treatment system","Laboratory scale","Sludge","","","Quantitative Real-time PCR","9tet","","2.29×10^-1",2013,"S049","Liu, M., Zhang, Y., Ding, R., Gao, Y., Yang, M., 2013. Response of activated sludge to the treatment of oxytetracycline production waste stream. Appl Microbiol Biotechnol 97, 8805–8812. https://doi.org/10.1007/s00253-012-4589-8"
185,"Oxytetracycline","Tetracyclines","Pharmaceutical Plant","Wastewater","Bench-scale aerobic wastewater treatment system","Laboratory scale","Influent","Ultra performance liquid chromatography-tandem mass spectrometry(UPLC-MS/MS)","410.3±29.0","","","","",2013,"S049","Liu, M., Zhang, Y., Ding, R., Gao, Y., Yang, M., 2013. Response of activated sludge to the treatment of oxytetracycline production waste stream. Appl Microbiol Biotechnol 97, 8805–8812. https://doi.org/10.1007/s00253-012-4589-8"
186,"Oxytetracycline","Tetracyclines","Pharmaceutical Plant","Wastewater","Bench-scale aerobic wastewater treatment system","Laboratory scale","Final effluent","Ultra performance liquid chromatography-tandem mass spectrometry(UPLC-MS/MS)","242.4±14.5","","","","",2013,"S049","Liu, M., Zhang, Y., Ding, R., Gao, Y., Yang, M., 2013. Response of activated sludge to the treatment of oxytetracycline production waste stream. Appl Microbiol Biotechnol 97, 8805–8812. https://doi.org/10.1007/s00253-012-4589-8"
187,"Oxytetracycline","Tetracyclines","Pharmaceutical Plant","Wastewater","Bench-scale aerobic wastewater treatment system","Laboratory scale","Sludge","","","Quantitative Real-time PCR","9tet","","1.29",2013,"S049","Liu, M., Zhang, Y., Ding, R., Gao, Y., Yang, M., 2013. Response of activated sludge to the treatment of oxytetracycline production waste stream. Appl Microbiol Biotechnol 97, 8805–8812. https://doi.org/10.1007/s00253-012-4589-8"
188,"Oxytetracycline","Tetracyclines","Pharmaceutical Plant","Wastewater","Bench-scale aerobic wastewater treatment system","Laboratory scale","Influent","Ultra performance liquid chromatography-tandem mass spectrometry(UPLC-MS/MS)","620.5±32.6","","","","",2013,"S049","Liu, M., Zhang, Y., Ding, R., Gao, Y., Yang, M., 2013. Response of activated sludge to the treatment of oxytetracycline production waste stream. Appl Microbiol Biotechnol 97, 8805–8812. https://doi.org/10.1007/s00253-012-4589-8"
189,"Oxytetracycline","Tetracyclines","Pharmaceutical Plant","Wastewater","Bench-scale aerobic wastewater treatment system","Laboratory scale","Final effluent","Ultra performance liquid chromatography-tandem mass spectrometry(UPLC-MS/MS)","402.3±23.5","","","","",2013,"S049","Liu, M., Zhang, Y., Ding, R., Gao, Y., Yang, M., 2013. Response of activated sludge to the treatment of oxytetracycline production waste stream. Appl Microbiol Biotechnol 97, 8805–8812. https://doi.org/10.1007/s00253-012-4589-8"
190,"Oxytetracycline","Tetracyclines","Pharmaceutical Plant","Wastewater","Bench-scale aerobic wastewater treatment system","Laboratory scale","Sludge","","","Quantitative Real-time PCR","9tet","","1.56",2013,"S049","Liu, M., Zhang, Y., Ding, R., Gao, Y., Yang, M., 2013. Response of activated sludge to the treatment of oxytetracycline production waste stream. Appl Microbiol Biotechnol 97, 8805–8812. https://doi.org/10.1007/s00253-012-4589-8"
191,"Oxytetracycline","Tetracyclines","Hebei Province, China","Wastewater","Sequencing batch reactor activated sludge process(SBR)-Activated sludge treatment","Full-scale","Raw wastewater","Liquid chromatography-electrospray ionization-tandem mass spectrometry(LC-ESI-MS)","920 ± 20","","","","",2008,"S050","Li, D., Yang, M., Hu, J., Ren, L., Zhang, Y., Li, K., 2008. Determination and fate of oxytetracycline and related compounds in oxytetracycline production wastewater and the receiving river. Enviro Toxic and Chemistry 27, 80–86. https://doi.org/10.1897/07-080.1"
192,"Oxytetracycline","Tetracyclines","Hebei Province, China","Wastewater","Sequencing batch reactor activated sludge process(SBR)-Activated sludge treatment","Full-scale","Sludge","Liquid chromatography-electrospray ionization-tandem mass spectrometry(LC-ESI-MS)","4363 ± 520 mg/kg","","","","",2008,"S050","Li, D., Yang, M., Hu, J., Ren, L., Zhang, Y., Li, K., 2008. Determination and fate of oxytetracycline and related compounds in oxytetracycline production wastewater and the receiving river. Enviro Toxic and Chemistry 27, 80–86. https://doi.org/10.1897/07-080.1"
193,"Oxytetracycline","Tetracyclines","Hebei Province, China","Wastewater","Sequencing batch reactor activated sludge process(SBR)-Activated sludge treatment","Full-scale","Sludge","Liquid chromatography-electrospray ionization-tandem mass spectrometry(LC-ESI-MS)","3763 ± 353 mg/kg","","","","",2008,"S050","Li, D., Yang, M., Hu, J., Ren, L., Zhang, Y., Li, K., 2008. Determination and fate of oxytetracycline and related compounds in oxytetracycline production wastewater and the receiving river. Enviro Toxic and Chemistry 27, 80–86. https://doi.org/10.1897/07-080.1"
194,"Oxytetracycline","Tetracyclines","Hebei Province, China","Wastewater","Sequencing batch reactor activated sludge process(SBR)-Activated sludge treatment","Full-scale","Final effluent","Liquid chromatography-electrospray ionization-tandem mass spectrometry(LC-ESI-MS)","19.5±2.9","","","","",2008,"S050","Li, D., Yang, M., Hu, J., Ren, L., Zhang, Y., Li, K., 2008. Determination and fate of oxytetracycline and related compounds in oxytetracycline production wastewater and the receiving river. Enviro Toxic and Chemistry 27, 80–86. https://doi.org/10.1897/07-080.1"
195,"Oxytetracycline","Tetracyclines","Hebei Province, China","Wastewater","Sequencing batch reactor activated sludge process(SBR)-Activated sludge treatment","Full-scale","Receiving water","Liquid chromatography-electrospray ionization-tandem mass spectrometry(LC-ESI-MS)","0.235-0.712","","","","",2008,"S050","Li, D., Yang, M., Hu, J., Ren, L., Zhang, Y., Li, K., 2008. Determination and fate of oxytetracycline and related compounds in oxytetracycline production wastewater and the receiving river. Enviro Toxic and Chemistry 27, 80–86. https://doi.org/10.1897/07-080.1"
196,"Oxytetracycline","Tetracyclines","Hebei Province, China","Wastewater","Sequencing batch reactor activated sludge process(SBR)-Activated sludge treatment","Full-scale","Receiving water sediments","Liquid chromatography-electrospray ionization-tandem mass spectrometry(LC-ESI-MS)","0.139-0.236","","","","",2008,"S050","Li, D., Yang, M., Hu, J., Ren, L., Zhang, Y., Li, K., 2008. Determination and fate of oxytetracycline and related compounds in oxytetracycline production wastewater and the receiving river. Enviro Toxic and Chemistry 27, 80–86. https://doi.org/10.1897/07-080.1"
197,"Oxytetracycline","Tetracyclines","Hebei Province, China","Wastewater","Sequencing batch reactor activated sludge process(SBR)-Activated sludge treatment","Full-scale","Raw wastewater","Liquid chromatography-electrospray ionization-tandem mass spectrometry(LC-ESI-MS)","920 ± 20","","","","",2010,"S051","Li, D., Yu, T., Zhang, Y., Yang, M., Li, Z., Liu, M., Qi, R., 2010. Antibiotic Resistance Characteristics of Environmental Bacteria from an Oxytetracycline Production Wastewater Treatment Plant and the Receiving River. Appl Environ Microbiol 76, 3444–3451. https://doi.org/10.1128/AEM.02964-09"
198,"Oxytetracycline","Tetracyclines","Hebei Province, China","Wastewater","Sequencing batch reactor activated sludge process(SBR)-Activated sludge treatment","Full-scale","Influent","Liquid chromatography-electrospray ionization-tandem mass spectrometry(LC-ESI-MS)","30.5 ± 1.1","","","","",2010,"S051","Li, D., Yu, T., Zhang, Y., Yang, M., Li, Z., Liu, M., Qi, R., 2010. Antibiotic Resistance Characteristics of Environmental Bacteria from an Oxytetracycline Production Wastewater Treatment Plant and the Receiving River. Appl Environ Microbiol 76, 3444–3451. https://doi.org/10.1128/AEM.02964-09"
199,"Oxytetracycline","Tetracyclines","Hebei Province, China","Wastewater","Sequencing batch reactor activated sludge process(SBR)-Activated sludge treatment","Full-scale","Final effluent","Liquid chromatography-electrospray ionization-tandem mass spectrometry(LC-ESI-MS)","19.5±2.9","","19tet, otrA","","",2010,"S051","Li, D., Yu, T., Zhang, Y., Yang, M., Li, Z., Liu, M., Qi, R., 2010. Antibiotic Resistance Characteristics of Environmental Bacteria from an Oxytetracycline Production Wastewater Treatment Plant and the Receiving River. Appl Environ Microbiol 76, 3444–3451. https://doi.org/10.1128/AEM.02964-09"
200,"Oxytetracycline","Tetracyclines","Hebei Province, China","Wastewater","Sequencing batch reactor activated sludge process(SBR)-Activated sludge treatment","Full-scale","Receiving water","Liquid chromatography-electrospray ionization-tandem mass spectrometry(LC-ESI-MS)","0.377-0.641","","17tet, otrA","","",2010,"S051","Li, D., Yu, T., Zhang, Y., Yang, M., Li, Z., Liu, M., Qi, R., 2010. Antibiotic Resistance Characteristics of Environmental Bacteria from an Oxytetracycline Production Wastewater Treatment Plant and the Receiving River. Appl Environ Microbiol 76, 3444–3451. https://doi.org/10.1128/AEM.02964-09"
201,"Oxytetracycline","Tetracyclines","Hebei Province, China","Wastewater","Sequencing batch reactor activated sludge process(SBR)-Activated sludge treatment","Full-scale","Receiving water","Liquid chromatography-electrospray ionization-tandem mass spectrometry(LC-ESI-MS)","0.377-0.641","","","","",2011,"S052","Li, D., Qi, R., Yang, M., Zhang, Y., Yu, T., 2011. Bacterial community characteristics under long-term antibiotic selection pressures. Water Research 45, 6063–6073. https://doi.org/10.1016/j.watres.2011.09.002"
202,"Penicillin","β-lactams","Shijiazhuang, Hebei Province, China","Wastewater","Anaerobic-aerobic treatment","Full-scale","Receiving water","Liquid chromatography-electrospray ionization-tandem mass spectrometry(LC-ESI-MS)","0.00031±0.00004","","","","",2011,"S052","Li, D., Qi, R., Yang, M., Zhang, Y., Yu, T., 2011. Bacterial community characteristics under long-term antibiotic selection pressures. Water Research 45, 6063–6073. https://doi.org/10.1016/j.watres.2011.09.002"
203,"Oxytetracycline","Tetracyclines","Hebei Province, China","Wastewater","Ozone micronano-bubble-enhanced pretreatment","Laboratory scale","Raw wastewater","Ultra-performance liquid chromatography-diode array detection(UPLC-DAD)","500.1 ± 5.5","","","","",2023,"S053","Tang, L., Zhou, S., Li, F., Sun, L., Lu, H., 2023. Ozone Micronano-bubble-Enhanced Selective Degradation of Oxytetracycline from Production Wastewater: The Overlooked Singlet Oxygen Oxidation. Environ. Sci. Technol. 57, 18550–18562. https://doi.org/10.1021/acs.est.2c06008"
204,"Oxytetracycline","Tetracyclines","Hebei Province, China","Wastewater","Ozone micronano-bubble-enhanced pretreatment","Laboratory scale","Pretreated effluent","Ultra-performance liquid chromatography-diode array detection(UPLC-DAD)","2.5","","","","",2023,"S053","Tang, L., Zhou, S., Li, F., Sun, L., Lu, H., 2023. Ozone Micronano-bubble-Enhanced Selective Degradation of Oxytetracycline from Production Wastewater: The Overlooked Singlet Oxygen Oxidation. Environ. Sci. Technol. 57, 18550–18562. https://doi.org/10.1021/acs.est.2c06008"
205,"Oxytetracycline","Tetracyclines","Hebei Province, China","Wastewater","Ozone micronano-bubble-enhanced pretreatment","Laboratory scale","Raw wastewater","Ultra-performance liquid chromatography-diode array detection(UPLC-DAD)","500.1 ± 5.5","","","","",2023,"S054","Tang, L., Huang, J., Zhuang, C., Zhou, S., Sun, L., Lu, H., 2023. Micronano-bubble ozonation as an efficient pretreatment technology for raw oxytetracycline production wastewater discharged to biological treatment. Chemical Engineering Journal 476, 146518. https://doi.org/10.1016/j.cej.2023.146518"
