province,ABX,sample_type,mean_concentration,unit,bacteria,resistant_pc,n_strains,n
Hebei,Erythromycin,municipal sludge,15.57,μg/kg,Staphylococcus aureus,68.2,NA,44
Hebei,Erythromycin,sediments,7.63522633744856,μg/kg,Staphylococcus aureus,68.2,NA,44
Hebei,Tetracycline,municipal sludge,344.17,μg/kg,Staphylococcus aureus,12.8,NA,55
Hebei,Tetracycline,sediments,276.38549382716053,μg/kg,Staphylococcus aureus,12.8,NA,55
Hebei,Tetracycline,soil,7.802,μg/kg,Staphylococcus aureus,12.8,NA,55
Heilongjiang,Tetracycline,soil,43.38,μg/kg,Staphylococcus aureus,14,NA,55
Henan,Ciprofloxacin,sediments,4.3,μg/kg,Staphylococcus aureus,11.9,NA,51
Henan,Ciprofloxacin,soil,5.74,μg/kg,Staphylococcus aureus,11.9,NA,51
Henan,Tetracycline,sediments,20.2,μg/kg,Staphylococcus aureus,17,NA,55
Henan,Tetracycline,soil,7.793333333333333,μg/kg,Staphylococcus aureus,17,NA,55
Hubei,Ciprofloxacin,sediments,3.643333333333333,μg/kg,Staphylococcus aureus,15.8,NA,51
Hubei,Ciprofloxacin,soil,22.8,μg/kg,Staphylococcus aureus,15.8,NA,51
Hubei,Erythromycin,sediments,2.8000000000000003,μg/kg,Staphylococcus aureus,53.2,NA,44
Hubei,Erythromycin,soil,6.6,μg/kg,Staphylococcus aureus,53.2,NA,44
Hubei,Tetracycline,sediments,58.8325,μg/kg,Staphylococcus aureus,14.3,NA,55
Hubei,Tetracycline,soil,25.87,μg/kg,Staphylococcus aureus,14.3,NA,55
Hunan,Ciprofloxacin,municipal sludge,120,μg/kg,Staphylococcus aureus,11.1,NA,51
Hunan,Ciprofloxacin,sediments,2.5166666666666666,μg/kg,Staphylococcus aureus,11.1,NA,51
Hunan,Erythromycin,municipal sludge,7.3,μg/kg,Staphylococcus aureus,44.4,NA,44
Hunan,Erythromycin,sediments,0.6425,μg/kg,Staphylococcus aureus,44.4,NA,44
Hunan,Tetracycline,municipal sludge,230,μg/kg,Staphylococcus aureus,22.1,NA,55
Hunan,Tetracycline,sediments,16.1875,μg/kg,Staphylococcus aureus,22.1,NA,55
Jiangsu,Ciprofloxacin,municipal sludge,83.3,μg/kg,Staphylococcus aureus,28.8,NA,51
Jiangsu,Ciprofloxacin,sediments,89.99659666666668,μg/kg,Staphylococcus aureus,28.8,NA,51
Jiangsu,Ciprofloxacin,soil,65.84941176470589,μg/kg,Staphylococcus aureus,28.8,NA,51
Jiangsu,Erythromycin,municipal sludge,6.2,μg/kg,Staphylococcus aureus,54.7,NA,44
Jiangsu,Erythromycin,sediments,123.67695,μg/kg,Staphylococcus aureus,54.7,NA,44
Jiangsu,Tetracycline,municipal sludge,57.4,μg/kg,Staphylococcus aureus,20.7,NA,55
Jiangsu,Tetracycline,sediments,44.052419047619054,μg/kg,Staphylococcus aureus,20.7,NA,55
Jiangsu,Tetracycline,soil,136.39583333333331,μg/kg,Staphylococcus aureus,20.7,NA,55
Jiangxi,Ciprofloxacin,sediments,10.014999999999999,μg/kg,Staphylococcus aureus,13.6,NA,51
Jiangxi,Erythromycin,sediments,2.07,μg/kg,Staphylococcus aureus,41.7,NA,44
Jiangxi,Tetracycline,sediments,12.994285714285715,μg/kg,Staphylococcus aureus,17.1,NA,55
Jiangxi,Tetracycline,soil,5.933333333333334,μg/kg,Staphylococcus aureus,17.1,NA,55
Jilin,Ciprofloxacin,sediments,8.5,μg/kg,Staphylococcus aureus,29.9,NA,51
Jilin,Erythromycin,sediments,15.4,μg/kg,Staphylococcus aureus,74.8,NA,44
Liaoning,Chloramphenicol,sediments,1.02,μg/kg,Staphylococcus aureus,8,NA,17
Liaoning,Ciprofloxacin,municipal sludge,83.3,μg/kg,Staphylococcus aureus,26.1,NA,51
Liaoning,Ciprofloxacin,sediments,26.5,μg/kg,Staphylococcus aureus,26.1,NA,51
Liaoning,Ciprofloxacin,soil,21.700735294117646,μg/kg,Staphylococcus aureus,26.1,NA,51
Liaoning,Erythromycin,municipal sludge,6.2,μg/kg,Staphylococcus aureus,73,NA,44
Liaoning,Erythromycin,sediments,11.45,μg/kg,Staphylococcus aureus,73,NA,44
Liaoning,Erythromycin,soil,1.023529411764706,μg/kg,Staphylococcus aureus,73,NA,44
Liaoning,Tetracycline,municipal sludge,57.4,μg/kg,Staphylococcus aureus,11.7,NA,55
Liaoning,Tetracycline,sediments,9.92142857142857,μg/kg,Staphylococcus aureus,11.7,NA,55
Liaoning,Tetracycline,soil,23.22941176470588,μg/kg,Staphylococcus aureus,11.7,NA,55
Qinghai,Ciprofloxacin,municipal sludge,83.3,μg/kg,Staphylococcus aureus,6.8,NA,51
Qinghai,Erythromycin,municipal sludge,6.2,μg/kg,Staphylococcus aureus,61.8,NA,44
Qinghai,Erythromycin,sediments,0.8775,μg/kg,Staphylococcus aureus,61.8,NA,44
Qinghai,Tetracycline,municipal sludge,57.4,μg/kg,Staphylococcus aureus,20.7,NA,55
Shaanxi,Chloramphenicol,sediments,3.92,μg/kg,Staphylococcus aureus,5.8,NA,17
Shaanxi,Ciprofloxacin,sediments,20.47,μg/kg,Staphylococcus aureus,12.9,NA,51
Shaanxi,Erythromycin,sediments,30.549999999999997,μg/kg,Staphylococcus aureus,65.1,NA,44
Shaanxi,Tetracycline,sediments,42.925,μg/kg,Staphylococcus aureus,14.5,NA,55
Shandong,Chloramphenicol,sediments,2.8683829787234045,μg/kg,Staphylococcus aureus,4.5,NA,17
Shandong,Chloramphenicol,soil,1.3,μg/kg,Staphylococcus aureus,4.5,NA,17
Shandong,Ciprofloxacin,municipal sludge,83.3,μg/kg,Staphylococcus aureus,14.3,NA,51
Shandong,Ciprofloxacin,sediments,261.6497359767892,μg/kg,Staphylococcus aureus,14.3,NA,51
Shandong,Ciprofloxacin,soil,174.281,μg/kg,Staphylococcus aureus,14.3,NA,51
Shandong,Erythromycin,municipal sludge,6.2,μg/kg,Staphylococcus aureus,67.6,NA,44
Shandong,Erythromycin,sediments,1.9131999999999998,μg/kg,Staphylococcus aureus,67.6,NA,44
Shandong,Erythromycin,soil,0.003,μg/kg,Staphylococcus aureus,67.6,NA,44
Shandong,Tetracycline,municipal sludge,57.4,μg/kg,Staphylococcus aureus,11.4,NA,55
Shandong,Tetracycline,sediments,59.92850000000001,μg/kg,Staphylococcus aureus,11.4,NA,55
Shandong,Tetracycline,soil,29.3,μg/kg,Staphylococcus aureus,11.4,NA,55
Shanghai,Chloramphenicol,sediments,467.87,μg/kg,Staphylococcus aureus,3.8,NA,17
Shanghai,Chloramphenicol,soil,4600,μg/kg,Staphylococcus aureus,3.8,NA,17
Shanghai,Ciprofloxacin,municipal sludge,83.3,μg/kg,Staphylococcus aureus,33.2,NA,51
Shanghai,Ciprofloxacin,sediments,14.1648,μg/kg,Staphylococcus aureus,33.2,NA,51
Shanghai,Ciprofloxacin,soil,18.478,μg/kg,Staphylococcus aureus,33.2,NA,51
Shanghai,Erythromycin,municipal sludge,6.2,μg/kg,Staphylococcus aureus,48.9,NA,44
Shanghai,Erythromycin,sediments,7.829555555555555,μg/kg,Staphylococcus aureus,48.9,NA,44
Shanghai,Erythromycin,soil,0.05,μg/kg,Staphylococcus aureus,48.9,NA,44
