dataset,country,province,city,author_loc_ref,lon,lat,sample_type,sam_Y,sam_M,ABX_cat,ABX_subcat,ABX_subcat_abbre,ABX_conc_mean,unit
Zhang_2022,China,Zhejiang,NA,North Zhejiang,120.152791,30.267446,soil,NA,NA,Tetracyclines,Chlortetracycline,CTC,0.046,μg/kg
Zhang_2022,China,Guizhou,Guiyang,Nanming River,106.7041381,26.49897836,sediments,2007,1,Other,Chloramphenicol,CAP,159.93333333333334,μg/kg
Zhang_2022,China,Guizhou,Guiyang,Nanming River,106.7041381,26.49897836,sediments,2007,8,Other,Chloramphenicol,CAP,NA,μg/kg
Zhang_2022,China,Guizhou,Guiyang,Nanming River,106.7041381,26.49897836,sediments,2007,1,Tetracyclines,Tetracycline,TC,127.3,μg/kg
Zhang_2022,China,Guizhou,Guiyang,Nanming River,106.7041381,26.49897836,sediments,2007,8,Tetracyclines,Tetracycline,TC,NA,μg/kg
Zhang_2022,China,Guizhou,Guiyang,Nanming River,106.7041381,26.49897836,sediments,2007,1,Tetracyclines,Oxytetracycline,OTC,80.96666666666667,μg/kg
Zhang_2022,China,Guizhou,Guiyang,Nanming River,106.7041381,26.49897836,sediments,2007,8,Tetracyclines,Oxytetracycline,OTC,NA,μg/kg
Zhang_2022,China,Guangdong,Guangzhou,NA,113.273289,23.15729,sediments,2006,9,Other,Chloramphenicol,CAP,195.7,μg/kg
Zhang_2022,China,Tianjin,NA,NA,117.200983,39.084158,soil,2007,11,Fluoroquinolones,Pefloxacin,PEF,NA,μg/kg
Zhang_2022,China,Tianjin,NA,NA,117.200983,39.084158,soil,2008,5,Fluoroquinolones,Pefloxacin,PEF,NA,μg/kg
Zhang_2022,China,Tianjin,NA,NA,117.200983,39.084158,soil,2007,11,Fluoroquinolones,Ofloxacin,OFX,NA,μg/kg
Zhang_2022,China,Tianjin,NA,NA,117.200983,39.084158,soil,2008,5,Fluoroquinolones,Ofloxacin,OFX,NA,μg/kg
Zhang_2022,China,Tianjin,NA,NA,117.200983,39.084158,soil,2007,11,Fluoroquinolones,Ciprofloxacin,CFX,NA,μg/kg
Zhang_2022,China,Tianjin,NA,NA,117.200983,39.084158,soil,2008,5,Fluoroquinolones,Ciprofloxacin,CFX,0.8,μg/kg
Zhang_2022,China,Tianjin,NA,NA,117.200983,39.084158,soil,2007,11,Other,Lincomycin,LIN,NA,μg/kg
Zhang_2022,China,Tianjin,NA,NA,117.200983,39.084158,soil,2008,5,Other,Lincomycin,LIN,NA,μg/kg
Zhang_2022,China,Tianjin,NA,NA,117.200983,39.084158,soil,2007,11,Other,Chloramphenicol,CAP,NA,μg/kg
