dataset,country,province,city,author_loc_ref,lon,lat,sample_type,sam_Y,sam_M,ABX_cat,ABX_subcat,ABX_subcat_clean,ABX_subcat_abbre,ABX_conc_mean,unit,abx
Zhang_2022,China,Tianjin,NA,NA,117.200983,39.084158,soil,2008,5,Sulfonamides,Sulfachloropyridazine,sulfachloropyridazine,SCP,0.18,μg/kg,sulfachloropyridazine
Zhang_2022,China,Tianjin,NA,NA,117.200983,39.084158,soil,2008,5,Tetracyclines,Tetracycline,tetracycline,TC,2.5,μg/kg,tetracycline
Zhang_2022,China,Guangdong,NA,Pearl River Delta,113.8251756,23.08574066,soil,NA,NA,Fluoroquinolones,Norfloxacin,norfloxacin,NFX,4.98,μg/kg,norfloxacin
Zhang_2022,China,Guangdong,NA,Pearl River Delta,113.8251756,23.08574066,soil,NA,NA,Fluoroquinolones,Lomefloxacin,lomefloxacin,LFX,0.17,μg/kg,lomefloxacin
Zhang_2022,China,Guangdong,NA,Pearl River Delta,113.8251756,23.08574066,soil,NA,NA,Fluoroquinolones,Enrofloxacin,enrofloxacin,EFX,3.52,μg/kg,enrofloxacin
Zhang_2022,China,Guangdong,NA,Pearl River Delta,113.8251756,23.08574066,soil,NA,NA,Fluoroquinolones,Ciprofloxacin,ciprofloxacin,CFX,9.31,μg/kg,ciprofloxacin
Zhang_2022,China,Guangdong,NA,the Pearl Rivers,113.233582,23.170895,sediments,2008,9,Fluoroquinolones,Ofloxacin,ofloxacin,OFX,234.64285714285717,μg/kg,ofloxacin
Zhang_2022,China,Guangdong,NA,the Pearl Rivers,113.233582,23.170895,sediments,2009,2,Fluoroquinolones,Ofloxacin,ofloxacin,OFX,417.86666666666656,μg/kg,ofloxacin
Zhang_2022,China,Guangdong,NA,the Pearl Rivers,113.233582,23.170895,sediments,2008,9,Fluoroquinolones,Norfloxacin,norfloxacin,NFX,160.07857142857142,μg/kg,norfloxacin
Zhang_2022,China,Guangdong,NA,the Pearl Rivers,113.233582,23.170895,sediments,2009,2,Fluoroquinolones,Norfloxacin,norfloxacin,NFX,161.32500000000002,μg/kg,norfloxacin
Zhang_2022,China,Guangdong,NA,the Pearl Rivers,113.233582,23.170895,sediments,2008,9,Fluoroquinolones,Ciprofloxacin,ciprofloxacin,CFX,35.19285714285715,μg/kg,ciprofloxacin
Zhang_2022,China,Guangdong,NA,the Pearl Rivers,113.233582,23.170895,sediments,2009,2,Fluoroquinolones,Ciprofloxacin,ciprofloxacin,CFX,47.77666666666666,μg/kg,ciprofloxacin
Zhang_2022,China,Guangdong,NA,the Pearl Rivers,113.233582,23.170895,sediments,2008,9,Macrolides,Roxithromycin,roxithromycin,RTM,52.79857142857144,μg/kg,roxithromycin
Zhang_2022,China,Guangdong,NA,the Pearl Rivers,113.233582,23.170895,sediments,2009,2,Macrolides,Roxithromycin,roxithromycin,RTM,15.875833333333334,μg/kg,roxithromycin
Zhang_2022,China,Guangdong,NA,the Pearl Rivers,113.233582,23.170895,sediments,2008,9,Macrolides,Erythromycin-H2O,erythromycin-h2o,ETM-H2O,56.40714285714285,μg/kg,erythromycin
Zhang_2022,China,Guangdong,NA,the Pearl Rivers,113.233582,23.170895,sediments,2009,2,Macrolides,Erythromycin-H2O,erythromycin-h2o,ETM-H2O,23.596666666666664,μg/kg,erythromycin
Zhang_2022,China,Guangdong,NA,the Pearl Rivers,113.233582,23.170895,sediments,2008,9,Sulfonamides,Sulfapyridine,sulfapyridine,SPD,0,μg/kg,sulfapyridine
Zhang_2022,China,Guangdong,NA,the Pearl Rivers,113.233582,23.170895,sediments,2009,2,Sulfonamides,Sulfapyridine,sulfapyridine,SPD,0,μg/kg,sulfapyridine
Zhang_2022,China,Guangdong,NA,the Pearl Rivers,113.233582,23.170895,sediments,2008,9,Sulfonamides,Sulfamethazine,sulfamethazine,SMZ,35.695,μg/kg,sulfamethazine
Zhang_2022,China,Guangdong,NA,the Pearl Rivers,113.233582,23.170895,sediments,2009,2,Sulfonamides,Sulfamethazine,sulfamethazine,SMZ,53.3875,μg/kg,sulfamethazine
Zhang_2022,China,Guangdong,NA,the Pearl Rivers,113.233582,23.170895,sediments,2008,9,Sulfonamides,Sulfamethoxazole,sulfamethoxazole,SMX,0,μg/kg,sulfamethoxazole
Zhang_2022,China,Guangdong,NA,the Pearl Rivers,113.233582,23.170895,sediments,2009,2,Sulfonamides,Sulfamethoxazole,sulfamethoxazole,SMX,0,μg/kg,sulfamethoxazole
Zhang_2022,China,Guangdong,NA,the Pearl Rivers,113.233582,23.170895,sediments,2008,9,Sulfonamides,Sulfadiazine,sulfadiazine,SDZ,2.497142857142857,μg/kg,sulfadiazine
Zhang_2022,China,Guangdong,NA,the Pearl Rivers,113.233582,23.170895,sediments,2009,2,Sulfonamides,Sulfadiazine,sulfadiazine,SDZ,20.17666666666667,μg/kg,sulfadiazine
Zhang_2022,China,Guangdong,NA,the Pearl Rivers,113.233582,23.170895,sediments,2008,9,Tetracyclines,Tetracycline,tetracycline,TC,2.535,μg/kg,tetracycline
Zhang_2022,China,Guangdong,NA,the Pearl Rivers,113.233582,23.170895,sediments,2009,2,Tetracyclines,Tetracycline,tetracycline,TC,24.294166666666666,μg/kg,tetracycline
Zhang_2022,China,Guangdong,NA,the Pearl Rivers,113.233582,23.170895,sediments,2008,9,Tetracyclines,Oxytetracycline,oxytetracycline,OTC,5.705,μg/kg,oxytetracycline
Zhang_2022,China,Guangdong,NA,the Pearl Rivers,113.233582,23.170895,sediments,2009,2,Tetracyclines,Oxytetracycline,oxytetracycline,OTC,68.40166666666667,μg/kg,oxytetracycline
Zhang_2022,China,Guangdong,Guangzhou,NA,113.264434,23.129162,soil,NA,NA,Fluoroquinolones,Norfloxacin,norfloxacin,NFX,5.1,μg/kg,norfloxacin
Zhang_2022,China,Guangdong,Guangzhou,NA,113.264434,23.129162,soil,NA,NA,Fluoroquinolones,Enrofloxacin,enrofloxacin,EFX,30.52,μg/kg,enrofloxacin
Zhang_2022,China,Guangdong,Guangzhou,NA,113.264434,23.129162,soil,NA,NA,Fluoroquinolones,Ciprofloxacin,ciprofloxacin,CFX,18.14,μg/kg,ciprofloxacin
Zhang_2022,China,Guangdong,Guangzhou,NA,113.264434,23.129162,soil,NA,NA,Other,Florfenicol,florfenicol,FF,0.64,μg/kg,florfenicol
Zhang_2022,China,Guangdong,Guangzhou,NA,113.264434,23.129162,soil,NA,NA,Sulfonamides,Sulfamethazine,sulfamethazine,SMZ,1.75,μg/kg,sulfamethazine
Zhang_2022,China,Guangdong,Guangzhou,NA,113.264434,23.129162,soil,NA,NA,Tetracyclines,Tetracycline,tetracycline,TC,175.77,μg/kg,tetracycline
Zhang_2022,China,Guangdong,Guangzhou,NA,113.264434,23.129162,soil,NA,NA,Tetracyclines,Oxytetracycline,oxytetracycline,OTC,5.77,μg/kg,oxytetracycline
Zhang_2022,China,Guangdong,Guangzhou,NA,113.264434,23.129162,soil,NA,NA,Tetracyclines,Chlortetracycline,chlortetracycline,CTC,11.88,μg/kg,chlortetracycline
Zhang_2022,China,Hebei,Cangzhou,NA,116.2,38.02,soil,2008,7,Sulfonamides,Trimethoprim,trimethoprim,TMP,0,μg/kg,trimethoprim
Zhang_2022,China,Hebei,Baoding,NA,115.55,38.87,soil,2008,7,Sulfonamides,Trimethoprim,trimethoprim,TMP,0.43,μg/kg,trimethoprim
Zhang_2022,China,Hebei,Shijiazhuang,NA,114.53,37.9,soil,2008,7,Sulfonamides,Trimethoprim,trimethoprim,TMP,0,μg/kg,trimethoprim
