scenario,matrix,env_class,endpoint,driver_metric,n_provinces,n_clusters,env_records_total,env_refs_total,n_units,env_year_min,env_year_max,env_amr_rho,env_amr_p,partial_env_amr_rho,partial_env_amr_p,cluster_contrast_p,cluster_contrast_epsilon,driver_env_rho,driver_env_p,driver_amr_rho,driver_amr_p,coherent_direction,loo_sign_stability,loo_influence_ratio,loo_most_influential_province,coverage_score,interpretability_score,cluster_contrast_score,loo_sign_stability_score,driver_env_amr_coherence_score,env_amr_q_fdr,partial_env_amr_q_fdr,matrix_consistency_score,pathway_total_score,pathway_class,pathway_class_rank,rf_driver_support,elastic_net_driver_support,multivariable_env_support,bootstrap_sign_stability
sample_year_ge_2012,sediment,macrolides,A. baumannii | Tobramycin,LivestockAquacultureIndex,23,3,343,75,2,2012,2025,-0.18577075098814227,0.3960678048095448,-0.1373517786561265,0.5320006487985599,0.00709204680450049,0.3948781291172594,-0.2609340331697451,0.2291384998437365,0.2737830575303765,0.20618838462939143,TRUE,1,0.6869300911854107,Tibet,4,2,5,5,4,0.9897658389202042,0.9349362875676324,0,20,Strong lead,2,NA,NA,NA,NA
sample_year_ge_2012,sediment,fluoroquinolones,A. baumannii | Levofloxacin,EconomicScaleIndex,23,3,753,104,2,2012,2025,-0.17588932806324112,0.4221005288301778,-0.1907114624505929,0.3833965923148738,0.04675136966847581,0.20629117259552032,-0.2120089019504179,0.33146962859496576,0.45712875129169367,0.02830779160867938,TRUE,1,0.8523274478330661,Qinghai,4,2,4,4,3,0.9897658389202042,0.8980721555611625,3,20,Strong lead,2,NA,NA,NA,NA
sample_year_ge_2012,sediment,sulfonamides,S. aureus | Ciprofloxacin,LivestockAquacultureIndex,23,3,825,104,2,2012,2025,0.13043478260869565,0.5530457763436951,0.03162055335968379,0.8861121989269576,0.00127515137480513,0.5664690382081681,-0.10375494071146243,0.6375569641629664,-0.07608695652173914,0.7300554425086551,TRUE,1,0.8311688311688316,Jiangsu,4,2,5,4,2,0.9897658389202042,0.9933589680061764,3,20,Strong lead,2,NA,NA,NA,NA
sample_year_ge_2012,sediment,fluoroquinolones,A. baumannii | Tigecycline,WastewaterHealthIndex,23,3,753,104,2,2012,2025,-0.13043478260869565,0.553045776343696,-0.1383399209486166,0.5290252163433291,0.04675136966847581,0.20629117259552032,-0.13639733552054858,0.5348820435137727,0.3933778227331764,0.06330448123414799,TRUE,1,0.9523809523809524,Xinjiang,4,2,4,4,3,0.9897658389202042,0.9349362875676324,3,20,Strong lead,2,NA,NA,NA,NA
sample_year_ge_2012,sediment,fluoroquinolones,K. pneumoniae | Cefoxitin,EconomicScaleIndex,23,3,753,104,2,2012,2025,-0.11561264822134389,0.5993707258000824,0.0217391304347826,0.9215714810608446,0.04675136966847581,0.20629117259552032,-0.2120089019504179,0.33146962859496576,0.5258216122966076,0.00996627234932457,TRUE,1,1.3101343101343106,Qinghai,4,2,4,4,3,0.9897658389202042,0.9942611013987924,3,20,Strong lead,2,NA,NA,NA,NA
sample_year_ge_2012,sediment,fluoroquinolones,S. aureus | Erythromycin,milk_output_2024,23,3,753,104,2,2012,2025,-0.1067193675889328,0.6279215092073559,-0.2727272727272727,0.208013466495282,0.04675136966847581,0.20629117259552032,-0.10474308300395258,0.6343387370358157,0.6818181818181818,3.39693233126741e-4,TRUE,0.9565217391304348,1.1005291005291005,Guangdong,4,2,4,4,3,0.9897658389202042,0.8442670372432552,3,20,Strong lead,2,NA,NA,NA,NA
sample_year_ge_2012,sediment,fluoroquinolones,A. baumannii | Ceftazidime,EconomicScaleIndex,23,3,753,104,2,2012,2025,-0.10276679841897234,0.640781534751842,-0.07509881422924901,0.7334365351453347,0.04675136966847581,0.20629117259552032,-0.2120089019504179,0.33146962859496576,0.4339016687936293,0.03858286587670775,TRUE,1,1.4230769230769234,Qinghai,4,2,4,4,3,0.9897658389202042,0.9797196230972924,3,20,Strong lead,2,NA,NA,NA,NA
sample_year_ge_2012,sediment,fluoroquinolones,E. coli | Ciprofloxacin,WastewaterHealthIndex,23,3,753,104,2,2012,2025,-0.10276679841897234,0.640781534751842,-0.21343873517786563,0.3281421718767421,0.04675136966847581,0.20629117259552032,-0.13639733552054858,0.5348820435137727,0.229799858757446,0.2915069959676305,TRUE,0.9565217391304348,1.1593406593406594,Guangdong,4,2,4,4,3,0.9897658389202042,0.8812798492717399,3,20,Strong lead,2,NA,NA,NA,NA
all_years,sediment,tetracyclines,P. aeruginosa | Tobramycin,WastewaterHealthIndex,23,3,693,129,2,2004,2025,-0.08648381781194203,0.6947859138760072,-0.02470355731225296,0.9109154893296206,0.06310630550908343,0.17629345855989417,-0.2432031636183885,0.2634771466294066,0.1670373166882081,0.44618816094599256,TRUE,1,1.5992754509335672,Qinghai,4,2,4,4,3,0.986382660126367,0.984188950923026,3,20,Strong lead,2,NA,NA,NA,NA
sample_year_ge_2012,sediment,fluoroquinolones,A. baumannii | Ciprofloxacin,EconomicScaleIndex,23,3,753,104,2,2012,2025,-0.08596837944664032,0.6965207900633738,-0.06422924901185771,0.7709325113831808,0.04675136966847581,0.20629117259552032,-0.2120089019504179,0.33146962859496576,0.4413145674632243,0.03502740353909829,TRUE,1,1.686371100164204,Qinghai,4,2,4,4,3,0.9897658389202042,0.984962769478999,3,20,Strong lead,2,NA,NA,NA,NA
