sample_type,province,antibiotic,antibiotic_class,median_concentration,concentration_unit,sample_year,reference_number
municipal sludge,Beijing,Pipemidic Acid,Quinolones,222.5,ng/g,2008,181
municipal sludge,Beijing,Roxithromycin,Macrolides,16.2,ng/g,2015,121
municipal sludge,Beijing,Sarafloxacin,Fluoroquinolones,163.475,ng/g,2008,160
municipal sludge,Beijing,Sparfloxacin,Fluoroquinolones,27.5,ng/g,2008,181
municipal sludge,Beijing,Spiramycin,Macrolides,7.8,ng/g,2008,160
municipal sludge,Beijing,Sulfadiazine,Sulfonamides,3.74,ng/g,2015,121
municipal sludge,Beijing,Sulfadimethoxine,Sulfonamides,2.96,ng/g,2015,121
municipal sludge,Beijing,Sulfadimidine,Sulfonamides,0.8,ng/g,2015,121
municipal sludge,Beijing,Sulfamerazine,Sulfonamides,15.3,ng/g,2015,121
municipal sludge,Beijing,Sulfamethizole,Sulfonamides,0.06,ng/g,NA,218
municipal sludge,Beijing,Sulfamethoxazole,Sulfonamides,10.74,ng/g,2015,121
municipal sludge,Beijing,Sulfapyridine,Sulfonamides,38,ng/g,2008,160
municipal sludge,Beijing,Sulfathiazole,Sulfonamides,4.035,ng/g,2015,121
municipal sludge,Beijing,Tetracycline,Tetracyclines,167.66500000000002,ng/g,2015,121
municipal sludge,Beijing,Trimethoprim,Diaminopyrimidines,106.985,ng/g,2015,121
municipal sludge,Beijing,Tylosin,Macrolides,0.2,ng/g,2008,160
municipal sludge,Chongqing,Azithromycin,Macrolides,466.76,ng/g,2015,121
municipal sludge,Chongqing,Chlortetracycline,Tetracyclines,8.5,ng/g,2015,121
municipal sludge,Chongqing,Ciprofloxacin,Fluoroquinolones,83.29999999999998,ng/g,2015,121
municipal sludge,Chongqing,Clarithromycin,Macrolides,5.3,ng/g,2015,121
municipal sludge,Chongqing,Doxycycline,Tetracyclines,13.6,ng/g,2015,121
municipal sludge,Chongqing,Enrofloxacin,Fluoroquinolones,6.6,ng/g,2015,121
municipal sludge,Chongqing,Erythromycin,Macrolides,8.64,ng/g,2012,201
municipal sludge,Chongqing,Erythromycin-H2O,Macrolides,8.64,ng/g,2015,121
municipal sludge,Chongqing,Lomefloxacin,Fluoroquinolones,75.29999999999998,ng/g,2015,121
municipal sludge,Chongqing,Moxifloxacin,Fluoroquinolones,31.369999999999997,ng/g,2012,215
municipal sludge,Chongqing,Norfloxacin,Fluoroquinolones,442.88,ng/g,2015,121
municipal sludge,Chongqing,Ofloxacin,Fluoroquinolones,413.56,ng/g,2015,121
municipal sludge,Chongqing,Oxytetracycline,Tetracyclines,387.8,ng/g,2015,121
municipal sludge,Chongqing,Roxithromycin,Macrolides,43.78,ng/g,2015,121
municipal sludge,Chongqing,Sulfadiazine,Sulfonamides,3.57,ng/g,2015,121
municipal sludge,Chongqing,Sulfadimethoxine,Sulfonamides,4.9,ng/g,2015,121
municipal sludge,Chongqing,Sulfadimidine,Sulfonamides,1.62,ng/g,2015,121
municipal sludge,Chongqing,Sulfamerazine,Sulfonamides,15.3,ng/g,2015,121
municipal sludge,Chongqing,Sulfamethoxazole,Sulfonamides,4.2,ng/g,2015,121
municipal sludge,Chongqing,Sulfathiazole,Sulfonamides,7.1,ng/g,2015,121
municipal sludge,Chongqing,Tetracycline,Tetracyclines,57.4,ng/g,2015,121
municipal sludge,Chongqing,Trimethoprim,Diaminopyrimidines,13.29,ng/g,2015,121
municipal sludge,Fujian,Chlortetracycline,Tetracyclines,1260,ng/g,2016,118
municipal sludge,Fujian,Ciprofloxacin,Fluoroquinolones,313,ng/g,2016,118
municipal sludge,Fujian,Danofloxacin,Fluoroquinolones,3.45,ng/g,2016,118
municipal sludge,Fujian,Enrofloxacin,Fluoroquinolones,23.6,ng/g,2016,118
municipal sludge,Fujian,Ofloxacin,Fluoroquinolones,4870,ng/g,2016,118
municipal sludge,Fujian,Sulfadiazine,Sulfonamides,1.8210000000000002,ng/g,2016,118
municipal sludge,Fujian,Sulfadimidine,Sulfonamides,1.9855,ng/g,2016,118
municipal sludge,Fujian,Sulfamethoxazole,Sulfonamides,2.85,ng/g,2016,118
municipal sludge,Fujian,Tetracycline,Tetracyclines,1030,ng/g,2016,118
municipal sludge,Gansu,Chloramphenicol,Phenicols,480,ng/g,2014,135
municipal sludge,Gansu,Ciprofloxacin,Fluoroquinolones,22.5,ng/g,2014,135
municipal sludge,Gansu,Enrofloxacin,Fluoroquinolones,27.5,ng/g,2014,135
municipal sludge,Gansu,Norfloxacin,Fluoroquinolones,15,ng/g,2014,135
municipal sludge,Gansu,Ofloxacin,Fluoroquinolones,162.5,ng/g,2014,135
municipal sludge,Gansu,Sulfadiazine,Sulfonamides,5,ng/g,2014,135
municipal sludge,Gansu,Sulfadimethoxine,Sulfonamides,100,ng/g,2014,135
municipal sludge,Gansu,Sulfadimidine,Sulfonamides,302.5,ng/g,2014,135
municipal sludge,Gansu,Sulfamerazine,Sulfonamides,937.5,ng/g,2014,135
municipal sludge,Gansu,Sulfamethoxazole,Sulfonamides,357.5,ng/g,2014,135
municipal sludge,Gansu,Sulfamonomethoxine,Sulfonamides,255,ng/g,2014,135
municipal sludge,Gansu,Sulfapyridine,Sulfonamides,175.00000000000003,ng/g,2014,135
