sample_type,province,antibiotic,antibiotic_class,median_concentration,concentration_unit,sample_year,reference_number
municipal sludge,Shanghai,Lomefloxacin,Fluoroquinolones,75.29999999999998,ng/g,2015,121
municipal sludge,Shanghai,Norfloxacin,Fluoroquinolones,2003.7,ng/g,2015,121
municipal sludge,Shanghai,Ofloxacin,Fluoroquinolones,3150,ng/g,2015,121
municipal sludge,Shanghai,Oxytetracycline,Tetracyclines,387.8,ng/g,2015,121
municipal sludge,Shanghai,Roxithromycin,Macrolides,13.4,ng/g,2015,121
municipal sludge,Shanghai,Sulfadiazine,Sulfonamides,3.4,ng/g,2015,121
municipal sludge,Shanghai,Sulfadimethoxine,Sulfonamides,4.9,ng/g,2015,121
municipal sludge,Shanghai,Sulfadimidine,Sulfonamides,0.8,ng/g,2015,121
municipal sludge,Shanghai,Sulfamerazine,Sulfonamides,15.3,ng/g,2015,121
municipal sludge,Shanghai,Sulfamethoxazole,Sulfonamides,4.2,ng/g,2015,121
municipal sludge,Shanghai,Sulfathiazole,Sulfonamides,7.1,ng/g,2015,121
municipal sludge,Shanghai,Tetracycline,Tetracyclines,57.4,ng/g,2015,121
municipal sludge,Shanghai,Trimethoprim,Diaminopyrimidines,18,ng/g,2015,121
municipal sludge,Shanxi,Azithromycin,Macrolides,749,ng/g,2015,121
municipal sludge,Shanxi,Chlortetracycline,Tetracyclines,8.5,ng/g,2015,121
municipal sludge,Shanxi,Ciprofloxacin,Fluoroquinolones,83.29999999999998,ng/g,2015,121
municipal sludge,Shanxi,Clarithromycin,Macrolides,5.3,ng/g,2015,121
municipal sludge,Shanxi,Doxycycline,Tetracyclines,13.6,ng/g,2015,121
municipal sludge,Shanxi,Enrofloxacin,Fluoroquinolones,6.6,ng/g,2015,121
municipal sludge,Shanxi,Erythromycin-H2O,Macrolides,6.2,ng/g,2015,121
municipal sludge,Shanxi,Lomefloxacin,Fluoroquinolones,75.29999999999998,ng/g,2015,121
municipal sludge,Shanxi,Norfloxacin,Fluoroquinolones,2003.7,ng/g,2015,121
municipal sludge,Shanxi,Ofloxacin,Fluoroquinolones,3150,ng/g,2015,121
municipal sludge,Shanxi,Oxytetracycline,Tetracyclines,387.8,ng/g,2015,121
municipal sludge,Shanxi,Roxithromycin,Macrolides,13.4,ng/g,2015,121
municipal sludge,Shanxi,Sulfadiazine,Sulfonamides,3.4,ng/g,2015,121
municipal sludge,Shanxi,Sulfadimethoxine,Sulfonamides,4.9,ng/g,2015,121
municipal sludge,Shanxi,Sulfadimidine,Sulfonamides,0.8,ng/g,2015,121
municipal sludge,Shanxi,Sulfamerazine,Sulfonamides,15.3,ng/g,2015,121
municipal sludge,Shanxi,Sulfamethoxazole,Sulfonamides,4.2,ng/g,2015,121
municipal sludge,Shanxi,Sulfathiazole,Sulfonamides,7.1,ng/g,2015,121
municipal sludge,Shanxi,Tetracycline,Tetracyclines,57.4,ng/g,2015,121
municipal sludge,Shanxi,Trimethoprim,Diaminopyrimidines,18,ng/g,2015,121
municipal sludge,Tianjin,Azithromycin,Macrolides,1150.7,ng/g,NA,107
municipal sludge,Tianjin,Chlortetracycline,Tetracyclines,125.65,ng/g,NA,107
municipal sludge,Tianjin,Ciprofloxacin,Fluoroquinolones,411.1,ng/g,NA,107
municipal sludge,Tianjin,Erythromycin,Macrolides,6.3,ng/g,NA,107
municipal sludge,Tianjin,Norfloxacin,Fluoroquinolones,1795.55,ng/g,NA,107
municipal sludge,Tianjin,Ofloxacin,Fluoroquinolones,2920.65,ng/g,NA,107
municipal sludge,Tianjin,Oxytetracycline,Tetracyclines,1701.05,ng/g,NA,107
municipal sludge,Tianjin,Roxithromycin,Macrolides,29.85,ng/g,NA,107
municipal sludge,Tianjin,Sulfadimidine,Sulfonamides,2,ng/g,NA,107
municipal sludge,Tianjin,Sulfamethoxazole,Sulfonamides,13.1,ng/g,NA,107
municipal sludge,Tianjin,Tetracycline,Tetracyclines,158.55,ng/g,NA,107
municipal sludge,Zhejiang,Sulfamethoxazole,Sulfonamides,39.8,ng/g,2012,220
municipal sludge,Zhejiang,Trimethoprim,Diaminopyrimidines,39.2,ng/g,2012,220
municipal wastewater (urban sewer),Heilongjiang,Trimethoprim,Diaminopyrimidines,3.29,ng/L,2023,N67
municipal wastewater effluent,Anhui,Ofloxacin,Fluoroquinolones,226,ng/L,2021,N52
municipal wastewater effluent,Anhui,Sulfachloropyridazine,Sulfonamides,12.3,ng/L,2021,N52
municipal wastewater effluent,Anhui,Sulfamethoxazole,Sulfonamides,4.8,ng/L,2021,N52
municipal wastewater effluent,Anhui,Sulfapyridine,Sulfonamides,6.7,ng/L,2021,N52
municipal wastewater effluent,Anhui,Trimethoprim,Diaminopyrimidines,1.7,ng/L,2021,N52
municipal wastewater effluent,Beijing,Norfloxacin,Fluoroquinolones,12190,ng/L,2023,N69
municipal wastewater effluent,Hainan,Ciprofloxacin,Fluoroquinolones,1510,ng/L,2018,N39
municipal wastewater effluent,Hainan,Ofloxacin,Fluoroquinolones,7283,ng/L,2018,N39
municipal wastewater effluent,Heilongjiang,Ciprofloxacin,Fluoroquinolones,186.24,ng/L,2024,N18
municipal wastewater effluent,Heilongjiang,Enoxacin,Fluoroquinolones,107.72,ng/L,2024,N18
municipal wastewater effluent,Heilongjiang,Norfloxacin,Fluoroquinolones,852.8499999999999,ng/L,2024,N18
municipal wastewater effluent,Heilongjiang,Ofloxacin,Fluoroquinolones,122,ng/L,2024,N18
municipal wastewater effluent,Hunan,Amoxicillin,Beta-lactams,74.4,ng/L,2022,N59
municipal wastewater effluent,Hunan,Erythromycin,Macrolides,20,ng/L,2022,N59
municipal wastewater effluent,Hunan,Ofloxacin,Fluoroquinolones,31.1,ng/L,2022,N59
municipal wastewater effluent,Hunan,Roxithromycin,Macrolides,37.6,ng/L,2022,N59
municipal wastewater effluent,Hunan,Sulfamonomethoxine,Sulfonamides,19.1,ng/L,2022,N59
municipal wastewater effluent,Liaoning,Ofloxacin,Fluoroquinolones,253.4,ng/L,2016,CAND_DALIAN_2017
municipal wastewater effluent,Shaanxi,Azithromycin,Macrolides,735.89,ng/L,2021,N84
municipal wastewater effluent,Shaanxi,Clarithromycin,Macrolides,73.82,ng/L,2021,N84
municipal wastewater effluent,Shaanxi,Erythromycin,Macrolides,40.59,ng/L,2021,N84
municipal wastewater effluent,Shaanxi,Roxithromycin,Macrolides,200.47,ng/L,2021,N84
municipal wastewater effluent,Shaanxi,Spiramycin,Macrolides,21.83,ng/L,2021,N84
municipal wastewater effluent,Shandong,Levofloxacin,Fluoroquinolones,204.74,ng/L,2018,N51
municipal wastewater effluent,Xinjiang,Azithromycin,Macrolides,90,ng/L,2024,N68
municipal wastewater effluent,Xinjiang,Clindamycin,Lincosamides,30.2,ng/L,2024,N68
municipal wastewater effluent,Xinjiang,Ofloxacin,Fluoroquinolones,331.5,ng/L,2024,N68
pharmaceutical wastewater,Guangdong,Erythromycin,Macrolides,19.24,ng/L,2020,N54
pharmaceutical wastewater,Guangdong,Lincomycin,Lincosamides,192.69,ng/L,2020,N54
pharmaceutical wastewater,Guangdong,Ofloxacin,Fluoroquinolones,234.56,ng/L,2020,N54
pharmaceutical wastewater,Guangdong,Roxithromycin,Macrolides,3.7649999999999997,ng/L,2020,N54
pharmaceutical wastewater,Hebei,Erythromycin,Macrolides,21.15,ng/L,2020,N54
pharmaceutical wastewater,Hebei,Lincomycin,Lincosamides,15.3,ng/L,2020,N54
pharmaceutical wastewater,Hebei,Methacycline,Tetracyclines,24.315,ng/L,2020,N54
pharmaceutical wastewater,Jiangsu,Clarithromycin,Macrolides,24.54,ng/L,2020,N54
pharmaceutical wastewater,Jiangsu,Erythromycin,Macrolides,70.92,ng/L,2020,N54
pharmaceutical wastewater,Jiangsu,Norfloxacin,Fluoroquinolones,109.01,ng/L,2020,N54
pharmaceutical wastewater,Jiangsu,Ofloxacin,Fluoroquinolones,94.75,ng/L,2020,N54
pharmaceutical wastewater,Jiangsu,Roxithromycin,Macrolides,55.150000000000006,ng/L,2020,N54
pharmaceutical wastewater,Jiangsu,Sulfadiazine,Sulfonamides,3.315,ng/L,2020,N54
pharmaceutical wastewater,Zhejiang,Ciprofloxacin,Fluoroquinolones,19.145,ng/L,2020,N54
pharmaceutical wastewater,Zhejiang,Erythromycin,Macrolides,9.01,ng/L,2020,N54
pharmaceutical wastewater,Zhejiang,Lincomycin,Lincosamides,3.6,ng/L,2020,N54
pharmaceutical wastewater,Zhejiang,Ofloxacin,Fluoroquinolones,26.945,ng/L,2020,N54
river water (suspended matter fraction),Shanxi,Chlortetracycline,Tetracyclines,26.94,ng/L,2021,N79
river water (suspended matter fraction),Shanxi,Ciprofloxacin,Fluoroquinolones,1.38,ng/L,2021,N79
river water (suspended matter fraction),Shanxi,Doxycycline,Tetracyclines,46.77,ng/L,2021,N79
river water (suspended matter fraction),Shanxi,Enrofloxacin,Fluoroquinolones,17.29,ng/L,2021,N79
river water (suspended matter fraction),Shanxi,Norfloxacin,Fluoroquinolones,3.4,ng/L,2021,N79
river water (suspended matter fraction),Shanxi,Sulfacetamide,Sulfonamides,19.01,ng/L,2021,N79
river water (suspended matter fraction),Shanxi,Sulfaquinoxaline,Sulfonamides,102.92,ng/L,2021,N79
river water (suspended matter fraction),Shanxi,Tetracycline,Tetracyclines,39.43,ng/L,2021,N79
sediment,Anhui,Azithromycin,Macrolides,0.13,ng/g,2016,132
sediment,Anhui,Chlortetracycline,Tetracyclines,2.395,ng/g,2016,132
sediment,Anhui,Ciprofloxacin,Fluoroquinolones,1.16,ng/g,2016,132
sediment,Anhui,Clarithromycin,Macrolides,1.2049999999999998,ng/g,2016,132
sediment,Anhui,Danofloxacin,Fluoroquinolones,0.05,ng/g,2016,132
sediment,Anhui,Enrofloxacin,Fluoroquinolones,6.1499999999999995,ng/g,2016,132
sediment,Anhui,Erythromycin,Macrolides,0.1,ng/g,2018,58
sediment,Anhui,Erythromycin-H2O,Macrolides,0.885,ng/g,2016,132
sediment,Anhui,Lincomycin,Lincosamides,0.45,ng/g,2016,132
sediment,Anhui,Marbofloxacin,Fluoroquinolones,0.01,ng/g,2016,132
sediment,Anhui,Norfloxacin,Fluoroquinolones,0.36,ng/g,2016,132
sediment,Anhui,Ofloxacin,Fluoroquinolones,46,ng/g,2016,132
sediment,Anhui,Oxytetracycline,Tetracyclines,5.5,ng/g,2016,132
sediment,Anhui,Roxithromycin,Macrolides,1.4,ng/g,2016,132
sediment,Anhui,Sulfachloropyridazine,Sulfonamides,0.08,ng/g,2016,132
sediment,Anhui,Sulfadiazine,Sulfonamides,0.21999999999999997,ng/g,2016,132
sediment,Anhui,Sulfadimidine,Sulfonamides,0.18,ng/g,2016,132
sediment,Anhui,Sulfadoxine,Sulfonamides,0.05,ng/g,2016,132
sediment,Anhui,Sulfafurazole,Sulfonamides,0.07,ng/g,2016,132
sediment,Anhui,Sulfamethoxazole,Sulfonamides,0.255,ng/g,2018,35
sediment,Anhui,Sulfamonomethoxine,Sulfonamides,0.27,ng/g,2016,132
sediment,Anhui,Sulfapyridine,Sulfonamides,0.08,ng/g,2016,132
sediment,Anhui,Sulfathiazole,Sulfonamides,0.02,ng/g,2016,132
sediment,Anhui,Tetracycline,Tetracyclines,0.85,ng/g,2018,58
sediment,Anhui,Trimethoprim,Diaminopyrimidines,0.1,ng/g,2016,132
sediment,Anhui,Tylosin,Macrolides,0.14,ng/g,2016,132
sediment,Beijing,Chlortetracycline,Tetracyclines,10.2,ng/g,2017,78
sediment,Beijing,Ciprofloxacin,Fluoroquinolones,28,ng/g,2017,78
sediment,Beijing,Enrofloxacin,Fluoroquinolones,3.28,ng/g,2017,78
sediment,Beijing,Erythromycin-H2O,Macrolides,2.97,ng/g,2017,78
sediment,Beijing,Lomefloxacin,Fluoroquinolones,4.14,ng/g,2017,78
sediment,Beijing,Norfloxacin,Fluoroquinolones,12.694999999999999,ng/g,2014,173
sediment,Beijing,Ofloxacin,Fluoroquinolones,4.305,ng/g,2014,173
sediment,Beijing,Oxytetracycline,Tetracyclines,21.22,ng/g,2017,78
sediment,Beijing,Roxithromycin,Macrolides,4.7635000000000005,ng/g,2014,173
sediment,Beijing,Sulfachloropyridazine,Sulfonamides,0.06,ng/g,2017,78
sediment,Beijing,Sulfadiazine,Sulfonamides,0.8,ng/g,2017,78
sediment,Beijing,Sulfadimethoxine,Sulfonamides,0.08999999999999998,ng/g,2014,173
sediment,Beijing,Sulfadimidine,Sulfonamides,0.17,ng/g,2014,173
sediment,Beijing,Sulfafurazole,Sulfonamides,0.36,ng/g,2014,173
sediment,Beijing,Sulfamethoxazole,Sulfonamides,1.4,ng/g,2017,78
sediment,Beijing,Sulfapyridine,Sulfonamides,0.04,ng/g,2014,173
sediment,Beijing,Tetracycline,Tetracyclines,8.029999999999998,ng/g,2017,78
sediment,Beijing,Trimethoprim,Diaminopyrimidines,7.08,ng/g,2017,78
sediment,Beijing,Tylosin,Macrolides,0.34,ng/g,2017,78
sediment,Chongqing,Chlortetracycline,Tetracyclines,96.68,ng/g,2015,149
sediment,Chongqing,Ciprofloxacin,Fluoroquinolones,5.32,ng/g,2018,70
sediment,Chongqing,Doxycycline,Tetracyclines,10.4,ng/g,2015,149
sediment,Chongqing,Enrofloxacin,Fluoroquinolones,32.48,ng/g,2015,149
sediment,Chongqing,Erythromycin,Macrolides,68.515,ng/g,2018,70
sediment,Chongqing,Norfloxacin,Fluoroquinolones,40.1,ng/g,2015,149
sediment,Chongqing,Ofloxacin,Fluoroquinolones,148.99,ng/g,2015,149
sediment,Chongqing,Oxytetracycline,Tetracyclines,5.57,ng/g,2015,149
sediment,Chongqing,Roxithromycin,Macrolides,1.86,ng/g,2017,63
sediment,Chongqing,Sulfadiazine,Sulfonamides,54.78,ng/g,2015,149
sediment,Chongqing,Sulfadimidine,Sulfonamides,22.505000000000003,ng/g,2015,149
sediment,Chongqing,Sulfamerazine,Sulfonamides,14.9,ng/g,2018,70
sediment,Chongqing,Sulfamethoxazole,Sulfonamides,9.56,ng/g,2017,63
sediment,Chongqing,Sulfapyridine,Sulfonamides,0.79,ng/g,2017,63
sediment,Chongqing,Sulfathiazole,Sulfonamides,2.65,ng/g,2015,149
sediment,Chongqing,Tetracycline,Tetracyclines,12.81,ng/g,2015,149
sediment,Chongqing,Trimethoprim,Diaminopyrimidines,80.7,ng/g,2015,149
sediment,Fujian,Chloramphenicol,Phenicols,1.1,ng/g,2017,69
sediment,Fujian,Chlortetracycline,Tetracyclines,4.6937500000000005,ng/g,2010,15
sediment,Fujian,Ciprofloxacin,Fluoroquinolones,10.25,ng/g,2015,124
sediment,Fujian,Doxycycline,Tetracyclines,5.051250000000001,ng/g,2013,164
sediment,Fujian,Enrofloxacin,Fluoroquinolones,5.199999999999999,ng/g,2015,124
sediment,Fujian,Erythromycin,Macrolides,0.28875,ng/g,NA,221
sediment,Fujian,Florfenicol,Phenicols,11.8,ng/g,2017,69
sediment,Fujian,Flumequine,Fluoroquinolones,0.1375,ng/g,NA,221
sediment,Fujian,Norfloxacin,Fluoroquinolones,3.5925,ng/g,NA,221
sediment,Fujian,Ofloxacin,Fluoroquinolones,1.4425,ng/g,NA,221
sediment,Fujian,Oxytetracycline,Tetracyclines,7.4,ng/g,2015,124
sediment,Fujian,Roxithromycin,Macrolides,1.1749999999999998,ng/g,2019,58
sediment,Fujian,Sulfadiazine,Sulfonamides,3.57,ng/g,2015,124
sediment,Fujian,Sulfadimidine,Sulfonamides,0.6250000000000001,ng/g,2010,15
sediment,Fujian,Sulfamerazine,Sulfonamides,0.05,ng/g,2010,15
sediment,Fujian,Sulfameter,Sulfonamides,0.4875,ng/g,2010,15
sediment,Fujian,Sulfamethoxazole,Sulfonamides,1.57,ng/g,2015,124
sediment,Fujian,Sulfamonomethoxine,Sulfonamides,0.44000000000000006,ng/g,NA,221
sediment,Fujian,Sulfapyridine,Sulfonamides,0.06749999999999999,ng/g,2013,164
sediment,Fujian,Sulfaquinoxaline,Sulfonamides,0.03,ng/g,2013,164
sediment,Fujian,Sulfathiazole,Sulfonamides,0.0225,ng/g,2013,164
sediment,Fujian,Tetracycline,Tetracyclines,7.75,ng/g,2015,124
sediment,Fujian,Tilmicosin,Macrolides,0.26,ng/g,NA,221
sediment,Fujian,Trimethoprim,Diaminopyrimidines,0.3,ng/g,2019,58
sediment,Fujian,Tylosin,Macrolides,0.11375,ng/g,NA,221
sediment,Guangdong,Amoxicillin,Beta-lactams,3.08,ng/g,2016,141
sediment,Guangdong,Ampicillin,Beta-lactams,3.13,ng/g,2016,141
sediment,Guangdong,Azithromycin,Macrolides,0.3,ng/g,2009,106
sediment,Guangdong,Cefotaxime,Beta-lactams,8.15,ng/g,2016,141
sediment,Guangdong,Cephalexin,Beta-lactams,7.375,ng/g,2015,123
sediment,Guangdong,Chloramphenicol,Phenicols,8.575,ng/g,2016,141
sediment,Guangdong,Chlortetracycline,Tetracyclines,3.45,ng/g,2013,164
sediment,Guangdong,Ciprofloxacin,Fluoroquinolones,34.69642857142858,ng/g,2015,123
sediment,Guangdong,Clarithromycin,Macrolides,2.98,ng/g,2009,106
sediment,Guangdong,Dehydroerythromycin,Macrolides,19.2,ng/g,2016,141
sediment,Guangdong,Doxycycline,Tetracyclines,7.270000000000001,ng/g,2015,123
sediment,Guangdong,Enrofloxacin,Fluoroquinolones,4.853571428571429,ng/g,2015,124
sediment,Guangdong,Erythromycin,Macrolides,82.65,ng/g,2016,141
sediment,Guangdong,Erythromycin-H2O,Macrolides,2.74,ng/g,2009,106
sediment,Guangdong,Florfenicol,Phenicols,10.95,ng/g,2017,69
sediment,Guangdong,Flumequine,Fluoroquinolones,10.765,ng/g,2016,141
sediment,Guangdong,Isochlortetracycline,Tetracyclines,1.125,ng/g,2016,141
sediment,Guangdong,Lincomycin,Lincosamides,2.98,ng/g,2015,117
sediment,Guangdong,Lomefloxacin,Fluoroquinolones,27.9,ng/g,2017,68
sediment,Guangdong,Norfloxacin,Fluoroquinolones,33.6,ng/g,2015,123
sediment,Guangdong,Ofloxacin,Fluoroquinolones,47.65,ng/g,2015,123
sediment,Guangdong,Oxytetracycline,Tetracyclines,42.1,ng/g,2015,123
sediment,Guangdong,Penicillin G,Beta-lactams,4.84,ng/g,2015,123
sediment,Guangdong,Penicillin V,Beta-lactams,16.3,ng/g,2015,123
sediment,Guangdong,Roxithromycin,Macrolides,115.2,ng/g,2009,106
sediment,Guangdong,Spectinomycin,Other,141,ng/g,2016,141
sediment,Guangdong,Streptomycin,Other,68.9,ng/g,2016,141
sediment,Guangdong,Sulfacetamide,Sulfonamides,26.9,ng/g dw,2015,N43
sediment,Guangdong,Sulfadiazine,Sulfonamides,18.75,ng/g,2015,123
sediment,Guangdong,Sulfadimethoxine,Sulfonamides,0.09000000000000001,ng/g,NA,31
sediment,Guangdong,Sulfadimethoxypyrimidine,Sulfonamides,0.3883333333333333,ng/g,2009,106
sediment,Guangdong,Sulfadimidine,Sulfonamides,49.400000000000006,ng/g,2016,141
sediment,Guangdong,Sulfamerazine,Sulfonamides,13.775,ng/g,2016,141
sediment,Guangdong,Sulfamethoxazole,Sulfonamides,37.2,ng/g,2015,124
sediment,Guangdong,Sulfamethoxydiazine,Sulfonamides,1.2175,ng/g,NA,169
sediment,Guangdong,Sulfamonomethoxine,Sulfonamides,7.784999999999999,ng/g,2015,123
sediment,Guangdong,Sulfapyridine,Sulfonamides,25.85,ng/g,2015,117
sediment,Guangdong,Sulfaquinoxaline,Sulfonamides,1.4355555555555555,ng/g,2015,123
sediment,Guangdong,Sulfathiazole,Sulfonamides,217.084,ng/g,2016,141
sediment,Guangdong,Tetracycline,Tetracyclines,19.4,ng/g,2015,123
sediment,Guangdong,Thiamphenicol,Phenicols,44.7,ng/g,2016,141
sediment,Guangdong,Trimethoprim,Diaminopyrimidines,46.4,ng/g,2009,106
sediment,Guangdong,Tylosin,Macrolides,0.605,ng/g,2015,123
sediment,Guangdong,Vancomycin,Other,1.4,ng/g,2015,123
sediment,Guangxi,Azithromycin,Macrolides,0.2896153846153846,ng/g,2015,153
sediment,Guangxi,Chloramphenicol,Phenicols,8.35,ng/g,2017,69
sediment,Guangxi,Chlortetracycline,Tetracyclines,43.38,ng/g,2013,164
sediment,Guangxi,Ciprofloxacin,Fluoroquinolones,8.72,ng/g,2015,153
sediment,Guangxi,Clarithromycin,Macrolides,0.24,ng/g,2015,153
sediment,Guangxi,Doxycycline,Tetracyclines,17.6,ng/g,2013,164
sediment,Guangxi,Enoxacin,Fluoroquinolones,1.19,ng/g,2018,84
sediment,Guangxi,Enrofloxacin,Fluoroquinolones,6.45,ng/g,2015,153
sediment,Guangxi,Erythromycin,Macrolides,1.25,ng/g,2015,153
sediment,Guangxi,Erythromycin-H2O,Macrolides,1.36,ng/g,2011,196
sediment,Guangxi,Florfenicol,Phenicols,5.2,ng/g,2017,69
sediment,Guangxi,Lincomycin,Lincosamides,13.105,ng/g,2010,200
sediment,Guangxi,Lomefloxacin,Fluoroquinolones,2.78,ng/g,2010,200
sediment,Guangxi,Methacycline,Tetracyclines,3.41,ng/g,NA,190
sediment,Guangxi,Norfloxacin,Fluoroquinolones,17.35,ng/g,2015,153
sediment,Guangxi,Ofloxacin,Fluoroquinolones,10.184999999999999,ng/g,2015,153
sediment,Guangxi,Oxytetracycline,Tetracyclines,13,ng/g,2013,164
sediment,Guangxi,Pefloxacin,Fluoroquinolones,12.475000000000001,ng/g,2010,200
sediment,Guangxi,Roxithromycin,Macrolides,0.49423076923076925,ng/g,2015,153
sediment,Guangxi,Sulfacetamide,Sulfonamides,0.0395,ng/g,2011,196
sediment,Guangxi,Sulfadiazine,Sulfonamides,0.36,ng/g,2013,164
sediment,Guangxi,Sulfadimidine,Sulfonamides,0.26,ng/g,2015,153
sediment,Guangxi,Sulfamerazine,Sulfonamides,0.05,ng/g,2013,164
sediment,Guangxi,Sulfamethoxazole,Sulfonamides,0.13,ng/g,2015,153
sediment,Guangxi,Sulfamonomethoxine,Sulfonamides,1.705,ng/g,NA,190
sediment,Guangxi,Sulfapyridine,Sulfonamides,0.08999999999999998,ng/g,2013,164
sediment,Guangxi,Sulfaquinoxaline,Sulfonamides,0.04,ng/g,2013,164
sediment,Guangxi,Sulfathiazole,Sulfonamides,0.03,ng/g,2013,164
sediment,Guangxi,Tetracycline,Tetracyclines,9.28,ng/g,2013,164
sediment,Guangxi,Trimethoprim,Diaminopyrimidines,0.7599999999999999,ng/g,2015,153
sediment,Guizhou,Acetylsulfamethazine,Sulfonamides,0.94,ng/g,2018,72
sediment,Guizhou,Chloramphenicol,Phenicols,271.79166666666663,ng/g,2007,4
sediment,Guizhou,Ciprofloxacin,Fluoroquinolones,40.7,ng/g,2018,72
sediment,Guizhou,Clarithromycin,Macrolides,0.47,ng/g,2018,72
sediment,Guizhou,Cloxacillin,Beta-lactams,3.76,ng/g,2018,72
sediment,Guizhou,Danofloxacin,Fluoroquinolones,30.7,ng/g,2018,72
sediment,Guizhou,Enrofloxacin,Fluoroquinolones,27.6,ng/g,2018,72
sediment,Guizhou,Erythromycin,Macrolides,0.85,ng/g,2018,72
sediment,Guizhou,Fleroxacin,Fluoroquinolones,12.8,ng/g,2018,72
sediment,Guizhou,Lincomycin,Lincosamides,0.19,ng/g,2018,72
sediment,Guizhou,Marbofloxacin,Fluoroquinolones,13.9,ng/g,2018,72
sediment,Guizhou,Norfloxacin,Fluoroquinolones,56.4,ng/g,2018,72
sediment,Guizhou,Ofloxacin,Fluoroquinolones,33.9,ng/g,2018,72
sediment,Guizhou,Oxytetracycline,Tetracyclines,90.20833333333334,ng/g,2007,4
sediment,Guizhou,Pefloxacin,Fluoroquinolones,30.8,ng/g,2018,72
sediment,Guizhou,Sarafloxacin,Fluoroquinolones,34.9,ng/g,2018,72
sediment,Guizhou,Sulfacetamide,Sulfonamides,2.53,ng/g,2018,72
sediment,Guizhou,Sulfachloropyridazine,Sulfonamides,0.02,ng/g,2018,72
sediment,Guizhou,Sulfadiazine,Sulfonamides,1.74,ng/g,2018,72
sediment,Guizhou,Sulfadimethoxine,Sulfonamides,0.36,ng/g,2018,72
sediment,Guizhou,Sulfadimidine,Sulfonamides,0.14,ng/g,2018,72
sediment,Guizhou,Sulfadoxine,Sulfonamides,0.48,ng/g,2018,72
sediment,Guizhou,Sulfaguanidine,Sulfonamides,0.18,ng/g,2018,72
sediment,Guizhou,Sulfamethoxydiazine,Sulfonamides,0.8299999999999998,ng/g,2018,72
sediment,Guizhou,Sulfamonomethoxine,Sulfonamides,1.74,ng/g,2018,72
sediment,Guizhou,Tetracycline,Tetracyclines,103.17499999999998,ng/g,2007,4
sediment,Hainan,Carbadox,Other,2,ng/g dw,2018,N39
sediment,Hainan,Chloramphenicol,Phenicols,1.65,ng/g,2017,69
sediment,Hainan,Chlortetracycline,Tetracyclines,0.42,ng/g,2013,164
sediment,Hainan,Ciprofloxacin,Fluoroquinolones,1.645,ng/g,2015,124
sediment,Hainan,Clarithromycin,Macrolides,2.98,ng/g dw,2018,N39
sediment,Hainan,Danofloxacin,Fluoroquinolones,0.4,ng/g dw,2018,N39
sediment,Hainan,Difloxacin,Fluoroquinolones,0.25,ng/g dw,2018,N39
sediment,Hainan,Doxycycline,Tetracyclines,16.905,ng/g,2013,164
sediment,Hainan,Enrofloxacin,Fluoroquinolones,3.33,ng/g,2015,124
sediment,Hainan,Erythromycin,Macrolides,6.155000000000001,ng/g,2017,69
sediment,Hainan,Fleroxacin,Fluoroquinolones,4.89,ng/g dw,2018,N39
sediment,Hainan,Florfenicol,Phenicols,13.25,ng/g,2017,69
sediment,Hainan,Lincomycin,Lincosamides,1.82,ng/g dw,2018,N39
sediment,Hainan,Lomefloxacin,Fluoroquinolones,7.17,ng/g dw,2018,N39
sediment,Hainan,Marbofloxacin,Fluoroquinolones,0.31,ng/g dw,2018,N39
sediment,Hainan,Methacycline,Tetracyclines,3.24,ng/g dw,2018,N39
sediment,Hainan,Norfloxacin,Fluoroquinolones,85.995,ng/g,2017,69
sediment,Hainan,Ofloxacin,Fluoroquinolones,3.7,ng/g,2017,69
sediment,Hainan,Ormetoprim,Diaminopyrimidines,0.03,ng/g dw,2018,N39
sediment,Hainan,Oxytetracycline,Tetracyclines,190.525,ng/g,2015,124
sediment,Hainan,Pefloxacin,Fluoroquinolones,22.33,ng/g dw,2018,N39
sediment,Hainan,Roxithromycin,Macrolides,2.535,ng/g,2017,69
sediment,Hainan,Sarafloxacin,Fluoroquinolones,0.18,ng/g dw,2018,N39
sediment,Hainan,Sulfacetamide,Sulfonamides,0.12,ng/g dw,2018,N39
sediment,Hainan,Sulfachloropyridazine,Sulfonamides,0.01,ng/g dw,2018,N39
sediment,Hainan,Sulfadiazine,Sulfonamides,7.635,ng/g,2015,124
sediment,Hainan,Sulfadimethoxine,Sulfonamides,0.05,ng/g dw,2018,N39
sediment,Hainan,Sulfadimidine,Sulfonamides,0.26,ng/g,2013,164
sediment,Hainan,Sulfafurazole,Sulfonamides,0.02,ng/g dw,2018,N39
sediment,Hainan,Sulfamerazine,Sulfonamides,0.09,ng/g,2013,164
sediment,Hainan,Sulfameter,Sulfonamides,0.2,ng/g dw,2018,N39
sediment,Hainan,Sulfamethoxazole,Sulfonamides,8.29,ng/g,2015,124
sediment,Hainan,Sulfamonomethoxine,Sulfonamides,0.11,ng/g dw,2018,N39
sediment,Hainan,Sulfapyridine,Sulfonamides,0.05999999999999999,ng/g,2013,164
sediment,Hainan,Sulfaquinoxaline,Sulfonamides,0.03,ng/g,2013,164
sediment,Hainan,Sulfathiazole,Sulfonamides,0.025,ng/g,2013,164
sediment,Hainan,Tetracycline,Tetracyclines,11.575,ng/g,2015,124
sediment,Hainan,Trimethoprim,Diaminopyrimidines,0.16,ng/g dw,2018,N39
