province,bacteria,antibiotic,resistant_pc
Tianjin,E. coli,Cefazolin,55.36829233169556
Tianjin,E. coli,Ampicillin,77.70566940307617
Tianjin,K. pneumoniae,Polymixin B,3.703703731298446
Tianjin,K. pneumoniae,Amikacin,5.120274797081947
Tianjin,K. pneumoniae,Cefotetan,5.862224847078323
Tianjin,K. pneumoniae,Meropenem,6.596903502941132
Tianjin,K. pneumoniae,Imipenem,6.667832285165787
Tianjin,K. pneumoniae,Ertapenem,7.201176136732101
Tianjin,K. pneumoniae,Tigecycline,5.375280603766441
Tianjin,K. pneumoniae,Cefoxitin,11.979752779006958
Tianjin,K. pneumoniae,Gentamicin,13.759702444076538
Tianjin,K. pneumoniae,Levofloxacin,14.049586653709412
Tianjin,K. pneumoniae,Ciprofloxacin,15.469688177108765
Tianjin,K. pneumoniae,Tobramycin,15.870767831802368
Tianjin,K. pneumoniae,Cefepime,15.595521032810211
Tianjin,K. pneumoniae,Ceftazidime,17.124563455581665
Tianjin,K. pneumoniae,Aztreonam,20.961353182792664
Tianjin,K. pneumoniae,Chloramphenicol,18.296796083450317
Tianjin,K. pneumoniae,Ceftriaxone,26.329946517944336
Tianjin,K. pneumoniae,Cefotaxime,26.299256086349487
Tianjin,K. pneumoniae,Cefuroxime,28.1135231256485
Tianjin,K. pneumoniae,Cefazolin,26.80481374263763
Tianjin,K. pneumoniae,Nitrofurantoin,20.727860927581787
Tianjin,K. pneumoniae,Ampicillin,84.0485692024231
Tianjin,P. aeruginosa,Polymixin B,1.7142856493592262
Tianjin,P. aeruginosa,Amikacin,1.9482988864183424
Tianjin,P. aeruginosa,Tobramycin,5.094374343752861
Tianjin,P. aeruginosa,Gentamicin,3.4879110753536224
Tianjin,P. aeruginosa,Ciprofloxacin,7.3467932641506195
Tianjin,P. aeruginosa,Cefepime,4.975080117583275
Tianjin,P. aeruginosa,Ceftazidime,10.390300303697586
Tianjin,P. aeruginosa,Imipenem,15.520395338535309
Tianjin,P. aeruginosa,Meropenem,12.503445148468018
Tianjin,P. aeruginosa,Levofloxacin,9.849029779434204
Tianjin,P. aeruginosa,Piperacillin,19.537965953350067
Tianjin,P. aeruginosa,Aztreonam,17.460739612579346
Tianjin,A. baumannii,Polymixin B,2.8735632076859474
Tianjin,A. baumannii,Amikacin,7.652661204338074
Tianjin,A. baumannii,Tigecycline,2.6882262900471687
Tianjin,A. baumannii,Minocycline,4.944532364606857
Tianjin,A. baumannii,Tobramycin,23.16000759601593
Tianjin,A. baumannii,Gentamicin,25.122949481010437
Tianjin,A. baumannii,Cefepime,19.447703659534454
Tianjin,A. baumannii,Imipenem,30.311769247055057
Tianjin,A. baumannii,Levofloxacin,27.09895670413971
Tianjin,A. baumannii,Meropenem,31.059840321540833
Tianjin,A. baumannii,Ciprofloxacin,31.46485984325409
Tianjin,A. baumannii,Ceftazidime,28.154289722442627
Tianjin,A. baumannii,Cefotaxime,33.10196399688721
Tianjin,A. baumannii,Ceftriaxone,27.45901644229889
Tianjin,A. baumannii,Aztreonam,36.65820360183716
Hebei,S. aureus,Nitrofurantoin,0.11031439062207936
Hebei,S. aureus,Rifampicin,1.5523483976721764
Hebei,S. aureus,Chloramphenicol,5.180811882019043
Hebei,S. aureus,Levofloxacin,11.71766147017479
Hebei,S. aureus,Tetracycline,12.765957415103912
Hebei,S. aureus,Gentamicin,10.77847182750702
Hebei,S. aureus,Ciprofloxacin,11.842422932386398
Hebei,S. aureus,Oxacillin,29.47799265384674
Hebei,S. aureus,Cefoxitin,31.43167495727539
Hebei,S. aureus,Clindamycin,36.82028949260712
Hebei,S. aureus,Erythromycin,68.21097135543823
Hebei,S. aureus,Penicillin G,92.47709512710573
Hebei,E. coli,Tigecycline,0.14715981669723988
Hebei,E. coli,Polymixin B,0.5931198131293058
Hebei,E. coli,Meropenem,1.664794236421585
Hebei,E. coli,Ertapenem,1.8123356625437737
Hebei,E. coli,Imipenem,1.8520474433898928
