sample_type,province,antibiotic,median_concentration,sam_Y,pub_id,pub_full,lod_est
municipal sludge,Qinghai,Erythromycin,6.2,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2036).",6.2
municipal sludge,Qinghai,Lomefloxacin,75.29999999999998,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2033).",75.29999999999998
municipal sludge,Qinghai,Norfloxacin,2003.7,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2029).",2003.7
municipal sludge,Qinghai,Ofloxacin,3150,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2030).",3150
municipal sludge,Qinghai,Oxytetracycline,387.8,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2026).",387.8
municipal sludge,Qinghai,Roxithromycin,13.4,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2034).",13.4
municipal sludge,Qinghai,Sulfadiazine,3.4,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2020).",3.4
municipal sludge,Qinghai,Sulfadimethoxine,4.9,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2024).",4.9
municipal sludge,Qinghai,Sulfamerazine,15.3,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2022).",15.3
municipal sludge,Qinghai,Sulfamethazine,0.8,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2021).",0.8
municipal sludge,Qinghai,Sulfamethoxazole,4.2,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2018).",4.2
municipal sludge,Qinghai,Sulfathiazole,7.1,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2019).",7.1
municipal sludge,Qinghai,Tetracycline,57.4,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2025).",57.4
municipal sludge,Qinghai,Trimethoprim,18,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2041).",18
municipal sludge,Shandong,Azithromycin,749,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2037).",749
municipal sludge,Shandong,Chlortetracycline,8.5,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2027).",8.5
municipal sludge,Shandong,Ciprofloxacin,83.29999999999998,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2031).",83.29999999999998
municipal sludge,Shandong,Clarithromycin,5.3,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2035).",5.3
municipal sludge,Shandong,Doxycycline,13.6,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2028).",13.6
municipal sludge,Shandong,Enrofloxacin,6.6,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2032).",6.6
municipal sludge,Shandong,Erythromycin,6.2,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2036).",6.2
municipal sludge,Shandong,Lomefloxacin,75.29999999999998,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2033).",75.29999999999998
municipal sludge,Shandong,Norfloxacin,2003.7,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2029).",2003.7
municipal sludge,Shandong,Ofloxacin,3150,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2030).",3150
municipal sludge,Shandong,Oxytetracycline,387.8,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2026).",387.8
municipal sludge,Shandong,Roxithromycin,13.4,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2034).",13.4
municipal sludge,Shandong,Sulfadiazine,3.4,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2020).",3.4
municipal sludge,Shandong,Sulfadimethoxine,4.9,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2024).",4.9
municipal sludge,Shandong,Sulfamerazine,15.3,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2022).",15.3
municipal sludge,Shandong,Sulfamethazine,0.8,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2021).",0.8
municipal sludge,Shandong,Sulfamethoxazole,4.2,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2018).",4.2
municipal sludge,Shandong,Sulfathiazole,7.1,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2019).",7.1
municipal sludge,Shandong,Tetracycline,57.4,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2025).",57.4
municipal sludge,Shandong,Trimethoprim,18,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2041).",18
municipal sludge,Shanghai,Azithromycin,749,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2037).",749
municipal sludge,Shanghai,Chlortetracycline,8.5,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2027).",8.5
municipal sludge,Shanghai,Ciprofloxacin,83.29999999999998,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2031).",83.29999999999998
municipal sludge,Shanghai,Clarithromycin,5.3,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2035).",5.3
municipal sludge,Shanghai,Doxycycline,13.6,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2028).",13.6
municipal sludge,Shanghai,Enrofloxacin,6.6,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2032).",6.6
municipal sludge,Shanghai,Erythromycin,6.2,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2036).",6.2
municipal sludge,Shanghai,Lomefloxacin,75.29999999999998,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2033).",75.29999999999998
municipal sludge,Shanghai,Norfloxacin,2003.7,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2029).",2003.7
municipal sludge,Shanghai,Ofloxacin,3150,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2030).",3150
municipal sludge,Shanghai,Oxytetracycline,387.8,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2026).",387.8
municipal sludge,Shanghai,Roxithromycin,13.4,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2034).",13.4
municipal sludge,Shanghai,Sulfadiazine,3.4,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2020).",3.4
municipal sludge,Shanghai,Sulfadimethoxine,4.9,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2024).",4.9
municipal sludge,Shanghai,Sulfamerazine,15.3,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2022).",15.3
municipal sludge,Shanghai,Sulfamethazine,0.8,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2021).",0.8
municipal sludge,Shanghai,Sulfamethoxazole,4.2,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2018).",4.2
municipal sludge,Shanghai,Sulfathiazole,7.1,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2019).",7.1
municipal sludge,Shanghai,Tetracycline,57.4,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2025).",57.4
municipal sludge,Shanghai,Trimethoprim,18,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2041).",18
municipal sludge,Shanxi,Azithromycin,749,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2037).",749
municipal sludge,Shanxi,Chlortetracycline,8.5,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2027).",8.5
municipal sludge,Shanxi,Ciprofloxacin,83.29999999999998,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2031).",83.29999999999998
municipal sludge,Shanxi,Clarithromycin,5.3,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2035).",5.3
municipal sludge,Shanxi,Doxycycline,13.6,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2028).",13.6
municipal sludge,Shanxi,Enrofloxacin,6.6,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2032).",6.6
municipal sludge,Shanxi,Erythromycin,6.2,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2036).",6.2
municipal sludge,Shanxi,Lomefloxacin,75.29999999999998,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2033).",75.29999999999998
municipal sludge,Shanxi,Norfloxacin,2003.7,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2029).",2003.7
municipal sludge,Shanxi,Ofloxacin,3150,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2030).",3150
municipal sludge,Shanxi,Oxytetracycline,387.8,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2026).",387.8
municipal sludge,Shanxi,Roxithromycin,13.4,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2034).",13.4
municipal sludge,Shanxi,Sulfadiazine,3.4,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2020).",3.4
municipal sludge,Shanxi,Sulfadimethoxine,4.9,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2024).",4.9
municipal sludge,Shanxi,Sulfamerazine,15.3,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2022).",15.3
municipal sludge,Shanxi,Sulfamethazine,0.8,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2021).",0.8
municipal sludge,Shanxi,Sulfamethoxazole,4.2,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2018).",4.2
municipal sludge,Shanxi,Sulfathiazole,7.1,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2019).",7.1
municipal sludge,Shanxi,Tetracycline,57.4,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2025).",57.4
municipal sludge,Shanxi,Trimethoprim,18,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2041).",18
municipal sludge,Tianjin,Azithromycin,1150.7,NA,107,"Song, S., Zhang, X., Zhou, J. & Li, R. Simultaneous determination of 12 antibiotics in sewage sludge by ultra performance liquid chromatography-electrospray ionization tandem mass spectrometry. Huanjing Huaxue-Environmental Chemistry 36, 1923-1931, doi:10.7524/j.issn.0254-6108.2017012004 (2017).",1150.7
municipal sludge,Tianjin,Chlortetracycline,125.65,NA,107,"Song, S., Zhang, X., Zhou, J. & Li, R. Simultaneous determination of 12 antibiotics in sewage sludge by ultra performance liquid chromatography-electrospray ionization tandem mass spectrometry. Huanjing Huaxue-Environmental Chemistry 36, 1923-1931, doi:10.7524/j.issn.0254-6108.2017012004 (2017).",125.65
municipal sludge,Tianjin,Ciprofloxacin,411.1,NA,107,"Song, S., Zhang, X., Zhou, J. & Li, R. Simultaneous determination of 12 antibiotics in sewage sludge by ultra performance liquid chromatography-electrospray ionization tandem mass spectrometry. Huanjing Huaxue-Environmental Chemistry 36, 1923-1931, doi:10.7524/j.issn.0254-6108.2017012004 (2017).",411.1
municipal sludge,Tianjin,Erythromycin,6.3,NA,107,"Song, S., Zhang, X., Zhou, J. & Li, R. Simultaneous determination of 12 antibiotics in sewage sludge by ultra performance liquid chromatography-electrospray ionization tandem mass spectrometry. Huanjing Huaxue-Environmental Chemistry 36, 1923-1931, doi:10.7524/j.issn.0254-6108.2017012004 (2017).",6.3
municipal sludge,Tianjin,Norfloxacin,1795.55,NA,107,"Song, S., Zhang, X., Zhou, J. & Li, R. Simultaneous determination of 12 antibiotics in sewage sludge by ultra performance liquid chromatography-electrospray ionization tandem mass spectrometry. Huanjing Huaxue-Environmental Chemistry 36, 1923-1931, doi:10.7524/j.issn.0254-6108.2017012004 (2017).",1795.55
municipal sludge,Tianjin,Ofloxacin,2920.65,NA,107,"Song, S., Zhang, X., Zhou, J. & Li, R. Simultaneous determination of 12 antibiotics in sewage sludge by ultra performance liquid chromatography-electrospray ionization tandem mass spectrometry. Huanjing Huaxue-Environmental Chemistry 36, 1923-1931, doi:10.7524/j.issn.0254-6108.2017012004 (2017).",2920.65
municipal sludge,Tianjin,Oxytetracycline,1701.05,NA,107,"Song, S., Zhang, X., Zhou, J. & Li, R. Simultaneous determination of 12 antibiotics in sewage sludge by ultra performance liquid chromatography-electrospray ionization tandem mass spectrometry. Huanjing Huaxue-Environmental Chemistry 36, 1923-1931, doi:10.7524/j.issn.0254-6108.2017012004 (2017).",1701.05
municipal sludge,Tianjin,Roxithromycin,29.85,NA,107,"Song, S., Zhang, X., Zhou, J. & Li, R. Simultaneous determination of 12 antibiotics in sewage sludge by ultra performance liquid chromatography-electrospray ionization tandem mass spectrometry. Huanjing Huaxue-Environmental Chemistry 36, 1923-1931, doi:10.7524/j.issn.0254-6108.2017012004 (2017).",29.85
municipal sludge,Tianjin,Sulfamethazine,2,NA,107,"Song, S., Zhang, X., Zhou, J. & Li, R. Simultaneous determination of 12 antibiotics in sewage sludge by ultra performance liquid chromatography-electrospray ionization tandem mass spectrometry. Huanjing Huaxue-Environmental Chemistry 36, 1923-1931, doi:10.7524/j.issn.0254-6108.2017012004 (2017).",2
municipal sludge,Tianjin,Sulfamethoxazole,13.1,NA,107,"Song, S., Zhang, X., Zhou, J. & Li, R. Simultaneous determination of 12 antibiotics in sewage sludge by ultra performance liquid chromatography-electrospray ionization tandem mass spectrometry. Huanjing Huaxue-Environmental Chemistry 36, 1923-1931, doi:10.7524/j.issn.0254-6108.2017012004 (2017).",13.1
municipal sludge,Tianjin,Tetracycline,158.55,NA,107,"Song, S., Zhang, X., Zhou, J. & Li, R. Simultaneous determination of 12 antibiotics in sewage sludge by ultra performance liquid chromatography-electrospray ionization tandem mass spectrometry. Huanjing Huaxue-Environmental Chemistry 36, 1923-1931, doi:10.7524/j.issn.0254-6108.2017012004 (2017).",158.55
municipal sludge,Zhejiang,Sulfamethoxazole,39.8,2012,220,"Zhu, S. & Chen, H. The fate and risk of selected pharmaceutical and personal care products in wastewater treatment plants and a pilot-scale multistage constructed wetland system. Environmental Science and Pollution Research 21, 1466-1479, doi:10.1007/s11356-013-2025-y (2014).",39.8
municipal sludge,Zhejiang,Trimethoprim,39.2,2012,220,"Zhu, S. & Chen, H. The fate and risk of selected pharmaceutical and personal care products in wastewater treatment plants and a pilot-scale multistage constructed wetland system. Environmental Science and Pollution Research 21, 1466-1479, doi:10.1007/s11356-013-2025-y (2014).",39.2
sediments,Anhui,Azithromycin,0.13,2016,132,"Zhou, L.-J. et al. Trends in the occurrence and risk assessment of antibiotics in shallow lakes in the lower-middle reaches of the Yangtze River basin, China. Ecotoxicology and Environmental Safety 183 (2043).",0.13
sediments,Anhui,Chlortetracycline,2.395,2019,58,"Li, J. Y., Wen, J., Chen, Y., Wang, Q. & Yin, J. Antibiotics in cultured freshwater products in Eastern China: Occurrence, human health risks, sources, and bioaccumulation potential. Chemosphere 264, 128441, doi:10.1016/j.chemosphere.2020.128441 (2109).",1.3
sediments,Anhui,Ciprofloxacin,0.73,2019,58,"Li, J. Y., Wen, J., Chen, Y., Wang, Q. & Yin, J. Antibiotics in cultured freshwater products in Eastern China: Occurrence, human health risks, sources, and bioaccumulation potential. Chemosphere 264, 128441, doi:10.1016/j.chemosphere.2020.128441 (2112).",0.08999999999999998
sediments,Anhui,Clarithromycin,0.15,2016,132,"Zhou, L.-J. et al. Trends in the occurrence and risk assessment of antibiotics in shallow lakes in the lower-middle reaches of the Yangtze River basin, China. Ecotoxicology and Environmental Safety 183 (2044).",0.15
sediments,Anhui,Danofloxacin,0.05,2016,132,"Zhou, L.-J. et al. Trends in the occurrence and risk assessment of antibiotics in shallow lakes in the lower-middle reaches of the Yangtze River basin, China. Ecotoxicology and Environmental Safety 183 (2037).",0.05
sediments,Anhui,Enrofloxacin,6.1499999999999995,2019,58,"Li, J. Y., Wen, J., Chen, Y., Wang, Q. & Yin, J. Antibiotics in cultured freshwater products in Eastern China: Occurrence, human health risks, sources, and bioaccumulation potential. Chemosphere 264, 128441, doi:10.1016/j.chemosphere.2020.128441 (2110).",0.25
sediments,Anhui,Erythromycin,0.33999999999999997,2019,58,"Li, J. Y., Wen, J., Chen, Y., Wang, Q. & Yin, J. Antibiotics in cultured freshwater products in Eastern China: Occurrence, human health risks, sources, and bioaccumulation potential. Chemosphere 264, 128441, doi:10.1016/j.chemosphere.2020.128441 (2114).",0.019
sediments,Anhui,Lincomycin,0.45,2016,132,"Zhou, L.-J. et al. Trends in the occurrence and risk assessment of antibiotics in shallow lakes in the lower-middle reaches of the Yangtze River basin, China. Ecotoxicology and Environmental Safety 183 (2051).",0.45
sediments,Anhui,Marbofloxacin,0.01,2016,132,"Zhou, L.-J. et al. Trends in the occurrence and risk assessment of antibiotics in shallow lakes in the lower-middle reaches of the Yangtze River basin, China. Ecotoxicology and Environmental Safety 183 (2039).",0.01
sediments,Anhui,Norfloxacin,0.32999999999999996,2019,58,"Li, J. Y., Wen, J., Chen, Y., Wang, Q. & Yin, J. Antibiotics in cultured freshwater products in Eastern China: Occurrence, human health risks, sources, and bioaccumulation potential. Chemosphere 264, 128441, doi:10.1016/j.chemosphere.2020.128441 (2111).",0.25
sediments,Anhui,Ofloxacin,46,2018,35,"Lyu, K. et al. Determination of 14 antibiotics in water and sediment by SPE-RRLC-MS/MS. Huanjing Huaxue-Environmental Chemistry 38, 2415-2424, doi:10.7524/j.issn.0254-6108.2018122904 (2029).",2.02
sediments,Anhui,Oxytetracycline,3.23,2019,58,"Li, J. Y., Wen, J., Chen, Y., Wang, Q. & Yin, J. Antibiotics in cultured freshwater products in Eastern China: Occurrence, human health risks, sources, and bioaccumulation potential. Chemosphere 264, 128441, doi:10.1016/j.chemosphere.2020.128441 (2107).",0.48
sediments,Anhui,Roxithromycin,1.2,2018,35,"Lyu, K. et al. Determination of 14 antibiotics in water and sediment by SPE-RRLC-MS/MS. Huanjing Huaxue-Environmental Chemistry 38, 2415-2424, doi:10.7524/j.issn.0254-6108.2018122904 (2021).",0.2
sediments,Anhui,Sulfachloropyridazine,0.08,2016,132,"Zhou, L.-J. et al. Trends in the occurrence and risk assessment of antibiotics in shallow lakes in the lower-middle reaches of the Yangtze River basin, China. Ecotoxicology and Environmental Safety 183 (2020).",0.08
sediments,Anhui,Sulfadiazine,0.21999999999999997,2019,58,"Li, J. Y., Wen, J., Chen, Y., Wang, Q. & Yin, J. Antibiotics in cultured freshwater products in Eastern China: Occurrence, human health risks, sources, and bioaccumulation potential. Chemosphere 264, 128441, doi:10.1016/j.chemosphere.2020.128441 (2106).",0.060000000000000005
