sample_type,province,antibiotic,median_concentration,sam_Y,pub_id,pub_full,lod_est
municipal sludge,Beijing,Sulfamerazine,15.3,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2022).",0.1
municipal sludge,Beijing,Sulfamethazine,0.8,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2021).",0.43
municipal sludge,Beijing,Sulfamethizole,0.06,NA,218,"Yuan, X., Qiang, Z., Ben, W., Zhu, B. & Liu, J. Rapid detection of multiple class pharmaceuticals in both municipal wastewater and sludge with ultra high performance liquid chromatography tandem mass spectrometry. Journal of Environmental Sciences 26, 1949-1959, doi:10.1016/j.jes.2014.06.022 (2014).",0.06
municipal sludge,Beijing,Sulfamethoxazole,10.74,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2018).",4.2
municipal sludge,Beijing,Sulfapyridine,38,2008,160,"Gao, L. et al. Occurrence of antibiotics in eight sewage treatment plants in Beijing, China. Chemosphere 86, 665-671, doi:10.1016/j.chemosphere.2011.11.019 (2021).",38
municipal sludge,Beijing,Sulfathiazole,4.035,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2019).",0.97
municipal sludge,Beijing,Tetracycline,167.66500000000002,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2025).",57.4
municipal sludge,Beijing,Trimethoprim,106.985,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2041).",18
municipal sludge,Beijing,Tylosin,0.2,2008,160,"Gao, L. et al. Occurrence of antibiotics in eight sewage treatment plants in Beijing, China. Chemosphere 86, 665-671, doi:10.1016/j.chemosphere.2011.11.019 (2027).",0.2
municipal sludge,Chongqing,Azithromycin,466.76,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2037).",224.21
municipal sludge,Chongqing,Chlortetracycline,8.5,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2027).",8.5
municipal sludge,Chongqing,Ciprofloxacin,83.29999999999998,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2031).",83.29999999999998
municipal sludge,Chongqing,Clarithromycin,5.3,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2035).",5.3
municipal sludge,Chongqing,Doxycycline,13.6,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2028).",13.6
municipal sludge,Chongqing,Enrofloxacin,6.6,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2032).",6.6
municipal sludge,Chongqing,Erythromycin,8.64,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2036).",6.2
municipal sludge,Chongqing,Lomefloxacin,75.29999999999998,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2033).",75.29999999999998
municipal sludge,Chongqing,Moxifloxacin,16.05,2012,201,"Gan, X. et al. Occurrence and Fate of Typical Antibiotics in a Wastewater Treatment Plant in Southwest China. Environmental science 35, 1817-1823 (2014).",16.05
municipal sludge,Chongqing,Norfloxacin,275.36,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2029).",107.84
municipal sludge,Chongqing,Ofloxacin,284.015,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2030).",154.47
municipal sludge,Chongqing,Oxytetracycline,387.8,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2026).",387.8
municipal sludge,Chongqing,Roxithromycin,43.78,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2034).",13.4
municipal sludge,Chongqing,Sulfadiazine,3.57,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2020).",3.4
municipal sludge,Chongqing,Sulfadimethoxine,4.9,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2024).",4.9
municipal sludge,Chongqing,Sulfamerazine,15.3,2015,121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2022).",15.3
