sample_type,province,location,antibiotic,group_of_antibiotic,mean_concentration,max_concentration,concentration_unit,sample_year,season,full_reference_name,place_in_article_data_extracted_from,reference_number,source_dataset
municipal sludge,Beijing,Beijing,Lomefloxacin,fluoroquinolones,830,3000,μg/kg dw,2008.0,NA,"Gao, L. et al. Occurrence of antibiotics in eight sewage treatment plants in Beijing, China. Chemosphere 86, 665-671, doi:10.1016/j.chemosphere.2011.11.019 (2012).",Zhang 2022 supplementary dataset (Sheet7 record),160,Data_on_Antibiotics_in_China__07_Sheet7.csv
municipal sludge,Beijing,"Beijing, Haidian district, Qinghe sewage treatment plant",Lomefloxacin,fluoroquinolones,790,NA,μg/kg dw,2008.0,summer,"Jia, A., Wan, Y., Xiao, Y. & Hu, J. Occurrence and fate of quinolone and fluoroquinolone antibiotics in a municipal sewage treatment plant. Water Res 46, 387-394, doi:10.1016/j.watres.2011.10.055 (2012).",Zhang 2022 supplementary dataset (Sheet7 record),181,Data_on_Antibiotics_in_China__07_Sheet7.csv
municipal sludge,Beijing,"Beijing, Haidian district, Qinghe sewage treatment plant",Moxifloxacin,fluoroquinolones,441.25,NA,μg/kg dw,2008.0,summer,"Jia, A., Wan, Y., Xiao, Y. & Hu, J. Occurrence and fate of quinolone and fluoroquinolone antibiotics in a municipal sewage treatment plant. Water Res 46, 387-394, doi:10.1016/j.watres.2011.10.055 (2012).",Zhang 2022 supplementary dataset (Sheet7 record),181,Data_on_Antibiotics_in_China__07_Sheet7.csv
municipal sludge,Beijing,Beijing,Norfloxacin,fluoroquinolones,3200,4900,μg/kg dw,2008.0,NA,"Gao, L. et al. Occurrence of antibiotics in eight sewage treatment plants in Beijing, China. Chemosphere 86, 665-671, doi:10.1016/j.chemosphere.2011.11.019 (2012).",Zhang 2022 supplementary dataset (Sheet7 record),160,Data_on_Antibiotics_in_China__07_Sheet7.csv
municipal sludge,Beijing,"Beijing, Haidian district, Qinghe sewage treatment plant",Norfloxacin,fluoroquinolones,5426.25,NA,μg/kg dw,2008.0,summer,"Jia, A., Wan, Y., Xiao, Y. & Hu, J. Occurrence and fate of quinolone and fluoroquinolone antibiotics in a municipal sewage treatment plant. Water Res 46, 387-394, doi:10.1016/j.watres.2011.10.055 (2012).",Zhang 2022 supplementary dataset (Sheet7 record),181,Data_on_Antibiotics_in_China__07_Sheet7.csv
municipal sludge,Beijing,Beijing,Ofloxacin,fluoroquinolones,11000,21000,μg/kg dw,2008.0,NA,"Gao, L. et al. Occurrence of antibiotics in eight sewage treatment plants in Beijing, China. Chemosphere 86, 665-671, doi:10.1016/j.chemosphere.2011.11.019 (2012).",Zhang 2022 supplementary dataset (Sheet7 record),160,Data_on_Antibiotics_in_China__07_Sheet7.csv
municipal sludge,Beijing,"Beijing, Haidian district, Qinghe sewage treatment plant",Ofloxacin,fluoroquinolones,5548.75,NA,μg/kg dw,2008.0,summer,"Jia, A., Wan, Y., Xiao, Y. & Hu, J. Occurrence and fate of quinolone and fluoroquinolone antibiotics in a municipal sewage treatment plant. Water Res 46, 387-394, doi:10.1016/j.watres.2011.10.055 (2012).",Zhang 2022 supplementary dataset (Sheet7 record),181,Data_on_Antibiotics_in_China__07_Sheet7.csv
municipal sludge,Beijing,"Beijing, Haidian district, Qinghe sewage treatment plant",Pipemidic Acid,fluoroquinolones,222.5,NA,μg/kg dw,2008.0,summer,"Jia, A., Wan, Y., Xiao, Y. & Hu, J. Occurrence and fate of quinolone and fluoroquinolone antibiotics in a municipal sewage treatment plant. Water Res 46, 387-394, doi:10.1016/j.watres.2011.10.055 (2012).",Zhang 2022 supplementary dataset (Sheet7 record),181,Data_on_Antibiotics_in_China__07_Sheet7.csv
municipal sludge,Beijing,Beijing,Roxithromycin,macrolides,19,170,μg/kg dw,2008.0,NA,"Gao, L. et al. Occurrence of antibiotics in eight sewage treatment plants in Beijing, China. Chemosphere 86, 665-671, doi:10.1016/j.chemosphere.2011.11.019 (2012).",Zhang 2022 supplementary dataset (Sheet7 record),160,Data_on_Antibiotics_in_China__07_Sheet7.csv
municipal sludge,Beijing,Beijing,Sarafloxacin,fluoroquinolones,0.7,24,μg/kg dw,2008.0,NA,"Gao, L. et al. Occurrence of antibiotics in eight sewage treatment plants in Beijing, China. Chemosphere 86, 665-671, doi:10.1016/j.chemosphere.2011.11.019 (2012).",Zhang 2022 supplementary dataset (Sheet7 record),160,Data_on_Antibiotics_in_China__07_Sheet7.csv
municipal sludge,Beijing,"Beijing, Haidian district, Qinghe sewage treatment plant",Sarafloxacin,fluoroquinolones,326.25,NA,μg/kg dw,2008.0,summer,"Jia, A., Wan, Y., Xiao, Y. & Hu, J. Occurrence and fate of quinolone and fluoroquinolone antibiotics in a municipal sewage treatment plant. Water Res 46, 387-394, doi:10.1016/j.watres.2011.10.055 (2012).",Zhang 2022 supplementary dataset (Sheet7 record),181,Data_on_Antibiotics_in_China__07_Sheet7.csv
municipal sludge,Beijing,"Beijing, Haidian district, Qinghe sewage treatment plant",Sparfloxacin,fluoroquinolones,27.5,NA,μg/kg dw,2008.0,summer,"Jia, A., Wan, Y., Xiao, Y. & Hu, J. Occurrence and fate of quinolone and fluoroquinolone antibiotics in a municipal sewage treatment plant. Water Res 46, 387-394, doi:10.1016/j.watres.2011.10.055 (2012).",Zhang 2022 supplementary dataset (Sheet7 record),181,Data_on_Antibiotics_in_China__07_Sheet7.csv
municipal sludge,Beijing,Beijing,Spiramycin,macrolides,7.8,32,μg/kg dw,2008.0,NA,"Gao, L. et al. Occurrence of antibiotics in eight sewage treatment plants in Beijing, China. Chemosphere 86, 665-671, doi:10.1016/j.chemosphere.2011.11.019 (2012).",Zhang 2022 supplementary dataset (Sheet7 record),160,Data_on_Antibiotics_in_China__07_Sheet7.csv
municipal sludge,Beijing,Beijing,Sulfadiazine,sulfonamides,28,70,μg/kg dw,2008.0,NA,"Gao, L. et al. Occurrence of antibiotics in eight sewage treatment plants in Beijing, China. Chemosphere 86, 665-671, doi:10.1016/j.chemosphere.2011.11.019 (2012).",Zhang 2022 supplementary dataset (Sheet7 record),160,Data_on_Antibiotics_in_China__07_Sheet7.csv
municipal sludge,Beijing,Beijing,Sulfamerazine,sulfonamides,0.1,3.7,μg/kg dw,2008.0,NA,"Gao, L. et al. Occurrence of antibiotics in eight sewage treatment plants in Beijing, China. Chemosphere 86, 665-671, doi:10.1016/j.chemosphere.2011.11.019 (2012).",Zhang 2022 supplementary dataset (Sheet7 record),160,Data_on_Antibiotics_in_China__07_Sheet7.csv
municipal sludge,Beijing,Beijing,Sulfamethazine,sulfonamides,3,61,μg/kg dw,2008.0,NA,"Gao, L. et al. Occurrence of antibiotics in eight sewage treatment plants in Beijing, China. Chemosphere 86, 665-671, doi:10.1016/j.chemosphere.2011.11.019 (2012).",Zhang 2022 supplementary dataset (Sheet7 record),160,Data_on_Antibiotics_in_China__07_Sheet7.csv
municipal sludge,Beijing,Beijing,Sulfamethoxazole,sulfonamides,11,45,μg/kg dw,2008.0,NA,"Gao, L. et al. Occurrence of antibiotics in eight sewage treatment plants in Beijing, China. Chemosphere 86, 665-671, doi:10.1016/j.chemosphere.2011.11.019 (2012).",Zhang 2022 supplementary dataset (Sheet7 record),160,Data_on_Antibiotics_in_China__07_Sheet7.csv
municipal sludge,Beijing,Beijing,Sulfapyridine,sulfonamides,38,68,μg/kg dw,2008.0,NA,"Gao, L. et al. Occurrence of antibiotics in eight sewage treatment plants in Beijing, China. Chemosphere 86, 665-671, doi:10.1016/j.chemosphere.2011.11.019 (2012).",Zhang 2022 supplementary dataset (Sheet7 record),160,Data_on_Antibiotics_in_China__07_Sheet7.csv
municipal sludge,Beijing,Beijing,Tylosin,macrolides,0.2,6.1,μg/kg dw,2008.0,NA,"Gao, L. et al. Occurrence of antibiotics in eight sewage treatment plants in Beijing, China. Chemosphere 86, 665-671, doi:10.1016/j.chemosphere.2011.11.019 (2012).",Zhang 2022 supplementary dataset (Sheet7 record),160,Data_on_Antibiotics_in_China__07_Sheet7.csv
municipal sludge,Beijing,Beijing,Chloromycetin,other,0.6,NA,μg/kg dw,2010.0,NA,"Chen, W., Huang, J., Sui, Q., Yu, G. & Zhu, W. Determination of Nine Pharmaceutical and Personal Care Products in Sludge by PSE Coupled to UPLC-MS/MS. Research of Environmental Sciences 24, 925-932 (2011).",Zhang 2022 supplementary dataset (Sheet7 record),21,Data_on_Antibiotics_in_China__07_Sheet7.csv
municipal sludge,Beijing,Beijing,Azithromycin,macrolides,749,6027.2,μg/kg dw,2015.0,spring,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2018).",Zhang 2022 supplementary dataset (Sheet7 record),121,Data_on_Antibiotics_in_China__07_Sheet7.csv
municipal sludge,Beijing,Beijing,Chlorotetracycline,tetracyclines,8.5,276.6,μg/kg dw,2015.0,spring,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2018).",Zhang 2022 supplementary dataset (Sheet7 record),121,Data_on_Antibiotics_in_China__07_Sheet7.csv
municipal sludge,Beijing,Beijing,Ciprofloxacin,fluoroquinolones,83.3,1376.9,μg/kg dw,2015.0,spring,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2018).",Zhang 2022 supplementary dataset (Sheet7 record),121,Data_on_Antibiotics_in_China__07_Sheet7.csv
municipal sludge,Beijing,Beijing,Clarithromycin,macrolides,5.3,49.5,μg/kg dw,2015.0,spring,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2018).",Zhang 2022 supplementary dataset (Sheet7 record),121,Data_on_Antibiotics_in_China__07_Sheet7.csv
municipal sludge,Beijing,Beijing,Doxycycline,tetracyclines,13.6,112.6,μg/kg dw,2015.0,spring,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2018).",Zhang 2022 supplementary dataset (Sheet7 record),121,Data_on_Antibiotics_in_China__07_Sheet7.csv
municipal sludge,Beijing,Beijing,Enrofloxacin,fluoroquinolones,6.6,69.5,μg/kg dw,2015.0,spring,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2018).",Zhang 2022 supplementary dataset (Sheet7 record),121,Data_on_Antibiotics_in_China__07_Sheet7.csv
municipal sludge,Beijing,Beijing,Erythromycin-H2O,macrolides,6.2,43.4,μg/kg dw,2015.0,spring,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2018).",Zhang 2022 supplementary dataset (Sheet7 record),121,Data_on_Antibiotics_in_China__07_Sheet7.csv
municipal sludge,Beijing,Beijing,Lomefloxacin,fluoroquinolones,75.3,316.1,μg/kg dw,2015.0,spring,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2018).",Zhang 2022 supplementary dataset (Sheet7 record),121,Data_on_Antibiotics_in_China__07_Sheet7.csv
municipal sludge,Beijing,Beijing,Norfloxacin,fluoroquinolones,2003.7,3677.2,μg/kg dw,2015.0,spring,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2018).",Zhang 2022 supplementary dataset (Sheet7 record),121,Data_on_Antibiotics_in_China__07_Sheet7.csv
municipal sludge,Beijing,Beijing,Ofloxacin,fluoroquinolones,3150,8800.5,μg/kg dw,2015.0,spring,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2018).",Zhang 2022 supplementary dataset (Sheet7 record),121,Data_on_Antibiotics_in_China__07_Sheet7.csv
municipal sludge,Beijing,Beijing,Oxytetracycline,tetracyclines,387.8,5115.9,μg/kg dw,2015.0,spring,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2018).",Zhang 2022 supplementary dataset (Sheet7 record),121,Data_on_Antibiotics_in_China__07_Sheet7.csv
municipal sludge,Beijing,Beijing,Roxithromycin,macrolides,13.4,110,μg/kg dw,2015.0,spring,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2018).",Zhang 2022 supplementary dataset (Sheet7 record),121,Data_on_Antibiotics_in_China__07_Sheet7.csv
municipal sludge,Beijing,Beijing,Sulfadiazine,sulfonamides,3.4,12,μg/kg dw,2015.0,spring,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2018).",Zhang 2022 supplementary dataset (Sheet7 record),121,Data_on_Antibiotics_in_China__07_Sheet7.csv
municipal sludge,Beijing,Beijing,Sulfadimethoxine,sulfonamides,4.9,12.9,μg/kg dw,2015.0,spring,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2018).",Zhang 2022 supplementary dataset (Sheet7 record),121,Data_on_Antibiotics_in_China__07_Sheet7.csv
municipal sludge,Beijing,Beijing,Sulfamerazine,sulfonamides,15.3,68.8,μg/kg dw,2015.0,spring,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2018).",Zhang 2022 supplementary dataset (Sheet7 record),121,Data_on_Antibiotics_in_China__07_Sheet7.csv
municipal sludge,Beijing,Beijing,Sulfamethazine,sulfonamides,0.8,122.7,μg/kg dw,2015.0,spring,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2018).",Zhang 2022 supplementary dataset (Sheet7 record),121,Data_on_Antibiotics_in_China__07_Sheet7.csv
municipal sludge,Beijing,Beijing,Sulfamethoxazole,sulfonamides,4.2,16.4,μg/kg dw,2015.0,spring,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2018).",Zhang 2022 supplementary dataset (Sheet7 record),121,Data_on_Antibiotics_in_China__07_Sheet7.csv
municipal sludge,Beijing,Beijing,Sulfathiazole,sulfonamides,7.1,12.8,μg/kg dw,2015.0,spring,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2018).",Zhang 2022 supplementary dataset (Sheet7 record),121,Data_on_Antibiotics_in_China__07_Sheet7.csv
municipal sludge,Beijing,Beijing,Tetracycline,tetracyclines,57.4,1038.4,μg/kg dw,2015.0,spring,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2018).",Zhang 2022 supplementary dataset (Sheet7 record),121,Data_on_Antibiotics_in_China__07_Sheet7.csv
municipal sludge,Beijing,Beijing,Trimethoprim,sulfonamides,18,31.5,μg/kg dw,2015.0,spring,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2018).",Zhang 2022 supplementary dataset (Sheet7 record),121,Data_on_Antibiotics_in_China__07_Sheet7.csv
municipal sludge,Beijing,Beijing,Ofloxacin,fluoroquinolones,2982.61,11138.52,μg/kg dw,2016,NA,"Meng, F., Sun, S., Geng, J., Ma, L., Jiang, J., Li, B., Yabo, S. D., Lu, L., Fu, D., Shen, J., & Qi, H. (2023). Occurrence, distribution, and risk assessment of quinolone antibiotics in municipal sewage sludges throughout China. Journal of Hazardous Materials, 453, 131322. https://doi.org/10.1016/j.jhazmat.2023.131322",Additional curated article workbook (Sheet1),N5,Additional_data_on_antibiotics_in_water_and_sediment_in_china__01_Sheet1.csv
municipal sludge,Beijing,Beijing,Dehydroerythromycin,macrolides,3.3,NA,μg/kg dw,NA,NA,"Yuan, X., Qiang, Z., Ben, W., Zhu, B. & Liu, J. Rapid detection of multiple class pharmaceuticals in both municipal wastewater and sludge with ultra high performance liquid chromatography tandem mass spectrometry. Journal of Environmental Sciences 26, 1949-1959, doi:10.1016/j.jes.2014.06.022 (2014).",Zhang 2022 supplementary dataset (Sheet7 record),218,Data_on_Antibiotics_in_China__07_Sheet7.csv
municipal sludge,Beijing,Beijing,Chlorotetracycline,tetracyclines,15.53,NA,μg/kg dw,NA,NA,"Yuan, X., Qiang, Z., Ben, W., Zhu, B. & Liu, J. Rapid detection of multiple class pharmaceuticals in both municipal wastewater and sludge with ultra high performance liquid chromatography tandem mass spectrometry. Journal of Environmental Sciences 26, 1949-1959, doi:10.1016/j.jes.2014.06.022 (2014).",Zhang 2022 supplementary dataset (Sheet7 record),218,Data_on_Antibiotics_in_China__07_Sheet7.csv
municipal sludge,Beijing,Beijing,Ciprofloxacin,fluoroquinolones,230.93,NA,μg/kg dw,NA,NA,"Yuan, X., Qiang, Z., Ben, W., Zhu, B. & Liu, J. Rapid detection of multiple class pharmaceuticals in both municipal wastewater and sludge with ultra high performance liquid chromatography tandem mass spectrometry. Journal of Environmental Sciences 26, 1949-1959, doi:10.1016/j.jes.2014.06.022 (2014).",Zhang 2022 supplementary dataset (Sheet7 record),218,Data_on_Antibiotics_in_China__07_Sheet7.csv
municipal sludge,Beijing,Beijing,Norfloxacin,fluoroquinolones,1967.71,NA,μg/kg dw,NA,NA,"Yuan, X., Qiang, Z., Ben, W., Zhu, B. & Liu, J. Rapid detection of multiple class pharmaceuticals in both municipal wastewater and sludge with ultra high performance liquid chromatography tandem mass spectrometry. Journal of Environmental Sciences 26, 1949-1959, doi:10.1016/j.jes.2014.06.022 (2014).",Zhang 2022 supplementary dataset (Sheet7 record),218,Data_on_Antibiotics_in_China__07_Sheet7.csv
municipal sludge,Beijing,Beijing,Ofloxacin,fluoroquinolones,6029.07,NA,μg/kg dw,NA,NA,"Yuan, X., Qiang, Z., Ben, W., Zhu, B. & Liu, J. Rapid detection of multiple class pharmaceuticals in both municipal wastewater and sludge with ultra high performance liquid chromatography tandem mass spectrometry. Journal of Environmental Sciences 26, 1949-1959, doi:10.1016/j.jes.2014.06.022 (2014).",Zhang 2022 supplementary dataset (Sheet7 record),218,Data_on_Antibiotics_in_China__07_Sheet7.csv
municipal sludge,Beijing,Beijing,Oxytetracycline,tetracyclines,751.71,NA,μg/kg dw,NA,NA,"Yuan, X., Qiang, Z., Ben, W., Zhu, B. & Liu, J. Rapid detection of multiple class pharmaceuticals in both municipal wastewater and sludge with ultra high performance liquid chromatography tandem mass spectrometry. Journal of Environmental Sciences 26, 1949-1959, doi:10.1016/j.jes.2014.06.022 (2014).",Zhang 2022 supplementary dataset (Sheet7 record),218,Data_on_Antibiotics_in_China__07_Sheet7.csv
municipal sludge,Beijing,Beijing,Sulfadiazine,sulfonamides,3.74,NA,μg/kg dw,NA,NA,"Yuan, X., Qiang, Z., Ben, W., Zhu, B. & Liu, J. Rapid detection of multiple class pharmaceuticals in both municipal wastewater and sludge with ultra high performance liquid chromatography tandem mass spectrometry. Journal of Environmental Sciences 26, 1949-1959, doi:10.1016/j.jes.2014.06.022 (2014).",Zhang 2022 supplementary dataset (Sheet7 record),218,Data_on_Antibiotics_in_China__07_Sheet7.csv
municipal sludge,Beijing,Beijing,Sulfadimethoxine,sulfonamides,1.02,NA,μg/kg dw,NA,NA,"Yuan, X., Qiang, Z., Ben, W., Zhu, B. & Liu, J. Rapid detection of multiple class pharmaceuticals in both municipal wastewater and sludge with ultra high performance liquid chromatography tandem mass spectrometry. Journal of Environmental Sciences 26, 1949-1959, doi:10.1016/j.jes.2014.06.022 (2014).",Zhang 2022 supplementary dataset (Sheet7 record),218,Data_on_Antibiotics_in_China__07_Sheet7.csv
municipal sludge,Beijing,Beijing,Sulfamerazine,sulfonamides,15.3,NA,μg/kg dw,NA,NA,"Yuan, X., Qiang, Z., Ben, W., Zhu, B. & Liu, J. Rapid detection of multiple class pharmaceuticals in both municipal wastewater and sludge with ultra high performance liquid chromatography tandem mass spectrometry. Journal of Environmental Sciences 26, 1949-1959, doi:10.1016/j.jes.2014.06.022 (2014).",Zhang 2022 supplementary dataset (Sheet7 record),218,Data_on_Antibiotics_in_China__07_Sheet7.csv
municipal sludge,Beijing,Beijing,Sulfamethazine,sulfonamides,0.43,NA,μg/kg dw,NA,NA,"Yuan, X., Qiang, Z., Ben, W., Zhu, B. & Liu, J. Rapid detection of multiple class pharmaceuticals in both municipal wastewater and sludge with ultra high performance liquid chromatography tandem mass spectrometry. Journal of Environmental Sciences 26, 1949-1959, doi:10.1016/j.jes.2014.06.022 (2014).",Zhang 2022 supplementary dataset (Sheet7 record),218,Data_on_Antibiotics_in_China__07_Sheet7.csv
municipal sludge,Beijing,Beijing,Sulfamethizole,sulfonamides,0.06,NA,μg/kg dw,NA,NA,"Yuan, X., Qiang, Z., Ben, W., Zhu, B. & Liu, J. Rapid detection of multiple class pharmaceuticals in both municipal wastewater and sludge with ultra high performance liquid chromatography tandem mass spectrometry. Journal of Environmental Sciences 26, 1949-1959, doi:10.1016/j.jes.2014.06.022 (2014).",Zhang 2022 supplementary dataset (Sheet7 record),218,Data_on_Antibiotics_in_China__07_Sheet7.csv
municipal sludge,Beijing,Beijing,Sulfamethoxazole,sulfonamides,10.74,NA,μg/kg dw,NA,NA,"Yuan, X., Qiang, Z., Ben, W., Zhu, B. & Liu, J. Rapid detection of multiple class pharmaceuticals in both municipal wastewater and sludge with ultra high performance liquid chromatography tandem mass spectrometry. Journal of Environmental Sciences 26, 1949-1959, doi:10.1016/j.jes.2014.06.022 (2014).",Zhang 2022 supplementary dataset (Sheet7 record),218,Data_on_Antibiotics_in_China__07_Sheet7.csv
municipal sludge,Beijing,Beijing,Sulfathiazole,sulfonamides,0.97,NA,μg/kg dw,NA,NA,"Yuan, X., Qiang, Z., Ben, W., Zhu, B. & Liu, J. Rapid detection of multiple class pharmaceuticals in both municipal wastewater and sludge with ultra high performance liquid chromatography tandem mass spectrometry. Journal of Environmental Sciences 26, 1949-1959, doi:10.1016/j.jes.2014.06.022 (2014).",Zhang 2022 supplementary dataset (Sheet7 record),218,Data_on_Antibiotics_in_China__07_Sheet7.csv
