province,Total_Population_10000_persons,Urban_Population_10000_persons,Rural_Population_10000_persons,Total_Water_Resources_100_million_cu_m,Surface_Water_Resources_100_million_cu_m,Groundwater_Resources_100_million_cu_m,Overlapped_Measurement_100_million_cu_m,Per_Capita_Water_Resources_cu_m_person,Water_Supply_100_million_cu_m,Surface_Water_Supply_100_million_cu_m,Groundwater_Supply_100_million_cu_m,Nonconventional_Water_Supply_100_million_cu_m,Water_Use_100_million_cu_m,Agriculture_Use_100_million_cu_m,Industry_Use_100_million_cu_m,Households_Service_Use_100_million_cu_m,Artificial_Ecoenvironment_Use_100_million_cu_m,Per_Capita_Water_Use_cu_m_person,Cultivated_Land_1000_ha,Garden_Land_1000_ha,Forest_Land_1000_ha,Grassland_1000_ha,Wetland_1000_ha,Land_for_Urban_Rural_Industrial_Mining_1000_ha,Land_Used_for_Transport_1000_ha,Land_Used_for_Water_Water_Conservancy_1000_ha,Investment_in_Urban_Env_Infra_10000_yuan,Gas_Supply_10000_yuan,Centralized_Heating_10000_yuan,Drainage_Works_10000_yuan,Gardening_Greening_10000_yuan,Environmental_Sanitation_10000_yuan,Irrigated_Area_of_Cultivated_Land_1000_ha,Consumption_of_Chemical_Fertilizers_10000_tons,Nitrogenous_Fertilizer_10000_tons,Phosphatic_Fertilizer_10000_tons,Potassic_Fertilizer_10000_tons,Compound_Fertilizer_10000_tons,Village_Clinics,Village_run,Outlets_of_Township_Health_Centers,Joint_run,Private_run,Others,Investment_Completed_in_Treatment_of_Industrial_Pollution_10000_yuan,Treatment_of_Wastewater_10000_yuan,Treatment_of_Waste_Gas_10000_yuan,Treatment_of_Solid_Waste_10000_yuan,Treatment_of_Noise_Pollution_10000_yuan,Treatment_of_Other_Pollution_10000_yuan,Total_Health_Care_Institutions,General_Hospitals,Traditional_Chinese_Medicine_Hospitals,Specialized_Hospitals,Health_Care_Institutions_at_Grassroot_Level,Community_Health_Service_Centers_Stations,Township_Health_Centers,Outpatient_Departments,Specialized_Public_Health_Institutions,Centers_for_Disease_Control,Specialized_Disease_Prevention_Treatment_Institutions,Maternal_and_Children_Care_Centers,Health_Inspection_Institutions,COD_ton,Ammonia_Nitrogen_ton,Total_Nitrogen_ton,Total_Phosphorus_ton,Petroleum_ton,Volatile_Phenol_kg,Cyanide_kg,Heavy_Metals_kg,GRP_100_million_yuan,Per_Capita_GRP_yuan,Total_Investment_in_Industrial_Pollution_Treatment_10000_yuan,Wastewater_Treatment_10000_yuan,Freshwater_Aquatic_Products_10000_tons,Output_of_Meat_10000_tons,"Output_of_Pork,_Beef_and_Mutton_10000_tons",Pork_10000_tons,Beef_10000_tons,Mutton_10000_tons,Milk_10000_tons,Large_Animals_Number_of_Livestock_10000_heads,Cattle_and_Buffaloes_10000_heads,Slaughtered_Hogs_10000_heads,Hogs_10000_heads_year-end,Sheep_and_Goats_10000_heads_year-end,Gross_Output_Value_Total_100_million_yuan,Farming_100_million_yuan,Forestry_100_million_yuan,Animal_husbandry_100_million_yuan,Fishery_100_million_yuan,Professional_and_Support_Activities_100_million_yuan
Heilongjiang,3029,2061,968,1011.7,851.6,342.9,160.1,3322,288.5,187.9,97.6,3.1,288.5,258.4,11.9,14.5,3.7,947.3,17167.7,74.2,21611.3,1169.5,3474.7,1177.2,558.3,1721.5,857770,43116,182895,593033,34338,4388,6250.8,240.3,75.9,46.5,32.3,85.6,10206,7445,1319,139,701,602,96649,2645,90765,777,NA,2462,22535,1278,810,199,20759,643,10206,8935,403,145,17,118,52,1004969,22391,90377,9166,15,1123,138,56,16476.9,54102,96649,2645,81.4,324.9,267.4,196.2,56,15.2,443.7,500,490.1,2346.7,1296.1,761.5,5904.1,3795,201,1513.8,176,218.4
Henan,9785,5795,3990,417.7,323.5,191.8,94.1,426.2,214.2,114.2,85.7,14.3,214.2,125.1,20.6,42.9,25.4,218.6,7579.6,385.5,4299.9,250.5,33.5,2470.7,415,868.5,2136370,66802,340526,856264,740508,132270,5767.4,571.1,147.5,65.5,45.2,312.9,59058,35380,4383,2316,12166,4813,223400,19170,161095,862,3,42271,86702,2472,1282,477,83517,2018,59058,20449,568,185,18,165,60,1699957,46992,168786,21009,47,78,344,1200,63590,64888,223400,19170,100.4,694.2,538.8,470.9,39.1,28.8,230.5,357.1,355.2,6029.1,4030.9,1763.6,10632.6,6680.5,176.1,2609.9,144.6,1021.5
Hubei,5834,3871,1963,918.2,895.8,283.7,22.4,1573.3,340.2,329,4.2,7,340.2,190.9,70.1,52.5,26.6,582.9,4752,474.4,9292.5,98.2,47,1428.3,364.4,1949.1,3421650,454325,22410,2249615,547146,148154,3226.9,249.9,79.8,29.4,20.4,120.4,21759,16923,733,2644,387,1072,105260,25572,68982,447,114,10145,38897,1268,605,173,37036,1131,21759,13038,446,121,53,102,73,1490235,48609,174567,24650,57,1035,1733,1339,60013,102832,105260,25572,546.4,453.6,376.8,351.2,16,9.6,6.9,212.5,212.2,4431.4,2520.7,477.4,9844.1,4845.7,408.2,1986.4,1727,876.8
Hunan,6539,4059,2480,2087.5,2079.7,451.4,7.8,3185.3,298.7,286.9,5.2,6.6,298.7,193.5,44.4,46.1,14.8,455.8,3666.6,906.2,12612.5,141.5,230.9,1645.2,398.5,1250.2,684706,77212,22410,520435,29349,57710,2932,211.8,58.9,13.9,26.9,112.1,35502,24550,2480,374,5225,2873,298433,5063,216775,53424,NA,23171,57611,1763,822,225,55275,1103,35502,16671,458,146,62,140,67,1732340,70723,206064,28663,72,908,451,3328,53231,81225,298433,5063,299.1,577.2,491.1,455.2,21.3,14.6,8.8,319.8,318.6,6016,3652.6,652.5,8715.7,4441.9,554.9,2301.7,683.9,733.2
Inner Mongolia,2388,1689,699,581.1,399.7,259.8,181.4,2429.3,189.9,85.1,95.9,8.9,189.9,138.5,16.7,11.3,23.5,793.9,11617.4,49.2,24355.6,53939.6,3793,1556.8,829.8,1097.2,1508472,66357,876415,494014,32182,39504,4887.8,221.8,68.1,15,15.4,123.3,12772,4591,3035,241,3586,1319,193969,10610,127770,49038,21,6530,26768,861,400,174,25480,1321,12772,10170,351,118,7,116,32,906870,21551,74325,5604,6,186,95,101,26314.6,110011,193969,10610,11.6,307.5,275.5,80.6,89.1,105.9,779.8,1060.2,938.3,958.9,663.1,6108.2,4832.6,2552.7,185.1,1938.6,35.9,120.3
Jiangsu,8526,6440,2086,496.3,438.7,132.1,57.6,582.1,578.7,560.5,2.1,16,578.7,244.8,251.1,67.3,15.4,678.7,4139.6,216,792.6,105.4,407.6,2059.9,392.1,2464.8,3195784,267012,6377,2178853,554552,188990,3873.8,264.2,121.6,22.3,14,106.4,14523,5472,6890,940,86,1135,276680,31110,191956,10688,304,42622,41680,2246,980,173,38446,2732,14523,20300,495,115,24,125,96,1206340,50491,164691,18831,113,2450,1062,1027,137008,160694,276680,31110,388,336.7,197.2,187.4,3.9,5.9,70.5,36.7,36.6,2334.9,1421.6,281.7,9284.6,5010.9,196.4,1239.1,1995,843.3
Jiangxi,4502,2871,1631,2059.7,2039.7,446.5,20,4568.5,238.2,232.4,2.1,3.7,238.2,165.7,37.8,30.1,4.5,528.3,2718.3,586.2,10334.3,102.5,225.5,1133.7,372,1089.9,2040867,155292,65846,1450218,276346,159011,2201.6,106,27,13.2,14.5,51.4,25889,12351,1312,1312,9543,1371,47663,2977,40311,1244,315,2816,39392,1098,621,149,37681,703,25889,9485,439,149,73,116,23,1044465,48684,133302,17393,101,8503,850,4140,34202.5,75862,47663,2977,303.3,365.7,273.1,252.9,17.1,3.1,4.6,167.3,167.1,3035.6,1660.9,121.8,4494.1,2168,433.1,1034.6,574.1,284.2
Jilin,2317,1524,793,676.8,589.5,216.6,87.3,2907.2,107,70.6,30.5,5.8,107,76.6,7.9,13,9.4,459.6,7452.6,88.8,8804.8,619.7,221.4,864.3,277.2,631.6,456757,46228,163116,197457,49555,401,2097,226.3,36.1,4.6,11,174.5,8701,3808,1706,1450,1357,380,47042,8486,32393,10,NA,6153,26540,873,409,171,25306,337,8701,15514,250,70,54,70,21,899449,15345,64328,7346,29,449,269,341,14361.2,61689,47042,8486,26.6,314.1,223.3,159.3,53.9,10.1,30.3,440.9,431.1,1908.4,1115.1,653.9,3031.3,1443.7,75.4,1344.1,68.7,99.4
Liaoning,4155,3082,1073,534.6,482.6,151.1,52,1282.5,123.3,73.7,41.7,7.8,123.3,71.9,14.8,26.4,10.3,296.8,5162.2,525.9,5985.5,475.1,294,1347.3,317,701.2,792526,278219,120929,359050,15159,19169,1739.8,129.1,38.9,7.6,9.9,72.7,16455,7877,410,154,6915,1099,178226,13466,143280,2426,98,18957,37137,1646,837,252,34973,1508,16455,15996,363,126,35,103,13,1372012,33058,111329,15537,116,7655,757,777,32612.7,78236,178226,13466,83.9,497.8,277.9,235.7,34.4,7.8,131.3,327.1,303.1,2788.3,1342.1,762,5125.4,2178.8,136.3,1664.1,953.2,192.9
Ningxia,729,497,232,13,10,16.1,3,178.3,61.4,52.9,4.7,3.8,61.4,48.7,5.7,3.8,3.2,842.2,1207.3,89.2,981.3,1980.6,25.4,303.7,101.2,170.7,470978,77162,184033,188160,16168,5455,564.7,36.8,13.5,4.1,2.9,16.3,2139,77162,2139,NA,NA,NA,36360,34163,34163,333,NA,1864,4986,219,132,31,4660,254,2139,2063,84,27,NA,25,2,263736,4852,15892,2469,6,182,151,19,5502.8,75484,36360,NA,17.9,46,42.8,9.1,17.2,16.4,457,248.3,247.6,109.9,72.8,692.1,933.6,488.4,12.4,370,26.6,36.2
