reference_number,source_dataset,full_reference_name,article_link,place_in_article_data_extracted_from,province,location,sample_type,matrix,sample_year,season,antibiotic,group_of_antibiotic,unit_raw,mean_raw,max_raw,conversion_factor,unit_converted,mean_converted,max_converted,flag_codes,flag_reasons,suggested_unit_note
155,Data_on_Antibiotics_in_China__07_Sheet7.csv,"Zhang, M. et al. Occurrence, fate and mass loadings of antibiotics in two swine wastewater treatment systems. Sci Total Environ 639, 1421-1431, doi:10.1016/j.scitotenv.2018.05.230 (2018).",https://doi.org/10.1016/j.scitotenv.2018.05.230,Zhang 2022 supplementary dataset (Sheet7 record),Guangdong,"Yunfu, Xinxing County",municipal sludge,sludge,2016,autumn,Chlortetracycline,tetracyclines,g/kg dw,27050,NA,1000000,ng/g dw,27050000000,NA,extreme_converted;high_converted;implausible_g_per_kg;large_value_high_factor;alt_unit_more_plausible,Converted concentration exceeds 1e+09 ng/g or ng/L; Converted concentration exceeds 1e+06 (review band); Raw value > 10 with g/kg unit (physically implausible); Raw value > 1000 combined with g/kg or mg/L scale factor (1e6); Another unit scale would place the converted value in the plausible range,"if mg/kg not g/kg, mean would be 27050000 ng/g dw; if µg/kg not g/kg, mean would be 27050 ng/g dw; if ng/g not g/kg, mean would be 27050 ng/g dw"
223,Data_on_Antibiotics_in_China__07_Sheet7.csv,"Li, D. et al. Determination and fate of oxytetracycline and related compounds in oxytetracycline production wastewater and the receiving river. Environmental Toxicology and Chemistry 27, 80-86, doi:10.1897/07-080.1 (2008).",https://doi.org/10.1897/07-080.1,Zhang 2022 supplementary dataset (Sheet7 record),Hebei,Shijiazhuang,municipal sludge,sludge,2004,NA,_-apo-oxytetracycline,tetracyclines,g/kg dw,26900,32000,1000000,ng/g dw,26900000000,32000000000,extreme_converted;high_converted;implausible_g_per_kg;large_value_high_factor;alt_unit_more_plausible,Converted concentration exceeds 1e+09 ng/g or ng/L; Converted concentration exceeds 1e+06 (review band); Raw value > 10 with g/kg unit (physically implausible); Raw value > 1000 combined with g/kg or mg/L scale factor (1e6); Another unit scale would place the converted value in the plausible range,"if mg/kg not g/kg, mean would be 26900000 ng/g dw; if µg/kg not g/kg, mean would be 26900 ng/g dw; if ng/g not g/kg, mean would be 26900 ng/g dw"
155,Data_on_Antibiotics_in_China__07_Sheet7.csv,"Zhang, M. et al. Occurrence, fate and mass loadings of antibiotics in two swine wastewater treatment systems. Sci Total Environ 639, 1421-1431, doi:10.1016/j.scitotenv.2018.05.230 (2018).",https://doi.org/10.1016/j.scitotenv.2018.05.230,Zhang 2022 supplementary dataset (Sheet7 record),Guangdong,"Yunfu, Xinxing County",municipal sludge,sludge,2016,autumn,Oxytetracycline,tetracyclines,g/kg dw,26550,NA,1000000,ng/g dw,26550000000,NA,extreme_converted;high_converted;implausible_g_per_kg;large_value_high_factor;alt_unit_more_plausible,Converted concentration exceeds 1e+09 ng/g or ng/L; Converted concentration exceeds 1e+06 (review band); Raw value > 10 with g/kg unit (physically implausible); Raw value > 1000 combined with g/kg or mg/L scale factor (1e6); Another unit scale would place the converted value in the plausible range,"if mg/kg not g/kg, mean would be 26550000 ng/g dw; if µg/kg not g/kg, mean would be 26550 ng/g dw; if ng/g not g/kg, mean would be 26550 ng/g dw"
155,Data_on_Antibiotics_in_China__07_Sheet7.csv,"Zhang, M. et al. Occurrence, fate and mass loadings of antibiotics in two swine wastewater treatment systems. Sci Total Environ 639, 1421-1431, doi:10.1016/j.scitotenv.2018.05.230 (2018).",https://doi.org/10.1016/j.scitotenv.2018.05.230,Zhang 2022 supplementary dataset (Sheet7 record),Guangdong,"Yunfu, Xinxing County",municipal sludge,sludge,2016,autumn,Chlortetracycline,tetracyclines,g/kg dw,25650,NA,1000000,ng/g dw,25650000000,NA,extreme_converted;high_converted;implausible_g_per_kg;large_value_high_factor;alt_unit_more_plausible,Converted concentration exceeds 1e+09 ng/g or ng/L; Converted concentration exceeds 1e+06 (review band); Raw value > 10 with g/kg unit (physically implausible); Raw value > 1000 combined with g/kg or mg/L scale factor (1e6); Another unit scale would place the converted value in the plausible range,"if mg/kg not g/kg, mean would be 25650000 ng/g dw; if µg/kg not g/kg, mean would be 25650 ng/g dw; if ng/g not g/kg, mean would be 25650 ng/g dw"
155,Data_on_Antibiotics_in_China__07_Sheet7.csv,"Zhang, M. et al. Occurrence, fate and mass loadings of antibiotics in two swine wastewater treatment systems. Sci Total Environ 639, 1421-1431, doi:10.1016/j.scitotenv.2018.05.230 (2018).",https://doi.org/10.1016/j.scitotenv.2018.05.230,Zhang 2022 supplementary dataset (Sheet7 record),Guangdong,"Yunfu, Xinxing County",municipal sludge,sludge,2016,summer,Chlortetracycline,tetracyclines,g/kg dw,24900,NA,1000000,ng/g dw,24900000000,NA,extreme_converted;high_converted;implausible_g_per_kg;large_value_high_factor;alt_unit_more_plausible,Converted concentration exceeds 1e+09 ng/g or ng/L; Converted concentration exceeds 1e+06 (review band); Raw value > 10 with g/kg unit (physically implausible); Raw value > 1000 combined with g/kg or mg/L scale factor (1e6); Another unit scale would place the converted value in the plausible range,"if mg/kg not g/kg, mean would be 24900000 ng/g dw; if µg/kg not g/kg, mean would be 24900 ng/g dw; if ng/g not g/kg, mean would be 24900 ng/g dw"
223,Data_on_Antibiotics_in_China__07_Sheet7.csv,"Li, D. et al. Determination and fate of oxytetracycline and related compounds in oxytetracycline production wastewater and the receiving river. Environmental Toxicology and Chemistry 27, 80-86, doi:10.1897/07-080.1 (2008).",https://doi.org/10.1897/07-080.1,Zhang 2022 supplementary dataset (Sheet7 record),Hebei,"Shijiazhuang, the Xiao River",sediment,sediment,2005,spring,_-apo-oxytetracycline,tetracyclines,g/kg dw,23266.67,34600,1000000,ng/g dw,23266670000,34600000000,extreme_converted;high_converted;implausible_g_per_kg;large_value_high_factor;alt_unit_more_plausible,Converted concentration exceeds 1e+09 ng/g or ng/L; Converted concentration exceeds 1e+06 (review band); Raw value > 10 with g/kg unit (physically implausible); Raw value > 1000 combined with g/kg or mg/L scale factor (1e6); Another unit scale would place the converted value in the plausible range,"if mg/kg not g/kg, mean would be 23270000 ng/g dw; if µg/kg not g/kg, mean would be 23270 ng/g dw; if ng/g not g/kg, mean would be 23270 ng/g dw"
223,Data_on_Antibiotics_in_China__07_Sheet7.csv,"Li, D. et al. Determination and fate of oxytetracycline and related compounds in oxytetracycline production wastewater and the receiving river. Environmental Toxicology and Chemistry 27, 80-86, doi:10.1897/07-080.1 (2008).",https://doi.org/10.1897/07-080.1,Zhang 2022 supplementary dataset (Sheet7 record),Hebei,"Shijiazhuang, the Xiao River",sediment,sediment,2004,winter,_-apo-oxytetracycline,tetracyclines,g/kg dw,20533.33,27400,1000000,ng/g dw,20533330000,27400000000,extreme_converted;high_converted;implausible_g_per_kg;large_value_high_factor;alt_unit_more_plausible,Converted concentration exceeds 1e+09 ng/g or ng/L; Converted concentration exceeds 1e+06 (review band); Raw value > 10 with g/kg unit (physically implausible); Raw value > 1000 combined with g/kg or mg/L scale factor (1e6); Another unit scale would place the converted value in the plausible range,"if mg/kg not g/kg, mean would be 20530000 ng/g dw; if µg/kg not g/kg, mean would be 20530 ng/g dw; if ng/g not g/kg, mean would be 20530 ng/g dw"
223,Data_on_Antibiotics_in_China__07_Sheet7.csv,"Li, D. et al. Determination and fate of oxytetracycline and related compounds in oxytetracycline production wastewater and the receiving river. Environmental Toxicology and Chemistry 27, 80-86, doi:10.1897/07-080.1 (2008).",https://doi.org/10.1897/07-080.1,Zhang 2022 supplementary dataset (Sheet7 record),Hebei,"Shijiazhuang, the Xiao River",sediment,sediment,2005,summer,_-apo-oxytetracycline,tetracyclines,g/kg dw,18433.33,23800,1000000,ng/g dw,18433330000,23800000000,extreme_converted;high_converted;implausible_g_per_kg;large_value_high_factor;alt_unit_more_plausible,Converted concentration exceeds 1e+09 ng/g or ng/L; Converted concentration exceeds 1e+06 (review band); Raw value > 10 with g/kg unit (physically implausible); Raw value > 1000 combined with g/kg or mg/L scale factor (1e6); Another unit scale would place the converted value in the plausible range,"if mg/kg not g/kg, mean would be 18430000 ng/g dw; if µg/kg not g/kg, mean would be 18430 ng/g dw; if ng/g not g/kg, mean would be 18430 ng/g dw"
223,Data_on_Antibiotics_in_China__07_Sheet7.csv,"Li, D. et al. Determination and fate of oxytetracycline and related compounds in oxytetracycline production wastewater and the receiving river. Environmental Toxicology and Chemistry 27, 80-86, doi:10.1897/07-080.1 (2008).",https://doi.org/10.1897/07-080.1,Zhang 2022 supplementary dataset (Sheet7 record),Hebei,"Shijiazhuang, the Xiao River",sediment,sediment,2005,spring,Epioxytetracycline,tetracyclines,g/kg dw,14286.67,19400,1000000,ng/g dw,14286670000,19400000000,extreme_converted;high_converted;implausible_g_per_kg;large_value_high_factor;alt_unit_more_plausible,Converted concentration exceeds 1e+09 ng/g or ng/L; Converted concentration exceeds 1e+06 (review band); Raw value > 10 with g/kg unit (physically implausible); Raw value > 1000 combined with g/kg or mg/L scale factor (1e6); Another unit scale would place the converted value in the plausible range,"if mg/kg not g/kg, mean would be 14290000 ng/g dw; if µg/kg not g/kg, mean would be 14290 ng/g dw; if ng/g not g/kg, mean would be 14290 ng/g dw"
223,Data_on_Antibiotics_in_China__07_Sheet7.csv,"Li, D. et al. Determination and fate of oxytetracycline and related compounds in oxytetracycline production wastewater and the receiving river. Environmental Toxicology and Chemistry 27, 80-86, doi:10.1897/07-080.1 (2008).",https://doi.org/10.1897/07-080.1,Zhang 2022 supplementary dataset (Sheet7 record),Hebei,"Shijiazhuang, the Xiao River",sediment,sediment,2004,winter,Epioxytetracycline,tetracyclines,g/kg dw,13160,16400,1000000,ng/g dw,13160000000,16400000000,extreme_converted;high_converted;implausible_g_per_kg;large_value_high_factor;alt_unit_more_plausible,Converted concentration exceeds 1e+09 ng/g or ng/L; Converted concentration exceeds 1e+06 (review band); Raw value > 10 with g/kg unit (physically implausible); Raw value > 1000 combined with g/kg or mg/L scale factor (1e6); Another unit scale would place the converted value in the plausible range,"if mg/kg not g/kg, mean would be 13160000 ng/g dw; if µg/kg not g/kg, mean would be 13160 ng/g dw; if ng/g not g/kg, mean would be 13160 ng/g dw"
