reference_number,source_dataset,full_reference_name,article_link,place_in_article_data_extracted_from,province,location,sample_type,matrix,sample_year,season,antibiotic,group_of_antibiotic,unit_raw,mean_raw,max_raw,conversion_factor,unit_converted,mean_converted,max_converted,flag_codes,flag_reasons,suggested_unit_note
31,Data_on_Antibiotics_in_China__07_Sheet7.csv,"Huang, Y.-H. et al. Occurrence and distribution of antibiotics and antibiotic resistant genes in water and sediments of urban rivers with black-odor water in Guangzhou, South China. Science of the Total Environment 670 (2019).",https://scholar.google.com/scholar?q=Occurrence+and+distribution+of+antibiotics+and+antibiotic+resistant+genes+in+water+and+sediments+of+urban+rivers+with+black-odor+water+in+Guangzhou%2C+S,Zhang 2022 supplementary dataset (Sheet7 record),Guangdong,"Guangzhou, Panyu district",sediment,sediment,NA,NA,Norfloxacin,tetracyclines,g/kg dw,255,NA,1000000,ng/g dw,255000000,NA,high_converted;implausible_g_per_kg;alt_unit_more_plausible,Converted concentration exceeds 1e+06 (review band); Raw value > 10 with g/kg unit (physically implausible); Another unit scale would place the converted value in the plausible range,"if mg/kg not g/kg, mean would be 255000 ng/g dw; if µg/kg not g/kg, mean would be 255 ng/g dw; if ng/g not g/kg, mean would be 255 ng/g dw"
198,Data_on_Antibiotics_in_China__07_Sheet7.csv,"Zhang, H., Liu, P., Feng, Y. & Yang, F. Fate of antibiotics during wastewater treatment and antibiotic distribution in the effluent-receiving waters of the Yellow Sea, northern China. Marine Pollution Bulletin 73, 282-290, doi:10.1016/j.marpolbul.2013.05.007 (2013).",https://doi.org/10.1016/j.marpolbul.2013.05.007,Zhang 2022 supplementary dataset (Sheet7 record),Liaoning,Dalian,municipal sludge,sludge,2012,spring,Norfloxacin,fluoroquinolones,g/kg dw,250.6,370,1000000,ng/g dw,250600000,370000000,high_converted;implausible_g_per_kg;alt_unit_more_plausible,Converted concentration exceeds 1e+06 (review band); Raw value > 10 with g/kg unit (physically implausible); Another unit scale would place the converted value in the plausible range,"if mg/kg not g/kg, mean would be 250600 ng/g dw; if µg/kg not g/kg, mean would be 250.6 ng/g dw; if ng/g not g/kg, mean would be 250.6 ng/g dw"
N314,Wu_2025.csv,"Tang, L., Feng, H., Luan, X., Han, Z., Yang, M., Zhang, Y., 2023. Occurrence, distribution, and behaviors of erythromycin A, production byproducts, transformation products, and resistance genes in a full-scale erythromycin A production wastewater treatment system. Water Research 245, 120640. https://doi.org/10.1016/j.watres.2023.120640",https://doi.org/10.1016/j.watres.2023.120640,Wu_2025.csv row 104; sample=Raw wastewater,Xinjiang,"Xinjiang Uygur Autonomous Region, China",municipal wastewater influent,wastewater influent,2023,NA,Erythromycin,macrolides,mg/L,248.65,336.4,1000000,ng/L,248650000,336400000,high_converted;alt_unit_more_plausible,Converted concentration exceeds 1e+05 (review band); Another unit scale would place the converted value in the plausible range,"if µg/L not mg/L, mean would be 248600 ng/L; if ng/L not mg/L, mean would be 248.6 ng/L"
31,Data_on_Antibiotics_in_China__07_Sheet7.csv,"Huang, Y.-H. et al. Occurrence and distribution of antibiotics and antibiotic resistant genes in water and sediments of urban rivers with black-odor water in Guangzhou, South China. Science of the Total Environment 670 (2019).",https://scholar.google.com/scholar?q=Occurrence+and+distribution+of+antibiotics+and+antibiotic+resistant+genes+in+water+and+sediments+of+urban+rivers+with+black-odor+water+in+Guangzhou%2C+S,Zhang 2022 supplementary dataset (Sheet7 record),Guangdong,"Guangzhou, Baiyun district",sediment,sediment,NA,NA,Oxytetracycline,tetracyclines,g/kg dw,248,NA,1000000,ng/g dw,248000000,NA,high_converted;implausible_g_per_kg;alt_unit_more_plausible,Converted concentration exceeds 1e+06 (review band); Raw value > 10 with g/kg unit (physically implausible); Another unit scale would place the converted value in the plausible range,"if mg/kg not g/kg, mean would be 248000 ng/g dw; if µg/kg not g/kg, mean would be 248 ng/g dw; if ng/g not g/kg, mean would be 248 ng/g dw"
124,Data_on_Antibiotics_in_China__07_Sheet7.csv,"Gao, Q. et al. Diverse and abundant antibiotic resistance genes from mariculture sites of China's coastline. Science of the Total Environment 630 (2018).",https://scholar.google.com/scholar?q=Diverse+and+abundant+antibiotic+resistance+genes+from+mariculture+sites+of+China%27s+coastline,Zhang 2022 supplementary dataset (Sheet7 record),Shandong,"Yantai, Penglai district",sediment,sediment,2015,autumn,Ciprofloxacin,fluoroquinolones,g/kg dw,243,255.58,1000000,ng/g dw,243000000,255580000,high_converted;implausible_g_per_kg;alt_unit_more_plausible,Converted concentration exceeds 1e+06 (review band); Raw value > 10 with g/kg unit (physically implausible); Another unit scale would place the converted value in the plausible range,"if mg/kg not g/kg, mean would be 243000 ng/g dw; if µg/kg not g/kg, mean would be 243 ng/g dw; if ng/g not g/kg, mean would be 243 ng/g dw"
155,Data_on_Antibiotics_in_China__07_Sheet7.csv,"Zhang, M. et al. Occurrence, fate and mass loadings of antibiotics in two swine wastewater treatment systems. Sci Total Environ 639, 1421-1431, doi:10.1016/j.scitotenv.2018.05.230 (2018).",https://doi.org/10.1016/j.scitotenv.2018.05.230,Zhang 2022 supplementary dataset (Sheet7 record),Guangdong,"Yunfu, Xinxing County",municipal sludge,sludge,2016,summer,Pefloxacin,fluoroquinolones,g/kg dw,242,NA,1000000,ng/g dw,242000000,NA,high_converted;implausible_g_per_kg;alt_unit_more_plausible,Converted concentration exceeds 1e+06 (review band); Raw value > 10 with g/kg unit (physically implausible); Another unit scale would place the converted value in the plausible range,"if mg/kg not g/kg, mean would be 242000 ng/g dw; if µg/kg not g/kg, mean would be 242 ng/g dw; if ng/g not g/kg, mean would be 242 ng/g dw"
N92,Wu_2025.csv,"Awad, M., Tian, Z., Gao, Y., Yang, M., Zhang, Y., 2018. Pretreatment of spiramycin fermentation residue using hyperthermophilic digestion: quick startup and performance. Water Science and Technology 78, 1823–1832. https://doi.org/10.2166/wst.2018.256",https://doi.org/10.2166/wst.2018.256,Wu_2025.csv row 35; sample=Raw residue,Jiangsu,"Wuxi, Jiangsu Province, China",municipal sludge,sludge,2018,NA,Spiramycin,macrolides,mg/L,240.9,250.02,1000000,ng/g,240900000,250020000,high_converted;alt_unit_more_plausible,Converted concentration exceeds 1e+06 (review band); Another unit scale would place the converted value in the plausible range,"if µg/L not mg/L, mean would be 240900 ng/g; if ng/L not mg/L, mean would be 240.9 ng/g"
192,Data_on_Antibiotics_in_China__07_Sheet7.csv,"Huang, X. et al. Occurrence and distribution of veterinary antibiotics and tetracycline resistance genes in farmland soils around swine feedlots in Fujian Province, China. Environmental Science and Pollution Research 20 (2013).",https://scholar.google.com/scholar?q=Occurrence+and+distribution+of+veterinary+antibiotics+and+tetracycline+resistance+genes+in+farmland+soils+around+swine+feedlots+in+Fujian+Province%2C+Ch,Zhang 2022 supplementary dataset (Sheet7 record),Fujian,Xiamen,soil,soil,2011,NA,Chlortetracycline,tetracyclines,g/kg dw,240,240,1000000,ng/g dw,240000000,240000000,high_converted;implausible_g_per_kg;alt_unit_more_plausible,Converted concentration exceeds 1e+06 (review band); Raw value > 10 with g/kg unit (physically implausible); Another unit scale would place the converted value in the plausible range,"if mg/kg not g/kg, mean would be 240000 ng/g dw; if µg/kg not g/kg, mean would be 240 ng/g dw; if ng/g not g/kg, mean would be 240 ng/g dw"
N412,Wu_2025.csv,"Zhang, Y., Tian, Z., Liu, M., Shi, Z.J., Hale, L., Zhou, J., Yang, M., 2015. High Concentrations of the Antibiotic Spiramycin in Wastewater Lead to High Abundance of Ammonia-Oxidizing Archaea in Nitrifying Populations. Environ. Sci. Technol. 49, 9124–9132. https://doi.org/10.1021/acs.est.5b01293",https://doi.org/10.1021/acs.est.5b01293,Wu_2025.csv row 132; sample=Influent,Jiangsu,"Wuxi, Jiangsu Province, China",municipal wastewater influent,wastewater influent,2015,NA,Spiramycin,macrolides,mg/L,239,239,1000000,ng/L,239000000,239000000,high_converted;alt_unit_more_plausible,Converted concentration exceeds 1e+05 (review band); Another unit scale would place the converted value in the plausible range,"if µg/L not mg/L, mean would be 239000 ng/L; if ng/L not mg/L, mean would be 239 ng/L"
206,Data_on_Antibiotics_in_China__07_Sheet7.csv,"Jiang, Y. et al. Distribution and ecological risk of antibiotics in a typical effluentreceiving river (Wangyang River) in north China. Chemosphere 112 (2014).",https://scholar.google.com/scholar?q=Distribution+and+ecological+risk+of+antibiotics+in+a+typical+effluent%EF%BF%BDreceiving+river+%28Wangyang+River%29+in+north+China,Zhang 2022 supplementary dataset (Sheet7 record),Hebei,"Shijiazhuang, Wangyang River",sediment,sediment,2013,summer,Roxithromycin,macrolides,g/kg dw,239,2581.8,1000000,ng/g dw,239000000,2581800000,extreme_converted;high_converted;implausible_g_per_kg;alt_unit_more_plausible,Converted concentration exceeds 1e+09 ng/g or ng/L; Converted concentration exceeds 1e+06 (review band); Raw value > 10 with g/kg unit (physically implausible); Another unit scale would place the converted value in the plausible range,"if mg/kg not g/kg, mean would be 239000 ng/g dw; if µg/kg not g/kg, mean would be 239 ng/g dw; if ng/g not g/kg, mean would be 239 ng/g dw"
200,Data_on_Antibiotics_in_China__07_Sheet7.csv,"Zhou, L.-J. et al. Excretion masses and environmental occurrence of antibiotics in typical swine and dairy cattle farms in China. Science of the Total Environment 444 (2013).",https://scholar.google.com/scholar?q=Excretion+masses+and+environmental+occurrence+of+antibiotics+in+typical+swine+and+dairy+cattle+farms+in+China,Zhang 2022 supplementary dataset (Sheet7 record),Guangxi,"Yulin, Bobai County",sediment,sediment,2010,winter,Ofloxacin,fluoroquinolones,g/kg dw,235,NA,1000000,ng/g dw,235000000,NA,high_converted;implausible_g_per_kg;alt_unit_more_plausible,Converted concentration exceeds 1e+06 (review band); Raw value > 10 with g/kg unit (physically implausible); Another unit scale would place the converted value in the plausible range,"if mg/kg not g/kg, mean would be 235000 ng/g dw; if µg/kg not g/kg, mean would be 235 ng/g dw; if ng/g not g/kg, mean would be 235 ng/g dw"
192,Data_on_Antibiotics_in_China__07_Sheet7.csv,"Huang, X. et al. Occurrence and distribution of veterinary antibiotics and tetracycline resistance genes in farmland soils around swine feedlots in Fujian Province, China. Environmental Science and Pollution Research 20 (2013).",https://scholar.google.com/scholar?q=Occurrence+and+distribution+of+veterinary+antibiotics+and+tetracycline+resistance+genes+in+farmland+soils+around+swine+feedlots+in+Fujian+Province%2C+Ch,Zhang 2022 supplementary dataset (Sheet7 record),Fujian,Putian,soil,soil,2011,NA,Enrofloxacin,fluoroquinolones,g/kg dw,235,235,1000000,ng/g dw,235000000,235000000,high_converted;implausible_g_per_kg;alt_unit_more_plausible,Converted concentration exceeds 1e+06 (review band); Raw value > 10 with g/kg unit (physically implausible); Another unit scale would place the converted value in the plausible range,"if mg/kg not g/kg, mean would be 235000 ng/g dw; if µg/kg not g/kg, mean would be 235 ng/g dw; if ng/g not g/kg, mean would be 235 ng/g dw"
33,Data_on_Antibiotics_in_China__07_Sheet7.csv,"Li, J., Dong, Y., Sun, Z. & Ding, H. in 16th International Symposium on Water-Rock Interaction Vol. 98 (eds O. Shoukar-Stach et al.) (EDP Sciences, Cedex A, 2019).",https://scholar.google.com/scholar?q=in+16th+International+Symposium+on+Water-Rock+Interaction+Vol,Zhang 2022 supplementary dataset (Sheet7 record),Shanxi,"Taiyuan, Xiaodian district",soil,soil,NA,NA,Enrofloxacin,fluoroquinolones,g/kg dw,234.978,NA,1000000,ng/g dw,234978000,NA,high_converted;implausible_g_per_kg;alt_unit_more_plausible,Converted concentration exceeds 1e+06 (review band); Raw value > 10 with g/kg unit (physically implausible); Another unit scale would place the converted value in the plausible range,"if mg/kg not g/kg, mean would be 235000 ng/g dw; if µg/kg not g/kg, mean would be 235 ng/g dw; if ng/g not g/kg, mean would be 235 ng/g dw"
8,Data_on_Antibiotics_in_China__07_Sheet7.csv,"Yang, J.-F. et al. Simultaneous determination of four classes of antibiotics in sediments of the Pearl Rivers using RRLCMS/MS. Science of the Total Environment 408 (2010).",https://scholar.google.com/scholar?q=Simultaneous+determination+of+four+classes+of+antibiotics+in+sediments+of+the+Pearl+Rivers+using+RRLC%EF%BF%BDMS%2FMS,Zhang 2022 supplementary dataset (Sheet7 record),Guangdong,the Pearl Rivers,sediment,sediment,2008,autumn,Ofloxacin,fluoroquinolones,g/kg dw,234.642857142857,NA,1000000,ng/g dw,234642857.142857,NA,high_converted;implausible_g_per_kg;alt_unit_more_plausible,Converted concentration exceeds 1e+06 (review band); Raw value > 10 with g/kg unit (physically implausible); Another unit scale would place the converted value in the plausible range,"if mg/kg not g/kg, mean would be 234600 ng/g dw; if µg/kg not g/kg, mean would be 234.6 ng/g dw; if ng/g not g/kg, mean would be 234.6 ng/g dw"
155,Data_on_Antibiotics_in_China__07_Sheet7.csv,"Zhang, M. et al. Occurrence, fate and mass loadings of antibiotics in two swine wastewater treatment systems. Sci Total Environ 639, 1421-1431, doi:10.1016/j.scitotenv.2018.05.230 (2018).",https://doi.org/10.1016/j.scitotenv.2018.05.230,Zhang 2022 supplementary dataset (Sheet7 record),Guangdong,"Yunfu, Xinxing County",municipal sludge,sludge,2016,autumn,Sulfamonomethoxine,sulfonamides,g/kg dw,233.5,NA,1000000,ng/g dw,233500000,NA,high_converted;implausible_g_per_kg;alt_unit_more_plausible,Converted concentration exceeds 1e+06 (review band); Raw value > 10 with g/kg unit (physically implausible); Another unit scale would place the converted value in the plausible range,"if mg/kg not g/kg, mean would be 233500 ng/g dw; if µg/kg not g/kg, mean would be 233.5 ng/g dw; if ng/g not g/kg, mean would be 233.5 ng/g dw"
167,Data_on_Antibiotics_in_China__07_Sheet7.csv,"Hu, X., He, K. & Zhou, Q. Occurrence, accumulation, attenuation and priority of typical antibiotics in sediments based on long-term field and modeling studies. Journal of Hazardous Materials 225-226 (2012).",https://scholar.google.com/scholar?q=Occurrence%2C+accumulation%2C+attenuation+and+priority+of+typical+antibiotics+in+sediments+based+on+long-term+field+and+modeling+studies,Zhang 2022 supplementary dataset (Sheet7 record),Tianjin,Dagu Drainage River,sediment,sediment,2011,spring,Acetylspiramycin,macrolides,g/kg dw,232.263157894737,NA,1000000,ng/g dw,232263157.894737,NA,high_converted;implausible_g_per_kg;alt_unit_more_plausible,Converted concentration exceeds 1e+06 (review band); Raw value > 10 with g/kg unit (physically implausible); Another unit scale would place the converted value in the plausible range,"if mg/kg not g/kg, mean would be 232300 ng/g dw; if µg/kg not g/kg, mean would be 232.3 ng/g dw; if ng/g not g/kg, mean would be 232.3 ng/g dw"
190,Data_on_Antibiotics_in_China__07_Sheet7.csv,"Zhou, L.-J. et al. Simultaneous determination of human and veterinary antibiotics in various environmental matrices by rapid resolution liquid chromatographyelectrospray ionization tandem mass spectrometry. Journal of Chromatography A 1244 (2012).",https://scholar.google.com/scholar?q=Simultaneous+determination+of+human+and+veterinary+antibiotics+in+various+environmental+matrices+by+rapid+resolution+liquid+chromatography%EF%BF%BDelectrospra,Zhang 2022 supplementary dataset (Sheet7 record),Guangdong,"Huizhou, Huiyang district, Huiyang wastewater treatment plants",municipal sludge,sludge,2010,autumn,Doxycycline,tetracyclines,g/kg dw,232,NA,1000000,ng/g dw,232000000,NA,high_converted;implausible_g_per_kg;alt_unit_more_plausible,Converted concentration exceeds 1e+06 (review band); Raw value > 10 with g/kg unit (physically implausible); Another unit scale would place the converted value in the plausible range,"if mg/kg not g/kg, mean would be 232000 ng/g dw; if µg/kg not g/kg, mean would be 232 ng/g dw; if ng/g not g/kg, mean would be 232 ng/g dw"
218,Data_on_Antibiotics_in_China__07_Sheet7.csv,"Yuan, X., Qiang, Z., Ben, W., Zhu, B. & Liu, J. Rapid detection of multiple class pharmaceuticals in both municipal wastewater and sludge with ultra high performance liquid chromatography tandem mass spectrometry. Journal of Environmental Sciences 26, 1949-1959, doi:10.1016/j.jes.2014.06.022 (2014).",https://doi.org/10.1016/j.jes.2014.06.022,Zhang 2022 supplementary dataset (Sheet7 record),Beijing,Beijing,municipal sludge,sludge,NA,NA,Ciprofloxacin,fluoroquinolones,g/kg dw,230.93,NA,1000000,ng/g dw,230930000,NA,high_converted;implausible_g_per_kg;alt_unit_more_plausible,Converted concentration exceeds 1e+06 (review band); Raw value > 10 with g/kg unit (physically implausible); Another unit scale would place the converted value in the plausible range,"if mg/kg not g/kg, mean would be 230900 ng/g dw; if µg/kg not g/kg, mean would be 230.9 ng/g dw; if ng/g not g/kg, mean would be 230.9 ng/g dw"
144,Data_on_Antibiotics_in_China__07_Sheet7.csv,"Lin, H. et al. Mass loading and emission of thirty-seven pharmaceuticals in a typical municipal wastewater treatment plant in Hunan Province, Southern China. Ecotoxicology and Environmental Safety 147, 530-536, doi:10.1016/j.ecoenv.2017.08.052 (2018).",https://doi.org/10.1016/j.ecoenv.2017.08.052,Zhang 2022 supplementary dataset (Sheet7 record),Hunan,Changsha,municipal sludge,sludge,2017,spring,Tetracycline,tetracyclines,g/kg dw,230,480,1000000,ng/g dw,230000000,480000000,high_converted;implausible_g_per_kg;alt_unit_more_plausible,Converted concentration exceeds 1e+06 (review band); Raw value > 10 with g/kg unit (physically implausible); Another unit scale would place the converted value in the plausible range,"if mg/kg not g/kg, mean would be 230000 ng/g dw; if µg/kg not g/kg, mean would be 230 ng/g dw; if ng/g not g/kg, mean would be 230 ng/g dw"
76,Data_on_Antibiotics_in_China__07_Sheet7.csv,"Zhang, G. et al. Occurrence of antibiotics and antibiotic resistance genes and their correlations in lower Yangtze River, China. Environmental Pollution 257 (2020).",https://scholar.google.com/scholar?q=Occurrence+of+antibiotics+and+antibiotic+resistance+genes+and+their+correlations+in+lower+Yangtze+River%2C+China,Zhang 2022 supplementary dataset (Sheet7 record),Jiangsu,Yangtze River (Jiangsu section),sediment,sediment,2018,autumn,Trimethoprim,sulfonamides,g/kg dw,230,990,1000000,ng/g dw,230000000,990000000,high_converted;implausible_g_per_kg;alt_unit_more_plausible,Converted concentration exceeds 1e+06 (review band); Raw value > 10 with g/kg unit (physically implausible); Another unit scale would place the converted value in the plausible range,"if mg/kg not g/kg, mean would be 230000 ng/g dw; if µg/kg not g/kg, mean would be 230 ng/g dw; if ng/g not g/kg, mean would be 230 ng/g dw"
183,Data_on_Antibiotics_in_China__07_Sheet7.csv,"Gao, L., Shi, Y., Li, W., Liu, J. & Cai, Y. Occurrence, distribution and bioaccumulation of antibiotics in the Haihe River in China. Journal of environmental monitoring : JEM 14 (2012).",https://scholar.google.com/scholar?q=Occurrence%2C+distribution+and+bioaccumulation+of+antibiotics+in+the+Haihe+River+in+China,Zhang 2022 supplementary dataset (Sheet7 record),Tianjin,the tributaries of Haihe River,sediment,sediment,2010,autumn,Lomefloxacin,fluoroquinolones,g/kg dw,230,NA,1000000,ng/g dw,230000000,NA,high_converted;implausible_g_per_kg;alt_unit_more_plausible,Converted concentration exceeds 1e+06 (review band); Raw value > 10 with g/kg unit (physically implausible); Another unit scale would place the converted value in the plausible range,"if mg/kg not g/kg, mean would be 230000 ng/g dw; if µg/kg not g/kg, mean would be 230 ng/g dw; if ng/g not g/kg, mean would be 230 ng/g dw"
211,Data_on_Antibiotics_in_China__07_Sheet7.csv,"Shi, H. et al. Occurrence and distribution of antibiotics in the surface sediments of the Yangtze Estuary and nearby coastal areas. Mar Pollut Bull 83, 317-323, doi:10.1016/j.marpolbul.2014.04.034 (2014).",https://doi.org/10.1016/j.marpolbul.2014.04.034,Zhang 2022 supplementary dataset (Sheet7 record),Shanghai,the Yangtze Estuary,sediment,sediment,2012,winter,Ofloxacin,fluoroquinolones,g/kg dw,229.1,458.2,1000000,ng/g dw,229100000,458200000,high_converted;implausible_g_per_kg;alt_unit_more_plausible,Converted concentration exceeds 1e+06 (review band); Raw value > 10 with g/kg unit (physically implausible); Another unit scale would place the converted value in the plausible range,"if mg/kg not g/kg, mean would be 229100 ng/g dw; if µg/kg not g/kg, mean would be 229.1 ng/g dw; if ng/g not g/kg, mean would be 229.1 ng/g dw"
51,Data_on_Antibiotics_in_China__07_Sheet7.csv,"Gao, Q. et al. Environmental antibiotics drives the genetic functions of resistome dynamics. Environ Int 135, 105398, doi:10.1016/j.envint.2019.105398 (2020).",https://doi.org/10.1016/j.envint.2019.105398,Zhang 2022 supplementary dataset (Sheet7 record),Beijing,Beijing,soil,soil,2015,spring,Tetracycline,tetracyclines,g/kg dw,229.055,NA,1000000,ng/g dw,229055000,NA,high_converted;implausible_g_per_kg;alt_unit_more_plausible,Converted concentration exceeds 1e+06 (review band); Raw value > 10 with g/kg unit (physically implausible); Another unit scale would place the converted value in the plausible range,"if mg/kg not g/kg, mean would be 229100 ng/g dw; if µg/kg not g/kg, mean would be 229.1 ng/g dw; if ng/g not g/kg, mean would be 229.1 ng/g dw"
1,Data_on_Antibiotics_in_China__07_Sheet7.csv,"Xu, W. et al. Occurrence and elimination of antibiotics at four sewage treatment plants in the Pearl River Delta (PRD), South China. Water Research 41 (2007).",https://scholar.google.com/scholar?q=Occurrence+and+elimination+of+antibiotics+at+four+sewage+treatment+plants+in+the+Pearl+River+Delta+%28PRD%29%2C+South+China,Zhang 2022 supplementary dataset (Sheet7 record),Guangdong,"Guangzhou, Huangpu district, Kaifaqu",municipal sludge,sludge,2005,autumn,Ofloxacin,fluoroquinolones,g/kg dw,227,NA,1000000,ng/g dw,227000000,NA,high_converted;implausible_g_per_kg;alt_unit_more_plausible,Converted concentration exceeds 1e+06 (review band); Raw value > 10 with g/kg unit (physically implausible); Another unit scale would place the converted value in the plausible range,"if mg/kg not g/kg, mean would be 227000 ng/g dw; if µg/kg not g/kg, mean would be 227 ng/g dw; if ng/g not g/kg, mean would be 227 ng/g dw"
216,Data_on_Antibiotics_in_China__07_Sheet7.csv,"Yan, Q. et al. Fate of pharmaceutically active compounds in a municipalwastewater treatment plantand risk assessment. China Environmental Science 34, 672-680 (2014).",https://scholar.google.com/scholar?q=Fate+of+pharmaceutically+active+compounds+in+a+municipalwastewater+treatment+plantand+risk+assessment,Zhang 2022 supplementary dataset (Sheet7 record),Chongqing,"Chongqing, Jiangbei district",municipal sludge,sludge,2012,autumn,Azithromycin,macrolides,g/kg dw,224.21,NA,1000000,ng/g dw,224210000,NA,high_converted;implausible_g_per_kg;alt_unit_more_plausible,Converted concentration exceeds 1e+06 (review band); Raw value > 10 with g/kg unit (physically implausible); Another unit scale would place the converted value in the plausible range,"if mg/kg not g/kg, mean would be 224200 ng/g dw; if µg/kg not g/kg, mean would be 224.2 ng/g dw; if ng/g not g/kg, mean would be 224.2 ng/g dw"
181,Data_on_Antibiotics_in_China__07_Sheet7.csv,"Jia, A., Wan, Y., Xiao, Y. & Hu, J. Occurrence and fate of quinolone and fluoroquinolone antibiotics in a municipal sewage treatment plant. Water Res 46, 387-394, doi:10.1016/j.watres.2011.10.055 (2012).",https://doi.org/10.1016/j.watres.2011.10.055,Zhang 2022 supplementary dataset (Sheet7 record),Beijing,"Beijing, Haidian district, Qinghe sewage treatment plant",municipal sludge,sludge,2008,summer,Pipemidic acid,fluoroquinolones,g/kg dw,222.5,NA,1000000,ng/g dw,222500000,NA,high_converted;implausible_g_per_kg;alt_unit_more_plausible,Converted concentration exceeds 1e+06 (review band); Raw value > 10 with g/kg unit (physically implausible); Another unit scale would place the converted value in the plausible range,"if mg/kg not g/kg, mean would be 222500 ng/g dw; if µg/kg not g/kg, mean would be 222.5 ng/g dw; if ng/g not g/kg, mean would be 222.5 ng/g dw"
155,Data_on_Antibiotics_in_China__07_Sheet7.csv,"Zhang, M. et al. Occurrence, fate and mass loadings of antibiotics in two swine wastewater treatment systems. Sci Total Environ 639, 1421-1431, doi:10.1016/j.scitotenv.2018.05.230 (2018).",https://doi.org/10.1016/j.scitotenv.2018.05.230,Zhang 2022 supplementary dataset (Sheet7 record),Guangdong,"Yunfu, Xinxing County",municipal sludge,sludge,2016,autumn,Pefloxacin,fluoroquinolones,g/kg dw,222.5,NA,1000000,ng/g dw,222500000,NA,high_converted;implausible_g_per_kg;alt_unit_more_plausible,Converted concentration exceeds 1e+06 (review band); Raw value > 10 with g/kg unit (physically implausible); Another unit scale would place the converted value in the plausible range,"if mg/kg not g/kg, mean would be 222500 ng/g dw; if µg/kg not g/kg, mean would be 222.5 ng/g dw; if ng/g not g/kg, mean would be 222.5 ng/g dw"
23,Data_on_Antibiotics_in_China__07_Sheet7.csv,"Yi, L. et al. Occurrence and transport of tetracycline, sulfonamide, quinolone, and macrolide antibiotics in the Haihe River Basin, China. Environmental science & technology 45 (2011).",https://scholar.google.com/scholar?q=Occurrence+and+transport+of+tetracycline%2C+sulfonamide%2C+quinolone%2C+and+macrolide+antibiotics+in+the+Haihe+River+Basin%2C+China,Zhang 2022 supplementary dataset (Sheet7 record),Tianjin,the Haihe River basin,sediment,sediment,2009,winter,Oxytetracycline,tetracyclines,g/kg dw,220.814814814815,NA,1000000,ng/g dw,220814814.814815,NA,high_converted;implausible_g_per_kg;alt_unit_more_plausible,Converted concentration exceeds 1e+06 (review band); Raw value > 10 with g/kg unit (physically implausible); Another unit scale would place the converted value in the plausible range,"if mg/kg not g/kg, mean would be 220800 ng/g dw; if µg/kg not g/kg, mean would be 220.8 ng/g dw; if ng/g not g/kg, mean would be 220.8 ng/g dw"
35,Data_on_Antibiotics_in_China__07_Sheet7.csv,"Lyu, K. et al. Determination of 14 antibiotics in water and sediment by SPE-RRLC-MS/MS. Huanjing Huaxue-Environmental Chemistry 38, 2415-2424, doi:10.7524/j.issn.0254-6108.2018122904 (2019).",https://doi.org/10.7524/j.issn.0254-6108.2018122904,Zhang 2022 supplementary dataset (Sheet7 record),Anhui,"Hefei, Luyang district, Suzhou Road",sediment,sediment,2018,spring,Ofloxacin,fluoroquinolones,g/kg dw,219,NA,1000000,ng/g dw,219000000,NA,high_converted;implausible_g_per_kg;alt_unit_more_plausible,Converted concentration exceeds 1e+06 (review band); Raw value > 10 with g/kg unit (physically implausible); Another unit scale would place the converted value in the plausible range,"if mg/kg not g/kg, mean would be 219000 ng/g dw; if µg/kg not g/kg, mean would be 219 ng/g dw; if ng/g not g/kg, mean would be 219 ng/g dw"
167,Data_on_Antibiotics_in_China__07_Sheet7.csv,"Hu, X., He, K. & Zhou, Q. Occurrence, accumulation, attenuation and priority of typical antibiotics in sediments based on long-term field and modeling studies. Journal of Hazardous Materials 225-226 (2012).",https://scholar.google.com/scholar?q=Occurrence%2C+accumulation%2C+attenuation+and+priority+of+typical+antibiotics+in+sediments+based+on+long-term+field+and+modeling+studies,Zhang 2022 supplementary dataset (Sheet7 record),Tianjin,Dagu Drainage River,sediment,sediment,2010,spring,Roxithromycin,macrolides,g/kg dw,217.684210526316,NA,1000000,ng/g dw,217684210.52631602,NA,high_converted;implausible_g_per_kg;alt_unit_more_plausible,Converted concentration exceeds 1e+06 (review band); Raw value > 10 with g/kg unit (physically implausible); Another unit scale would place the converted value in the plausible range,"if mg/kg not g/kg, mean would be 217700 ng/g dw; if µg/kg not g/kg, mean would be 217.7 ng/g dw; if ng/g not g/kg, mean would be 217.7 ng/g dw"
N412,Wu_2025.csv,"Zhang, Y., Tian, Z., Liu, M., Shi, Z.J., Hale, L., Zhou, J., Yang, M., 2015. High Concentrations of the Antibiotic Spiramycin in Wastewater Lead to High Abundance of Ammonia-Oxidizing Archaea in Nitrifying Populations. Environ. Sci. Technol. 49, 9124–9132. https://doi.org/10.1021/acs.est.5b01293",https://doi.org/10.1021/acs.est.5b01293,Wu_2025.csv row 133; sample=Anoxic reactor effluent,Jiangsu,"Wuxi, Jiangsu Province, China",municipal wastewater effluent,wastewater effluent,2015,NA,Spiramycin,macrolides,mg/L,216,216,1000000,ng/L,216000000,216000000,high_converted;alt_unit_more_plausible,Converted concentration exceeds 1e+05 (review band); Another unit scale would place the converted value in the plausible range,"if µg/L not mg/L, mean would be 216000 ng/L; if ng/L not mg/L, mean would be 216 ng/L"
