cluster_id,cluster_name,matrix,env_class,n_provinces,env_records_total,median_env_burden_log,dominant_endpoint_from_pathway_screen,top_pathway_score,top_pathway_class,sparse_or_too_little_data
2,Urban-industrial wastewater core,sediment,lincosamides,3,8,0.4742162640762552,,NA,Too sparse,TRUE
2,Urban-industrial wastewater core,sediment,macrolides,6,163,0.5632358624026936,,NA,Too sparse,FALSE
2,Urban-industrial wastewater core,sediment,phenicols,2,15,0.5671697907187874,,NA,Too sparse,TRUE
2,Urban-industrial wastewater core,sediment,sulfonamides,6,459,0.2568684221436257,,NA,Too sparse,FALSE
2,Urban-industrial wastewater core,sediment,tetracyclines,6,234,1.0566635798208894,,NA,Too sparse,FALSE
2,Urban-industrial wastewater core,sludge,diaminopyrimidines,5,7,1.2787536009528289,,NA,Too sparse,TRUE
2,Urban-industrial wastewater core,sludge,fluoroquinolones,5,50,2.218194027092984,,NA,Too sparse,FALSE
2,Urban-industrial wastewater core,sludge,lincosamides,1,3,3.052886235256382,,NA,Too sparse,TRUE
2,Urban-industrial wastewater core,sludge,macrolides,5,21,1.0952358852866726,,NA,Too sparse,FALSE
2,Urban-industrial wastewater core,sludge,phenicols,1,1,1.8260748027008264,,NA,Too sparse,TRUE
2,Urban-industrial wastewater core,sludge,sulfonamides,5,52,0.7434276776384717,,NA,Too sparse,FALSE
2,Urban-industrial wastewater core,sludge,tetracyclines,5,31,1.4653828514484184,,NA,Too sparse,FALSE
2,Urban-industrial wastewater core,soil,beta-lactams,1,3,0.7275412570285564,,NA,Too sparse,TRUE
2,Urban-industrial wastewater core,soil,diaminopyrimidines,2,2,1.2106174852609892,,NA,Too sparse,TRUE
2,Urban-industrial wastewater core,soil,fluoroquinolones,6,44,1.1265215792148033,,NA,Too sparse,FALSE
2,Urban-industrial wastewater core,soil,lincosamides,1,1,0.07918124604762482,,NA,Too sparse,TRUE
2,Urban-industrial wastewater core,soil,macrolides,6,19,0.48527594493234244,,NA,Too sparse,FALSE
2,Urban-industrial wastewater core,soil,other,3,3,0.7973082833122795,,NA,Too sparse,TRUE
2,Urban-industrial wastewater core,soil,phenicols,2,7,0.49418707539924733,,NA,Too sparse,TRUE
2,Urban-industrial wastewater core,soil,sulfonamides,6,46,0.3546349804879154,,NA,Too sparse,FALSE
2,Urban-industrial wastewater core,soil,tetracyclines,6,46,1.3562476613895766,,NA,Too sparse,FALSE
2,Urban-industrial wastewater core,surface water,fluoroquinolones,1,10,2.1747265764485855,,NA,Too sparse,TRUE
2,Urban-industrial wastewater core,surface water,macrolides,1,1,2.4216039268698313,,NA,Too sparse,TRUE
2,Urban-industrial wastewater core,surface water,sulfonamides,1,1,2.3404441148401185,,NA,Too sparse,TRUE
2,Urban-industrial wastewater core,wastewater effluent,fluoroquinolones,3,4,2.4055171069763763,,NA,Too sparse,TRUE
2,Urban-industrial wastewater core,wastewater effluent,lincosamides,2,3,1.7388321625623178,,NA,Too sparse,TRUE
2,Urban-industrial wastewater core,wastewater effluent,macrolides,2,5,1.0535242720655882,,NA,Too sparse,TRUE
2,Urban-industrial wastewater core,wastewater effluent,tetracyclines,1,2,1.3837342227970126,,NA,Too sparse,TRUE
2,Urban-industrial wastewater core,wastewater influent,diaminopyrimidines,1,1,2.3710678622717363,,NA,Too sparse,TRUE
2,Urban-industrial wastewater core,wastewater influent,fluoroquinolones,4,27,2.7603494289866153,,NA,Too sparse,TRUE
2,Urban-industrial wastewater core,wastewater influent,macrolides,1,8,2.03621958305109,,NA,Too sparse,TRUE
2,Urban-industrial wastewater core,wastewater influent,sulfonamides,3,18,2.1540321568037015,,NA,Too sparse,TRUE
2,Urban-industrial wastewater core,wastewater influent,tetracyclines,1,24,1.683182673171693,,NA,Too sparse,TRUE
3,Inland surveillance-gap belt,sediment,beta-lactams,2,2,1.1605298146033403,,NA,Too sparse,TRUE
3,Inland surveillance-gap belt,sediment,diaminopyrimidines,2,6,1.0833756909778902,,NA,Too sparse,TRUE
3,Inland surveillance-gap belt,sediment,fluoroquinolones,6,51,1.2638664926246015,,NA,Too sparse,FALSE
3,Inland surveillance-gap belt,sediment,lincosamides,2,2,0.14320016335371197,,NA,Too sparse,TRUE
3,Inland surveillance-gap belt,sediment,macrolides,6,24,0.9539205712914723,,NA,Too sparse,FALSE
