year,province,bacteria_species,antibiotic,drug_code,total_n_strains,resistant_percent,resistant_n_strains,intermediate_percent,intermediate_n_strains,sensitive_percent,sensitive_n_strains
2019,National,S. aureus,Linezolid,LNZ,327168,0,0,0,0,100,327168
2019,National,S. aureus,Vancomycin,VAN,328921,0,0,0,0,100,328921
2019,National,S. aureus,Teicoplanin,TEC,121039,0,0,0,0,100,121039
2019,National,S. aureus,Nitrofurantoin,NIT,119883,0.5088294390588999,610,0.47546359710395336,570,99.01570677757265,118703
2019,National,S. aureus,Rifampicin,RIF,321912,3.232560306787491,10406,1.9390393048524857,6242,94.82840299606325,305264
2019,National,S. aureus,Amikacin,AMK,53202,3.4096460789442062,1814,2.8438780456781387,1513,93.74647736549376,49875
2019,National,S. aureus,Chloramphenicol,CHL,33190,6.974992156028748,2315,1.6721904277801514,555,91.35281443595886,30320
2019,National,S. aureus,Trimethoprim/Sulfamethoxazole,SXT,320785,13.643406331539154,43766,0.06951696705073118,223,86.28707528114319,276796
2019,National,S. aureus,Gentamicin,GEN,329595,12.4276764690876,40961,2.257922664284706,7442,85.31439900398254,281192
2019,National,S. aureus,Levofloxacin,LVX,292640,14.54346626996994,42560,1.0979359969496727,3213,84.35859680175781,246867
2019,National,S. aureus,Ciprofloxacin,CIP,246529,14.722812175750732,36296,3.796713426709175,9360,81.480473279953,200873
2019,National,S. aureus,Tetracycline,TCY,263015,23.519571125507355,61860,1.2470771558582785,3280,75.23335218429565,197875
2019,National,S. aureus,Oxacillin,OXA,315300,29.213130474090576,92109,0,0,70.78686952590942,223191
2019,National,S. aureus,Cefoxitin,FOX,89495,29.81730699539185,26685,0,0,70.18269300460815,62810
2019,National,S. aureus,Clindamycin,CLI,315061,34.773266315460205,109557,1.2353163212537766,3892,63.99141550064087,201612
2019,National,S. aureus,Erythromycin,ERY,331297,59.91602540016174,198500,1.451265811920166,4808,38.63270580768585,127989
2019,National,S. aureus,Penicillin G,PEN,320194,92.4711287021637,296087,0,0,7.528872787952423,24107
2019,National,E. coli,Tigecycline,TGC,199491,0.14286359073594213,285,0.7895093411207199,1575,99.06762838363647,197631
2019,National,E. coli,Ertapenem,ETP,370562,1.1196507140994072,4149,0.21723760291934013,805,98.66310954093932,365608
2019,National,E. coli,Meropenem,MEM,412903,1.4230945147573948,5876,0.24703138042241335,1020,98.32987189292908,406007
2019,National,E. coli,Imipenem,IPM,685518,1.4483937993645668,9929,0.4131182562559843,2832,98.13848733901978,672757
2019,National,E. coli,Amikacin,AMK,690663,2.232058160007,15416,0.5277537740767002,3645,97.24018573760986,671602
2019,National,E. coli,Cefotetan,CTT,256119,2.7522362768650055,7049,0.9612719528377056,2462,96.28649353981018,246608
2019,National,E. coli,Piperacillin/Tazobactam,TZP,687268,3.802446648478508,26133,3.1324025243520737,21528,93.06514859199524,639607
2019,National,E. coli,Nitrofurantoin,NIT,218916,3.3355258405208588,7302,8.498693257570267,18605,88.16577792167664,193009
2019,National,E. coli,Cefoperazone/Sulbactam,CSL,355179,5.171477049589157,18368,8.38281512260437,29774,86.44570708274841,307037
2019,National,E. coli,Cefoxitin,FOX,287846,12.10126280784607,34833,6.168576329946518,17756,81.73016309738159,235257
2019,National,E. coli,Ceftazidime,CAZ,644364,23.641295731067657,152336,4.898473620414734,31564,71.46022915840149,460464
2019,National,E. coli,Chloramphenicol,CHL,98118,24.30950552225113,23852,4.7830164432525635,4693,70.90747952461243,69573
2019,National,E. coli,Cefepime,FEP,673206,23.744292557239532,159848,8.717242628335953,58685,67.53846406936646,454673
2019,National,E. coli,Amoxicillin/Clavulanic acid,AMC,250538,13.596341013908386,34064,21.320916712284088,53417,65.0827407836914,163057
2019,National,E. coli,Aztreonam,ATM,522065,33.89731049537659,176966,2.542978338897228,13276,63.55971097946167,331823
2019,National,E. coli,Tobramycin,TOB,386979,14.002826809883118,54188,23.560450971126556,91174,62.436723709106445,241617
2019,National,E. coli,Gentamicin,GEN,595686,37.34870254993439,222481,1.276175677776337,7602,61.375123262405396,365603
2019,National,E. coli,Ticarcillin/Clavulanic acid,TCC,67271,15.772026777267456,10610,26.446759700775143,17791,57.7812135219574,38870
2019,National,E. coli,Levofloxacin,LVX,681462,48.04669916629791,327420,3.234810009598732,22044,48.718491196632385,331998
2019,National,E. coli,Ceftriaxone,CRO,572374,51.66604518890381,295723,0.3861111821606755,2210,47.94784486293793,274441
2019,National,E. coli,Cefotaxime,CTX,197952,51.25636458396912,101463,1.113401260226965,2204,47.63023257255554,94285
2019,National,E. coli,Ciprofloxacin,CIP,569680,51.21611952781677,291768,2.346405014395714,13367,46.43747508525848,264545
2019,National,E. coli,Trimethoprim/Sulfamethoxazole,SXT,666584,53.966039419174194,359729,0.07650948828086257,510,45.957449078559875,306345
2019,National,E. coli,Cefuroxime,CXM,408425,53.067028522491455,216739,3.166799247264862,12934,43.7661737203598,178752
2019,National,E. coli,Ampicillin/Sulbactam,SAM,485816,42.11162328720093,204585,23.51260632276535,114228,34.37577188014984,167003
2019,National,E. coli,Cefazolin,CZO,178426,65.31839370727539,116545,12.39505484700203,22116,22.28655070066452,39765
2019,National,E. coli,Ampicillin,AMP,579956,83.58771800994873,484772,1.618915982544422,9389,14.793363213539124,85795
2019,National,K. pneumoniae,Ertapenem,ETP,236823,7.594701647758484,17986,0.27446658350527287,650,92.13083386421204,218187
2019,National,K. pneumoniae,Amikacin,AMK,488711,7.9623743891716,38913,0.2283558249473572,1116,91.8092668056488,448682
2019,National,K. pneumoniae,Tigecycline,TGC,140395,2.3953843861818314,3363,6.129135563969612,8605,91.47548079490662,128427
2019,National,K. pneumoniae,Cefotetan,CTT,175631,10.37914752960205,18229,0.8221782743930817,1444,88.79867196083069,155958
2019,National,K. pneumoniae,Meropenem,MEM,299103,10.879863798618317,32542,0.4389792215079069,1313,88.68115544319153,265248
2019,National,K. pneumoniae,Imipenem,IPM,484892,10.467073321342468,50754,1.060648541897535,5143,88.47227692604065,428995
2019,National,K. pneumoniae,Piperacillin/Tazobactam,TZP,490307,13.7083500623703,67213,3.4145954996347427,16742,82.87705183029175,406352
2019,National,K. pneumoniae,Cefoperazone/Sulbactam,CSL,248696,14.357288181781769,35706,5.328593775629997,13252,80.3141176700592,199738
2019,National,K. pneumoniae,Gentamicin,GEN,418320,19.81019377708435,82870,0.9382769465446472,3925,79.25152778625488,331525
2019,National,K. pneumoniae,Cefoxitin,FOX,212107,18.28322559595108,38780,2.558142878115177,5426,79.15863394737244,167901
2019,National,K. pneumoniae,Levofloxacin,LVX,487578,19.01295781135559,92703,2.4732453748583794,12059,78.5137951374054,382816
2019,National,K. pneumoniae,Tobramycin,TOB,273240,13.312838971614838,36376,9.506294876337051,25975,77.18086838722229,210889
2019,National,K. pneumoniae,Cefepime,FEP,479434,20.588861405849457,98710,3.3120304346084595,15879,76.0991096496582,364845
2019,National,K. pneumoniae,Ceftazidime,CAZ,454220,21.748051047325134,98784,2.462022751569748,11183,75.7899284362793,344253
2019,National,K. pneumoniae,Ciprofloxacin,CIP,404211,22.44125008583069,90710,2.9652830213308334,11986,74.59346652030945,301515
2019,National,K. pneumoniae,Aztreonam,ATM,362084,25.895923376083378,93765,0.9663503617048264,3499,73.13772439956665,264820
2019,National,K. pneumoniae,Trimethoprim/Sulfamethoxazole,SXT,471776,28.75199317932129,135645,0.16257715178653598,767,71.08542919158936,335364
2019,National,K. pneumoniae,Chloramphenicol,CHL,86612,25.33367276191711,21942,4.104512184858322,3555,70.5618143081665,61115
2019,National,K. pneumoniae,Ticarcillin/Clavulanic acid,TCC,60795,22.84891903400421,13891,8.367464691400528,5087,68.78361701965332,41817
2019,National,K. pneumoniae,Amoxicillin/Clavulanic acid,AMC,174373,21.113933622837067,36817,10.558973997831345,18412,68.32709312438965,119144
2019,National,K. pneumoniae,Ceftriaxone,CRO,403480,31.53415322303772,127234,0.37994447629898787,1533,68.08590292930603,274713
2019,National,K. pneumoniae,Cefotaxime,CTX,136588,31.631621718406677,43205,1.7014671117067337,2324,66.66691303253174,91059
2019,National,K. pneumoniae,Cefuroxime,CXM,290536,33.500152826309204,97330,2.6151664555072784,7598,63.88468146324158,185608
2019,National,K. pneumoniae,Ampicillin/Sulbactam,SAM,335443,33.40806066989899,112065,6.3217893242836,21206,60.270148515701294,202172
2019,National,K. pneumoniae,Cefazolin,CZO,196515,37.87853419780731,74437,14.001475274562836,27515,48.11999201774597,94563
2019,National,K. pneumoniae,Nitrofurantoin,NIT,133017,27.93251872062683,37155,41.62249863147736,55365,30.444979667663578,40497
2019,National,K. pneumoniae,Ampicillin,AMP,267258,90.70598483085632,242419,7.8897543251514435,21086,1.4042610302567482,3753
2019,National,P. aeruginosa,Polymyxin B,POL,46769,1.2807629071176052,599,0.5516474600881338,258,98.1675922870636,45912
2019,National,P. aeruginosa,Amikacin,AMK,290807,4.4479671865701675,12935,1.5783663839101791,4590,93.97366642951964,273282
2019,National,P. aeruginosa,Tobramycin,TOB,225191,7.208547741174698,16233,1.1692296713590622,2633,91.62222146987916,206325
2019,National,P. aeruginosa,Gentamicin,GEN,229054,9.30086374282837,21304,4.34744656085968,9958,86.35169267654419,197792
2019,National,P. aeruginosa,Cefepime,FEP,294061,10.74266880750656,31590,7.524969428777695,22128,81.7323625087738,240343
2019,National,P. aeruginosa,Ciprofloxacin,CIP,282722,13.368962705135344,37797,5.272316932678223,14906,81.35871887207031,230019
2019,National,P. aeruginosa,Meropenem,MEM,234473,15.092143416404724,35387,3.793187439441681,8894,81.11466765403748,190192
2019,National,P. aeruginosa,Ceftazidime,CAZ,280748,13.734380900859833,38559,5.95017597079277,16705,80.31544089317322,225484
2019,National,P. aeruginosa,Levofloxacin,LVX,285984,14.023861289024351,40106,6.760867685079575,19335,79.21527028083801,226543
2019,National,P. aeruginosa,Piperacillin/Tazobactam,TZP,284099,10.583282262086868,30067,11.406587064266205,32406,78.01012992858887,221626
2019,National,P. aeruginosa,Cefoperazone/Sulbactam,CSL,152015,11.562016606330872,17576,11.487024277448654,17462,76.95096135139465,116977
2019,National,P. aeruginosa,Imipenem,IPM,288525,18.19530427455902,52498,6.48193433880806,18702,75.32276511192322,217325
2019,National,P. aeruginosa,Piperacillin,PIP,161117,15.87417870759964,25576,11.304207146167755,18213,72.82161116600037,117328
2019,National,P. aeruginosa,Aztreonam,ATM,173230,20.66039443016052,35790,16.93124771118164,29330,62.40835785865784,108110
2019,National,A. baumannii,Polymyxin B,POL,31163,2.005583606660366,625,0,0,97.99441695213318,30538
2019,National,A. baumannii,Tigecycline,TGC,95990,3.1617876142263412,3035,12.388790398836136,11892,84.44942235946655,81063
2019,National,A. baumannii,Minocycline,MNO,106121,18.805891275405884,19957,18.175478279590607,19288,63.01863193511963,66876
2019,National,A. baumannii,Amikacin,AMK,151177,40.412893891334534,61095,1.619955338537693,2449,57.96715021133423,87633
2019,National,A. baumannii,Tobramycin,TOB,168658,47.89040684700012,80771,1.468652579933405,2477,50.64094066619873,85410
2019,National,A. baumannii,Cefoperazone/Sulbactam,CSL,133486,36.45251095294952,48659,15.15364944934845,20228,48.393839597702026,64599
2019,National,A. baumannii,Gentamicin,GEN,182019,52.15499401092529,94932,3.526005521416664,6418,44.31900084018707,80669
2019,National,A. baumannii,Imipenem,IPM,224995,55.529236793518066,124938,0.7862396538257599,1769,43.68452727794647,98288
2019,National,A. baumannii,Levofloxacin,LVX,231477,45.730677247047424,105856,10.671470314264296,24702,43.59785318374634,100919
2019,National,A. baumannii,Ampicillin/Sulbactam,SAM,149061,53.01520824432373,79025,4.809440299868584,7169,42.17534959316254,62867
2019,National,A. baumannii,Meropenem,MEM,147456,57.14314579963684,84261,0.921630859375,1359,41.93522036075592,61836
2019,National,A. baumannii,Ciprofloxacin,CIP,220624,57.93159604072571,127811,0.749238533899188,1653,41.319167613983154,91160
2019,National,A. baumannii,Cefepime,FEP,234637,54.702794551849365,128353,4.178795218467712,9805,41.11840724945069,96479
2019,National,A. baumannii,Ceftazidime,CAZ,206383,55.52734732627869,114599,3.87677289545536,8001,40.59588313102722,83783
2019,National,A. baumannii,Piperacillin/Tazobactam,TZP,159468,57.16758370399475,91164,2.9422830790281296,4692,39.89013433456421,63612
2019,National,A. baumannii,Cefotaxime,CTX,51125,58.19461941719055,29752,18.452811241149902,9434,23.352567851543427,11939
2019,National,A. baumannii,Ceftriaxone,CRO,136601,55.5867075920105,75932,28.295546770095825,38652,16.117744147777557,22017
2019,National,A. baumannii,Aztreonam,ATM,81057,70.65645456314087,57272,24.662891030311584,19991,4.6806566417217255,3794
2019,Beijing,S. aureus,Linezolid,LNZ,10453,0,0,0,0,100,10453
2019,Beijing,S. aureus,Vancomycin,VAN,10473,0,0,0,0,100,10473
2019,Beijing,S. aureus,Teicoplanin,TEC,3636,0,0,0,0,100,3636
