matrix,records,provinces,antibiotics,classes,median_conc,mean_conc,p90_conc,max_conc,geometric_mean_conc,log_median,log_p90,log_max,breadth_score,intensity_score,reservoir_score,reservoir_role
municipal sludge,480,17,69,6,42.25,10003.708316945605,2003.7,4063000.0,57.72981193685549,3.7669972333778885,7.60324970261043,15.217432421093388,-0.40681247414971883,1.3555994212095157,0.47439347352989847,concentrated hotspot reservoir
sediment,3552,24,121,6,4.422,307.5100471307019,109.86105263157908,234333.33,7.255380891266764,1.6904647510764736,4.708277639089816,12.364504135316217,0.7023868226773523,-0.2663328031432765,0.2180270097670379,diffuse broad reservoir
soil,1150,22,69,6,2.25,82.93391764177196,45.30963414634145,12900.0,4.437544713935575,1.1786549963416462,3.8353500203608597,9.465060106725137,0.013983794582149897,-0.9186608971564173,-0.4523385512871337,diffuse broad reservoir
surface water,71,14,27,7,23.09,78.95785714285715,309.29000000000036,414.0,20.078409534237668,3.18179681662678,5.737507344057823,6.028278520230698,-0.30955814310978336,-0.1706057209098221,-0.2400819320098027,lower-burden compartment
