sample_type,antibiotic,group_of_antibiotic,records,provinces,median_conc,p90_conc,max_conc,prevalence_score
municipal sludge,Spiramycin,macrolides,1,1,7.8,7.8,7.8,-0.6978745727832594
municipal sludge,Ciprofloxacin,sulfonamides,1,1,6.37,6.37,6.37,-0.709884393541403
municipal sludge,Danafloxacin,fluoroquinolones,1,1,3.45,3.45,3.45,-0.7440522209418865
municipal sludge,Anhydro-erythromycin,macrolides,1,1,3.3,3.3,3.3,-0.746374424190847
municipal sludge,Sulfaquinoxaline,sulfonamides,1,1,2.795,2.795,2.795,-0.7548352615161233
municipal sludge,Sulfachloropyridazine,sulfonamides,1,1,2.28,2.28,2.28,-0.7647122393068712
municipal sludge,Difloxacin,fluoroquinolones,1,1,0.7,0.7,0.7,-0.8092216719425681
municipal sludge,Chloromycetin,other,1,1,0.6,0.6,0.6,-0.8133274315757894
municipal sludge,Tylosin,macrolides,1,1,0.2,0.2,0.2,-0.8328104964574202
municipal sludge,Sulfamerazin,sulfonamides,1,1,0.1,0.1,0.1,-0.838703280421611
municipal sludge,Sulfamethizole,sulfonamides,1,1,0.06,0.06,0.06,-0.8412118743471755
municipal sludge,Josamycin,macrolides,1,1,,,,-0.8451580949367519
municipal sludge,Sulfanitran,sulfonamides,1,1,0.0,0.0,0.0,-0.8451580949367519
municipal sludge,Sulfaphenazole,sulfonamides,1,1,0.0,0.0,0.0,-0.8451580949367519
municipal sludge,Tetracyclines (total),tetracyclines,1,1,,,,-0.8451580949367519
sediment,Oxytetracycline,tetracyclines,256,21,16.4,249.84000000000003,234333.33,2.40762845088778
sediment,Tetracycline,tetracyclines,236,21,7.53,67.67999999999999,3057.8,2.3204395827975013
sediment,Norfloxacin,fluoroquinolones,208,21,13.0,160.7017857142855,7608.7,2.2936124435549243
sediment,Ofloxacin,fluoroquinolones,199,22,10.8,138.34715204678403,44270.0,2.2743747575071303
sediment,Ciprofloxacin,fluoroquinolones,191,22,14.3,165.02000000000024,5300.0,2.272360791658
sediment,Sulfamethazine,sulfonamides,233,20,1.7,160.6,1550.0,2.222308107455211
sediment,Sulfadiazine,sulfonamides,195,22,3.38,56.76,4639.05263157895,2.1975537908629255
sediment,Sulfamethoxazole,sulfonamides,220,19,1.875,68.2,2060.0,2.184313846674945
sediment,Roxithromycin,macrolides,194,18,2.86,196.01684210526366,2134.15789473684,2.128599284898229
sediment,Enrofloxacin,fluoroquinolones,152,22,4.15,56.0,1627.15789473684,2.0895699283018874
sediment,Trimethoprim,sulfonamides,115,18,13.0,136.30000000000007,506.3,1.96639792484695
sediment,Chlortetracycline,tetracyclines,120,20,3.43,52.5800000000001,2326.85,1.9390889791473094
sediment,Sulfapyridine,sulfonamides,112,17,4.56,83.2,234.7,1.8748768461456113
sediment,Erythromycin,macrolides,96,14,25.975,154.5,353.0,1.8532183448420843
sediment,Doxycycline,tetracyclines,79,18,4.98,58.832000000000214,444.0,1.7303383694047902
sediment,Lomefloxacin,fluoroquinolones,80,10,23.05,79.60000000000002,230.0,1.66481437713462
sediment,Sulfacetamide,sulfonamides,61,6,20.9,71.2,310.0,1.3930213695915472
sediment,Erythromycin-H2O,macrolides,45,12,2.17,26.6,1200.0,1.3064974858934684
sediment,Sulfathiazole,sulfonamides,42,16,0.03,33.64699999999995,1351.39,1.2793265095394026
sediment,Sulfamonomethoxine,sulfonamides,36,15,0.27,7.685,7.8,1.2029510748594192
sediment,Sulfaquinoxaline,sulfonamides,35,11,0.04,2.224000000000002,2.81,1.089019607403182
sediment,Sulfamerazine,sulfonamides,29,13,0.05,1.8950000000000002,27.5,1.04885136394743
sediment,Chloramphenicol,other,27,11,2.2199999999999998,184.96999999999986,3270.0,1.0448601890383278
sediment,Clarithromycin,macrolides,29,12,0.24000000000000002,3.5830000000000015,207.8,1.0376416130502912
sediment,Lincomycin,other,24,11,1.5475,6.4,26.1,0.974566141875042
