sample_type,antibiotic,group_of_antibiotic,records,provinces,median_conc,p90_conc,max_conc,prevalence_score
soil,α-apo-Oxytetracycline,tetracyclines,1,1,9.38,9.38,9.38,-0.6866913174704808
soil,α-apo-oxytetracycline,tetracyclines,1,1,9.38,9.38,9.38,-0.6866913174704808
soil,Chlortracycline,tetracyclines,1,1,8.5,8.5,8.5,-0.6926909501963169
soil,Penicillin V,beta-lactams,1,1,4.34,4.34,4.34,-0.7317046224625549
soil,Penicillin G,beta-lactams,1,1,1.23,1.23,1.23,-0.79084310480979
soil,β-apo-Oxytetracycline,tetracyclines,1,1,1.18,1.18,1.18,-0.7923788688654858
soil,β-apo-oxytetracycline,tetracyclines,1,1,1.18,1.18,1.18,-0.7923788688654858
soil,LevOfloxacin,fluoroquinolones,1,1,1.057,1.057,1.057,-0.7963120429122863
soil,Vancomycin,other,1,1,0.77,0.77,0.77,-0.8064889089933742
soil,Sulfadimidin,sulfonamides,1,1,0.75,0.75,0.75,-0.8072585115104737
soil,Penicillin G,other,1,1,0.26,0.26,0.26,-0.8295062170979277
soil,Sulfacetamide,sulfonamides,1,1,0.0,0.0,0.0,-0.8451580949367519
surface water,Sulfamethoxazole,sulfonamides,9,8,28.9,35.86,37.6,0.6140455280653854
surface water,Norfloxacin,fluoroquinolones,6,6,35.440000000000005,59.80800000000001,65.9,0.37992896560297257
surface water,Roxithromycin,macrolides,6,5,20.7,20.7,20.7,0.2980765292587398
surface water,Ciprofloxacin,fluoroquinolones,5,4,65.9,65.9,65.9,0.2450022526102893
surface water,Trimethoprim,sulfonamides,6,4,0.02,0.02,0.02,0.0357186219446429
surface water,Sulfadiazine,sulfonamides,4,3,12.1,12.1,12.1,-0.02066140441621904
surface water,Oxytetracycline,tetracyclines,4,3,10.4,10.4,10.4,-0.030075004899737842
surface water,Chloramphenicol,amphenicols,3,3,25.48,25.48,25.48,-0.08016769620605918
surface water,Enrofloxacin,fluoroquinolones,3,3,5.74,5.74,5.74,-0.17283686451877356
surface water,Total Quinolones (QNs),fluoroquinolones,1,1,414.0,414.0,414.0,-0.43689719590598974
surface water,Total Tetracyclines (TCs),tetracyclines,1,1,413.6,413.6,413.6,-0.4369625038114443
surface water,Chlortetracycline,tetracyclines,2,2,,,,-0.5274654161547094
surface water,Erythromycin,macrolides,2,2,,,,-0.5274654161547094
surface water,Ofloxacin,fluoroquinolones,2,2,,,,-0.5274654161547094
surface water,Tetracycline,tetracyclines,2,2,,,,-0.5274654161547094
surface water,Azithromycin,macrolides,2,1,,,,-0.6504254185795633
surface water,Florfenicol,amphenicols,2,1,,,,-0.6504254185795633
surface water,Total antibiotics,other,2,1,,,,-0.6504254185795633
surface water,Amoxicillin,beta-lactams,1,1,,,,-0.8451580949367519
surface water,Ampicillin,beta-lactams,1,1,,,,-0.8451580949367519
surface water,Cephalexin,beta-lactams,1,1,,,,-0.8451580949367519
surface water,Clindamycin,macrolides,1,1,,,,-0.8451580949367519
surface water,Erythromycin-H₂O (ETM-H₂O),other,1,1,,,,-0.8451580949367519
surface water,Levofloxacin,fluoroquinolones,1,1,,,,-0.8451580949367519
surface water,Moxifloxacin,fluoroquinolones,1,1,,,,-0.8451580949367519
surface water,Sulfadimidine,sulfonamides,1,1,,,,-0.8451580949367519
surface water,Sulfafurazole,sulfonamides,1,1,,,,-0.8451580949367519
