sample_type,province,location,antibiotic,group_of_antibiotic,mean_concentration,max_concentration,concentration_unit,sample_year,season,full_reference_name,place_in_article_data_extracted_from,reference_number,source_dataset
municipal sludge,Beijing,"Beijing, Haidian district, Qinghe sewage treatment plant",Norfloxacin,fluoroquinolones,5426.25,NA,µg/kg dw,2008.0,summer,"Jia, A., Wan, Y., Xiao, Y. & Hu, J. Occurrence and fate of quinolone and fluoroquinolone antibiotics in a municipal sewage treatment plant. Water Res 46, 387-394, doi:10.1016/j.watres.2011.10.055 (2012).",Zhang 2022 supplementary dataset (Sheet7 record),181,Data_on_Antibiotics_in_China__07_Sheet7.csv
municipal sludge,Beijing,Beijing,Ofloxacin,fluoroquinolones,11000,21000,µg/kg dw,2008.0,NA,"Gao, L. et al. Occurrence of antibiotics in eight sewage treatment plants in Beijing, China. Chemosphere 86, 665-671, doi:10.1016/j.chemosphere.2011.11.019 (2012).",Zhang 2022 supplementary dataset (Sheet7 record),160,Data_on_Antibiotics_in_China__07_Sheet7.csv
municipal sludge,Beijing,"Beijing, Haidian district, Qinghe sewage treatment plant",Ofloxacin,fluoroquinolones,5548.75,NA,µg/kg dw,2008.0,summer,"Jia, A., Wan, Y., Xiao, Y. & Hu, J. Occurrence and fate of quinolone and fluoroquinolone antibiotics in a municipal sewage treatment plant. Water Res 46, 387-394, doi:10.1016/j.watres.2011.10.055 (2012).",Zhang 2022 supplementary dataset (Sheet7 record),181,Data_on_Antibiotics_in_China__07_Sheet7.csv
municipal sludge,Beijing,"Beijing, Haidian district, Qinghe sewage treatment plant",Pipemidic acid,fluoroquinolones,222.5,NA,µg/kg dw,2008.0,summer,"Jia, A., Wan, Y., Xiao, Y. & Hu, J. Occurrence and fate of quinolone and fluoroquinolone antibiotics in a municipal sewage treatment plant. Water Res 46, 387-394, doi:10.1016/j.watres.2011.10.055 (2012).",Zhang 2022 supplementary dataset (Sheet7 record),181,Data_on_Antibiotics_in_China__07_Sheet7.csv
municipal sludge,Beijing,Beijing,Roxithromycin,macrolides,19,170,µg/kg dw,2008.0,NA,"Gao, L. et al. Occurrence of antibiotics in eight sewage treatment plants in Beijing, China. Chemosphere 86, 665-671, doi:10.1016/j.chemosphere.2011.11.019 (2012).",Zhang 2022 supplementary dataset (Sheet7 record),160,Data_on_Antibiotics_in_China__07_Sheet7.csv
municipal sludge,Beijing,Beijing,Sarafloxacin,fluoroquinolones,0.7,24,µg/kg dw,2008.0,NA,"Gao, L. et al. Occurrence of antibiotics in eight sewage treatment plants in Beijing, China. Chemosphere 86, 665-671, doi:10.1016/j.chemosphere.2011.11.019 (2012).",Zhang 2022 supplementary dataset (Sheet7 record),160,Data_on_Antibiotics_in_China__07_Sheet7.csv
municipal sludge,Beijing,"Beijing, Haidian district, Qinghe sewage treatment plant",Sarafloxacin,fluoroquinolones,326.25,NA,µg/kg dw,2008.0,summer,"Jia, A., Wan, Y., Xiao, Y. & Hu, J. Occurrence and fate of quinolone and fluoroquinolone antibiotics in a municipal sewage treatment plant. Water Res 46, 387-394, doi:10.1016/j.watres.2011.10.055 (2012).",Zhang 2022 supplementary dataset (Sheet7 record),181,Data_on_Antibiotics_in_China__07_Sheet7.csv
municipal sludge,Beijing,"Beijing, Haidian district, Qinghe sewage treatment plant",Sparfloxacin,fluoroquinolones,27.5,NA,µg/kg dw,2008.0,summer,"Jia, A., Wan, Y., Xiao, Y. & Hu, J. Occurrence and fate of quinolone and fluoroquinolone antibiotics in a municipal sewage treatment plant. Water Res 46, 387-394, doi:10.1016/j.watres.2011.10.055 (2012).",Zhang 2022 supplementary dataset (Sheet7 record),181,Data_on_Antibiotics_in_China__07_Sheet7.csv
municipal sludge,Beijing,Beijing,Spiramycin,macrolides,7.8,32,µg/kg dw,2008.0,NA,"Gao, L. et al. Occurrence of antibiotics in eight sewage treatment plants in Beijing, China. Chemosphere 86, 665-671, doi:10.1016/j.chemosphere.2011.11.019 (2012).",Zhang 2022 supplementary dataset (Sheet7 record),160,Data_on_Antibiotics_in_China__07_Sheet7.csv
municipal sludge,Beijing,Beijing,Sulfadiazine,sulfonamides,28,70,µg/kg dw,2008.0,NA,"Gao, L. et al. Occurrence of antibiotics in eight sewage treatment plants in Beijing, China. Chemosphere 86, 665-671, doi:10.1016/j.chemosphere.2011.11.019 (2012).",Zhang 2022 supplementary dataset (Sheet7 record),160,Data_on_Antibiotics_in_China__07_Sheet7.csv
