province,group_of_antibiotic,matrix,n_rows,n_rows_mean_based,n_rows_max_based,median_log10_primary_concentration,median_log10_mean_concentration,median_log10_max_concentration,median_primary_concentration_raw,concentration_unit_mode,sample_year_min,sample_year_max
Shaanxi,other,sediment,5,5,5,6.230448921378274,6.230448921378274,6.501059262217751,1700000.0,ng/g dw,2017.0,2020.0
Shaanxi,sulfonamides,sediment,29,29,29,5.2552725051033065,5.2552725051033065,5.778151250383644,180000.0,ng/g dw,2014.0,2017.0
Shaanxi,sulfonamides,surface water,1,0,1,0.5403294747908738,,0.5403294747908738,3.47,ng/L,2023.0,2023.0
Shaanxi,tetracyclines,sediment,35,35,35,2.658964842664435,2.658964842664435,3.3180633349627615,456.0,ng/g dw,2014.0,2019.0
Shaanxi,tetracyclines,surface water,3,0,3,0.3424226808222063,,0.3424226808222063,2.2,ng/L,2023.0,2023.0
Shandong,fluoroquinolones,sediment,84,84,44,6.247973266361806,6.247973266361806,7.688302255080048,1770000.0,ng/g dw,2013.0,2018.0
Shandong,fluoroquinolones,sludge,5,5,5,7.920645001406788,7.920645001406788,9.138902399933594,83300000.0,ng/g dw,2015.0,2015.0
Shandong,fluoroquinolones,soil,17,17,11,7.446692466371527,7.446692466371527,8.459844642388207,27970000.0,ng/g dw,2010.0,2019.0
Shandong,fluoroquinolones,surface water,8,6,8,0.7589118923979735,0.7280706175788456,1.4884096889031981,5.74,ng/L,2017.0,2019.0
Shandong,fluoroquinolones,wastewater effluent,1,1,1,2.3112026989507597,2.3112026989507597,2.969993345002749,204.74,ng/L,2018.0,2018.0
Shandong,fluoroquinolones,wastewater influent,1,1,1,2.6639928690841974,2.6639928690841974,3.296976542347761,461.31,ng/L,2018.0,2018.0
Shandong,macrolides,sediment,19,19,13,6.133858125203335,6.133858125203335,6.557507201905658,1361000.0,ng/g dw,2013.0,2018.0
Shandong,macrolides,sludge,7,7,7,6.724275869600789,6.724275869600789,7.63748972951251,5300000.0,ng/g dw,2015.0,2022.0
Shandong,macrolides,soil,3,3,2,5.4623979978989565,5.4623979978989565,5.315721884506586,290000.0,ng/g dw,2010.0,2019.0
Shandong,macrolides,wastewater effluent,1,0,1,2.2162978866303926,,2.2162978866303926,164.55,ng/L,2018.0,2018.0
Shandong,macrolides,wastewater influent,1,0,1,2.3336890417039053,,2.3336890417039053,215.62,ng/L,2018.0,2018.0
Shandong,multiple classes,sediment,1,0,1,3.946452265013073,,3.946452265013073,8840.0,ng/g,2024.0,2024.0
Shandong,multiple classes,surface water,3,0,3,3.146128035678238,,3.146128035678238,1400.0,ng/L,2024.0,2024.0
Shandong,other,sediment,6,4,4,6.45763713668966,6.847572659142112,4.682734632448856,2868382.9787234003,ng/g dw,2014.0,2016.0
Shandong,other,soil,4,4,0,5.947490145463984,5.947490145463984,,1451000.0,ng/g dw,2010.0,2015.0
Shandong,other,surface water,1,1,1,0.6857417386022637,0.6857417386022637,0.9493900066449128,4.8500000000000005,ng/L,2017.0,2017.0
Shandong,sulfonamides,sediment,55,55,31,5.289891798308405,5.289891798308405,6.079181246047625,195000.0,ng/g dw,2013.0,2018.0
Shandong,sulfonamides,sludge,7,7,7,6.690196080028514,6.690196080028514,7.214843848047698,4900000.0,ng/g dw,2015.0,2015.0
Shandong,sulfonamides,soil,5,5,4,5.8750612633917,5.8750612633917,6.312398789480381,750000.0,ng/g dw,2010.0,2019.0
Shandong,sulfonamides,surface water,2,1,2,2.3542954225751718,2.9542425094393248,2.3542954225751718,478.4,ng/L,2017.0,2024.0
Shandong,sulfonamides,wastewater effluent,3,1,2,2.5774917998372255,2.5774917998372255,2.3620793381111342,378.0,ng/L,2018.0,2023.0
Shandong,sulfonamides,wastewater influent,2,0,2,3.26415904612258,,3.26415904612258,5149.445,ng/L,2018.0,2023.0
Shandong,tetracyclines,sediment,45,45,29,6.527561056909245,6.527561056909245,7.0603200286882855,3370000.0,ng/g dw,2013.0,2018.0
Shandong,tetracyclines,sludge,6,5,6,7.031478917042255,7.133538908370218,8.246695283144309,11050000.0,ng/g dw,2015.0,2018.0
Shandong,tetracyclines,soil,6,6,5,7.644223324133058,7.644223324133058,8.395431240246918,47805000.0,ng/g dw,2010.0,2015.0
Shandong,tetracyclines,surface water,2,2,2,4.8637706285142785,4.8637706285142785,4.8637706285142785,50000026.7,ng/L,2017.0,2017.0
Shandong,tetracyclines,wastewater effluent,1,0,1,0.7347998295888469,,0.7347998295888469,5.43,ng/L,2018.0,2018.0
Shandong,tetracyclines,wastewater influent,1,0,1,0.7442929831226762,,0.7442929831226762,5.55,ng/L,2018.0,2018.0
