province,bacteria_species,antibiotic,antibiotic_class,endpoint_label,curated_endpoint,total_n_strains,resistant_percent,resistant_n_strains,intermediate_percent,sensitive_percent
Anhui,E. coli,Meropenem,other,E. coli | Meropenem,False,15729,1.9708817824721336,310,0.1970881829038262,97.8320300579071
Anhui,E. coli,Nitrofurantoin,other,E. coli | Nitrofurantoin,False,6901,1.6229532659053802,112,5.216635391116142,93.16040873527528
Anhui,E. coli,Piperacillin/Tazobactam,other,E. coli | Piperacillin/Tazobactam,False,40851,8.863919973373413,3621,1.9363051280379295,89.1997754573822
Anhui,E. coli,Polymyxin B,other,E. coli | Polymyxin B,False,3567,1.1774600483477116,42,0.0,98.82254004478456
Anhui,E. coli,Ticarcillin/Clavulanic acid,other,E. coli | Ticarcillin/Clavulanic acid,False,10170,12.064896523952484,1227,12.055063992738724,75.88003873825073
Anhui,E. coli,Tigecycline,other,E. coli | Tigecycline,False,32400,0.1851851819083094,60,0.3395061707124114,99.47530627250671
Anhui,E. coli,Tobramycin,other,E. coli | Tobramycin,False,20180,36.23884916305542,7313,1.4420217834413052,62.31912970542908
Anhui,E. coli,Trimethoprim/Sulfamethoxazole,sulfonamides,E. coli | Trimethoprim/Sulfamethoxazole,True,38392,51.22421383857727,19666,0.0260470929788425,48.74973893165589
Anhui,K. pneumoniae,Amikacin,other,K. pneumoniae | Amikacin,False,28766,7.859973609447479,2261,0.7995550520718098,91.34047031402588
Anhui,K. pneumoniae,Amoxicillin/Clavulanic acid,other,K. pneumoniae | Amoxicillin/Clavulanic acid,False,21878,17.003382742404938,3720,7.902916520833969,75.09369850158691
Anhui,K. pneumoniae,Ampicillin,other,K. pneumoniae | Ampicillin,False,6376,88.4880781173706,5642,10.429736226797104,1.0821831412613392
Anhui,K. pneumoniae,Ampicillin/Sulbactam,other,K. pneumoniae | Ampicillin/Sulbactam,False,11159,28.89147698879242,3224,5.690474063158035,65.41804671287537
Anhui,K. pneumoniae,Aztreonam,other,K. pneumoniae | Aztreonam,False,17454,24.172109365463257,4219,0.7620029617100954,75.06588697433472
Anhui,K. pneumoniae,Cefazolin,other,K. pneumoniae | Cefazolin,False,4912,29.98778522014618,1473,11.258143186569214,58.754074573516846
Anhui,K. pneumoniae,Cefepime,other,K. pneumoniae | Cefepime,False,31810,20.0880229473114,6390,1.8390443176031113,78.0729353427887
Anhui,K. pneumoniae,Cefoperazone/Sulbactam,other,K. pneumoniae | Cefoperazone/Sulbactam,False,24798,14.678603410720823,3640,2.3953543975949287,82.92604088783264
Anhui,K. pneumoniae,Cefotaxime,other,K. pneumoniae | Cefotaxime,False,9299,28.83105576038361,2681,0.7527691312134266,70.41617631912231
Anhui,K. pneumoniae,Cefotetan,other,K. pneumoniae | Cefotetan,False,11791,11.15257367491722,1315,1.0940548032522202,87.75337338447571
Anhui,K. pneumoniae,Cefoxitin,other,K. pneumoniae | Cefoxitin,False,14768,17.118093371391296,2528,1.9840195775032043,80.89788556098938
Anhui,K. pneumoniae,Ceftazidime,other,K. pneumoniae | Ceftazidime,False,31897,20.823274552822113,6642,2.5049377232789993,76.67178511619568
Anhui,K. pneumoniae,Ceftazidime/Avibactam,other,K. pneumoniae | Ceftazidime/Avibactam,False,3430,4.956268146634102,170,0.0,95.0437307357788
Anhui,K. pneumoniae,Ceftriaxone,other,K. pneumoniae | Ceftriaxone,False,19816,26.97315216064453,5345,0.1412999583408236,72.88554906845093
Anhui,K. pneumoniae,Cefuroxime,other,K. pneumoniae | Cefuroxime,False,23215,30.69997727870941,7127,1.9470170140266416,67.35300421714783
Anhui,K. pneumoniae,Chloramphenicol,other,K. pneumoniae | Chloramphenicol,False,3098,24.338282644748688,754,3.6797933280467983,71.98192477226257
Anhui,K. pneumoniae,Ciprofloxacin,fluoroquinolones,K. pneumoniae | Ciprofloxacin,True,16162,21.61242365837097,3493,2.0975125953555107,76.29006505012512
Anhui,K. pneumoniae,Ertapenem,other,K. pneumoniae | Ertapenem,False,20407,8.86460542678833,1809,0.4753271117806434,90.66006541252136
Anhui,K. pneumoniae,Gentamicin,other,K. pneumoniae | Gentamicin,False,10656,19.885510206222538,2119,3.4909911453723907,76.62349939346313
Anhui,K. pneumoniae,Imipenem,other,K. pneumoniae | Imipenem,False,31409,10.949090868234634,3439,1.114330254495144,87.93658018112183
Anhui,K. pneumoniae,Levofloxacin,fluoroquinolones,K. pneumoniae | Levofloxacin,True,31134,18.90858858823776,5887,2.453908883035183,78.63750457763672
Anhui,K. pneumoniae,Meropenem,other,K. pneumoniae | Meropenem,False,14399,14.424613118171692,2077,0.2569622825831175,85.31842231750488
Anhui,K. pneumoniae,Nitrofurantoin,other,K. pneumoniae | Nitrofurantoin,False,3931,28.135335445404053,1106,51.38641595840454,20.47825008630753
Anhui,K. pneumoniae,Piperacillin/Tazobactam,other,K. pneumoniae | Piperacillin/Tazobactam,False,31152,17.658577859401703,5501,3.7975091487169266,78.5439133644104
Anhui,K. pneumoniae,Polymyxin B,other,K. pneumoniae | Polymyxin B,False,1807,1.6602102667093277,30,0.0,98.3397901058197
Anhui,K. pneumoniae,Ticarcillin/Clavulanic acid,other,K. pneumoniae | Ticarcillin/Clavulanic acid,False,9610,20.7284078001976,1992,5.97294494509697,73.29864501953125
Anhui,K. pneumoniae,Tigecycline,other,K. pneumoniae | Tigecycline,False,24938,1.7443260177969933,435,2.738792262971401,95.5168843269348
Anhui,K. pneumoniae,Tobramycin,other,K. pneumoniae | Tobramycin,False,15246,20.995670557022095,3201,1.3708514161407948,77.63347625732422
