province,bacteria_species,antibiotic,antibiotic_class,endpoint_label,curated_endpoint,n_years,first_year,last_year,first_resistant_percent,last_resistant_percent,absolute_change_2019_2024,slope_percentage_points_per_year,intercept,mean_total_strains
Anhui,A. baumannii,Amikacin,other,A. baumannii | Amikacin,False,6,2019,2024,37.11824715137482,31.770306825637817,-5.3479403257369995,-1.960822939872788,4001.121197144282,4722.166666666667
Anhui,A. baumannii,Ampicillin/Sulbactam,other,A. baumannii | Ampicillin/Sulbactam,False,6,2019,2024,56.67833089828491,52.28878855705261,-4.3895423412323,-0.832170929227467,1738.1314458164034,3340.0
Anhui,A. baumannii,Aztreonam,other,A. baumannii | Aztreonam,False,6,2019,2024,73.55491518974304,74.09517168998718,0.5402565002441406,1.3071957656314452,-2570.2124884580785,1661.5
Anhui,A. baumannii,Cefepime,other,A. baumannii | Cefepime,False,6,2019,2024,59.12596583366394,48.109155893325806,-11.016809940338135,-1.9840828010015115,4064.5521643617876,9248.833333333334
Anhui,A. baumannii,Cefoperazone/Sulbactam,other,A. baumannii | Cefoperazone/Sulbactam,False,6,2019,2024,45.869192481040955,45.822811126708984,-0.046381354331970215,0.28559386730198894,-531.2625982364988,5605.666666666667
Anhui,A. baumannii,Cefotaxime,other,A. baumannii | Cefotaxime,False,6,2019,2024,69.74443793296814,60.86142063140869,-8.883017301559448,-2.197810070855286,4510.940852278771,1285.1666666666667
Anhui,A. baumannii,Ceftazidime,other,A. baumannii | Ceftazidime,False,6,2019,2024,60.759490728378296,57.59206414222717,-3.167426586151123,-0.08084195000780833,224.120256843942,9190.833333333334
Anhui,A. baumannii,Ceftriaxone,other,A. baumannii | Ceftriaxone,False,6,2019,2024,61.069416999816895,57.04280138015747,-4.026615619659424,-1.0707216603415972,2222.469820011354,3568.8333333333335
Anhui,A. baumannii,Ciprofloxacin,fluoroquinolones,A. baumannii | Ciprofloxacin,False,6,2019,2024,61.33781671524048,58.88229012489319,-2.45552659034729,0.362553085599738,-670.1053470091566,7684.833333333333
Anhui,A. baumannii,Gentamicin,other,A. baumannii | Gentamicin,False,6,2019,2024,57.0440948009491,51.9784152507782,-5.065679550170898,-0.5359893185750749,1140.3177366935822,3524.1666666666665
Anhui,A. baumannii,Imipenem,other,A. baumannii | Imipenem,False,6,2019,2024,60.72092652320862,57.20020532608032,-3.520721197128296,0.11502708707540212,-172.39537687535244,8846.666666666666
