province,bacteria,CARSS_abx,resistant_pc,n_strains
Shanghai,S. aureus,Clindamycin,25.7,
Shanghai,S. aureus,Ciprofloxacin,33.2,
Shanghai,S. aureus,Erythromycin,48.9,
Shanghai,S. aureus,Gentamicin,13.4,
Shanghai,S. aureus,Levofloxacin,29.7,
Shanghai,S. aureus,Oxacillin,42.7,
Shanghai,S. aureus,Penicillin G,87.8,
Shanghai,S. aureus,Rifampin,0.8,
Shanghai,S. aureus,Tetracycline,28.7,
Jiangsu,S. aureus,Chloramphenicol,3.4,
Jiangsu,S. aureus,Clindamycin,23.5,
Jiangsu,S. aureus,Ciprofloxacin,28.8,
Jiangsu,S. aureus,Erythromycin,54.7,
Jiangsu,S. aureus,Gentamicin,10.2,
Jiangsu,S. aureus,Levofloxacin,25.4,
Jiangsu,S. aureus,Oxacillin,38.8,
Jiangsu,S. aureus,Penicillin G,91.3,
Jiangsu,S. aureus,Rifampin,0.8,
Jiangsu,S. aureus,Tetracycline,20.7,
Zhejiang,S. aureus,Chloramphenicol,3.1,
Zhejiang,S. aureus,Clindamycin,18.2,
Zhejiang,S. aureus,Ciprofloxacin,17.1,
Zhejiang,S. aureus,Erythromycin,48.3,
Zhejiang,S. aureus,Gentamicin,4.8,
Zhejiang,S. aureus,Levofloxacin,16.6,
Zhejiang,S. aureus,Oxacillin,28.7,
Zhejiang,S. aureus,Penicillin G,88.5,
Zhejiang,S. aureus,Rifampin,0.6,
Zhejiang,S. aureus,Tetracycline,14.6,
Fujian,S. aureus,Chloramphenicol,5.5,
Fujian,S. aureus,Clindamycin,22.6,
Fujian,S. aureus,Ciprofloxacin,15,
Fujian,S. aureus,Erythromycin,44.4,
Fujian,S. aureus,Gentamicin,9,
Fujian,S. aureus,Levofloxacin,14.6,
Fujian,S. aureus,Oxacillin,27.4,
Fujian,S. aureus,Penicillin G,88.2,
Fujian,S. aureus,Rifampin,1.8,
Fujian,S. aureus,Tetracycline,24.1,
Jiangxi,S. aureus,Chloramphenicol,3.5,
Jiangxi,S. aureus,Clindamycin,22.1,
Jiangxi,S. aureus,Ciprofloxacin,13.6,
Jiangxi,S. aureus,Erythromycin,41.7,
Jiangxi,S. aureus,Gentamicin,6.2,
Jiangxi,S. aureus,Levofloxacin,12.4,
Jiangxi,S. aureus,Oxacillin,21.5,
Jiangxi,S. aureus,Penicillin G,91.8,
Jiangxi,S. aureus,Rifampin,1.5,
Jiangxi,S. aureus,Tetracycline,17.1,
Shandong,S. aureus,Chloramphenicol,4.5,
Shandong,S. aureus,Clindamycin,30.1,
Shandong,S. aureus,Ciprofloxacin,14.3,
Shandong,S. aureus,Erythromycin,67.6,
Shandong,S. aureus,Gentamicin,7.8,
Shandong,S. aureus,Levofloxacin,13.9,
Shandong,S. aureus,Oxacillin,25,
Shandong,S. aureus,Penicillin G,92.9,
Shandong,S. aureus,Rifampin,0.8,
Shandong,S. aureus,Tetracycline,11.4,
Henan,S. aureus,Chloramphenicol,5.9,
Henan,S. aureus,Clindamycin,44.1,
Henan,S. aureus,Ciprofloxacin,11.9,
Henan,S. aureus,Erythromycin,69.6,
Henan,S. aureus,Gentamicin,10.1,
Henan,S. aureus,Levofloxacin,13.5,
Henan,S. aureus,Oxacillin,35.1,
Henan,S. aureus,Penicillin G,94.7,
Henan,S. aureus,Rifampin,1.6,
Henan,S. aureus,Tetracycline,17,
Hubei,S. aureus,Penicillin G,92.1,
Hubei,S. aureus,Erythromycin,53.2,
Hubei,S. aureus,Clindamycin,28.7,
Hubei,S. aureus,Oxacillin,24.5,
Hubei,S. aureus,Ciprofloxacin,15.8,
Hubei,S. aureus,Tetracycline,14.3,
Hubei,S. aureus,Levofloxacin,14.4,
Hubei,S. aureus,Gentamicin,8.2,
Hubei,S. aureus,Chloramphenicol,4.8,
Hubei,S. aureus,Rifampin,1.5,
Hunan,S. aureus,Penicillin G,91.4,
Hunan,S. aureus,Erythromycin,44.4,
Hunan,S. aureus,Clindamycin,21.1,
Hunan,S. aureus,Oxacillin,22.8,
Hunan,S. aureus,Ciprofloxacin,11.1,
Hunan,S. aureus,Tetracycline,22.1,
Hunan,S. aureus,Levofloxacin,12.2,
Hunan,S. aureus,Gentamicin,6.1,
Hunan,S. aureus,Chloramphenicol,5.3,
Hunan,S. aureus,Rifampin,1.4,
Guangdong,S. aureus,Penicillin G,86.2,
Guangdong,S. aureus,Erythromycin,39.9,
Guangdong,S. aureus,Clindamycin,23,
