province,bacteria,CARSS_abx,resistant_pc,n_strains
Sichuan,E. coli,Ceftriaxone,50.3,
Sichuan,E. coli,Chloramphenicol,24.9,
Sichuan,E. coli,Ciprofloxacin,48,
Sichuan,E. coli,Gentamicin,31.6,
Sichuan,E. coli,Levofloxacin,46.1,
Tianjin,E. coli,Amoxicillin,9.3,
Tianjin,E. coli,Ampicillin,77.7,
Tianjin,E. coli,Cefazolin,55.4,
Tianjin,E. coli,Cefotaxime,45.9,
Tianjin,E. coli,Ceftriaxone,47.3,
Tianjin,E. coli,Chloramphenicol,17.1,
Tianjin,E. coli,Ciprofloxacin,51.8,
Tianjin,E. coli,Gentamicin,32.8,
Tianjin,E. coli,Levofloxacin,51.8,
Tibet,E. coli,Amoxicillin,5.8,
Tibet,E. coli,Ampicillin,82.7,
Tibet,E. coli,Cefazolin,78.6,
Tibet,E. coli,Cefotaxime,43.5,
Tibet,E. coli,Ceftriaxone,52.7,
Tibet,E. coli,Chloramphenicol,9.8,
Tibet,E. coli,Ciprofloxacin,33.9,
Tibet,E. coli,Gentamicin,25.9,
Tibet,E. coli,Levofloxacin,35.2,
Xinjiang,E. coli,Amoxicillin,13.8,
Xinjiang,E. coli,Ampicillin,76.2,
Xinjiang,E. coli,Cefazolin,55.4,
Xinjiang,E. coli,Cefotaxime,41.4,
Xinjiang,E. coli,Ceftriaxone,41.3,
Xinjiang,E. coli,Chloramphenicol,19.8,
Xinjiang,E. coli,Ciprofloxacin,47.3,
Xinjiang,E. coli,Gentamicin,28.4,
Xinjiang,E. coli,Levofloxacin,43.3,
Yunnan,E. coli,Amoxicillin,9.2,
Yunnan,E. coli,Ampicillin,86.6,
Yunnan,E. coli,Cefazolin,63.5,
Yunnan,E. coli,Cefotaxime,46.1,
Yunnan,E. coli,Ceftriaxone,47.1,
Yunnan,E. coli,Chloramphenicol,25.6,
Yunnan,E. coli,Ciprofloxacin,45.1,
Yunnan,E. coli,Gentamicin,34,
Yunnan,E. coli,Levofloxacin,44,
Zhejiang,E. coli,Amoxicillin,9.2,
Zhejiang,E. coli,Ampicillin,80.5,
Zhejiang,E. coli,Cefazolin,55.6,
Zhejiang,E. coli,Cefotaxime,41.6,
Zhejiang,E. coli,Ceftriaxone,46.9,
Zhejiang,E. coli,Chloramphenicol,25.2,
Zhejiang,E. coli,Ciprofloxacin,47.9,
Zhejiang,E. coli,Gentamicin,29.3,
Zhejiang,E. coli,Levofloxacin,45.1,
Anhui,K. pneumoniae,Ampicillin,88.5,
Anhui,K. pneumoniae,Cefazolin,30,
Anhui,K. pneumoniae,Cefotaxime,28.8,
Anhui,K. pneumoniae,Chloramphenicol,24.3,
Anhui,K. pneumoniae,Ceftriaxone,27,
Anhui,K. pneumoniae,Amoxicillin,17,
Anhui,K. pneumoniae,Ciprofloxacin,21.6,
Anhui,K. pneumoniae,Gentamicin,19.9,
Anhui,K. pneumoniae,Levofloxacin,18.9,
Beijing,K. pneumoniae,Ampicillin,91,
Beijing,K. pneumoniae,Cefazolin,50.7,
Beijing,K. pneumoniae,Cefotaxime,44.5,
Beijing,K. pneumoniae,Chloramphenicol,22.1,
Beijing,K. pneumoniae,Ceftriaxone,46.3,
Beijing,K. pneumoniae,Amoxicillin,32,
Beijing,K. pneumoniae,Ciprofloxacin,34.4,
Beijing,K. pneumoniae,Gentamicin,27.5,
Beijing,K. pneumoniae,Levofloxacin,32.4,
Chongqing,K. pneumoniae,Ampicillin,90.3,
Chongqing,K. pneumoniae,Cefazolin,26,
Chongqing,K. pneumoniae,Cefotaxime,17.8,
Chongqing,K. pneumoniae,Chloramphenicol,20.4,
Chongqing,K. pneumoniae,Ceftriaxone,20.6,
Chongqing,K. pneumoniae,Amoxicillin,14.4,
Chongqing,K. pneumoniae,Ciprofloxacin,15,
Chongqing,K. pneumoniae,Gentamicin,12.9,
Chongqing,K. pneumoniae,Levofloxacin,12.5,
Fujian,K. pneumoniae,Ampicillin,83.9,
Fujian,K. pneumoniae,Cefazolin,34.9,
Fujian,K. pneumoniae,Cefotaxime,34.8,
Fujian,K. pneumoniae,Chloramphenicol,30.8,
Fujian,K. pneumoniae,Ceftriaxone,29.8,
Fujian,K. pneumoniae,Amoxicillin,21.4,
Fujian,K. pneumoniae,Ciprofloxacin,22.3,
Fujian,K. pneumoniae,Gentamicin,17.5,
Fujian,K. pneumoniae,Levofloxacin,20.7,
Gansu,K. pneumoniae,Ampicillin,90.7,
Gansu,K. pneumoniae,Cefazolin,21.5,
Gansu,K. pneumoniae,Cefotaxime,10.7,
Gansu,K. pneumoniae,Chloramphenicol,16.1,
Gansu,K. pneumoniae,Ceftriaxone,14.7,
Gansu,K. pneumoniae,Amoxicillin,12.7,
Gansu,K. pneumoniae,Ciprofloxacin,8.6,
Gansu,K. pneumoniae,Gentamicin,7.5,
Gansu,K. pneumoniae,Levofloxacin,8.7,
Guangdong,K. pneumoniae,Ampicillin,94.7,
Guangdong,K. pneumoniae,Cefazolin,42,
Guangdong,K. pneumoniae,Cefotaxime,39.9,
Guangdong,K. pneumoniae,Chloramphenicol,34.6,
Guangdong,K. pneumoniae,Ceftriaxone,31.2,
Guangdong,K. pneumoniae,Amoxicillin,17.9,
Guangdong,K. pneumoniae,Ciprofloxacin,28.1,
Guangdong,K. pneumoniae,Gentamicin,22.6,
Guangdong,K. pneumoniae,Levofloxacin,21.8,
Guangxi,K. pneumoniae,Ampicillin,91.8,
Guangxi,K. pneumoniae,Cefazolin,33.7,
Guangxi,K. pneumoniae,Cefotaxime,32.8,
Guangxi,K. pneumoniae,Chloramphenicol,32.1,
Guangxi,K. pneumoniae,Ceftriaxone,26.1,
Guangxi,K. pneumoniae,Amoxicillin,19.5,
Guangxi,K. pneumoniae,Ciprofloxacin,21.2,
Guangxi,K. pneumoniae,Gentamicin,19.1,
Guangxi,K. pneumoniae,Levofloxacin,17.8,
Guizhou,K. pneumoniae,Ampicillin,83.5,
Guizhou,K. pneumoniae,Cefazolin,27.1,
Guizhou,K. pneumoniae,Cefotaxime,20.5,
Guizhou,K. pneumoniae,Chloramphenicol,16.6,
Guizhou,K. pneumoniae,Ceftriaxone,22,
Guizhou,K. pneumoniae,Amoxicillin,15.1,
Guizhou,K. pneumoniae,Ciprofloxacin,13.6,
Guizhou,K. pneumoniae,Gentamicin,14.8,
Guizhou,K. pneumoniae,Levofloxacin,12.6,
Hainan,K. pneumoniae,Ampicillin,98.3,
Hainan,K. pneumoniae,Cefazolin,24.3,
Hainan,K. pneumoniae,Cefotaxime,32.8,
Hainan,K. pneumoniae,Chloramphenicol,23.8,
Hainan,K. pneumoniae,Ceftriaxone,27.2,
Hainan,K. pneumoniae,Amoxicillin,18.9,
Hainan,K. pneumoniae,Ciprofloxacin,17,
Hainan,K. pneumoniae,Gentamicin,11.7,
Hainan,K. pneumoniae,Levofloxacin,14.7,
Hebei,K. pneumoniae,Ampicillin,89.4,
Hebei,K. pneumoniae,Cefazolin,31,
Hebei,K. pneumoniae,Cefotaxime,27,
Hebei,K. pneumoniae,Chloramphenicol,18.8,
Hebei,K. pneumoniae,Ceftriaxone,27.6,
Hebei,K. pneumoniae,Amoxicillin,19.7,
Hebei,K. pneumoniae,Ciprofloxacin,18.5,
Hebei,K. pneumoniae,Gentamicin,16.4,
Hebei,K. pneumoniae,Levofloxacin,16,
Heilongjiang,K. pneumoniae,Ampicillin,95.9,
Heilongjiang,K. pneumoniae,Cefazolin,27.1,
Heilongjiang,K. pneumoniae,Cefotaxime,21.8,
Heilongjiang,K. pneumoniae,Chloramphenicol,17.8,
Heilongjiang,K. pneumoniae,Ceftriaxone,23.2,
Heilongjiang,K. pneumoniae,Amoxicillin,14.3,
Heilongjiang,K. pneumoniae,Ciprofloxacin,16,
Heilongjiang,K. pneumoniae,Gentamicin,13.4,
Heilongjiang,K. pneumoniae,Levofloxacin,14.7,
Henan,K. pneumoniae,Ampicillin,95.6,
Henan,K. pneumoniae,Cefazolin,39,
Henan,K. pneumoniae,Cefotaxime,34.8,
Henan,K. pneumoniae,Chloramphenicol,23.3,
Henan,K. pneumoniae,Ceftriaxone,34.8,
Henan,K. pneumoniae,Amoxicillin,26.3,
Henan,K. pneumoniae,Ciprofloxacin,28.1,
Henan,K. pneumoniae,Gentamicin,22.2,
Henan,K. pneumoniae,Levofloxacin,25.9,
Hubei,K. pneumoniae,Ampicillin,97.3,
Hubei,K. pneumoniae,Cefazolin,28.7,
Hubei,K. pneumoniae,Cefotaxime,26.5,
Hubei,K. pneumoniae,Chloramphenicol,20.9,
Hubei,K. pneumoniae,Ceftriaxone,26.5,
Hubei,K. pneumoniae,Amoxicillin,17.1,
Hubei,K. pneumoniae,Ciprofloxacin,22.5,
Hubei,K. pneumoniae,Gentamicin,17,
Hubei,K. pneumoniae,Levofloxacin,19.2,
Hunan,K. pneumoniae,Ampicillin,91.2,
Hunan,K. pneumoniae,Cefazolin,30.7,
Hunan,K. pneumoniae,Cefotaxime,24,
Hunan,K. pneumoniae,Chloramphenicol,24.1,
Hunan,K. pneumoniae,Ceftriaxone,27,
Hunan,K. pneumoniae,Amoxicillin,16.3,
Hunan,K. pneumoniae,Ciprofloxacin,21.5,
Hunan,K. pneumoniae,Gentamicin,17.2,
Hunan,K. pneumoniae,Levofloxacin,17.7,
Inner Mongolia,K. pneumoniae,Ampicillin,87.5,
Inner Mongolia,K. pneumoniae,Cefazolin,25.2,
Inner Mongolia,K. pneumoniae,Cefotaxime,22,
Inner Mongolia,K. pneumoniae,Chloramphenicol,19.5,
Inner Mongolia,K. pneumoniae,Ceftriaxone,21.6,
Inner Mongolia,K. pneumoniae,Amoxicillin,8.4,
Inner Mongolia,K. pneumoniae,Ciprofloxacin,16.9,
Inner Mongolia,K. pneumoniae,Gentamicin,13.2,
Inner Mongolia,K. pneumoniae,Levofloxacin,15.1,
Jiangsu,K. pneumoniae,Ampicillin,86.1,
Jiangsu,K. pneumoniae,Cefazolin,37,
Jiangsu,K. pneumoniae,Cefotaxime,27.8,
Jiangsu,K. pneumoniae,Chloramphenicol,20.3,
Jiangsu,K. pneumoniae,Ceftriaxone,30.2,
Jiangsu,K. pneumoniae,Amoxicillin,18.5,
Jiangsu,K. pneumoniae,Ciprofloxacin,21.1,
Jiangsu,K. pneumoniae,Gentamicin,19.8,
Jiangsu,K. pneumoniae,Levofloxacin,19.5,
Jiangxi,K. pneumoniae,Ampicillin,93.4,
Jiangxi,K. pneumoniae,Cefazolin,33.3,
Jiangxi,K. pneumoniae,Cefotaxime,22,
Jiangxi,K. pneumoniae,Chloramphenicol,22.5,
Jiangxi,K. pneumoniae,Ceftriaxone,27,
Jiangxi,K. pneumoniae,Amoxicillin,18.5,
Jiangxi,K. pneumoniae,Ciprofloxacin,21.6,
Jiangxi,K. pneumoniae,Gentamicin,13.4,
Jiangxi,K. pneumoniae,Levofloxacin,18.5,
Jilin,K. pneumoniae,Ampicillin,94.5,
Jilin,K. pneumoniae,Cefazolin,32.2,
Jilin,K. pneumoniae,Cefotaxime,18.9,
Jilin,K. pneumoniae,Chloramphenicol,25.2,
Jilin,K. pneumoniae,Ceftriaxone,21.9,
Jilin,K. pneumoniae,Amoxicillin,9.7,
Jilin,K. pneumoniae,Ciprofloxacin,18.3,
Jilin,K. pneumoniae,Gentamicin,14.5,
Jilin,K. pneumoniae,Levofloxacin,14.7,
Liaoning,K. pneumoniae,Ampicillin,84.2,
Liaoning,K. pneumoniae,Cefazolin,36.3,
Liaoning,K. pneumoniae,Cefotaxime,28.5,
Liaoning,K. pneumoniae,Chloramphenicol,23.9,
Liaoning,K. pneumoniae,Ceftriaxone,32.7,
Liaoning,K. pneumoniae,Amoxicillin,18.8,
Liaoning,K. pneumoniae,Ciprofloxacin,24.4,
Liaoning,K. pneumoniae,Gentamicin,20.1,
Liaoning,K. pneumoniae,Levofloxacin,20.7,
Ningxia,K. pneumoniae,Ampicillin,78.9,
Ningxia,K. pneumoniae,Cefazolin,16.1,
Ningxia,K. pneumoniae,Cefotaxime,6.9,
Ningxia,K. pneumoniae,Chloramphenicol,9.5,
Ningxia,K. pneumoniae,Ceftriaxone,10,
Ningxia,K. pneumoniae,Amoxicillin,4.6,
Ningxia,K. pneumoniae,Ciprofloxacin,5.3,
Ningxia,K. pneumoniae,Gentamicin,4.9,
Ningxia,K. pneumoniae,Levofloxacin,4.2,
Qinghai,K. pneumoniae,Ampicillin,82,
Qinghai,K. pneumoniae,Cefazolin,8.7,
Qinghai,K. pneumoniae,Cefotaxime,3.6,
Qinghai,K. pneumoniae,Chloramphenicol,10.7,
Qinghai,K. pneumoniae,Ceftriaxone,11.9,
Qinghai,K. pneumoniae,Amoxicillin,6.2,
Qinghai,K. pneumoniae,Ciprofloxacin,7.3,
Qinghai,K. pneumoniae,Gentamicin,6,
Qinghai,K. pneumoniae,Levofloxacin,6.1,
Shaanxi,K. pneumoniae,Ampicillin,92.8,
Shaanxi,K. pneumoniae,Cefazolin,28.4,
Shaanxi,K. pneumoniae,Cefotaxime,26.1,
Shaanxi,K. pneumoniae,Chloramphenicol,20.9,
Shaanxi,K. pneumoniae,Ceftriaxone,25.5,
Shaanxi,K. pneumoniae,Amoxicillin,17.1,
Shaanxi,K. pneumoniae,Ciprofloxacin,20.1,
Shaanxi,K. pneumoniae,Gentamicin,15.7,
Shaanxi,K. pneumoniae,Levofloxacin,16.6,
Shandong,K. pneumoniae,Ampicillin,89.5,
Shandong,K. pneumoniae,Cefazolin,29.6,
Shandong,K. pneumoniae,Cefotaxime,23.8,
Shandong,K. pneumoniae,Chloramphenicol,21.2,
Shandong,K. pneumoniae,Ceftriaxone,25.2,
Shandong,K. pneumoniae,Amoxicillin,15.1,
Shandong,K. pneumoniae,Ciprofloxacin,18.7,
Shandong,K. pneumoniae,Gentamicin,15.7,
Shandong,K. pneumoniae,Levofloxacin,16.3,
Shanghai,K. pneumoniae,Ampicillin,93.5,
Shanghai,K. pneumoniae,Cefazolin,44.6,
Shanghai,K. pneumoniae,Cefotaxime,42.2,
Shanghai,K. pneumoniae,Chloramphenicol,29.2,
Shanghai,K. pneumoniae,Ceftriaxone,41.6,
Shanghai,K. pneumoniae,Amoxicillin,32.8,
Shanghai,K. pneumoniae,Ciprofloxacin,35,
Shanghai,K. pneumoniae,Gentamicin,28.8,
Shanghai,K. pneumoniae,Levofloxacin,33,
Shanxi,K. pneumoniae,Ampicillin,87.2,
Shanxi,K. pneumoniae,Cefazolin,23.5,
Shanxi,K. pneumoniae,Cefotaxime,16.8,
Shanxi,K. pneumoniae,Chloramphenicol,15.9,
Shanxi,K. pneumoniae,Ceftriaxone,18.7,
Shanxi,K. pneumoniae,Amoxicillin,11.8,
Shanxi,K. pneumoniae,Ciprofloxacin,12.1,
Shanxi,K. pneumoniae,Gentamicin,11.2,
Shanxi,K. pneumoniae,Levofloxacin,11.2,
Sichuan,K. pneumoniae,Ampicillin,83.3,
Sichuan,K. pneumoniae,Cefazolin,26.5,
Sichuan,K. pneumoniae,Cefotaxime,25.6,
Sichuan,K. pneumoniae,Chloramphenicol,19,
Sichuan,K. pneumoniae,Ceftriaxone,24.4,
Sichuan,K. pneumoniae,Amoxicillin,18,
Sichuan,K. pneumoniae,Ciprofloxacin,17.5,
Sichuan,K. pneumoniae,Gentamicin,15.7,
Sichuan,K. pneumoniae,Levofloxacin,15.9,
Tianjin,K. pneumoniae,Ampicillin,84,
Tianjin,K. pneumoniae,Cefazolin,26.8,
Tianjin,K. pneumoniae,Cefotaxime,26.3,
Tianjin,K. pneumoniae,Chloramphenicol,18.3,
Tianjin,K. pneumoniae,Ceftriaxone,26.3,
Tianjin,K. pneumoniae,Amoxicillin,13.4,
Tianjin,K. pneumoniae,Ciprofloxacin,15.5,
Tianjin,K. pneumoniae,Gentamicin,13.8,
Tianjin,K. pneumoniae,Levofloxacin,14,
Tibet,K. pneumoniae,Ampicillin,86.8,
Tibet,K. pneumoniae,Cefazolin,51.4,
Tibet,K. pneumoniae,Cefotaxime,45.5,
Tibet,K. pneumoniae,Chloramphenicol,5,
Tibet,K. pneumoniae,Ceftriaxone,40.4,
Tibet,K. pneumoniae,Amoxicillin,9.3,
Tibet,K. pneumoniae,Ciprofloxacin,8.3,
Tibet,K. pneumoniae,Gentamicin,9,
Tibet,K. pneumoniae,Levofloxacin,8.9,
Xinjiang,K. pneumoniae,Ampicillin,90.4,
Xinjiang,K. pneumoniae,Cefazolin,24.9,
Xinjiang,K. pneumoniae,Cefotaxime,27.3,
Xinjiang,K. pneumoniae,Chloramphenicol,15.6,
Xinjiang,K. pneumoniae,Ceftriaxone,19.5,
Xinjiang,K. pneumoniae,Amoxicillin,17.7,
Xinjiang,K. pneumoniae,Ciprofloxacin,16.1,
Xinjiang,K. pneumoniae,Gentamicin,8.4,
Xinjiang,K. pneumoniae,Levofloxacin,14,
Yunnan,K. pneumoniae,Ampicillin,96.9,
Yunnan,K. pneumoniae,Cefazolin,27.4,
Yunnan,K. pneumoniae,Cefotaxime,20.5,
Yunnan,K. pneumoniae,Chloramphenicol,25.3,
Yunnan,K. pneumoniae,Ceftriaxone,22.4,
Yunnan,K. pneumoniae,Amoxicillin,15.2,
Yunnan,K. pneumoniae,Ciprofloxacin,20.9,
Yunnan,K. pneumoniae,Gentamicin,18,
Yunnan,K. pneumoniae,Levofloxacin,17.2,
Zhejiang,K. pneumoniae,Ampicillin,86.3,
Zhejiang,K. pneumoniae,Cefazolin,23.7,
Zhejiang,K. pneumoniae,Cefotaxime,15.5,
Zhejiang,K. pneumoniae,Chloramphenicol,21.1,
Zhejiang,K. pneumoniae,Ceftriaxone,23.1,
Zhejiang,K. pneumoniae,Amoxicillin,12.9,
Zhejiang,K. pneumoniae,Ciprofloxacin,18.3,
Zhejiang,K. pneumoniae,Gentamicin,13,
Zhejiang,K. pneumoniae,Levofloxacin,13.6,
Anhui,A. baumannii,Ampicillin,52.3,
Anhui,A. baumannii,Cefotaxime,60.9,
Anhui,A. baumannii,Ceftriaxone,57,
Anhui,A. baumannii,Ciprofloxacin,58.9,
Anhui,A. baumannii,Gentamicin,52,
Anhui,A. baumannii,Levofloxacin,47.7,
Anhui,A. baumannii,Minocycline,9.5,
Beijing,A. baumannii,Ampicillin,44.1,
Beijing,A. baumannii,Cefotaxime,52.3,
Beijing,A. baumannii,Ceftriaxone,47.9,
Beijing,A. baumannii,Ciprofloxacin,55.6,
Beijing,A. baumannii,Gentamicin,44.2,
Beijing,A. baumannii,Levofloxacin,47.1,
Beijing,A. baumannii,Minocycline,15.8,
Chongqing,A. baumannii,Ampicillin,55.5,
Chongqing,A. baumannii,Cefotaxime,53,
Chongqing,A. baumannii,Ceftriaxone,59.6,
Chongqing,A. baumannii,Ciprofloxacin,57.9,
Chongqing,A. baumannii,Gentamicin,49.8,
Chongqing,A. baumannii,Levofloxacin,47.5,
Chongqing,A. baumannii,Minocycline,10.1,
Fujian,A. baumannii,Ampicillin,39.3,
Fujian,A. baumannii,Cefotaxime,50.3,
Fujian,A. baumannii,Ceftriaxone,43.3,
Fujian,A. baumannii,Ciprofloxacin,50.3,
Fujian,A. baumannii,Gentamicin,41,
Fujian,A. baumannii,Levofloxacin,46.8,
Fujian,A. baumannii,Minocycline,16.4,
Gansu,A. baumannii,Ampicillin,45.3,
Gansu,A. baumannii,Cefotaxime,55.3,
Gansu,A. baumannii,Ceftriaxone,46.4,
Gansu,A. baumannii,Ciprofloxacin,57.5,
Gansu,A. baumannii,Gentamicin,40.8,
Gansu,A. baumannii,Levofloxacin,46.1,
Gansu,A. baumannii,Minocycline,6.2,
Guangdong,A. baumannii,Ampicillin,47.4,
Guangdong,A. baumannii,Cefotaxime,62.1,
Guangdong,A. baumannii,Ceftriaxone,45.8,
Guangdong,A. baumannii,Ciprofloxacin,52.3,
Guangdong,A. baumannii,Gentamicin,50,
Guangdong,A. baumannii,Levofloxacin,46.6,
Guangdong,A. baumannii,Minocycline,11.6,
Guangxi,A. baumannii,Ampicillin,54.3,
Guangxi,A. baumannii,Cefotaxime,60.4,
Guangxi,A. baumannii,Ceftriaxone,48.7,
Guangxi,A. baumannii,Ciprofloxacin,55.7,
Guangxi,A. baumannii,Gentamicin,54.9,
Guangxi,A. baumannii,Levofloxacin,49.3,
Guangxi,A. baumannii,Minocycline,16.5,
Guizhou,A. baumannii,Ampicillin,50.2,
Guizhou,A. baumannii,Cefotaxime,35.7,
Guizhou,A. baumannii,Ceftriaxone,47.4,
Guizhou,A. baumannii,Ciprofloxacin,47.4,
Guizhou,A. baumannii,Gentamicin,47.3,
Guizhou,A. baumannii,Levofloxacin,36.1,
Guizhou,A. baumannii,Minocycline,10.8,
Hainan,A. baumannii,Ampicillin,44.2,
Hainan,A. baumannii,Cefotaxime,54.2,
Hainan,A. baumannii,Ceftriaxone,32.8,
Hainan,A. baumannii,Ciprofloxacin,47.7,
Hainan,A. baumannii,Gentamicin,43.3,
Hainan,A. baumannii,Levofloxacin,43.3,
Hainan,A. baumannii,Minocycline,9.1,
Hebei,A. baumannii,Ampicillin,46.6,
Hebei,A. baumannii,Cefotaxime,52.3,
Hebei,A. baumannii,Ceftriaxone,49.6,
Hebei,A. baumannii,Ciprofloxacin,55.5,
Hebei,A. baumannii,Gentamicin,47.9,
Hebei,A. baumannii,Levofloxacin,45,
Hebei,A. baumannii,Minocycline,9,
Heilongjiang,A. baumannii,Ampicillin,41.5,
Heilongjiang,A. baumannii,Cefotaxime,35.7,
Heilongjiang,A. baumannii,Ceftriaxone,26.9,
Heilongjiang,A. baumannii,Ciprofloxacin,46.2,
Heilongjiang,A. baumannii,Gentamicin,34.1,
Heilongjiang,A. baumannii,Levofloxacin,36.7,
Heilongjiang,A. baumannii,Minocycline,9.7,
Henan,A. baumannii,Ampicillin,66.4,
Henan,A. baumannii,Cefotaxime,77.2,
Henan,A. baumannii,Ceftriaxone,65.5,
Henan,A. baumannii,Ciprofloxacin,70.8,
Henan,A. baumannii,Gentamicin,66.3,
Henan,A. baumannii,Levofloxacin,64.6,
Henan,A. baumannii,Minocycline,13.1,
Hubei,A. baumannii,Ampicillin,53,
Hubei,A. baumannii,Cefotaxime,51,
Hubei,A. baumannii,Ceftriaxone,60.5,
Hubei,A. baumannii,Ciprofloxacin,60.9,
Hubei,A. baumannii,Gentamicin,55.8,
Hubei,A. baumannii,Levofloxacin,52.8,
Hubei,A. baumannii,Minocycline,11.5,
Hunan,A. baumannii,Ampicillin,50.6,
Hunan,A. baumannii,Cefotaxime,40,
Hunan,A. baumannii,Ceftriaxone,53.1,
Hunan,A. baumannii,Ciprofloxacin,57,
Hunan,A. baumannii,Gentamicin,45.9,
Hunan,A. baumannii,Levofloxacin,48.5,
Hunan,A. baumannii,Minocycline,13,
Inner Mongolia,A. baumannii,Ampicillin,44.8,
Inner Mongolia,A. baumannii,Cefotaxime,47.2,
Inner Mongolia,A. baumannii,Ceftriaxone,46,
Inner Mongolia,A. baumannii,Ciprofloxacin,52.6,
Inner Mongolia,A. baumannii,Gentamicin,38.9,
Inner Mongolia,A. baumannii,Levofloxacin,37.4,
Inner Mongolia,A. baumannii,Minocycline,15.4,
Jiangsu,A. baumannii,Ampicillin,60.9,
Jiangsu,A. baumannii,Cefotaxime,67.6,
Jiangsu,A. baumannii,Ceftriaxone,59.6,
Jiangsu,A. baumannii,Ciprofloxacin,60.6,
Jiangsu,A. baumannii,Gentamicin,50.9,
Jiangsu,A. baumannii,Levofloxacin,51.8,
Jiangsu,A. baumannii,Minocycline,11,
Jiangxi,A. baumannii,Ampicillin,51.7,
Jiangxi,A. baumannii,Cefotaxime,50.6,
Jiangxi,A. baumannii,Ceftriaxone,48.9,
Jiangxi,A. baumannii,Ciprofloxacin,56.6,
Jiangxi,A. baumannii,Gentamicin,43.7,
Jiangxi,A. baumannii,Levofloxacin,49.6,
Jiangxi,A. baumannii,Minocycline,11,
Jilin,A. baumannii,Ampicillin,27.7,
Jilin,A. baumannii,Cefotaxime,25.6,
Jilin,A. baumannii,Ceftriaxone,37.4,
Jilin,A. baumannii,Ciprofloxacin,46.7,
Jilin,A. baumannii,Gentamicin,32.2,
Jilin,A. baumannii,Levofloxacin,40.9,
Jilin,A. baumannii,Minocycline,7.1,
Liaoning,A. baumannii,Ampicillin,53.7,
Liaoning,A. baumannii,Cefotaxime,58.9,
Liaoning,A. baumannii,Ceftriaxone,55.8,
Liaoning,A. baumannii,Ciprofloxacin,66,
Liaoning,A. baumannii,Gentamicin,61.9,
Liaoning,A. baumannii,Levofloxacin,55.5,
Liaoning,A. baumannii,Minocycline,13.2,
Ningxia,A. baumannii,Ampicillin,16.6,
Ningxia,A. baumannii,Cefotaxime,11.1,
Ningxia,A. baumannii,Ceftriaxone,19.4,
Ningxia,A. baumannii,Ciprofloxacin,37.3,
Ningxia,A. baumannii,Gentamicin,18.1,
Ningxia,A. baumannii,Levofloxacin,30.1,
Ningxia,A. baumannii,Minocycline,18.6,
Qinghai,A. baumannii,Ampicillin,21.7,
Qinghai,A. baumannii,Cefotaxime,15.9,
Qinghai,A. baumannii,Ceftriaxone,21.5,
Qinghai,A. baumannii,Ciprofloxacin,28.1,
Qinghai,A. baumannii,Gentamicin,14,
Qinghai,A. baumannii,Levofloxacin,23.6,
Qinghai,A. baumannii,Minocycline,21.8,
Shaanxi,A. baumannii,Ampicillin,53.7,
Shaanxi,A. baumannii,Cefotaxime,58.4,
Shaanxi,A. baumannii,Ceftriaxone,66.3,
Shaanxi,A. baumannii,Ciprofloxacin,57.1,
Shaanxi,A. baumannii,Gentamicin,53.6,
Shaanxi,A. baumannii,Levofloxacin,48.4,
Shaanxi,A. baumannii,Minocycline,9,
Shandong,A. baumannii,Ampicillin,45.1,
Shandong,A. baumannii,Cefotaxime,48.2,
Shandong,A. baumannii,Ceftriaxone,50.2,
Shandong,A. baumannii,Ciprofloxacin,54.6,
Shandong,A. baumannii,Gentamicin,49,
Shandong,A. baumannii,Levofloxacin,49.6,
Shandong,A. baumannii,Minocycline,11.8,
Shanghai,A. baumannii,Ampicillin,50.6,
Shanghai,A. baumannii,Cefotaxime,43.1,
Shanghai,A. baumannii,Ceftriaxone,58.4,
Shanghai,A. baumannii,Ciprofloxacin,59.5,
Shanghai,A. baumannii,Gentamicin,47,
Shanghai,A. baumannii,Levofloxacin,50.6,
Shanghai,A. baumannii,Minocycline,14.3,
Shanxi,A. baumannii,Ampicillin,44.7,
Shanxi,A. baumannii,Cefotaxime,57.6,
Shanxi,A. baumannii,Ceftriaxone,51,
Shanxi,A. baumannii,Ciprofloxacin,52.3,
Shanxi,A. baumannii,Gentamicin,43.5,
Shanxi,A. baumannii,Levofloxacin,44.6,
Shanxi,A. baumannii,Minocycline,16.2,
Sichuan,A. baumannii,Ampicillin,43.9,
Sichuan,A. baumannii,Cefotaxime,51.1,
Sichuan,A. baumannii,Ceftriaxone,47.9,
Sichuan,A. baumannii,Ciprofloxacin,48.4,
Sichuan,A. baumannii,Gentamicin,42.2,
Sichuan,A. baumannii,Levofloxacin,41.1,
Sichuan,A. baumannii,Minocycline,14.4,
Tianjin,A. baumannii,Ampicillin,22.4,
Tianjin,A. baumannii,Cefotaxime,33.1,
Tianjin,A. baumannii,Ceftriaxone,27.5,
Tianjin,A. baumannii,Ciprofloxacin,31.5,
Tianjin,A. baumannii,Gentamicin,25.1,
Tianjin,A. baumannii,Levofloxacin,27.1,
Tianjin,A. baumannii,Minocycline,4.9,
Tibet,A. baumannii,Ampicillin,43.5,
Tibet,A. baumannii,Cefotaxime,46.5,
Tibet,A. baumannii,Ceftriaxone,61.7,
Tibet,A. baumannii,Ciprofloxacin,51.6,
Tibet,A. baumannii,Gentamicin,33.5,
Tibet,A. baumannii,Levofloxacin,28.1,
Tibet,A. baumannii,Minocycline,0,
Xinjiang,A. baumannii,Ampicillin,43.9,
