scenario,matrix,env_class,endpoint,driver_metric,n_provinces,n_clusters,env_records_total,env_refs_total,n_units,env_year_min,env_year_max,env_amr_rho,env_amr_p,partial_env_amr_rho,partial_env_amr_p,cluster_contrast_p,cluster_contrast_epsilon,driver_env_rho,driver_env_p,driver_amr_rho,driver_amr_p,coherent_direction,loo_sign_stability,loo_influence_ratio,loo_most_influential_province,env_amr_q_fdr,partial_env_amr_q_fdr
all_years,soil,diaminopyrimidines,E. coli | Levofloxacin,milk_output_2024,8,3,9,8,1,2008,2015,-0.16868694244915797,0.689660806707391,-0.02380952380952381,0.9553740118158809,0.24103244438393973,0.07490909090909051,-0.5542570966186618,0.1539883457589951,0.7380952380952381,0.03655276105286072,TRUE,0.75,1.3234066120763364,Beijing,0.985139664720586,0.9867239251522226
all_years,soil,diaminopyrimidines,K. pneumoniae | Chloramphenicol,freshwater_aquatic_products_2024,8,3,9,8,1,2008,2015,-0.16868694244915797,0.689660806707391,0.02380952380952381,0.9553740118158807,0.24103244438393973,0.07490909090909051,0.44581549075848886,0.26825005020123793,0.7142857142857143,0.04652823228416723,FALSE,0.875,1.6409061303369823,Chongqing,0.985139664720586,0.9867239251522226
all_years,soil,diaminopyrimidines,S. aureus | Erythromycin,milk_output_2024,8,3,9,8,1,2008,2015,-0.16868694244915797,0.689660806707391,-0.02380952380952381,0.9553740118158809,0.24103244438393973,0.07490909090909051,-0.5542570966186618,0.1539883457589951,0.7380952380952381,0.03655276105286072,TRUE,0.75,1.3234066120763364,Beijing,0.985139664720586,0.9867239251522226
all_years,sediment,diaminopyrimidines,P. aeruginosa | Meropenem,urban_share_2024,18,3,122,45,2,2008,2020,-0.16821465428276572,0.5046325110850315,0.005159958720330237,0.9837879533049654,0.01039862314664235,0.47547758284600455,0.28586171310629516,0.2501695935454805,0.4613003095975232,0.05399047637734738,FALSE,1,0.7047546012269943,Beijing,0.9606720658320372,0.993893859033422
all_years,sediment,fluoroquinolones,E. coli | Ciprofloxacin,milk_output_2024,23,3,950,128,2,2007,2025,-0.16798418972332016,0.44357751168209614,-0.13636363636363635,0.5349839119305697,0.025862178954528397,0.2654973649538867,-0.10573122529644269,0.6311269024565604,0.6867588932806324,2.9542354789082316e-4,TRUE,1,0.5932773109243696,Guangdong,0.9606720658320372,0.9606462350922552
all_years,surface water,fluoroquinolones,S. aureus | Tetracycline,milk_output_2024,15,3,77,21,1,2015,2024,-0.16785714285714284,0.549855554227801,-0.2678571428571428,0.33444360051235367,0.27743910513984715,0.014965986394557854,0.42857142857142855,0.11096021426087677,-0.49642857142857144,0.059797413749923985,TRUE,1,0.9607201309328969,Hainan,0.9635870238806898,0.9248305921258484
all_years,surface water,fluoroquinolones,E. coli | Amikacin,chemical_fertilizers_2024,15,3,77,21,1,2015,2024,0.16785714285714284,0.5498555542278019,-0.09642857142857142,0.7324528633867305,0.27743910513984715,0.014965986394557854,0.4107142857142857,0.1283286460157489,0.575,0.024936227942582555,TRUE,1,0.8297872340425532,Hebei,0.9635870238806898,0.9729669155213013
all_years,surface water,tetracyclines,S. aureus | Erythromycin,grp_per_capita_2024,15,2,42,17,1,2015,2024,0.16785714285714284,0.5498555542278019,-0.05714285714285713,0.8396998687415758,1,0,-0.49642857142857144,0.059797413749923985,-0.425,0.11429547548052241,TRUE,0.8666666666666667,1.1178396072013095,Henan,0.9635870238806898,0.9842154623604513
all_years,sediment,lincosamides,E. coli | Cefepime,urban_env_infra_investment_2024,13,3,26,22,1,2010,2018,-0.16781308860362248,0.5836890454315047,-0.13186813186813187,0.6676075762175147,0.2592759711301179,0.06997245179063301,-0.03301241087284377,0.914739660218673,0.7472527472527473,0.0033267413834299686,TRUE,0.8461538461538461,1.0208722237987349,Guangxi,0.9753008823697024,0.9729669155213013
all_years,sediment,macrolides,A. baumannii | Polymyxin B,hospital_beds_2024,22,3,430,93,2,2008,2025,0.1677018633540373,0.45567700180801307,0.08977978543195936,0.6911257270991122,0.003177020108859277,0.4751811594202898,-0.20948616600790515,0.3494473524394881,-0.4997176736307171,0.01788138711838155,TRUE,1,0.6882154882154877,Shaanxi,0.9606720658320372,0.9729669155213013
all_years,soil,sulfonamides,E. coli | Cefepime,grp_per_capita_2024,20,3,313,56,2,2006,2019,0.16729507710351121,0.48081939780263927,0.13984962406015036,0.5564935505662204,0.22138678024989444,0.059746349446122726,0.5425786284438201,0.01344424302302041,-0.09924812030075188,0.6771888443218219,FALSE,1,0.8008531531434088,Jilin,0.9606720658320372,0.9606462350922552
all_years,sediment,tetracyclines,S. aureus | Amikacin,urban_env_infra_investment_2024,23,3,693,129,2,2004,2025,-0.16703731668820807,0.446188160945993,-0.1116600790513834,0.611992848751711,0.06310630550908343,0.17629345855989417,-0.35334816991736323,0.09813788776686909,0.34881422924901184,0.10283305097355999,TRUE,1,0.6990595347425715,Tianjin,0.9606720658320372,0.9606462350922552
all_years,sediment,fluoroquinolones,E. coli | Nitrofurantoin,grp_per_capita_2024,23,3,950,128,2,2007,2025,0.16699604743083005,0.44630212952560666,0.13537549407114624,0.5379749676391852,0.025862178954528397,0.2654973649538867,-0.20454545454545456,0.34916435580619787,-0.4683794466403162,0.024186493084323274,TRUE,1,0.91039729501268,Tianjin,0.9606720658320372,0.9606462350922552
all_years,wastewater influent,sulfonamides,E. coli | Ertapenem,total_aquatic_products_2024,9,3,30,9,1,2016,2024,0.16666666666666666,0.6682310400715041,0.03333333333333333,0.932156735540504,0.8007374029168087,0,-0.43333333333333335,0.2439524358800516,0.4666666666666667,0.2053863511058118,FALSE,1,3.000000000000001,Shanxi,0.985139664720586,0.9853330220901917
all_years,soil,sulfonamides,K. pneumoniae | Ertapenem,EconomicScaleIndex,20,3,313,56,2,2006,2019,0.16654149567511703,0.4828261881409842,-0.09473684210526316,0.6911525963694352,0.22138678024989444,0.059746349446122726,0.5737461236962149,0.008166765310944247,0.319157147360672,0.17018827297426553,TRUE,1,0.7046527657232715,Jilin,0.9606720658320372,0.9729669155213013
all_years,sediment,sulfonamides,K. pneumoniae | Cefotaxime,grp_2024,24,3,1061,135,2,2008,2025,-0.16612307415977004,0.4378658769187529,-0.1408695652173913,0.511462281884675,0.0015521231748156271,0.520774428109915,-0.23961731377495624,0.2594293755011346,0.32869565217391306,0.11682275058870716,TRUE,1,0.8265653567000947,Guangdong,0.9606720658320372,0.9606462350922552
all_years,soil,tetracyclines,P. aeruginosa | Polymyxin B,hogs_year_end_2024,24,3,312,68,2,2007,2022,-0.1660869565217391,0.43796690160823903,-0.2913043478260869,0.16725434336435252,0.48567178524771265,0,-0.2643478260869565,0.2119392787870507,-0.3660869565217391,0.07851394802456467,FALSE,1,0.707520228462637,Beijing,0.9606720658320372,0.8449663040229046
all_years,sludge,sulfonamides,K. pneumoniae | Cefotetan,grp_per_capita_2024,16,3,143,28,1,2005,2017,-0.1657971283913127,0.5394377577999108,-0.16470588235294117,0.5421481352010775,0.6133729962850374,0,-0.3162426708204668,0.23275560389798974,0.6205882352941177,0.010313515549677674,TRUE,1,0.72752607006172,Gansu,0.9606720658320372,0.9606462350922552
all_years,soil,phenicols,E. coli | Ciprofloxacin,milk_output_2024,10,3,22,13,1,2007,2016,-0.16565664216775916,0.6474077386053475,0.3454545454545454,0.32822651147136733,0.17609777149412834,0.11860744297719157,-0.7301163117764201,0.01650624549810055,0.6484848484848484,0.042540127684489414,TRUE,0.7,1.2512524829144944,Shanghai,0.985139664720586,0.921151822516418
all_years,soil,phenicols,E. coli | Nitrofurantoin,milk_output_2024,10,3,22,13,1,2007,2016,-0.16565664216775916,0.6474077386053475,0.3090909090909091,0.38484123026128325,0.17609777149412834,0.11860744297719157,-0.7301163117764201,0.01650624549810055,0.503030303030303,0.13833369839449197,TRUE,0.9,1.1515473326885874,Hebei,0.985139664720586,0.9421113234318428
