scenario,matrix,env_class,endpoint,driver_metric,n_provinces,n_clusters,env_records_total,env_refs_total,n_units,env_year_min,env_year_max,env_amr_rho,env_amr_p,partial_env_amr_rho,partial_env_amr_p,cluster_contrast_p,cluster_contrast_epsilon,driver_env_rho,driver_env_p,driver_amr_rho,driver_amr_p,coherent_direction,loo_sign_stability,loo_influence_ratio,loo_most_influential_province,coverage_score,interpretability_score,cluster_contrast_score,loo_sign_stability_score,driver_env_amr_coherence_score,env_amr_q_fdr,partial_env_amr_q_fdr,matrix_consistency_score,pathway_total_score,pathway_class,pathway_class_rank,rf_driver_support,elastic_net_driver_support,multivariable_env_support,bootstrap_sign_stability
sample_year_ge_2012,soil,fluoroquinolones,K. pneumoniae | Cefazolin,hospitals_count_2024,16,3,172,30,2,2012,2020,0.4915380285838923,0.05314841272291848,0.41764705882352937,0.10747407939930062,0.5496407329013963,0,-0.5798382732396814,0.018555296399772953,-0.08529411764705883,0.7534650694747835,TRUE,1,0.27265592450631115,Chongqing,3,3,0,5,4,0.9897658389202042,0.8923316199968259,4,19,Strong lead,2,,,,NA
all_years,sludge,fluoroquinolones,K. pneumoniae | Cefotetan,grp_per_capita_2024,16,3,149,31,2,2005,2017,0.4889023020304169,0.05463420655549042,0.19705882352941176,0.4644642112257388,0.06923543109736396,0.25696039035591295,0.4933468684125115,0.052146211631197946,0.5470588235294118,0.02830108724210882,TRUE,1,0.3342828139232823,Shanghai,3,2,4,5,5,0.8679810523175701,0.9595063759323308,0,19,Strong lead,2,,,,NA
all_years,sludge,fluoroquinolones,K. pneumoniae | Cefoxitin,grp_per_capita_2024,16,3,149,31,2,2005,2017,0.4829762135209573,0.05808673575886021,0.1823529411764706,0.4990748572457999,0.06923543109736396,0.25696039035591295,0.4933468684125115,0.052146211631197946,0.6676470588235294,0.004711981947989975,TRUE,1,0.3283908484198794,Shanghai,3,2,4,5,5,0.8679810523175701,0.9595063759323308,0,19,Strong lead,2,,,,NA
all_years,sludge,fluoroquinolones,P. aeruginosa | Aztreonam,grp_per_capita_2024,16,3,149,31,2,2005,2017,0.48001316926622756,0.059872065183671073,0.3382352941176471,0.2000655587786896,0.06923543109736396,0.25696039035591295,0.4933468684125115,0.052146211631197946,0.6558823529411765,0.005800736962231502,TRUE,1,0.1854247261432733,Heilongjiang,3,2,4,5,5,0.8679810523175701,0.8676945888974847,0,19,Strong lead,2,,,,NA
all_years,sludge,fluoroquinolones,K. pneumoniae | Nitrofurantoin,sewage_disposal_capacity_2024,16,3,149,31,2,2005,2017,0.47408708075676786,0.06356332408087917,0.23235294117647057,0.38651134990798497,0.06923543109736396,0.25696039035591295,0.41334467353480697,0.11152120896786284,0.8323529411764706,6.328124573232565e-5,TRUE,1,0.3457378518175413,Shanghai,3,2,4,5,5,0.8679810523175701,0.9463461751110305,0,19,Strong lead,2,,,,NA
all_years,sludge,fluoroquinolones,P. aeruginosa | Meropenem,grp_per_capita_2024,16,3,149,31,2,2005,2017,0.47408708075676786,0.06356332408087917,0.32352941176470584,0.22157412500124293,0.06923543109736396,0.25696039035591295,0.4933468684125115,0.052146211631197946,0.7029411764705882,0.002386952669300937,TRUE,1,0.2776949267256433,Shanghai,3,2,4,5,5,0.8679810523175701,0.8765075626352271,0,19,Strong lead,2,,,,NA
all_years,sludge,fluoroquinolones,K. pneumoniae | Aztreonam,sewage_disposal_capacity_2024,16,3,149,31,2,2005,2017,0.46667947011994343,0.06840856264864184,0.1823529411764706,0.4990748572457999,0.06923543109736396,0.25696039035591295,0.41334467353480697,0.11152120896786284,0.7794117647058824,3.7168023647875557e-4,TRUE,1,0.34405777959304984,Shanghai,3,2,4,5,5,0.8679810523175701,0.9595063759323308,0,19,Strong lead,2,,,,NA
all_years,sludge,fluoroquinolones,P. aeruginosa | Ceftazidime,sewage_pipe_length_2024,16,3,149,31,2,2005,2017,0.4044555407706176,0.12021846038056233,0.3352941176470588,0.20425458084551526,0.06923543109736396,0.25696039035591295,0.5555707977618373,0.025461783832817764,0.45294117647058824,0.07809874141672514,TRUE,1,0.42562016835410327,Guangdong,3,2,4,5,5,0.8829195963030366,0.8676945888974847,0,19,Strong lead,2,,,,NA
all_years,sludge,fluoroquinolones,P. aeruginosa | Piperacillin,sewage_pipe_length_2024,16,3,149,31,2,2005,2017,0.31852725738345344,0.22921241374400053,0.25588235294117645,0.33878990807124576,0.06923543109736396,0.25696039035591295,0.5555707977618373,0.025461783832817764,0.42058823529411765,0.10476751392918707,TRUE,1,0.4877631172624455,Guangdong,3,2,4,5,5,0.9093446062785512,0.9288832142478545,0,19,Strong lead,2,,,,NA
sample_year_ge_2012,soil,fluoroquinolones,K. pneumoniae | Aztreonam,hospitals_count_2024,16,3,172,30,2,2012,2020,0.3149375392723142,0.23479513802098395,0.17058823529411765,0.5276097688612678,0.5496407329013963,0,-0.5798382732396814,0.018555296399772953,-0.05,0.8540995521297435,TRUE,1,0.4982337623400334,Chongqing,3,3,0,5,4,0.9897658389202042,0.9821372580715791,4,19,Strong lead,2,,,,NA
sample_year_ge_2012,soil,fluoroquinolones,S. aureus | Erythromycin,milk_output_2024,16,3,172,30,2,2012,2020,-0.31346586852805103,0.23710835647309994,-0.2411764705882353,0.36820660804263405,0.5496407329013963,0,-0.4768213211412608,0.061840063407345575,0.8029411764705883,1.805167946798438e-4,TRUE,1,0.7390403625681816,Zhejiang,3,3,0,5,5,0.9897658389202042,0.974152915766339,3,19,Strong lead,2,,,,NA
all_years,sludge,sulfonamides,E. coli | Ciprofloxacin,milk_output_2024,16,3,143,28,1,2005,2017,-0.31010203643560336,0.24244923311204383,-0.38235294117647056,0.14385924954389048,0.6133729962850374,0,-0.024562537539453734,0.928054318697964,0.7941176470588235,2.391909276256316e-4,TRUE,1,0.675310004868039,Hebei,3,4,0,5,4,0.9093446062785512,0.8262958158777495,3,19,Strong lead,2,,,,NA
all_years,sludge,sulfonamides,A. baumannii | Tigecycline,grp_per_capita_2024,16,3,143,28,1,2005,2017,-0.3039614020507399,0.2523910528519637,-0.34705882352941175,0.1878344201062993,0.6133729962850374,0,-0.3162426708204668,0.23275560389798974,0.4323529411764706,0.09442103753478695,TRUE,1,0.3499844710578424,Heilongjiang,3,2,0,5,5,0.9093446062785512,0.8542273220336912,4,19,Strong lead,2,,,,NA
sample_year_ge_2012,soil,fluoroquinolones,S. aureus | Oxacillin,pork_output_2024,16,3,172,30,2,2012,2020,0.30169250257394586,0.25612729129224804,0.24705882352941175,0.35627504151257705,0.5496407329013963,0,-0.35320097862315614,0.179615920720431,-0.3029411764705882,0.25406688060961147,TRUE,1,0.49643621328593485,Tibet,3,3,0,5,5,0.9897658389202042,0.9655766392564423,3,19,Strong lead,2,,,,NA
sample_year_ge_2012,soil,fluoroquinolones,K. pneumoniae | Ceftriaxone,hospitals_count_2024,16,3,172,30,2,2012,2020,0.30022083182968273,0.2585688524343966,0.12352941176470587,0.6485420669723405,0.5496407329013963,0,-0.5798382732396814,0.018555296399772953,-0.023529411764705882,0.9310735836676594,TRUE,1,0.5240500303779778,Chongqing,3,3,0,5,4,0.9897658389202042,0.9976904278610887,4,19,Strong lead,2,,,,NA
sample_year_ge_2012,soil,fluoroquinolones,E. coli | Cefepime,hospitals_count_2024,16,3,172,30,2,2012,2020,0.2869757951313144,0.2811847165470148,0.2029411764705882,0.45096124172270946,0.5496407329013963,0,-0.5798382732396814,0.018555296399772953,-0.06470588235294118,0.8118214513105935,TRUE,1,0.7127244932733285,Tianjin,3,3,0,5,4,0.9897658389202042,0.9821372580715791,4,19,Strong lead,2,,,,NA
sample_year_ge_2012,soil,fluoroquinolones,P. aeruginosa | Amikacin,milk_output_2024,16,3,172,30,2,2012,2020,-0.28256078289852493,0.28897971738094536,-0.29117647058823526,0.2738870484191491,0.5496407329013963,0,-0.4768213211412608,0.061840063407345575,0.5117647058823529,0.04272344816333181,TRUE,1,0.6810542323935485,Sichuan,3,3,0,5,4,0.9897658389202042,0.9308538455560896,4,19,Strong lead,2,,,,NA
sample_year_ge_2012,soil,fluoroquinolones,S. aureus | Rifampicin,hospital_beds_2024,16,3,172,30,2,2012,2020,0.2693157462001565,0.31313059088184964,0.37941176470588234,0.1472271338628927,0.5496407329013963,0,-0.45768960146583987,0.07464389856838678,-0.058823529411764705,0.8286807500332257,TRUE,1,0.581901233981861,Zhejiang,3,3,0,5,4,0.9897658389202042,0.8958519845862993,4,19,Strong lead,2,,,,NA
sample_year_ge_2012,soil,fluoroquinolones,K. pneumoniae | Nitrofurantoin,hospitals_count_2024,16,3,172,30,2,2012,2020,-0.25754238024605136,0.3355560035450882,-0.4705882352941176,0.06581947250108118,0.5496407329013963,0,-0.5798382732396814,0.018555296399772953,0.3352941176470588,0.20425458084551526,TRUE,1,0.6183071129276583,Tibet,3,3,0,5,4,0.9897658389202042,0.8129156205499035,4,19,Strong lead,2,,,,NA
all_years,sludge,fluoroquinolones,E. coli | Ceftazidime,EconomicScaleIndex,16,3,149,31,2,2005,2017,-0.18519026592061247,0.49230404221317237,-0.16176470588235292,0.5494831434036933,0.06923543109736396,0.25696039035591295,0.4447838054515712,0.08430108728541173,-0.09565859837710479,0.7245341106311589,TRUE,1,0.9167819568563005,Jiangsu,3,2,4,4,3,0.9640431604344515,0.9595063759323308,3,19,Strong lead,2,,,,NA
sample_year_ge_2012,soil,fluoroquinolones,S. aureus | Ciprofloxacin,LivestockAquacultureIndex,16,3,172,30,2,2012,2020,0.17218547707878862,0.5236929036366567,-0.15,0.5792486306642537,0.5496407329013963,0,-0.42825618658057685,0.0979376831422605,-0.21176470588235294,0.4310832472392212,TRUE,1,0.8372862746022979,Chongqing,3,5,0,4,3,0.9897658389202042,0.9907825372674743,4,19,Strong lead,2,,,,NA
all_years,sludge,fluoroquinolones,E. coli | Tigecycline,EconomicScaleIndex,16,3,149,31,2,2005,2017,-0.14963373486385487,0.580185972265139,-0.1588235294117647,0.5568612810855392,0.06923543109736396,0.25696039035591295,0.4447838054515712,0.08430108728541173,-0.2236939531279989,0.4049436432683515,TRUE,0.9375,1.2287961575882653,Gansu,3,2,4,4,3,0.9772343284465861,0.9595063759323308,3,19,Strong lead,2,,,,NA
all_years,sludge,sulfonamides,P. aeruginosa | Ciprofloxacin,grp_per_capita_2024,16,3,143,28,1,2005,2017,-0.1289533220821321,0.634097645117782,-0.2823529411764706,0.2893498290632741,0.6133729962850374,0,-0.3162426708204668,0.23275560389798974,0.47058823529411764,0.06581947250108118,TRUE,1,0.8975862977844508,Zhejiang,3,4,0,4,4,0.986382660126367,0.900578520216359,4,19,Strong lead,2,,,,NA
all_years,sludge,fluoroquinolones,A. baumannii | Ciprofloxacin,WastewaterHealthIndex,16,3,149,31,2,2005,2017,0.08740980551452908,0.74753304492681,-0.15,0.5792486306642537,0.06923543109736396,0.25696039035591295,0.3719426615811173,0.15601912584726113,0.4156237127984499,0.1093643140792361,TRUE,0.8125,2.010091154241146,Jiangsu,3,5,4,3,4,0.986382660126367,0.9595063759323308,0,19,Strong lead,2,,,,NA
all_years,sludge,fluoroquinolones,E. coli | Cefuroxime,EconomicScaleIndex,16,3,149,31,2,2005,2017,-0.07852067275033968,0.7725422898425638,-0.020588235294117647,0.939673739789045,0.06923543109736396,0.25696039035591295,0.4447838054515712,0.08430108728541173,-0.24576901429194617,0.3588725182917606,TRUE,0.875,2.5110099535367065,Jiangsu,3,2,4,4,3,0.986382660126367,0.9863711687033073,3,19,Strong lead,2,,,,NA
all_years,sludge,fluoroquinolones,P. aeruginosa | Ciprofloxacin,EconomicScaleIndex,16,3,149,31,2,2005,2017,0.06222392934932578,0.8189259093548023,-0.18823529411764706,0.4850866091454683,0.06923543109736396,0.25696039035591295,0.4447838054515712,0.08430108728541173,0.4709346381642082,0.06559352933256057,TRUE,0.75,2.330159612014663,Tianjin,3,5,4,3,4,0.986382660126367,0.9595063759323308,0,19,Strong lead,2,,,,NA
all_years,sludge,fluoroquinolones,A. baumannii | Polymyxin B,urban_share_2024,16,3,149,31,2,2005,2017,0.05333479658513639,0.8444755232214609,0.3352941176470588,0.20425458084551526,0.06923543109736396,0.25696039035591295,0.39408488587906326,0.13094775073762935,0.14705882352941177,0.5867933937012053,TRUE,0.75,2.851401986069132,Heilongjiang,3,2,4,3,3,0.986382660126367,0.8676945888974847,4,19,Strong lead,2,,,,NA
sample_year_ge_2012,soil,fluoroquinolones,K. pneumoniae | Ciprofloxacin,EconomicScaleIndex,16,3,172,30,2,2012,2020,0.048565134560683974,0.8582465098077368,-0.09411764705882353,0.7288144270239802,0.5496407329013963,0,0.030950634785606057,0.909407284601776,0.530192033021272,0.034635052758015705,TRUE,0.875,4.630758705984546,Tibet,3,5,0,4,3,0.9897658389202042,0.9983183529452494,4,19,Strong lead,2,,,,NA
sample_year_ge_2012,sludge,sulfonamides,A. baumannii | Minocycline,grp_per_capita_2024,15,3,109,21,1,2012,2017,-0.7456984487516306,0.0014149228262566975,-0.782142857142857,5.697096277734917e-4,0.5221737448390016,0,-0.5287679909329744,0.04270586050349203,0.42142857142857143,0.11769939585541658,TRUE,1,0.0921293762441298,Chongqing,3,2,0,5,5,0.7131211044333755,0.1640763727987656,4,19,Strong lead,2,,,,NA
sample_year_ge_2012,sludge,fluoroquinolones,K. pneumoniae | Imipenem,sewage_disposal_capacity_2024,15,3,107,22,2,2012,2017,0.6306562238868914,0.011713349892440312,0.2571428571428571,0.35486036365060913,0.10733147527766454,0.20530555555555607,0.5549774770204643,0.03176006340336768,0.6678571428571428,0.006509956694715437,TRUE,1,0.2986354506831802,Shanghai,3,2,4,5,5,0.8944739917863511,0.9655766392564423,0,19,Strong lead,2,,,,NA
sample_year_ge_2012,sludge,fluoroquinolones,P. aeruginosa | Ceftazidime,sewage_pipe_length_2024,15,3,107,22,2,2012,2017,0.6162412244837623,0.014430708493558103,0.2785714285714285,0.31470947323079085,0.10733147527766454,0.20530555555555607,0.6144393495583712,0.014801962722011862,0.45,0.09235737494812266,TRUE,1,0.29827307148951465,Guangdong,3,2,4,5,5,0.9259884314288425,0.9407262299986144,0,19,Strong lead,2,,,,NA
sample_year_ge_2012,sludge,fluoroquinolones,K. pneumoniae | Ertapenem,sewage_disposal_capacity_2024,15,3,107,22,2,2012,2017,0.594618725379069,0.019391221903967117,0.40357142857142847,0.13576799650365637,0.10733147527766454,0.20530555555555607,0.5549774770204643,0.03176006340336768,0.5535714285714286,0.03228710377012356,TRUE,1,0.24369032584009537,Shanghai,3,2,4,5,5,0.9657949031671055,0.8958519845862993,0,19,Strong lead,2,,,,NA
sample_year_ge_2012,sludge,fluoroquinolones,K. pneumoniae | Nitrofurantoin,sewage_disposal_capacity_2024,15,3,107,22,2,2012,2017,0.5892131006028956,0.020813984084926948,0.19285714285714284,0.49104870160522307,0.10733147527766454,0.20530555555555607,0.5549774770204643,0.03176006340336768,0.825,1.5323557090564664e-4,TRUE,1,0.3225385554531263,Shanghai,3,2,4,5,5,0.9657949031671055,0.9821372580715791,0,19,Strong lead,2,,,,NA
sample_year_ge_2012,sludge,fluoroquinolones,K. pneumoniae | Cefoxitin,grp_2024,15,3,107,22,2,2012,2017,0.5838074758267222,0.022315184851100556,0.19999999999999996,0.4748139645221686,0.10733147527766454,0.20530555555555607,0.5261474782142064,0.043936733609912244,0.6571428571428571,0.007770251358668445,TRUE,1,0.3120967312691112,Shanghai,3,2,4,5,5,0.9657949031671055,0.9821372580715791,0,19,Strong lead,2,,,,NA
sample_year_ge_2012,sludge,fluoroquinolones,P. aeruginosa | Imipenem,grp_per_capita_2024,15,3,107,22,2,2012,2017,0.5531756020950732,0.03243665331783309,0.2107142857142857,0.45095786521528547,0.10733147527766454,0.20530555555555607,0.47929873015403734,0.07064113310210575,0.725,0.0022270323137542174,TRUE,1,0.32090324557843,Shanghai,3,2,4,5,5,0.9657949031671055,0.9821372580715791,0,19,Strong lead,2,,,,NA
