scenario,matrix,env_class,endpoint,driver_metric,n_provinces,n_clusters,env_records_total,env_refs_total,n_units,env_year_min,env_year_max,env_amr_rho,env_amr_p,partial_env_amr_rho,partial_env_amr_p,cluster_contrast_p,cluster_contrast_epsilon,driver_env_rho,driver_env_p,driver_amr_rho,driver_amr_p,coherent_direction,loo_sign_stability,loo_influence_ratio,loo_most_influential_province,coverage_score,interpretability_score,cluster_contrast_score,loo_sign_stability_score,driver_env_amr_coherence_score,env_amr_q_fdr,partial_env_amr_q_fdr,matrix_consistency_score,pathway_total_score,pathway_class,pathway_class_rank,rf_driver_support,elastic_net_driver_support,multivariable_env_support,bootstrap_sign_stability
all_years,soil,tetracyclines,S. aureus | Levofloxacin,sewage_disposal_capacity_2024,24,3,312,68,2,2007,2022,-0.039999999999999994,0.8527804394339903,-0.26695652173913037,0.20729622036281836,0.48567178524771265,0,-0.07304347826086957,0.7344671341768292,0.49826086956521737,0.013212025625805614,TRUE,0.7916666666666666,2.8280632411067197,Hainan,5,3,0,3,3,0.986382660126367,0.8676945888974847,4,18,Strong lead,2,,,,NA
all_years,soil,tetracyclines,A. baumannii | Ciprofloxacin,WastewaterHealthIndex,24,3,312,68,2,2007,2022,-0.03913043478260869,0.855947935071337,0.07304347826086956,0.7344671341768292,0.48567178524771265,0,-0.2045257519596602,0.3377276684890561,0.44560504256742983,0.029088850215237126,TRUE,0.75,2.7878787878787885,Zhejiang,5,3,0,3,3,0.986382660126367,0.9735149286785509,4,18,Strong lead,2,,,,NA
all_years,soil,tetracyclines,K. pneumoniae | Cefoxitin,EconomicScaleIndex,24,3,312,68,2,2007,2022,0.03478260869565217,0.8718168719786574,0.17130434782608692,0.42350313678440454,0.48567178524771265,0,0.052643039271750895,0.8069994583207816,0.5133783995096368,0.010295542227947057,TRUE,0.7916666666666666,2.6761363636363638,Beijing,5,3,0,3,3,0.986382660126367,0.9506065313835763,4,18,Strong lead,2,,,,NA
all_years,soil,tetracyclines,E. coli | Amikacin,WastewaterHealthIndex,24,3,312,68,2,2007,2022,-0.03130434782608695,0.8845469556552938,0.07652173913043478,0.7222991032128185,0.48567178524771265,0,-0.2045257519596602,0.3377276684890561,0.1553525392544653,0.46853847620929423,TRUE,0.7916666666666666,2.893939393939394,Henan,5,3,0,3,3,0.9878132869535365,0.9735149286785509,4,18,Strong lead,2,,,,NA
all_years,soil,tetracyclines,K. pneumoniae | Cefazolin,EconomicScaleIndex,24,3,312,68,2,2007,2022,0.019999999999999997,0.926095802025471,0.03130434782608695,0.8845469556552951,0.48567178524771265,0,0.052643039271750895,0.8069994583207816,0.37894286946855393,0.06783182436392088,TRUE,0.75,5.594861660079053,Zhejiang,5,3,0,3,3,0.9932209615047936,0.9839482303587244,4,18,Strong lead,2,,,,NA
all_years,soil,fluoroquinolones,P. aeruginosa | Piperacillin,WastewaterHealthIndex,23,3,318,64,2,2006,2020,-0.16909769792796095,0.44051780141090435,-0.004940711462450593,0.9821500334482502,0.9845108143090242,0,-0.32879762493814946,0.12555270421320067,0.23733010235503293,0.27553919360623436,TRUE,1,0.9016218560038607,Tibet,4,3,0,4,3,0.9640431604344515,0.9939859009452338,4,18,Strong lead,2,,,,NA
sample_year_ge_2012,sediment,fluoroquinolones,A. baumannii | Tobramycin,WastewaterHealthIndex,23,3,753,104,2,2012,2025,-0.15316205533596838,0.4853582092057993,-0.0741106719367589,0.7368224254146725,0.04675136966847581,0.20629117259552032,-0.2339848437858239,0.282563110297523,0.4313631792415189,0.039863597273734855,TRUE,1,1.0092165898617516,Qinghai,4,3,4,4,3,0.9897658389202042,0.9983183529452494,0,18,Strong lead,2,,,,NA
sample_year_ge_2012,sediment,fluoroquinolones,E. coli | Amikacin,WastewaterHealthIndex,23,3,753,104,2,2012,2025,-0.14525691699604742,0.5084195727681446,0.0029644268774703555,0.9892894902264762,0.04675136966847581,0.20629117259552032,-0.2339848437858239,0.282563110297523,0.3987141312714039,0.05949178920347185,TRUE,1,0.9786200194363464,Qinghai,4,3,4,4,3,0.9897658389202042,0.9994708391503716,0,18,Strong lead,2,,,,NA
all_years,soil,fluoroquinolones,P. aeruginosa | Aztreonam,hospitals_count_2024,23,3,318,64,2,2006,2020,-0.1369592465673836,0.5331847922494616,-0.358695652173913,0.09280630150475398,0.9845108143090242,0,-0.5305316663061466,0.00920503544877101,0.04940711462450593,0.8228578988707851,TRUE,1,0.9971173861331679,Tibet,4,3,0,4,3,0.9640431604344515,0.7588833765370481,4,18,Strong lead,2,,,,NA
sample_year_ge_2012,sediment,fluoroquinolones,A. baumannii | Meropenem,WastewaterHealthIndex,23,3,753,104,2,2012,2025,-0.1314229249011858,0.5500163417360642,-0.049407114624505935,0.8228578988707855,0.04675136966847581,0.20629117259552032,-0.2339848437858239,0.282563110297523,0.4897357195517244,0.01769127682613515,TRUE,1,1.1439312567132118,Qinghai,4,3,4,4,3,0.9897658389202042,0.9983183529452494,0,18,Strong lead,2,,,,NA
all_years,soil,fluoroquinolones,A. baumannii | Aztreonam,WastewaterHealthIndex,23,3,318,64,2,2006,2020,-0.12410386602315263,0.5726325690643639,-0.14031620553359683,0.5230979940664653,0.9845108143090242,0,-0.32879762493814946,0.12555270421320067,0.4266997465258196,0.0423032380101468,TRUE,1,0.826959454690019,Tibet,4,3,0,4,4,0.9744088351325456,0.9595063759323308,3,18,Strong lead,2,,,,NA
all_years,soil,fluoroquinolones,A. baumannii | Meropenem,WastewaterHealthIndex,23,3,318,64,2,2006,2020,-0.08998766380961665,0.6830321888431173,-0.0958498023715415,0.6635269596839088,0.9845108143090242,0,-0.32879762493814946,0.12555270421320067,0.4682325144379504,0.024237022324598286,TRUE,0.8695652173913043,1.2449239297338641,Ningxia,4,3,0,4,4,0.986382660126367,0.9735149286785509,3,18,Strong lead,2,,,,NA
all_years,soil,fluoroquinolones,S. aureus | Oxacillin,WastewaterHealthIndex,23,3,318,64,2,2006,2020,-0.08949322609637698,0.6846865564007052,-0.1492094861660079,0.49682281859974564,0.9845108143090242,0,-0.32879762493814946,0.12555270421320067,0.2313968497961571,0.28807344411309627,TRUE,1,1.6016965501011569,Tibet,4,3,0,4,3,0.986382660126367,0.9595063759323308,4,18,Strong lead,2,,,,NA
