sample_type,matrix,province,location,season,lon,lat,sample_year,antibiotic,antibiotic_class,mean_concentration,max_concentration,concentration_unit,reference_number
sediment,sediment,Fujian,Fujian Jiulongjiang river,1,117.530254,25.187592,2010,Sulfameter,Sulfonamides,0.97,NA,ng/g,15
sediment,sediment,Fujian,Fujian Jiulongjiang river,1,117.530254,25.187592,2010,Sulfamethoxazole,Sulfonamides,1.57,NA,ng/g,15
sediment,sediment,Fujian,Fujian Jiulongjiang river,1,117.530254,25.187592,2010,Tetracycline,Tetracyclines,107.59,NA,ng/g,15
sediment,sediment,Fujian,Fujian Ningde,9,119.547932,26.665617,2015,Ciprofloxacin,Fluoroquinolones,17.9,18.69,ng/g,124
sediment,sediment,Fujian,Fujian Ningde,9,119.547932,26.665617,2015,Enrofloxacin,Fluoroquinolones,19.6,21.72,ng/g,124
sediment,sediment,Fujian,Fujian Ningde,9,119.547932,26.665617,2015,Oxytetracycline,Tetracyclines,49.4,52.379999999999995,ng/g,124
sediment,sediment,Fujian,Fujian Ningde,9,119.547932,26.665617,2015,Sulfadiazine,Sulfonamides,18.5,20.86,ng/g,124
sediment,sediment,Fujian,Fujian Ningde,9,119.547932,26.665617,2015,Sulfamethoxazole,Sulfonamides,19.4,21.49,ng/g,124
sediment,sediment,Fujian,Fujian Ningde,9,119.547932,26.665617,2015,Tetracycline,Tetracyclines,378,397.52,ng/g,124
sediment,sediment,Fujian,Fujian Ningde,NA,119.547932,26.665617,2019,Chlortetracycline,Tetracyclines,1.1,NA,ng/g,58
sediment,sediment,Fujian,Fujian Ningde,NA,119.547932,26.665617,2019,Ciprofloxacin,Fluoroquinolones,2.6,NA,ng/g,58
sediment,sediment,Fujian,Fujian Ningde,NA,119.547932,26.665617,2019,Enrofloxacin,Fluoroquinolones,0.2,NA,ng/g,58
sediment,sediment,Fujian,Fujian Ningde,NA,119.547932,26.665617,2019,Erythromycin,Macrolides,0.1,NA,ng/g,58
sediment,sediment,Fujian,Fujian Ningde,NA,119.547932,26.665617,2019,Norfloxacin,Fluoroquinolones,0.4,NA,ng/g,58
sediment,sediment,Fujian,Fujian Ningde,NA,119.547932,26.665617,2019,Oxytetracycline,Tetracyclines,11.6,NA,ng/g,58
sediment,sediment,Fujian,Fujian Ningde,NA,119.547932,26.665617,2019,Roxithromycin,Macrolides,0.2,NA,ng/g,58
sediment,sediment,Fujian,Fujian Ningde,NA,119.547932,26.665617,2019,Sulfadiazine,Sulfonamides,0.019,NA,ng/g,58
sediment,sediment,Fujian,Fujian Ningde,NA,119.547932,26.665617,2019,Sulfadimidine,Sulfonamides,0.04,NA,ng/g,58
sediment,sediment,Fujian,Fujian Ningde,NA,119.547932,26.665617,2019,Sulfamethoxazole,Sulfonamides,0.1,NA,ng/g,58
sediment,sediment,Fujian,Fujian Ningde,NA,119.547932,26.665617,2019,Tetracycline,Tetracyclines,6.3,NA,ng/g,58
sediment,sediment,Fujian,Fujian Ningde,NA,119.547932,26.665617,2019,Trimethoprim,Diaminopyrimidines,0.3,NA,ng/g,58
sediment,sediment,Fujian,Fujian Zhangzhou Longhai Dongshan,9,117.888917,24.518083,2015,Enrofloxacin,Fluoroquinolones,33.6,37.86,ng/g,124
sediment,sediment,Fujian,Fujian Zhangzhou Longhai Dongshan,9,117.888917,24.518083,2015,Oxytetracycline,Tetracyclines,4.26,4.84,ng/g,124
sediment,sediment,Fujian,Fujian Zhangzhou Longhai Dongshan,9,117.888917,24.518083,2015,Sulfadiazine,Sulfonamides,117,128.14,ng/g,124
sediment,sediment,Fujian,Fujian Zhangzhou Longhai Dongshan,9,117.888917,24.518083,2015,Sulfamethoxazole,Sulfonamides,94.6,102.08,ng/g,124
sediment,sediment,Fujian,Fujian Zhangzhou Longhai Dongshan,9,117.888917,24.518083,2015,Tetracycline,Tetracyclines,11.5,12.33,ng/g,124
sediment,sediment,Fujian,Fujian Zhangzhou Yunxiao County,12,117.339573,23.957936,2017,Chloramphenicol,Phenicols,1.1,NA,ng/g,69
sediment,sediment,Fujian,Fujian Zhangzhou Yunxiao County,12,117.339573,23.957936,2017,Chlortetracycline,Tetracyclines,7.199999999999999,NA,ng/g,69
sediment,sediment,Fujian,Fujian Zhangzhou Yunxiao County,12,117.339573,23.957936,2017,Ciprofloxacin,Fluoroquinolones,38.1,NA,ng/g,69
sediment,sediment,Fujian,Fujian Zhangzhou Yunxiao County,12,117.339573,23.957936,2017,Enrofloxacin,Fluoroquinolones,5.199999999999999,NA,ng/g,69
sediment,sediment,Fujian,Fujian Zhangzhou Yunxiao County,12,117.339573,23.957936,2017,Erythromycin,Macrolides,6.1,NA,ng/g,69
sediment,sediment,Fujian,Fujian Zhangzhou Yunxiao County,12,117.339573,23.957936,2017,Florfenicol,Phenicols,11.8,NA,ng/g,69
sediment,sediment,Fujian,Fujian Zhangzhou Yunxiao County,12,117.339573,23.957936,2017,Norfloxacin,Fluoroquinolones,16.15,NA,ng/g,69
sediment,sediment,Fujian,Fujian Zhangzhou Yunxiao County,12,117.339573,23.957936,2017,Ofloxacin,Fluoroquinolones,0.8,NA,ng/g,69
sediment,sediment,Fujian,Fujian Zhangzhou Yunxiao County,12,117.339573,23.957936,2017,Oxytetracycline,Tetracyclines,7.25,NA,ng/g,69
sediment,sediment,Fujian,Fujian Zhangzhou Yunxiao County,12,117.339573,23.957936,2017,Roxithromycin,Macrolides,2.15,NA,ng/g,69
sediment,sediment,Fujian,Fujian Zhangzhou Yunxiao County,12,117.339573,23.957936,2017,Sulfadiazine,Sulfonamides,9.5,NA,ng/g,69
sediment,sediment,Fujian,Fujian Zhangzhou Yunxiao County,12,117.339573,23.957936,2017,Sulfadimidine,Sulfonamides,5.65,NA,ng/g,69
sediment,sediment,Fujian,Fujian Zhangzhou Yunxiao County,12,117.339573,23.957936,2017,Sulfamethoxazole,Sulfonamides,1.95,NA,ng/g,69
sediment,sediment,Fujian,Fujian Zhangzhou Yunxiao County,12,117.339573,23.957936,2017,Tetracycline,Tetracyclines,7.75,NA,ng/g,69
sediment,sediment,Fujian,Fujian the Jiulong river Estuary,NA,117.934952,24.442549,NA,Chlortetracycline,Tetracyclines,4.6937500000000005,NA,ng/g,221
sediment,sediment,Fujian,Fujian the Jiulong river Estuary,NA,117.934952,24.442549,NA,Ciprofloxacin,Fluoroquinolones,1.02625,NA,ng/g,221
sediment,sediment,Fujian,Fujian the Jiulong river Estuary,NA,117.934952,24.442549,NA,Danofloxacin,Fluoroquinolones,0,NA,ng/g,221
sediment,sediment,Fujian,Fujian the Jiulong river Estuary,NA,117.934952,24.442549,NA,Doxycycline,Tetracyclines,0.7625,NA,ng/g,221
sediment,sediment,Fujian,Fujian the Jiulong river Estuary,NA,117.934952,24.442549,NA,Enrofloxacin,Fluoroquinolones,0.525,NA,ng/g,221
sediment,sediment,Fujian,Fujian the Jiulong river Estuary,NA,117.934952,24.442549,NA,Erythromycin,Macrolides,0.28875,NA,ng/g,221
sediment,sediment,Fujian,Fujian the Jiulong river Estuary,NA,117.934952,24.442549,NA,Flumequine,Fluoroquinolones,0.1375,NA,ng/g,221
sediment,sediment,Fujian,Fujian the Jiulong river Estuary,NA,117.934952,24.442549,NA,Marbofloxacin,Fluoroquinolones,0,NA,ng/g,221
sediment,sediment,Fujian,Fujian the Jiulong river Estuary,NA,117.934952,24.442549,NA,Norfloxacin,Fluoroquinolones,3.5925,NA,ng/g,221
sediment,sediment,Fujian,Fujian the Jiulong river Estuary,NA,117.934952,24.442549,NA,Ofloxacin,Fluoroquinolones,2.085,NA,ng/g,221
sediment,sediment,Fujian,Fujian the Jiulong river Estuary,NA,117.934952,24.442549,NA,Oxolinic Acid,Quinolones,0,NA,ng/g,221
sediment,sediment,Fujian,Fujian the Jiulong river Estuary,NA,117.934952,24.442549,NA,Oxytetracycline,Tetracyclines,1.8574999999999997,NA,ng/g,221
sediment,sediment,Fujian,Fujian the Jiulong river Estuary,NA,117.934952,24.442549,NA,Sarafloxacin,Fluoroquinolones,0,NA,ng/g,221
sediment,sediment,Fujian,Fujian the Jiulong river Estuary,NA,117.934952,24.442549,NA,Sulfachloropyridazine,Sulfonamides,0,NA,ng/g,221
sediment,sediment,Fujian,Fujian the Jiulong river Estuary,NA,117.934952,24.442549,NA,Sulfadiazine,Sulfonamides,0.06,NA,ng/g,221
sediment,sediment,Fujian,Fujian the Jiulong river Estuary,NA,117.934952,24.442549,NA,Sulfadimethoxine,Sulfonamides,0,NA,ng/g,221
sediment,sediment,Fujian,Fujian the Jiulong river Estuary,NA,117.934952,24.442549,NA,Sulfadimidine,Sulfonamides,0.6250000000000001,NA,ng/g,221
sediment,sediment,Fujian,Fujian the Jiulong river Estuary,NA,117.934952,24.442549,NA,Sulfafurazole,Sulfonamides,0,NA,ng/g,221
sediment,sediment,Fujian,Fujian the Jiulong river Estuary,NA,117.934952,24.442549,NA,Sulfamerazine,Sulfonamides,0,NA,ng/g,221
sediment,sediment,Fujian,Fujian the Jiulong river Estuary,NA,117.934952,24.442549,NA,Sulfameter,Sulfonamides,0.005,NA,ng/g,221
sediment,sediment,Fujian,Fujian the Jiulong river Estuary,NA,117.934952,24.442549,NA,Sulfamethizole,Sulfonamides,0,NA,ng/g,221
sediment,sediment,Fujian,Fujian the Jiulong river Estuary,NA,117.934952,24.442549,NA,Sulfamethoxazole,Sulfonamides,0,NA,ng/g,221
sediment,sediment,Fujian,Fujian the Jiulong river Estuary,NA,117.934952,24.442549,NA,Sulfamethoxypyridazine,Sulfonamides,0,NA,ng/g,221
sediment,sediment,Fujian,Fujian the Jiulong river Estuary,NA,117.934952,24.442549,NA,Sulfamonomethoxine,Sulfonamides,0.44000000000000006,NA,ng/g,221
sediment,sediment,Fujian,Fujian the Jiulong river Estuary,NA,117.934952,24.442549,NA,Sulfanitran,Sulfonamides,0,NA,ng/g,221
sediment,sediment,Fujian,Fujian the Jiulong river Estuary,NA,117.934952,24.442549,NA,Sulfapyridine,Sulfonamides,0,NA,ng/g,221
sediment,sediment,Fujian,Fujian the Jiulong river Estuary,NA,117.934952,24.442549,NA,Sulfaquinoxaline,Sulfonamides,0,NA,ng/g,221
sediment,sediment,Fujian,Fujian the Jiulong river Estuary,NA,117.934952,24.442549,NA,Sulfathiazole,Sulfonamides,0,NA,ng/g,221
sediment,sediment,Fujian,Fujian the Jiulong river Estuary,NA,117.934952,24.442549,NA,Sulfisomidine,Sulfonamides,0,NA,ng/g,221
sediment,sediment,Fujian,Fujian the Jiulong river Estuary,NA,117.934952,24.442549,NA,Tetracycline,Tetracyclines,0.5,NA,ng/g,221
sediment,sediment,Fujian,Fujian the Jiulong river Estuary,NA,117.934952,24.442549,NA,Tilmicosin,Macrolides,0.26,NA,ng/g,221
sediment,sediment,Fujian,Fujian the Jiulong river Estuary,NA,117.934952,24.442549,NA,Tylosin,Macrolides,0.11375,NA,ng/g,221
sediment,sediment,Guangdong,Guangdong,3,116.681972,23.354091,2013,Chlortetracycline,Tetracyclines,0.42,0.87,ng/g,164
sediment,sediment,Guangdong,Guangdong,3,116.681972,23.354091,2013,Doxycycline,Tetracyclines,9.340000000000002,40.57,ng/g,164
sediment,sediment,Guangdong,Guangdong,3,116.681972,23.354091,2013,Oxytetracycline,Tetracyclines,7.4,39.5,ng/g,164
sediment,sediment,Guangdong,Guangdong,3,116.681972,23.354091,2013,Sulfadiazine,Sulfonamides,0.12,0.4,ng/g,164
sediment,sediment,Guangdong,Guangdong,3,116.681972,23.354091,2013,Sulfadimidine,Sulfonamides,0.26,0.8,ng/g,164
sediment,sediment,Guangdong,Guangdong,3,116.681972,23.354091,2013,Sulfamerazine,Sulfonamides,0.05,0.09,ng/g,164
sediment,sediment,Guangdong,Guangdong,3,116.681972,23.354091,2013,Sulfamethoxazole,Sulfonamides,0.13,0.35,ng/g,164
sediment,sediment,Guangdong,Guangdong,3,116.681972,23.354091,2013,Sulfapyridine,Sulfonamides,0.09,0.22,ng/g,164
sediment,sediment,Guangdong,Guangdong,3,116.681972,23.354091,2013,Sulfaquinoxaline,Sulfonamides,0.04,0.13,ng/g,164
sediment,sediment,Guangdong,Guangdong,3,116.681972,23.354091,2013,Sulfathiazole,Sulfonamides,0.03,0.08,ng/g,164
sediment,sediment,Guangdong,Guangdong,3,116.681972,23.354091,2013,Tetracycline,Tetracyclines,6.45,25.33,ng/g,164
sediment,sediment,Guangdong,Guangdong,NA,113.26653,23.132191,NA,Chlortetracycline,Tetracyclines,1.235,NA,ng/g,169
sediment,sediment,Guangdong,Guangdong,NA,113.26653,23.132191,NA,Ciprofloxacin,Fluoroquinolones,4.0725,NA,ng/g,169
sediment,sediment,Guangdong,Guangdong,NA,113.26653,23.132191,NA,Doxycycline,Tetracyclines,13.6325,NA,ng/g,169
sediment,sediment,Guangdong,Guangdong,NA,113.26653,23.132191,NA,Enrofloxacin,Fluoroquinolones,366.75,NA,ng/g,169
sediment,sediment,Guangdong,Guangdong,NA,113.26653,23.132191,NA,Norfloxacin,Fluoroquinolones,0.8625,NA,ng/g,169
sediment,sediment,Guangdong,Guangdong,NA,113.26653,23.132191,NA,Oxytetracycline,Tetracyclines,1.49395,NA,ng/g,169
sediment,sediment,Guangdong,Guangdong,NA,113.26653,23.132191,NA,Sulfadimidine,Sulfonamides,3.905,NA,ng/g,169
sediment,sediment,Guangdong,Guangdong,NA,113.26653,23.132191,NA,Sulfamethoxazole,Sulfonamides,1.63125,NA,ng/g,169
sediment,sediment,Guangdong,Guangdong,NA,113.26653,23.132191,NA,Sulfamethoxydiazine,Sulfonamides,1.2175,NA,ng/g,169
sediment,sediment,Guangdong,Guangdong Beijiang river,NA,113.516,24.8,2013,Chloramphenicol,Phenicols,3.1,3.8,ng/g,177
sediment,sediment,Guangdong,Guangdong Beijiang river,NA,113.516,24.8,2013,Clarithromycin,Macrolides,207.8,415.5,ng/g,177
sediment,sediment,Guangdong,Guangdong Beijiang river,NA,113.516,24.8,2013,Ofloxacin,Fluoroquinolones,22,44,ng/g,177
sediment,sediment,Guangdong,Guangdong Ganzhou Nansha district,5,113.6,22.6,2015,Enrofloxacin,Fluoroquinolones,1.205,NA,ng/g,117
sediment,sediment,Guangdong,Guangdong Ganzhou Nansha district,5,113.6,22.6,2015,Lincomycin,Lincosamides,1.475,NA,ng/g,117
sediment,sediment,Guangdong,Guangdong Ganzhou Nansha district,5,113.6,22.6,2015,Norfloxacin,Fluoroquinolones,1.685,NA,ng/g,117
sediment,sediment,Guangdong,Guangdong Ganzhou Nansha district,5,113.6,22.6,2015,Ofloxacin,Fluoroquinolones,0.77,NA,ng/g,117
sediment,sediment,Guangdong,Guangdong Ganzhou Nansha district,5,113.6,22.6,2015,Sulfapyridine,Sulfonamides,0.01,NA,ng/g,117
sediment,sediment,Guangdong,Guangdong Guangzhou,NA,113.264434,23.129162,2008,Ciprofloxacin,Fluoroquinolones,119,NA,ng/g,187
sediment,sediment,Guangdong,Guangdong Guangzhou,NA,113.264434,23.129162,2008,Enrofloxacin,Fluoroquinolones,27,NA,ng/g,187
sediment,sediment,Guangdong,Guangdong Guangzhou,NA,113.264434,23.129162,2008,Norfloxacin,Fluoroquinolones,258,NA,ng/g,187
sediment,sediment,Guangdong,Guangdong Guangzhou,NA,113.264434,23.129162,2008,Ofloxacin,Fluoroquinolones,98,NA,ng/g,187
sediment,sediment,Guangdong,Guangdong Guangzhou Baiyun district,9,113.273289,23.15729,2006,Chloramphenicol,Phenicols,195.7,NA,ng/g,5
sediment,sediment,Guangdong,Guangdong Guangzhou Baiyun district,NA,113.218611,23.191667,NA,Chlortetracycline,Tetracyclines,1.96,NA,ng/g,31
sediment,sediment,Guangdong,Guangdong Guangzhou Baiyun district,NA,113.236944,23.163889,NA,Chlortetracycline,Tetracyclines,3.45,NA,ng/g,31
sediment,sediment,Guangdong,Guangdong Guangzhou Baiyun district,NA,113.238889,23.175556,NA,Chlortetracycline,Tetracyclines,4.66,NA,ng/g,31
sediment,sediment,Guangdong,Guangdong Guangzhou Baiyun district,NA,113.239722,23.185278,NA,Chlortetracycline,Tetracyclines,5.01,NA,ng/g,31
sediment,sediment,Guangdong,Guangdong Guangzhou Baiyun district,NA,113.218611,23.191667,NA,Ciprofloxacin,Fluoroquinolones,34.2,NA,ng/g,31
sediment,sediment,Guangdong,Guangdong Guangzhou Baiyun district,NA,113.239722,23.185278,NA,Ciprofloxacin,Fluoroquinolones,69.7,NA,ng/g,31
sediment,sediment,Guangdong,Guangdong Guangzhou Baiyun district,NA,113.236944,23.163889,NA,Ciprofloxacin,Fluoroquinolones,86.5,NA,ng/g,31
sediment,sediment,Guangdong,Guangdong Guangzhou Baiyun district,NA,113.238889,23.175556,NA,Ciprofloxacin,Fluoroquinolones,86.7,NA,ng/g,31
sediment,sediment,Guangdong,Guangdong Guangzhou Baiyun district,NA,113.218611,23.191667,NA,Norfloxacin,Fluoroquinolones,119,NA,ng/g,31
sediment,sediment,Guangdong,Guangdong Guangzhou Baiyun district,NA,113.236944,23.163889,NA,Norfloxacin,Fluoroquinolones,261,NA,ng/g,31
sediment,sediment,Guangdong,Guangdong Guangzhou Baiyun district,NA,113.239722,23.185278,NA,Norfloxacin,Fluoroquinolones,316.76,NA,ng/g,31
sediment,sediment,Guangdong,Guangdong Guangzhou Baiyun district,NA,113.238889,23.175556,NA,Norfloxacin,Fluoroquinolones,413,NA,ng/g,31
sediment,sediment,Guangdong,Guangdong Guangzhou Baiyun district,NA,113.218611,23.191667,NA,Oxytetracycline,Tetracyclines,21.5,NA,ng/g,31
sediment,sediment,Guangdong,Guangdong Guangzhou Baiyun district,NA,113.236944,23.163889,NA,Oxytetracycline,Tetracyclines,194,NA,ng/g,31
sediment,sediment,Guangdong,Guangdong Guangzhou Baiyun district,NA,113.238889,23.175556,NA,Oxytetracycline,Tetracyclines,248,NA,ng/g,31
sediment,sediment,Guangdong,Guangdong Guangzhou Baiyun district,NA,113.239722,23.185278,NA,Oxytetracycline,Tetracyclines,407,NA,ng/g,31
sediment,sediment,Guangdong,Guangdong Guangzhou Baiyun district,NA,113.218611,23.191667,NA,Roxithromycin,Macrolides,3.18,NA,ng/g,31
sediment,sediment,Guangdong,Guangdong Guangzhou Baiyun district,NA,113.238889,23.175556,NA,Roxithromycin,Macrolides,3.29,NA,ng/g,31
sediment,sediment,Guangdong,Guangdong Guangzhou Baiyun district,NA,113.239722,23.185278,NA,Roxithromycin,Macrolides,3.61,NA,ng/g,31
sediment,sediment,Guangdong,Guangdong Guangzhou Baiyun district,NA,113.236944,23.163889,NA,Roxithromycin,Macrolides,8.05,NA,ng/g,31
sediment,sediment,Guangdong,Guangdong Guangzhou Baiyun district,NA,113.218611,23.191667,NA,Sulfadimidine,Sulfonamides,0.51,NA,ng/g,31
sediment,sediment,Guangdong,Guangdong Guangzhou Baiyun district,NA,113.236944,23.163889,NA,Sulfadimidine,Sulfonamides,0.72,NA,ng/g,31
sediment,sediment,Guangdong,Guangdong Guangzhou Baiyun district,NA,113.238889,23.175556,NA,Sulfadimidine,Sulfonamides,0.77,NA,ng/g,31
sediment,sediment,Guangdong,Guangdong Guangzhou Baiyun district,NA,113.239722,23.185278,NA,Sulfadimidine,Sulfonamides,1.76,NA,ng/g,31
sediment,sediment,Guangdong,Guangdong Guangzhou Baiyun district,NA,113.218611,23.191667,NA,Sulfapyridine,Sulfonamides,0.42,NA,ng/g,31
sediment,sediment,Guangdong,Guangdong Guangzhou Baiyun district,NA,113.238889,23.175556,NA,Sulfapyridine,Sulfonamides,0.43,NA,ng/g,31
sediment,sediment,Guangdong,Guangdong Guangzhou Baiyun district,NA,113.236944,23.163889,NA,Sulfapyridine,Sulfonamides,0.81,NA,ng/g,31
sediment,sediment,Guangdong,Guangdong Guangzhou Baiyun district,NA,113.239722,23.185278,NA,Sulfapyridine,Sulfonamides,1.02,NA,ng/g,31
sediment,sediment,Guangdong,Guangdong Guangzhou Baiyun district,NA,113.218611,23.191667,NA,Tetracycline,Tetracyclines,5.66,NA,ng/g,31
sediment,sediment,Guangdong,Guangdong Guangzhou Baiyun district,NA,113.236944,23.163889,NA,Tetracycline,Tetracyclines,47,NA,ng/g,31
sediment,sediment,Guangdong,Guangdong Guangzhou Baiyun district,NA,113.238889,23.175556,NA,Tetracycline,Tetracyclines,68.2,NA,ng/g,31
sediment,sediment,Guangdong,Guangdong Guangzhou Baiyun district,NA,113.239722,23.185278,NA,Tetracycline,Tetracyclines,106,NA,ng/g,31
sediment,sediment,Guangdong,Guangdong Guangzhou Liwan district,NA,113.200278,23.116389,NA,Chlortetracycline,Tetracyclines,20.2,NA,ng/g,31
sediment,sediment,Guangdong,Guangdong Guangzhou Liwan district,NA,113.200278,23.116389,NA,Ciprofloxacin,Fluoroquinolones,98.4,NA,ng/g,31
sediment,sediment,Guangdong,Guangdong Guangzhou Liwan district,NA,113.200278,23.116389,NA,Norfloxacin,Fluoroquinolones,208,NA,ng/g,31
sediment,sediment,Guangdong,Guangdong Guangzhou Liwan district,NA,113.200278,23.116389,NA,Oxytetracycline,Tetracyclines,287,NA,ng/g,31
sediment,sediment,Guangdong,Guangdong Guangzhou Liwan district,NA,113.200278,23.116389,NA,Roxithromycin,Macrolides,13.3,NA,ng/g,31
sediment,sediment,Guangdong,Guangdong Guangzhou Liwan district,NA,113.200278,23.116389,NA,Sulfadimethoxine,Sulfonamides,0.28,NA,ng/g,31
sediment,sediment,Guangdong,Guangdong Guangzhou Liwan district,NA,113.200278,23.116389,NA,Sulfadimidine,Sulfonamides,1.58,NA,ng/g,31
sediment,sediment,Guangdong,Guangdong Guangzhou Liwan district,NA,113.200278,23.116389,NA,Sulfapyridine,Sulfonamides,0.82,NA,ng/g,31
sediment,sediment,Guangdong,Guangdong Guangzhou Liwan district,NA,113.200278,23.116389,NA,Tetracycline,Tetracyclines,35.4,NA,ng/g,31
sediment,sediment,Guangdong,Guangdong Guangzhou Nansha district,5,113.525165,22.801624,2015,Enrofloxacin,Fluoroquinolones,1.205,NA,ng/g,163
sediment,sediment,Guangdong,Guangdong Guangzhou Nansha district,5,113.525165,22.801624,2015,Norfloxacin,Fluoroquinolones,1.685,NA,ng/g,163
sediment,sediment,Guangdong,Guangdong Guangzhou Nansha district,5,113.525165,22.801624,2015,Ofloxacin,Fluoroquinolones,0.77,NA,ng/g,163
sediment,sediment,Guangdong,Guangdong Guangzhou Nansha district,5,113.525165,22.801624,2015,Sulfadiazine,Sulfonamides,0.01,NA,ng/g,163
sediment,sediment,Guangdong,Guangdong Guangzhou Panyu district,NA,113.390278,23.0725,NA,Chlortetracycline,Tetracyclines,0.69,NA,ng/g,31
sediment,sediment,Guangdong,Guangdong Guangzhou Panyu district,NA,113.390278,23.0725,NA,Ciprofloxacin,Fluoroquinolones,74.4,NA,ng/g,31
sediment,sediment,Guangdong,Guangdong Guangzhou Panyu district,NA,113.390278,23.0725,NA,Norfloxacin,Fluoroquinolones,255,NA,ng/g,31
sediment,sediment,Guangdong,Guangdong Guangzhou Panyu district,NA,113.390278,23.0725,NA,Oxytetracycline,Tetracyclines,18.6,NA,ng/g,31
sediment,sediment,Guangdong,Guangdong Guangzhou Panyu district,NA,113.390278,23.0725,NA,Roxithromycin,Macrolides,2.19,NA,ng/g,31
sediment,sediment,Guangdong,Guangdong Guangzhou Panyu district,NA,113.390278,23.0725,NA,Sulfadimidine,Sulfonamides,0.83,NA,ng/g,31
sediment,sediment,Guangdong,Guangdong Guangzhou Panyu district,NA,113.390278,23.0725,NA,Sulfapyridine,Sulfonamides,0.22,NA,ng/g,31
sediment,sediment,Guangdong,Guangdong Guangzhou Panyu district,NA,113.390278,23.0725,NA,Tetracycline,Tetracyclines,6.14,NA,ng/g,31
sediment,sediment,Guangdong,Guangdong Guangzhou Panyu district daxuecheng,NA,113.399167,23.058056,NA,Chlortetracycline,Tetracyclines,2.53,NA,ng/g,31
sediment,sediment,Guangdong,Guangdong Guangzhou Panyu district daxuecheng,NA,113.399167,23.058056,NA,Ciprofloxacin,Fluoroquinolones,57.6,NA,ng/g,31
sediment,sediment,Guangdong,Guangdong Guangzhou Panyu district daxuecheng,NA,113.399167,23.058056,NA,Norfloxacin,Fluoroquinolones,27.5,NA,ng/g,31
sediment,sediment,Guangdong,Guangdong Guangzhou Panyu district daxuecheng,NA,113.399167,23.058056,NA,Oxytetracycline,Tetracyclines,9.420000000000002,NA,ng/g,31
sediment,sediment,Guangdong,Guangdong Guangzhou Panyu district daxuecheng,NA,113.399167,23.058056,NA,Roxithromycin,Macrolides,0.82,NA,ng/g,31
sediment,sediment,Guangdong,Guangdong Guangzhou Panyu district daxuecheng,NA,113.399167,23.058056,NA,Sulfadimidine,Sulfonamides,0.31,NA,ng/g,31
sediment,sediment,Guangdong,Guangdong Guangzhou Panyu district daxuecheng,NA,113.399167,23.058056,NA,Sulfapyridine,Sulfonamides,0.61,NA,ng/g,31
sediment,sediment,Guangdong,Guangdong Guangzhou Panyu district daxuecheng,NA,113.399167,23.058056,NA,Tetracycline,Tetracyclines,4.24,NA,ng/g,31
sediment,sediment,Guangdong,Guangdong Guangzhou Tianhe district,NA,113.361111,23.166667,NA,Chlortetracycline,Tetracyclines,2.87,NA,ng/g,31
sediment,sediment,Guangdong,Guangdong Guangzhou Tianhe district,NA,113.330833,23.136111,NA,Chlortetracycline,Tetracyclines,3.33,NA,ng/g,31
sediment,sediment,Guangdong,Guangdong Guangzhou Tianhe district,NA,113.373056,23.121389,NA,Chlortetracycline,Tetracyclines,3.43,NA,ng/g,31
sediment,sediment,Guangdong,Guangdong Guangzhou Tianhe district,NA,113.3725,23.129444,NA,Chlortetracycline,Tetracyclines,3.62,NA,ng/g,31
sediment,sediment,Guangdong,Guangdong Guangzhou Tianhe district,NA,113.357222,23.17,NA,Chlortetracycline,Tetracyclines,4.14,NA,ng/g,31
sediment,sediment,Guangdong,Guangdong Guangzhou Tianhe district,NA,113.412222,25.14,NA,Chlortetracycline,Tetracyclines,4.95,NA,ng/g,31
sediment,sediment,Guangdong,Guangdong Guangzhou Tianhe district,NA,113.3925,27.125278,NA,Chlortetracycline,Tetracyclines,15.6,NA,ng/g,31
sediment,sediment,Guangdong,Guangdong Guangzhou Tianhe district,NA,113.412222,25.14,NA,Ciprofloxacin,Fluoroquinolones,10.1,NA,ng/g,31
sediment,sediment,Guangdong,Guangdong Guangzhou Tianhe district,NA,113.361111,23.166667,NA,Ciprofloxacin,Fluoroquinolones,12.1,NA,ng/g,31
sediment,sediment,Guangdong,Guangdong Guangzhou Tianhe district,NA,113.357222,23.17,NA,Ciprofloxacin,Fluoroquinolones,13.8,NA,ng/g,31
sediment,sediment,Guangdong,Guangdong Guangzhou Tianhe district,NA,113.3925,27.125278,NA,Ciprofloxacin,Fluoroquinolones,29.1,NA,ng/g,31
sediment,sediment,Guangdong,Guangdong Guangzhou Tianhe district,NA,113.373056,23.121389,NA,Ciprofloxacin,Fluoroquinolones,29.7,NA,ng/g,31
sediment,sediment,Guangdong,Guangdong Guangzhou Tianhe district,NA,113.330833,23.136111,NA,Ciprofloxacin,Fluoroquinolones,55.5,NA,ng/g,31
sediment,sediment,Guangdong,Guangdong Guangzhou Tianhe district,NA,113.3725,23.129444,NA,Ciprofloxacin,Fluoroquinolones,68.1,NA,ng/g,31
sediment,sediment,Guangdong,Guangdong Guangzhou Tianhe district,NA,113.361111,23.166667,NA,Norfloxacin,Fluoroquinolones,16,NA,ng/g,31
sediment,sediment,Guangdong,Guangdong Guangzhou Tianhe district,NA,113.3925,27.125278,NA,Norfloxacin,Fluoroquinolones,58.5,NA,ng/g,31
sediment,sediment,Guangdong,Guangdong Guangzhou Tianhe district,NA,113.357222,23.17,NA,Norfloxacin,Fluoroquinolones,79.5,NA,ng/g,31
