pub_id,pub_full,place_in_article_data_extracted_from,article_link
76,"Zhang, G. et al. Occurrence of antibiotics and antibiotic resistance genes and their correlations in lower Yangtze River, China. Environmental Pollution 257 (2020).",compiled in Zhang_2022.xls,
77,"Zhang, L. et al. Bioaccumulation, trophic transfer, and human health risk of quinolones antibiotics in the benthic food web from a macrophyte-dominated shallow lake, North China. Science of the Total Environment 712 (2020).",compiled in Zhang_2022.xls,
78,"Zhang, Y., Chen, H., Jing, L. & Teng, Y. Ecotoxicological risk assessment and source apportionment of antibiotics in the waters and sediments of a peri-urban river. Sci Total Environ 731, 139128, doi:10.1016/j.scitotenv.2020.139128 (2020).",compiled in Zhang_2022.xls,https://doi.org/10.1016/j.scitotenv.2020.139128
79,"Zhao, F. et al. Effects of land use and rainfall on sequestration of veterinary antibiotics in soils at the hillslope scale. Environ Pollut 260, 114112, doi:10.1016/j.envpol.2020.114112 (2020).",compiled in Zhang_2022.xls,https://doi.org/10.1016/j.envpol.2020.114112
80,"Zhi, S., Shen, S., Zhou, J., Ding, G. & Zhang, K. Systematic analysis of occurrence, density and ecological risks of 45 veterinary antibiotics: Focused on family livestock farms in Erhai Lake basin, Yunnan, China. Environ Pollut 267, 115539, doi:10.1016/j.envpol.2020.115539 (2020).",compiled in Zhang_2022.xls,https://doi.org/10.1016/j.envpol.2020.115539
81,"Zhu, Y. et al. The occurrence and spatial distribution of typical antibiotics in soils along the Fenhe River in Shanxi Province. J. Soils Sed. 20, 889-899, doi:10.1007/s11368-019-02402-7 (2020).",compiled in Zhang_2022.xls,https://doi.org/10.1007/s11368-019-02402-7
83,"Liu, C. et al. Effects of wastewater treatment and manure application on the dissemination of antimicrobial resistance around swine feedlots. J. Clean. Prod. 280, doi:10.1016/j.jclepro.2020.123794 (2021).",compiled in Zhang_2022.xls,https://doi.org/10.1016/j.jclepro.2020.123794
84,"Wu, Q., Pan, C. G., Wang, Y. H., Xiao, S. K. & Yu, K. F. Antibiotics in a subtropical food web from the Beibu Gulf, South China: Occurrence, bioaccumulation and trophic transfer. Sci Total Environ 751, 141718, doi:10.1016/j.scitotenv.2020.141718 (2021).",compiled in Zhang_2022.xls,https://doi.org/10.1016/j.scitotenv.2020.141718
86,"Haibo, Z. et al. Residues and risks of veterinary antibiotics in protected vegetable soils following application of different manures. Chemosphere 152 (2016).",compiled in Zhang_2022.xls,
87,"Jin, C. X., Si, X. W., Wang, Z. Y. & Zhang, Q. W. Distribution and Risk Assessment of Sulfonamides Antibiotics in Soil and Vegetables from Feedlot Livestock. Huan Jing Ke Xue 37, 1562-1567 (2016).",compiled in Zhang_2022.xls,
88,"Li, Y., Liu, B., Zhang, X., Wang, J. & Gao, S. The distribution of veterinary antibiotics in the river system in a livestock-producing region and interactions between different phases. Environ Sci Pollut Res Int 23, 16542-16551, doi:10.1007/s11356-016-6677-2 (2016).",compiled in Zhang_2022.xls,https://doi.org/10.1007/s11356-016-6677-2
89,"Liu, X., Liu, Y., Xu, J.-R., Ren, K.-J. & Meng, X.-Z. Tracking aquaculture-derived fluoroquinolones in a mangrove wetland, South China. Environmental Pollution 219 (2016).",compiled in Zhang_2022.xls,
90,"Zhao, S. et al. Temporal-spatial variation and partitioning prediction of antibiotics in surface water and sediments from the intertidal zones of the Yellow River Delta, China. The Science of the total environment 569-570 (2016).",compiled in Zhang_2022.xls,
91,"Shi, W.-j., Yue, T.-x., Du, Z.-p., Wang, Z. & Li, X.-w. Surface modeling of soil antibiotics. Science of the Total Environment 543 (2016).",compiled in Zhang_2022.xls,
92,"Xiang, L. et al. Occurrence and risk assessment of tetracycline antibiotics in soil from organic vegetable farms in a subtropical city, south China. Environmental Science and Pollution Research 23 (2016).",compiled in Zhang_2022.xls,
94,"Yang, Y., Cao, X., Lin, H. & Wang, J. Antibiotics and Antibiotic Resistance Genes in Sediment of Honghu Lake and East Dongting Lake, China. Microbial Ecology 72 (2016).",compiled in Zhang_2022.xls,
95,"Zhang, S. et al. Antibiotic concentration and antibiotic-resistant bacteria in two shallow urban lakes after stormwater event. Environ Sci Pollut Res Int 23, 9984-9992, doi:10.1007/s11356-016-6237-9 (2016).",compiled in Zhang_2022.xls,https://doi.org/10.1007/s11356-016-6237-9
96,"Zhao, S. et al. Temporal–spatial variation and partitioning prediction of antibiotics in surface water and sediments from the intertidal zones of the Yellow River Delta, China. Science of the Total Environment 569-570 (2016).",compiled in Zhang_2022.xls,
97,"Li, Y. et al. Occurrence and distribution of the environmental pollutant antibiotics in Gaoqiao mangrove area, China. Chemosphere 147 (2016).",compiled in Zhang_2022.xls,
98,"Zhou, L.-J., Wu, Q., Zhang, B.-B., Zhao, Y.-G. & Zhao, B.-Y. Occurrence, spatiotemporal distribution, mass balance and ecological risks of antibiotics in subtropical shallow Lake Taihu, China. Environmental science. Processes & impacts 18 (2016).",compiled in Zhang_2022.xls,
99,"Wang, H., Ding, J., Ding, L. & Ren, N. Analysis of sulfonamides in soil, sediment, and sludge based on dynamic microwave-assisted micellar extraction. Environ Sci Pollut Res Int 23, 12954-12965, doi:10.1007/s11356-016-6383-0 (2016).",compiled in Zhang_2022.xls,https://doi.org/10.1007/s11356-016-6383-0
100,"Wei, R. et al. Occurrence of 13 veterinary drugs in animal manure-amended soils in Eastern China. Chemosphere 144, 2377-2383, doi:10.1016/j.chemosphere.2015.10.126 (2016).",compiled in Zhang_2022.xls,https://doi.org/10.1016/j.chemosphere.2015.10.126
101,"Li, Q., Gao, J., Zhang, Q., Liang, L. & Tao, H. Distribution and Risk Assessment of Antibiotics in a Typical River in North China Plain. Bulletin of Environmental Contamination and Toxicology 98 (2017).",compiled in Zhang_2022.xls,
102,"Liu, K. et al. Investigation on the typical quinolone antibiotics in the surface sediments of Jiaozhou bay,China. Marine Environmental Science 36, 655-661 (2017).",compiled in Zhang_2022.xls,
103,"Ni, Z., Shi, Y., Xie, G. & Zhang, M. Soil environmental quality of typical protected farmlands in Hangzhou. Acta Agriculturae Zhejiangensis 29, 2091-2096 (2017).",compiled in Zhang_2022.xls,
104,"Chen, Q. et al. Migration and degradation of swine farm tetracyclines at the river catchment scale: Can the multi-pond system mitigate pollution risk to receiving rivers? Environmental pollution (Barking, Essex : 1987) 220 (2017).",compiled in Zhang_2022.xls,
105,"Ren, K., Sun, Q., Liu, Y., Fang, X. & Peng, Y. The residual characteristics of antibiotics fluoroquinolones(FQs)in mangal root areas of Zhenhai Bay,Guangdong Province. Acta Scientiarum Naturalium Universitatis Sunyatseni 56, 102-111 (2017).",compiled in Zhang_2022.xls,
106,"Zhang, R. et al. Occurrence and distribution of antibiotics in multiple environmental media of the East River (Dongjiang) catchment, South China. Environmental science and pollution research international 24 (2017).",compiled in Zhang_2022.xls,
107,"Song, S., Zhang, X., Zhou, J. & Li, R. Simultaneous determination of 12 antibiotics in sewage sludge by ultra performance liquid chromatography-electrospray ionization tandem mass spectrometry. Huanjing Huaxue-Environmental Chemistry 36, 1923-1931, doi:10.7524/j.issn.0254-6108.2017012004 (2017).",compiled in Zhang_2022.xls,https://doi.org/10.7524/j.issn.0254-6108.2017012004
108,"Sun, J., Zeng, Q., Tsang, D. C. W., Zhu, L. Z. & Li, X. D. Antibiotics in the agricultural soils from the Yangtze River Delta, China. Chemosphere 189 (2017).",compiled in Zhang_2022.xls,
109,"Tong, L. et al. Distribution of antibiotics in alluvial sediment near animal breeding areas at the Jianghan Plain, Central China. Chemosphere 186 (2017).",compiled in Zhang_2022.xls,
110,"Yuan, K., Wu, J. & Zhu, C. Analysis of microbial antibiotic resistance genes in sediment of aquaculture pond. Huanjing Kexue Xuebao 37, 3649-3655, doi:10.13671/j.hjkxxb.2017.0158 (2017).",compiled in Zhang_2022.xls,https://doi.org/10.13671/j.hjkxxb.2017.0158
111,"Zhang, P. et al. Occurrence of pharmaceuticals and personal care products, and their associated environmental risks in a large shallow lake in north China. Environmental Geochemistry and Health 40, 1525-1539, doi:10.1007/s10653-018-0069-0 (2017).",compiled in Zhang_2022.xls,https://doi.org/10.1007/s10653-018-0069-0
112,"Zhang, T. et al. Concentration and spatial distribution of tetracycline antibiotics in soil of Meijiang river catchment, Jiangxi Province. Huanjing Kexue Xuebao 37, 1493-1501, doi:10.13671/j.hjkxxb.2016.0301 (2017).",compiled in Zhang_2022.xls,https://doi.org/10.13671/j.hjkxxb.2016.0301
113,"Zhao, F. K. et al. Composition and Distribution of Antibiotics in Soils with Different Land Use Types in a Typical Peri-urban Area of the Yangtze River Delta. Huan Jing Ke Xue 38, 5237-5246, doi:10.13227/j.hjkx.201705243 (2017).",compiled in Zhang_2022.xls,https://doi.org/10.13227/j.hjkx.201705243
114,"Zhao, J. et al. Contents of Fluoroquinolone-Type Antibiotics in the Surroundings of Livegtock Farms in Chongming Island of Shanghai. Journal of Ecology and Rural Environment 33, 120-126, doi:10.11934/j.issn.1673-4831.2017.02.004 (2017).",compiled in Zhang_2022.xls,https://doi.org/10.11934/j.issn.1673-4831.2017.02.004
115,"Zhu, X., Zeng, Q., Xie, Q., Ding, D. & Ru, S. Residues and risk assessment of tetracycline antibiotics in vegetable -growing soils from suburban areas of northern Guangzhou. Journal of Agro-Environment Science 36, 2257-2266 (2017).",compiled in Zhang_2022.xls,
116,"Chen, C. Distribution of antibiotics in coastal sediments of Southeast China, East China Normal University, (2017).",compiled in Zhang_2022.xls,
117,"Hao, Q. et al. Residual antibiotics in the Nansha aquaculture area of Guangzhou. Journal of Tropical Oceanography 36, 106-113 (2017).",compiled in Zhang_2022.xls,
118,"Ashfaq, M. et al. Occurrence, fate, and mass balance of different classes of pharmaceuticals and personal care products in an anaerobic-anoxic-oxic wastewater treatment plant in Xiamen, China. Water Res 123, 655-667, doi:10.1016/j.watres.2017.07.014 (2017).",compiled in Zhang_2022.xls,https://doi.org/10.1016/j.watres.2017.07.014
119,"Cheng, Y. T. et al. Distribution and risk assessment of sulfonamide antibiotics in soil from organic vegetable farms in Guangzhou. Zhongguo Huanjing Kexue/China Environmental Science 37, 1154-1161 (2017).",compiled in Zhang_2022.xls,
120,"Liu, X. The Characteristics of Particulate Organic Matters and Their Adsorption of Antibiotics in the Coastal Soils and Sediments in the Yellow River Delta University of Chinese Academy of Sciences (Yantai Institute of Coastal Zone Research), (2018).",compiled in Zhang_2022.xls,
121,"Ben, W. et al. Occurrence, removal and risk of organic micropollutants in wastewater treatment plants across China: Comparison of wastewater treatment processes. Water Research 130, 38-46, doi:10.1016/j.watres.2017.11.057 (2018).",compiled in Zhang_2022.xls,https://doi.org/10.1016/j.watres.2017.11.057
122,"Wang, W. The distribution, transformation and risk assessment of typical antibiotics in the Songhua River Basin of Harbin Secion, Northeast Forestry University, (2018).",compiled in Zhang_2022.xls,
123,"Chen, Y. et al. Occurrence, Distribution, and Risk Assessment of Antibiotics in a Subtropical River-Reservoir System. Water 10 (2018).",compiled in Zhang_2022.xls,
124,"Gao, Q. et al. Diverse and abundant antibiotic resistance genes from mariculture sites of China's coastline. Science of the Total Environment 630 (2018).",compiled in Zhang_2022.xls,
125,"Hanna, N. et al. Presence of antibiotic residues in various environmental compartments of Shandong province in eastern China: Its potential for resistance development and ecological and human risk. Environ Int 114, 131-142, doi:10.1016/j.envint.2018.02.003 (2018).",compiled in Zhang_2022.xls,https://doi.org/10.1016/j.envint.2018.02.003
126,"He, S. et al. Occurrence and ecological risk assessment of 22 emerging contaminants in the Jilin Songhua River (Northeast China). Environmental Science and Pollution Research 25 (2018).",compiled in Zhang_2022.xls,
127,"Hu, J., Zhou, J., Zhou, S., Wu, P. & Tsang, Y. F. Occurrence and fate of antibiotics in a wastewater treatment plant and their biological effects on receiving waters in Guizhou. Process Safety and Environmental Protection 113, 483-490, doi:10.1016/j.psep.2017.12.003 (2018).",compiled in Zhang_2022.xls,https://doi.org/10.1016/j.psep.2017.12.003
128,"Hu, Y., Yan, X., Shen, Y., Di, M. & Wang, J. Antibiotics in surface water and sediments from Hanjiang River, Central China: Occurrence, behavior and risk assessment. Ecotoxicology and Environmental Safety 157 (2018).",compiled in Zhang_2022.xls,
129,"Hua, L., Li, L. & Yang, C. Y. Distribution Characteristics of Sulfonamides and Sulfamethoxazole-Resistant Bacteria in Tannery Wastewater Treatment Processes. Huan Jing Ke Xue 39, 4229-4235, doi:10.13227/j.hjkx.201710173 (2018).",compiled in Zhang_2022.xls,https://doi.org/10.13227/j.hjkx.201710173
130,"Lang, H. et al. Impact of coastal environmental factors on quinolone distribution in intertidal surface sediments of the Bohai Sea and Yellow Sea, China. Water Sci. Technol. Water Supply 19, 482-491, doi:10.2166/ws.2018.093 (2019).",compiled in Zhang_2022.xls,https://doi.org/10.2166/ws.2018.093
131,"Wei, R. et al. Occurrence of seventeen veterinary antibiotics and resistant bacterias in manure-fertilized vegetable farm soil in four provinces of China. Chemosphere 215, 234-240, doi:10.1016/j.chemosphere.2018.09.152 (2019).",compiled in Zhang_2022.xls,https://doi.org/10.1016/j.chemosphere.2018.09.152
132,"Zhou, L.-J. et al. Trends in the occurrence and risk assessment of antibiotics in shallow lakes in the lower-middle reaches of the Yangtze River basin, China. Ecotoxicology and Environmental Safety 183 (2019).",compiled in Zhang_2022.xls,
133,"Li, Y. W. et al. Investigation of sulfonamides and tetracyclines antibiotics in soils from various vegetable fields. Huan Jing Ke Xue 30, 1762-1766 (2009).",compiled in Zhang_2022.xls,
134,"Cheng, D. et al. Occurrence and Partitioning of Antibiotics in the Water Column and Bottom Sediments from the Intertidal Zone in the Bohai Bay, China. Wetlands 36 (2016).",compiled in Zhang_2022.xls,
135,"Gao, J. et al. Occurrence and the fate of typical antibiotics in sewage treatment plants in Lanzhou. Huanjing Kexue Xuebao 36, 3765-3773, doi:10.13671/j.hjkxxb.2016.0074 (2016).",compiled in Zhang_2022.xls,https://doi.org/10.13671/j.hjkxxb.2016.0074
136,"Jia, J. et al. Occurrence and distribution of antibiotics and antibiotic resistance genes in Ba River, China. Science of the Total Environment 642 (2018).",compiled in Zhang_2022.xls,
137,"Lang, L., Di, J., Wang, G. & Shi, L. Study on the Tetracycline Antibiotics Pollution in Soil of Vegetable Bases in Harbin. Environmental Science and Technology 41, 153-159 (2018).",compiled in Zhang_2022.xls,
138,"Li, G., Yang, H., An, T. & Lu, Y. Antibiotics elimination and risk reduction at two drinking water treatment plants by using different conventional treatment techniques. Ecotoxicology and Environmental Safety 158, 154-161, doi:10.1016/j.ecoenv.2018.04.019 (2018).",compiled in Zhang_2022.xls,https://doi.org/10.1016/j.ecoenv.2018.04.019
139,"Li, D. et al. Occurrence of pharmaceuticals and personal care products, and their associated environmental risks in Guanting Reservoir and its upstream rivers in north China†. RSC Advances 8, 4703-4712, doi:10.1039/c7ra12945a (2018).",compiled in Zhang_2022.xls,https://doi.org/10.1039/c7ra12945a
140,"Li, Q., Liu, H., Liu, J., Jia, L. & Wang, Q. Occurrence and fate of sulfonamide and beta-lactam antibiotics in wastewater treatment plants in Handan. Huanjing Huaxue-Environmental Chemistry 37, 1738-1745, doi:10.7524/j.issn.0254-6108.2017122704 (2018).",compiled in Zhang_2022.xls,https://doi.org/10.7524/j.issn.0254-6108.2017122704
141,"Li, S. et al. Antibiotics in water and sediments of rivers and coastal area of Zhuhai City, Pearl River estuary, south China. Science of the Total Environment 636 (2018).",compiled in Zhang_2022.xls,
142,"Li, S. et al. Antibiotics in water and sediments of Danjiangkou reservoir, China: Spatiotemporal distribution and indicator screening. Environmental Pollution (2018).",compiled in Zhang_2022.xls,
143,"Li, Y. et al. Distribution Characteristics and Ecological Risk Assessment of Tetracyclines Pollution in the Weihe River, China. International Journal of Environmental Research and Public Health 15 (2018).",compiled in Zhang_2022.xls,
144,"Lin, H. et al. Mass loading and emission of thirty-seven pharmaceuticals in a typical municipal wastewater treatment plant in Hunan Province, Southern China. Ecotoxicology and Environmental Safety 147, 530-536, doi:10.1016/j.ecoenv.2017.08.052 (2018).",compiled in Zhang_2022.xls,https://doi.org/10.1016/j.ecoenv.2017.08.052
145,"Liu, K. et al. Distribution, sources, and ecological risk assessment of quinotone antibiotics in the surface sediments from Jiaozhou Bay wetland, China. Marine Pollution Bulletin 129 (2018).",compiled in Zhang_2022.xls,
146,"Sun, Q. et al. Spatial-temporal distribution and risk evaluation of four typical antibiotics in river networks of Taihu Lake Basin. Huanjing Kexue Xuebao 38, 4400-4410, doi:10.13671/j.hjkxxb.2018.0212 (2018).",compiled in Zhang_2022.xls,https://doi.org/10.13671/j.hjkxxb.2018.0212
147,"Wei, R. et al. Occurrence of seventeen veterinary antibiotics and resistant bacterias in manure-fertilized vegetable farm soil in four provinces of China. Chemosphere (2018).",compiled in Zhang_2022.xls,
148,"Xu, Z., Li, T., Bi, J. & Wang, C. Spatiotemporal heterogeneity of antibiotic pollution and ecological risk assessment in Taihu Lake Basin, China. Science of the Total Environment 643 (2018).",compiled in Zhang_2022.xls,
149,"Yan, M., Xu, C., Huang, Y., Nie, H. & Wang, J. Tetracyclines, sulfonamides and quinolones and their corresponding resistance genes in the Three Gorges Reservoir, China. Science of the Total Environment 631-632 (2018).",compiled in Zhang_2022.xls,
150,"Xu, Y. et al. Spatiotemporal profile of tetracycline and sulfonamide and their resistance on a catchment scale. Environmental pollution (Barking, Essex : 1987) 241 (2018).",compiled in Zhang_2022.xls,
151,"Zhang, P. et al. Occurrence of pharmaceuticals and personal care products, and their associated environmental risks in a large shallow lake in north China. Environ Geochem Health 40, 1525-1539, doi:10.1007/s10653-018-0069-0 (2018).",compiled in Zhang_2022.xls,https://doi.org/10.1007/s10653-018-0069-0
152,"Zhang, P. et al. Occurrence of pharmaceuticals and personal care products, and their associated environmental risks in Guanting Reservoir and its upstream rivers in north China. Rsc Advances 8, 4703-4712, doi:10.1039/c7ra12945a (2018).",compiled in Zhang_2022.xls,https://doi.org/10.1039/c7ra12945a
153,"Zhang, R. et al. Occurrence and distribution of antibiotics in mariculture farms, estuaries and the coast of the Beibu Gulf, China: Bioconcentration and diet safety of seafood. Ecotoxicology and Environmental Safety 154, 27-35, doi:10.1016/j.ecoenv.2018.02.006 (2018).",compiled in Zhang_2022.xls,https://doi.org/10.1016/j.ecoenv.2018.02.006
154,"Deng, W.-J., Li, N. & Ying, G.-G. Antibiotic distribution, risk assessment, and microbial diversity in river water and sediment in Hong Kong. Environ. Geochem. Health (2018).",compiled in Zhang_2022.xls,
155,"Zhang, M. et al. Occurrence, fate and mass loadings of antibiotics in two swine wastewater treatment systems. Sci Total Environ 639, 1421-1431, doi:10.1016/j.scitotenv.2018.05.230 (2018).",compiled in Zhang_2022.xls,https://doi.org/10.1016/j.scitotenv.2018.05.230
156,"Zhao, F. et al. Distribution, dynamics and determinants of antibiotics in soils in a peri-urban area of Yangtze River Delta, Eastern China. Chemosphere 211 (2018).",compiled in Zhang_2022.xls,
160,"Gao, L. et al. Occurrence of antibiotics in eight sewage treatment plants in Beijing, China. Chemosphere 86, 665-671, doi:10.1016/j.chemosphere.2011.11.019 (2012).",compiled in Zhang_2022.xls,https://doi.org/10.1016/j.chemosphere.2011.11.019
161,"He, X. et al. Residues of fluoroquinolones in marine aquaculture environment of the Pearl River Delta, South China. Environ Geochem Health 34, 323-335, doi:10.1007/s10653-011-9420-4 (2012).",compiled in Zhang_2022.xls,https://doi.org/10.1007/s10653-011-9420-4
162,"Niu, Z.-G., Zhang, K. & Zhang, Y. Occurrence and distribution of antibiotic resistance genes in the coastal area of the Bohai Bay, China. Marine pollution bulletin 107 (2016).",compiled in Zhang_2022.xls,
163,"Hao, Q. et al. Residual antibiotics in the Nansha aquaculture area of Guangzhou. Journal of Tropical Oceanography 36, 106-113, doi:10.11978/2016001 (2017).",compiled in Zhang_2022.xls,https://doi.org/10.11978/2016001
164,"Chen, C. Q., Zheng, L., Zhou, J. L. & Zhao, H. Persistence and risk of antibiotic residues and antibiotic resistance genes in major mariculture sites in Southeast China. Science of the Total Environment 580 (2017).",compiled in Zhang_2022.xls,
165,"Hu, W. et al. Simultaneous extraction and determination of fluoroquinolones, tetracyclines and sulfonamides antibiotics in soils using optimised solid phase extraction chromatography-tandem mass spectrometry. International Journal of Environmental Analytical Chemistry 92 (2012).",compiled in Zhang_2022.xls,
166,"Ji, X. et al. Antibiotic resistance gene abundances associated with antibiotics and heavy metals in animal manures and agricultural soils adjacent to feedlots in Shanghai; China. Journal of Hazardous Materials 235-236 (2012).",compiled in Zhang_2022.xls,
167,"Hu, X., He, K. & Zhou, Q. Occurrence, accumulation, attenuation and priority of typical antibiotics in sediments based on long-term field and modeling studies. Journal of Hazardous Materials 225-226 (2012).",compiled in Zhang_2022.xls,
168,"Yang, J., Ying, G., Zhao, J., Tao, R. & Su, H. Pollution characteristics of antibiotics in complete sets of farming system. Environmental Chemistry 34, 54-59 (2015).",compiled in Zhang_2022.xls,
169,"Xiong, W. et al. Antibiotics, Antibiotic Resistance Genes, and Bacterial Community Composition in Fresh Water Aquaculture Environment in China. Microbial ecology 70 (2015).",compiled in Zhang_2022.xls,
170,"Xie, Z. et al. Occurrence, bioaccumulation, and trophic magnification of pharmaceutically active compounds in Taihu Lake, China. Chemosphere 138, 140-147, doi:10.1016/j.chemosphere.2015.05.086 (2015).",compiled in Zhang_2022.xls,https://doi.org/10.1016/j.chemosphere.2015.05.086
171,"Xu, Y., Yu, W., Ma, Q. & Zhou, H. Occurrence of (fluoro)quinolones and (fluoro)quinolone resistance in soil receiving swine manure for 11 years. Sci Total Environ 530-531, 191-197, doi:10.1016/j.scitotenv.2015.04.046 (2015).",compiled in Zhang_2022.xls,https://doi.org/10.1016/j.scitotenv.2015.04.046
172,"Yuan, X., Qiang, Z., Ben, W., Zhu, B. & Qu, J. Distribution, mass load and environmental impact of multiple-class pharmaceuticals in conventional and upgraded municipal wastewater treatment plants in East China. Environmental Science-Processes & Impacts 17, 596-605, doi:10.1039/c4em00596a (2015).",compiled in Zhang_2022.xls,https://doi.org/10.1039/c4em00596a
173,"Zhang, C., Tang, J., Wang, L., Gao, X. & He, X. Occurrence of Antibiotics in Water and Sediment from Zizhuyuan Lake. Polish Journal of Environmental Studies 24, 1831-1836, doi:10.15244/pjoes/37758 (2015).",compiled in Zhang_2022.xls,https://doi.org/10.15244/pjoes/37758
175,"Guo, X., Li, G., Liu, X. & Chen, Q. Spatial distribution, transportation and transformation of tetracyclines antibiotics in Meijiang River catchment. Huanjing Kexue Xuebao 35, 3202-3209, doi:10.13671/j.hjkxxb.2014.1081 (2015).",compiled in Zhang_2022.xls,https://doi.org/10.13671/j.hjkxxb.2014.1081
177,"Jiang, H. et al. Occurrence and Potential Sources of Antibiotics in Beijiang River, Southern China. Asian Journal of Ecotoxicology 10, 132-140, doi:10.7524/aje.1673-5897.20150531001 (2015).",compiled in Zhang_2022.xls,https://doi.org/10.7524/aje.1673-5897.20150531001
178,"Hou, J. et al. Occurrence and distribution of sulfonamides, tetracyclines, quinolones,Macrolides, and nitrofurans in livestock manure and amended soils of Northern China. Environmental science and pollution research international 22 (2015).",compiled in Zhang_2022.xls,
179,"Gao, L., Shi, Y., Li, W., Liu, J. & Cai, Y. Occurrence and distribution of antibiotics in urban soil in Beijing and Shanghai, China. Environmental science and pollution research international 22 (2015).",compiled in Zhang_2022.xls,
180,"Lei, X., Lu, J., Liu, Z., Tong, Y. & Li, S. Concentration and distribution of antibiotics in water-sediment system of Bosten Lake, Xinjiang. Environ Sci Pollut Res Int 22, 1670-1678, doi:10.1007/s11356-014-2994-5 (2015).",compiled in Zhang_2022.xls,https://doi.org/10.1007/s11356-014-2994-5
181,"Jia, A., Wan, Y., Xiao, Y. & Hu, J. Occurrence and fate of quinolone and fluoroquinolone antibiotics in a municipal sewage treatment plant. Water Res 46, 387-394, doi:10.1016/j.watres.2011.10.055 (2012).",compiled in Zhang_2022.xls,https://doi.org/10.1016/j.watres.2011.10.055
182,"Li, W., Shi, Y., Gao, L., Liu, J. & Cai, Y. Occurrence of antibiotics in water, sediments, aquatic plants, and animals from Baiyangdian Lake in North China. Chemosphere 89 (2012).",compiled in Zhang_2022.xls,
183,"Gao, L., Shi, Y., Li, W., Liu, J. & Cai, Y. Occurrence, distribution and bioaccumulation of antibiotics in the Haihe River in China. Journal of environmental monitoring : JEM 14 (2012).",compiled in Zhang_2022.xls,
184,"Pan, X. et al. Effects of Livestock Manure on Distribution of Heavy Metals and Antibiotics in Soil Profiles of Typical Vegetable Fields and Orchards. J. Ecol. Rural Environ. 28, 518-525 (2012).",compiled in Zhang_2022.xls,
185,"Shen, Q., Ji, X., Fu, S., Liu, Y. & Li, L. Preliminary studies on the pollution levels of antibiotic and antibiotic resistance genes in Huangpu River, China. Ecology and Environmental Sciences 21, 1717-1723 (2012).",compiled in Zhang_2022.xls,
186,"Tai, Y. et al. Occurrence of Quinolone Antibiotics in the Soils from a Green and an Organic Vegetable Fields. Journal of Agro-Environment Science 31, 125-130 (2012).",compiled in Zhang_2022.xls,
187,"Tang, C., Yu, Y., Huang, Q. & Peng, X. Simultaneous determination of fluoroquinolone and tetracycline antibacterials in sewage sludge using ultrasonic-assisted extraction and HPLC-MS/MS. International Journal of Environmental Analytical Chemistry 92, 1389-1402, doi:10.1080/03067319.2010.535124 (2012).",compiled in Zhang_2022.xls,https://doi.org/10.1080/03067319.2010.535124
188,"Xie, Y.-f. et al. Spatial estimation of antibiotic residues in surface soils in a typical intensive vegetable cultivation area in China. Science of the Total Environment 430 (2012).",compiled in Zhang_2022.xls,
189,"Yin, C. Y. et al. Pollution characteristics and accumulation of antibiotics in typical protected vegetable soils. Huan Jing Ke Xue 33, 2810-2816 (2012).",compiled in Zhang_2022.xls,
190,"Zhou, L.-J. et al. Simultaneous determination of human and veterinary antibiotics in various environmental matrices by rapid resolution liquid chromatography–electrospray ionization tandem mass spectrometry. Journal of Chromatography A 1244 (2012).",compiled in Zhang_2022.xls,
192,"Huang, X. et al. Occurrence and distribution of veterinary antibiotics and tetracycline resistance genes in farmland soils around swine feedlots in Fujian Province, China. Environmental Science and Pollution Research 20 (2013).",compiled in Zhang_2022.xls,
193,"Liang, X. et al. The distribution and partitioning of common antibiotics in water and sediment of the Pearl River Estuary, South China. Chemosphere 92 (2013).",compiled in Zhang_2022.xls,
194,"Na, G. et al. Occurrence, distribution, and bioaccumulation of antibiotics in coastal environment of Dalian, China. Marine Pollution Bulletin 69 (2013).",compiled in Zhang_2022.xls,
195,"Wu, L. et al. Occurrence and distribution of heavy metals and tetracyclines in agricultural soils after typical land use change in east China. Environ Sci Pollut Res Int 20, 8342-8354, doi:10.1007/s11356-013-1532-1 (2013).",compiled in Zhang_2022.xls,https://doi.org/10.1007/s11356-013-1532-1
196,"Wu, T. T. et al. Investigation of the typical antibiotics in the sediments of the Yongjiang River, Nanning City, South China. Zhongguo Huanjing Kexue 33, 336-344 (2013).",compiled in Zhang_2022.xls,
197,"Xue, B. et al. Antibiotic contamination in a typical developing city in south China: Occurrence and ecological risks in the Yongjiang River impacted by tributary discharge and anthropogenic activities. Ecotoxicology and Environmental Safety 92 (2013).",compiled in Zhang_2022.xls,
198,"Zhang, H., Liu, P., Feng, Y. & Yang, F. Fate of antibiotics during wastewater treatment and antibiotic distribution in the effluent-receiving waters of the Yellow Sea, northern China. Marine Pollution Bulletin 73, 282-290, doi:10.1016/j.marpolbul.2013.05.007 (2013).",compiled in Zhang_2022.xls,https://doi.org/10.1016/j.marpolbul.2013.05.007
199,"Zhang, Z., Li, C., Huang, S., Gao, W. & Tang, J. Optimization of residual tetracyclines analysis in soils and manure using SPE-HPLC and pilot survey in Tianjin. Plant Nutrition and Fertitizer Science 19, 713-726 (2013).",compiled in Zhang_2022.xls,
200,"Zhou, L.-J. et al. Excretion masses and environmental occurrence of antibiotics in typical swine and dairy cattle farms in China. Science of the Total Environment 444 (2013).",compiled in Zhang_2022.xls,
