pub_id,pub_full,place_in_article_data_extracted_from,article_link
N75,"Yun Li Riverine antibiotic occurrence and potential ecological risks in a low-urbanized and rural basin of the middle Yangtze River- Socioeconomic, land use, and seasonal effects",not recorded in prior extraction,https://doi.org/10.1016/j.envres.2023.115827
N76,"Abdul Kadeer A mega study of antibiotics contamination in Eastern aquatic ecosystems of China- occurrence, interphase transfer processes, ecotoxicological risks, and source modeling",not recorded in prior extraction,https://doi.org/10.1016/j.jhazmat.2023.131980
N78,"Cang Wang Inhomogeneous antibiotic distribution in sediment profiles in anthropogenically impacted lakes- Source apportionment, fate drivers, and risk assessment",not recorded in prior extraction,https://doi.org/10.1016/j.jenvman.2023.118048
N79,Ruimin Liu Spatio-temporal distribution and source identification of antibiotics in suspended matter in the Fen River Basin,not recorded in prior extraction,https://doi.org/10.1016/j.chemosphere.2023.140497
N80,Tianming Zheng Gross yield driving the mass fluxes of fishery drugs- Evidence of occurrence from full aquaculture cycle in lower Yangtze River Basin,not recorded in prior extraction,https://doi.org/10.1016/j.scitotenv.2023.166581
N81,"Yu Zhao Source apportionment and specific-source-site risk of quinolone antibiotics for effluent-receiving urban rivers and groundwater in a city, China",not recorded in prior extraction,https://doi.org/10.1016/j.jes.2023.08.012
N82,"Deling Fan Occurrence, spatial distribution, source apportionment, and risk assessment of antibiotics in Yangtze river surface water",not recorded in prior extraction,https://doi.org/10.1016/j.emcon.2024.100437
N83,"Hongmei Hu Occurrence and risk assessment of quinolones and sulfonamides in freshwater aquaculture ponds in Northeast Zhejiang, China",not recorded in prior extraction,https://doi.org/10.1016/j.scitotenv.2024.176066
N84,"Linke Ge Occurrence, spatiotemporal distribution and risks of macrolide antibiotics in the Weihe River and its tributaries, North-central China",not recorded in prior extraction,https://doi.org/10.1016/j.emcon.2024.100353
N85,Liwen Zhang Temporal Variation and Risk Assessment of Typical Fluoroquinolone Antibiotic Residues in a River-Reservoir System During the Reservoir Discharge and Filling Periods,not recorded in prior extraction,https://doi.org/10.1007/s11270-024-07406-9
N86,"Ruimin Liu Comprehensive evaluation of antibiotic pollution in a typical tributary of the Yellow River, China- Source-specific partitioning and fate analysis",not recorded in prior extraction,https://doi.org/10.1016/j.jhazmat.2025.137294
N87,"Residual heavy metals and antibiotic pollution in abandoned breeding areas along the northeast coast of Hainan Island, China",not recorded in prior extraction,https://doi.org/10.1016/j.marpolbul.2024.117518
N88,"Kun Wang Riverine Suspended Particulate Matter as a Hotspot of Antibiotics in the Yellow River Delta, China- Occurrence, Distribution, and Main Drivers",not recorded in prior extraction,https://doi.org/10.1021/acsestwater.4c01226
NEW_ANHUI_CHEN_2021,"Chen H. et al. (2021) Occurrence, Distribution, and Ecological Risk Assessment of Antibiotics in Different Environmental Media in Anqing, Anhui Province, China",Table 3; text on pp. 5-7,https://doi.org/10.3390/ijerph18158112
NEW_HUBEI_CHEN_2023,"Chen Y. et al. (2023) Estimating Sources, Fluxes, and Ecological Risks of Antibiotics in the Wuhan Section of the Yangtze River, China: A Year-Long Investigation",Table 1; Sample collection section p. 3,https://doi.org/10.1002/etc.5553
NEW_INNERMONGOLIA_BAO_2023,Bao F. et al. (2023 preprint) A Perspective of Spatial Variability and Ecological Risks of Antibiotics in the Agricultural-Pastoral Ecotone Soils in Eastern Inner Mongolia,Abstract; pp. 13-14; Conclusions p. 21,https://ssrn.com/abstract=4542621
NEW_JILIN_DONG_2016,"Dong D. et al. (2016) Antibiotics in water and sediments from Liao River in Jilin Province, China: occurrence, distribution, and risk assessment",Table 1; abstract; Results section p. 5,https://doi.org/10.1007/s12665-016-6008-4
