sample_type,province,location,sample_year,season,antibiotic,mean_concentration,max_concentration,concentration_unit,reference_number
surface water,Sichuan,Sichuan,2021,,Sulfadiazine,1.71,15.56,ng/L,N37
surface water,Sichuan,,2021,,Sulfadiazine (SD),1.71,15.56,ng/L,N37
surface water,Sichuan,Sichuan,2021,,Sulfamethoxazole,1.44,31.47,ng/L,N37
surface water,Sichuan,,2021,,Sulfamethoxazole (SMZ),1.44,31.47,ng/L,N37
surface water,Sichuan,Sichuan,2021,,Tetracycline,84.35,2233.71,ng/L,N37
surface water,Sichuan,,2021,,Tetracycline (TE),84.35,2233.71,ng/L,N37
sediment,Henan,,,,SMX,,1.23,ng/g,N38
sediment,Henan,reservoir-based drinking water sources,,,Sulfamethoxazole,,1.23,ng/g,N38
surface water,Henan,reservoir-based drinking water sources,,,Roxithromycin,,1.91,ng/L,N38
surface water,Henan,,,,Roxithromycin (ROX),,1.91,ng/L,N38
municipal wastewater effluent,Hainan,,2013–2023,,Ciprofloxacin (CIP),1510,4060,ng/L,N39
municipal wastewater effluent,Hainan,,2013–2023,,Ofloxacin (OFL),7283,19570,ng/L,N39
sediment,Hainan,Typical island province in China (surface water sediment),2013–2023,,Carbadox,2,9.42,ng/g (dw),N39
sediment,Hainan,Typical island province in China (surface water sediment),2013–2023,,Chlortetracycline,4.06,16.12,ng/g (dw),N39
sediment,Hainan,Typical island province in China (surface water sediment),2013–2023,,Ciprofloxacin,0.78,144.88,ng/g (dw),N39
sediment,Hainan,Typical island province in China (surface water sediment),2013–2023,,Clarithromycin,2.98,10.11,ng/g (dw),N39
sediment,Hainan,Typical island province in China (surface water sediment),2013–2023,,Danofloxacin,0.4,2.77,ng/g (dw),N39
sediment,Hainan,Typical island province in China (surface water sediment),2013–2023,,Difloxacin,0.25,2.01,ng/g (dw),N39
sediment,Hainan,Typical island province in China (surface water sediment),2013–2023,,Doxycycline,24.47,138.94,ng/g (dw),N39
sediment,Hainan,Typical island province in China (surface water sediment),2013–2023,,Enrofloxacin,5.68,27.24,ng/g (dw),N39
sediment,Hainan,Typical island province in China (surface water sediment),2013–2023,,Erythromycin,10.96,40.05,ng/g (dw),N39
sediment,Hainan,Typical island province in China (surface water sediment),2013–2023,,Fleroxacin,4.89,8.83,ng/g (dw),N39
sediment,Hainan,Typical island province in China (surface water sediment),2013–2023,,Lincomycin,1.82,6.88,ng/g (dw),N39
sediment,Hainan,Typical island province in China (surface water sediment),2013–2023,,Lomefloxacin,7.17,55.23,ng/g (dw),N39
sediment,Hainan,Typical island province in China (surface water sediment),2013–2023,,Marbofloxacin,0.31,0.81,ng/g (dw),N39
sediment,Hainan,Typical island province in China (surface water sediment),2013–2023,,Methacycline,3.24,23.58,ng/g (dw),N39
sediment,Hainan,Typical island province in China (surface water sediment),2013–2023,,Monensin,0.07,0.96,ng/g (dw),N39
sediment,Hainan,Typical island province in China (surface water sediment),2013–2023,,Narasin,1.04,5.18,ng/g (dw),N39
sediment,Hainan,Typical island province in China (surface water sediment),2013–2023,,Norfloxacin,163.59,1154.33,ng/g (dw),N39
sediment,Hainan,Typical island province in China (surface water sediment),2013–2023,,Ormetoprim,0.03,0.21,ng/g (dw),N39
sediment,Hainan,Typical island province in China (surface water sediment),2013–2023,,Oxytetracycline,354.5,1840.3,ng/g (dw),N39
