sample_type,matrix,province,location,antibiotic,group_of_antibiotic,mean_concentration,max_concentration,concentration_unit,sample_year,season,full_reference_name,place_in_article_data_extracted_from,reference_number,source_dataset,article_link,manually_curated
soil,soil,Henan,Xinxiang,Sulfamethazine,sulfonamides,5.54,,ng/g dw,2014,,"Jin, C. X., Si, X. W., Wang, Z. Y. & Zhang, Q. W. Distribution and Risk Assessment of Sulfonamides Antibiotics in Soil and Vegetables from Feedlot Livestock. Huan Jing Ke Xue 37, 1562-1567 (2016).",review_original_document | remaining_doublecheck sheet (suspicious conversions workbook),87,21052026_environmental_suspicious_conversions.xlsx:remaining_doublecheck,https://scholar.google.com/scholar?q=Distribution+and+Risk+Assessment+of+Sulfonamides+Antibiotics+in+Soil+and+Vegetables+from+Feedlot+Livestock,True
soil,soil,Henan,Xinxiang,Sulfamethazine,sulfonamides,5.54,,ng/g dw,2016,,"Jin, C. et al. The Forms, Distribution, and Risk Assessment of Sulfonamide Antibiotics in the Manure-Soil-Vegetable System of Feedlot Livestock. Bull Environ Contam Toxicol 105, 790-797, doi:10.1007/s00128-020-03010-9 (2020).",review_original_document | remaining_doublecheck sheet (suspicious conversions workbook),53,21052026_environmental_suspicious_conversions.xlsx:remaining_doublecheck,https://doi.org/10.1007/s00128-020-03010-9,True
soil,soil,Henan,Xinxiang,Sulfamonomethoxine,sulfonamides,11.02,,ng/g dw,2016,,"Jin, C. et al. The Forms, Distribution, and Risk Assessment of Sulfonamide Antibiotics in the Manure-Soil-Vegetable System of Feedlot Livestock. Bull Environ Contam Toxicol 105, 790-797, doi:10.1007/s00128-020-03010-9 (2020).",review_original_document | remaining_doublecheck sheet (suspicious conversions workbook),53,21052026_environmental_suspicious_conversions.xlsx:remaining_doublecheck,https://doi.org/10.1007/s00128-020-03010-9,True
sediment,sediment,Jilin,Songhua River,Erythromycin,other,25.1,,ng/g dw,2017,,"He, S. et al. Occurrence and ecological risk assessment of 22 emerging contaminants in the Jilin Songhua River (Northeast China). Environmental Science and Pollution Research 25 (2018).",review_original_document | remaining_doublecheck sheet (suspicious conversions workbook),126,21052026_environmental_suspicious_conversions.xlsx:remaining_doublecheck,https://scholar.google.com/scholar?q=Occurrence+and+ecological+risk+assessment+of+22+emerging+contaminants+in+the+Jilin+Songhua+River+%28Northeast+China%29,True
soil,soil,Sichuan,Sichuan,Azithromycin,macrolides,11.34,,ng/g dw,2016,,"Wei, R. et al. Occurrence of seventeen veterinary antibiotics and resistant bacterias in manure-fertilized vegetable farm soil in four provinces of China. Chemosphere 215, 234-240, doi:10.1016/j.chemosphere.2018.09.152 (2019).",review_original_document | remaining_doublecheck sheet (suspicious conversions workbook),131,21052026_environmental_suspicious_conversions.xlsx:remaining_doublecheck,https://doi.org/10.1016/j.chemosphere.2018.09.152,True
soil,soil,Sichuan,Sichuan,Azithromycin,macrolides,11.34,,ng/g dw,2016,,"Wei, R. et al. Occurrence of seventeen veterinary antibiotics and resistant bacterias in manure-fertilized vegetable farm soil in four provinces of China. Chemosphere (2018).",review_original_document | remaining_doublecheck sheet (suspicious conversions workbook),147,21052026_environmental_suspicious_conversions.xlsx:remaining_doublecheck,https://scholar.google.com/scholar?q=Occurrence+of+seventeen+veterinary+antibiotics+and+resistant+bacterias+in+manure-fertilized+vegetable+farm+soil+in+four+provinces+of+China,True
soil,soil,Sichuan,Sichuan Basin (17 municipal units; livestock farms),Chlortetracycline,tetracyclines,0.125,2.5,ng/g dw,2022–2023,,"Lai, C. (2025). Overall Evaluation of Antibiotics Occurrence from Large-Scale Livestock Farms in Sichuan Basin, China: Spatial Distribution, Source Apportionment, and Risk Assessment. Toxics 2025, 13, 154.",Table 2 (soil) and Table 3 (surface water) in main PDF; parsed from text extraction.,N_LAI2025_SICHUAN_BASIN,Lai_2025_Toxics_main_pdf,https://doi.org/10.3390/toxics13030154,True
soil,soil,Sichuan,Sichuan Basin (17 municipal units; livestock farms),Tetracycline,tetracyclines,1.82,4.2,ng/g dw,2022–2023,,"Lai, C. (2025). Overall Evaluation of Antibiotics Occurrence from Large-Scale Livestock Farms in Sichuan Basin, China: Spatial Distribution, Source Apportionment, and Risk Assessment. Toxics 2025, 13, 154.",Table 2 (soil) and Table 3 (surface water) in main PDF; parsed from text extraction.,N_LAI2025_SICHUAN_BASIN,Lai_2025_Toxics_main_pdf,https://doi.org/10.3390/toxics13030154,True
soil,soil,Sichuan,Sichuan Basin (17 municipal units; livestock farms),Oxytetracycline,tetracyclines,0.17,3.4,ng/g dw,2022–2023,,"Lai, C. (2025). Overall Evaluation of Antibiotics Occurrence from Large-Scale Livestock Farms in Sichuan Basin, China: Spatial Distribution, Source Apportionment, and Risk Assessment. Toxics 2025, 13, 154.",Table 2 (soil) and Table 3 (surface water) in main PDF; parsed from text extraction.,N_LAI2025_SICHUAN_BASIN,Lai_2025_Toxics_main_pdf,https://doi.org/10.3390/toxics13030154,True
soil,soil,Sichuan,Sichuan Basin (17 municipal units; livestock farms),Doxycycline,tetracyclines,0.755,4.1,ng/g dw,2022–2023,,"Lai, C. (2025). Overall Evaluation of Antibiotics Occurrence from Large-Scale Livestock Farms in Sichuan Basin, China: Spatial Distribution, Source Apportionment, and Risk Assessment. Toxics 2025, 13, 154.",Table 2 (soil) and Table 3 (surface water) in main PDF; parsed from text extraction.,N_LAI2025_SICHUAN_BASIN,Lai_2025_Toxics_main_pdf,https://doi.org/10.3390/toxics13030154,True
