sample_type,matrix,province,location,antibiotic,group_of_antibiotic,mean_concentration,max_concentration,concentration_unit,sample_year,season,full_reference_name,place_in_article_data_extracted_from,reference_number,source_dataset,article_link,manually_curated
municipal sludge,sludge,Guangdong,Plant A WWTP (South China; A2/O) - Anoxic sludge,Clarithromycin,macrolides,35.8,,ng/g dw,2010,May,"Zhou, L.-J., Ying, G.-G., Liu, S., Zhao, J.-L., Yang, B., Chen, Z.-F., & Lai, H.-J. (2013). Occurrence and fate of eleven classes of antibiotics in two typical wastewater treatment plants in South China. Science of The Total Environment, 452–453, 365–376.",Table S8 Plant A May Anoxic sludge,N_ZHOU2013_SC_WWTP_SOLIDS,Sup 2013 Li-Jun Zhou ... .doc (textutil txt) Tables S8–S9,https://doi.org/10.1016/j.scitotenv.2013.03.010,True
municipal sludge,sludge,Guangdong,Plant A WWTP (South China; A2/O) - Anaerobic sludge,Clarithromycin,macrolides,76.8,,ng/g dw,2010,May,"Zhou, L.-J., Ying, G.-G., Liu, S., Zhao, J.-L., Yang, B., Chen, Z.-F., & Lai, H.-J. (2013). Occurrence and fate of eleven classes of antibiotics in two typical wastewater treatment plants in South China. Science of The Total Environment, 452–453, 365–376.",Table S8 Plant A May Anaerobic sludge,N_ZHOU2013_SC_WWTP_SOLIDS,Sup 2013 Li-Jun Zhou ... .doc (textutil txt) Tables S8–S9,https://doi.org/10.1016/j.scitotenv.2013.03.010,True
municipal sludge,sludge,Guangdong,Plant A WWTP (South China; A2/O) - Return sludge,Clarithromycin,macrolides,72.8,,ng/g dw,2010,May,"Zhou, L.-J., Ying, G.-G., Liu, S., Zhao, J.-L., Yang, B., Chen, Z.-F., & Lai, H.-J. (2013). Occurrence and fate of eleven classes of antibiotics in two typical wastewater treatment plants in South China. Science of The Total Environment, 452–453, 365–376.",Table S8 Plant A May Return sludge,N_ZHOU2013_SC_WWTP_SOLIDS,Sup 2013 Li-Jun Zhou ... .doc (textutil txt) Tables S8–S9,https://doi.org/10.1016/j.scitotenv.2013.03.010,True
municipal sludge,sludge,Guangdong,Plant A WWTP (South China; A2/O) - Dewatered sludge,Clarithromycin,macrolides,69.5,,ng/g dw,2010,May,"Zhou, L.-J., Ying, G.-G., Liu, S., Zhao, J.-L., Yang, B., Chen, Z.-F., & Lai, H.-J. (2013). Occurrence and fate of eleven classes of antibiotics in two typical wastewater treatment plants in South China. Science of The Total Environment, 452–453, 365–376.",Table S8 Plant A May Dewatered sludge,N_ZHOU2013_SC_WWTP_SOLIDS,Sup 2013 Li-Jun Zhou ... .doc (textutil txt) Tables S8–S9,https://doi.org/10.1016/j.scitotenv.2013.03.010,True
municipal sludge,sludge,Guangdong,Plant A WWTP (South China; A2/O) - Anoxic sludge,Clarithromycin,macrolides,35.8,,ng/g dw,2010,November,"Zhou, L.-J., Ying, G.-G., Liu, S., Zhao, J.-L., Yang, B., Chen, Z.-F., & Lai, H.-J. (2013). Occurrence and fate of eleven classes of antibiotics in two typical wastewater treatment plants in South China. Science of The Total Environment, 452–453, 365–376.",Table S8 Plant A Nov Anoxic sludge,N_ZHOU2013_SC_WWTP_SOLIDS,Sup 2013 Li-Jun Zhou ... .doc (textutil txt) Tables S8–S9,https://doi.org/10.1016/j.scitotenv.2013.03.010,True
municipal sludge,sludge,Guangdong,Plant A WWTP (South China; A2/O) - Anaerobic sludge,Clarithromycin,macrolides,40.5,,ng/g dw,2010,November,"Zhou, L.-J., Ying, G.-G., Liu, S., Zhao, J.-L., Yang, B., Chen, Z.-F., & Lai, H.-J. (2013). Occurrence and fate of eleven classes of antibiotics in two typical wastewater treatment plants in South China. Science of The Total Environment, 452–453, 365–376.",Table S8 Plant A Nov Anaerobic sludge,N_ZHOU2013_SC_WWTP_SOLIDS,Sup 2013 Li-Jun Zhou ... .doc (textutil txt) Tables S8–S9,https://doi.org/10.1016/j.scitotenv.2013.03.010,True
municipal sludge,sludge,Guangdong,Plant A WWTP (South China; A2/O) - Aerobic sludge,Clarithromycin,macrolides,23.4,,ng/g dw,2010,November,"Zhou, L.-J., Ying, G.-G., Liu, S., Zhao, J.-L., Yang, B., Chen, Z.-F., & Lai, H.-J. (2013). Occurrence and fate of eleven classes of antibiotics in two typical wastewater treatment plants in South China. Science of The Total Environment, 452–453, 365–376.",Table S8 Plant A Nov Aerobic sludge,N_ZHOU2013_SC_WWTP_SOLIDS,Sup 2013 Li-Jun Zhou ... .doc (textutil txt) Tables S8–S9,https://doi.org/10.1016/j.scitotenv.2013.03.010,True
municipal sludge,sludge,Guangdong,Plant A WWTP (South China; A2/O) - Return sludge,Clarithromycin,macrolides,32.0,,ng/g dw,2010,November,"Zhou, L.-J., Ying, G.-G., Liu, S., Zhao, J.-L., Yang, B., Chen, Z.-F., & Lai, H.-J. (2013). Occurrence and fate of eleven classes of antibiotics in two typical wastewater treatment plants in South China. Science of The Total Environment, 452–453, 365–376.",Table S8 Plant A Nov Return sludge,N_ZHOU2013_SC_WWTP_SOLIDS,Sup 2013 Li-Jun Zhou ... .doc (textutil txt) Tables S8–S9,https://doi.org/10.1016/j.scitotenv.2013.03.010,True
municipal sludge,sludge,Guangdong,Plant A WWTP (South China; A2/O) - Dewatered sludge,Clarithromycin,macrolides,29.0,,ng/g dw,2010,November,"Zhou, L.-J., Ying, G.-G., Liu, S., Zhao, J.-L., Yang, B., Chen, Z.-F., & Lai, H.-J. (2013). Occurrence and fate of eleven classes of antibiotics in two typical wastewater treatment plants in South China. Science of The Total Environment, 452–453, 365–376.",Table S8 Plant A Nov Dewatered sludge,N_ZHOU2013_SC_WWTP_SOLIDS,Sup 2013 Li-Jun Zhou ... .doc (textutil txt) Tables S8–S9,https://doi.org/10.1016/j.scitotenv.2013.03.010,True
municipal sludge,sludge,Guangdong,Plant A WWTP (South China; A2/O) - Anoxic sludge,Roxithromycin,macrolides,45.3,,ng/g dw,2010,May,"Zhou, L.-J., Ying, G.-G., Liu, S., Zhao, J.-L., Yang, B., Chen, Z.-F., & Lai, H.-J. (2013). Occurrence and fate of eleven classes of antibiotics in two typical wastewater treatment plants in South China. Science of The Total Environment, 452–453, 365–376.",Table S8 Plant A May Anoxic sludge,N_ZHOU2013_SC_WWTP_SOLIDS,Sup 2013 Li-Jun Zhou ... .doc (textutil txt) Tables S8–S9,https://doi.org/10.1016/j.scitotenv.2013.03.010,True
municipal sludge,sludge,Guangdong,Plant A WWTP (South China; A2/O) - Anaerobic sludge,Roxithromycin,macrolides,95.7,,ng/g dw,2010,May,"Zhou, L.-J., Ying, G.-G., Liu, S., Zhao, J.-L., Yang, B., Chen, Z.-F., & Lai, H.-J. (2013). Occurrence and fate of eleven classes of antibiotics in two typical wastewater treatment plants in South China. Science of The Total Environment, 452–453, 365–376.",Table S8 Plant A May Anaerobic sludge,N_ZHOU2013_SC_WWTP_SOLIDS,Sup 2013 Li-Jun Zhou ... .doc (textutil txt) Tables S8–S9,https://doi.org/10.1016/j.scitotenv.2013.03.010,True
municipal sludge,sludge,Guangdong,Plant A WWTP (South China; A2/O) - Aerobic sludge,Roxithromycin,macrolides,1.91,,ng/g dw,2010,May,"Zhou, L.-J., Ying, G.-G., Liu, S., Zhao, J.-L., Yang, B., Chen, Z.-F., & Lai, H.-J. (2013). Occurrence and fate of eleven classes of antibiotics in two typical wastewater treatment plants in South China. Science of The Total Environment, 452–453, 365–376.",Table S8 Plant A May Aerobic sludge,N_ZHOU2013_SC_WWTP_SOLIDS,Sup 2013 Li-Jun Zhou ... .doc (textutil txt) Tables S8–S9,https://doi.org/10.1016/j.scitotenv.2013.03.010,True
municipal sludge,sludge,Guangdong,Plant A WWTP (South China; A2/O) - Return sludge,Roxithromycin,macrolides,89.4,,ng/g dw,2010,May,"Zhou, L.-J., Ying, G.-G., Liu, S., Zhao, J.-L., Yang, B., Chen, Z.-F., & Lai, H.-J. (2013). Occurrence and fate of eleven classes of antibiotics in two typical wastewater treatment plants in South China. Science of The Total Environment, 452–453, 365–376.",Table S8 Plant A May Return sludge,N_ZHOU2013_SC_WWTP_SOLIDS,Sup 2013 Li-Jun Zhou ... .doc (textutil txt) Tables S8–S9,https://doi.org/10.1016/j.scitotenv.2013.03.010,True
municipal sludge,sludge,Guangdong,Plant A WWTP (South China; A2/O) - Dewatered sludge,Roxithromycin,macrolides,80.0,,ng/g dw,2010,May,"Zhou, L.-J., Ying, G.-G., Liu, S., Zhao, J.-L., Yang, B., Chen, Z.-F., & Lai, H.-J. (2013). Occurrence and fate of eleven classes of antibiotics in two typical wastewater treatment plants in South China. Science of The Total Environment, 452–453, 365–376.",Table S8 Plant A May Dewatered sludge,N_ZHOU2013_SC_WWTP_SOLIDS,Sup 2013 Li-Jun Zhou ... .doc (textutil txt) Tables S8–S9,https://doi.org/10.1016/j.scitotenv.2013.03.010,True
municipal sludge,sludge,Guangdong,Plant A WWTP (South China; A2/O) - Anoxic sludge,Roxithromycin,macrolides,41.0,,ng/g dw,2010,November,"Zhou, L.-J., Ying, G.-G., Liu, S., Zhao, J.-L., Yang, B., Chen, Z.-F., & Lai, H.-J. (2013). Occurrence and fate of eleven classes of antibiotics in two typical wastewater treatment plants in South China. Science of The Total Environment, 452–453, 365–376.",Table S8 Plant A Nov Anoxic sludge,N_ZHOU2013_SC_WWTP_SOLIDS,Sup 2013 Li-Jun Zhou ... .doc (textutil txt) Tables S8–S9,https://doi.org/10.1016/j.scitotenv.2013.03.010,True
municipal sludge,sludge,Guangdong,Plant A WWTP (South China; A2/O) - Anaerobic sludge,Roxithromycin,macrolides,36.8,,ng/g dw,2010,November,"Zhou, L.-J., Ying, G.-G., Liu, S., Zhao, J.-L., Yang, B., Chen, Z.-F., & Lai, H.-J. (2013). Occurrence and fate of eleven classes of antibiotics in two typical wastewater treatment plants in South China. Science of The Total Environment, 452–453, 365–376.",Table S8 Plant A Nov Anaerobic sludge,N_ZHOU2013_SC_WWTP_SOLIDS,Sup 2013 Li-Jun Zhou ... .doc (textutil txt) Tables S8–S9,https://doi.org/10.1016/j.scitotenv.2013.03.010,True
municipal sludge,sludge,Guangdong,Plant A WWTP (South China; A2/O) - Aerobic sludge,Roxithromycin,macrolides,27.5,,ng/g dw,2010,November,"Zhou, L.-J., Ying, G.-G., Liu, S., Zhao, J.-L., Yang, B., Chen, Z.-F., & Lai, H.-J. (2013). Occurrence and fate of eleven classes of antibiotics in two typical wastewater treatment plants in South China. Science of The Total Environment, 452–453, 365–376.",Table S8 Plant A Nov Aerobic sludge,N_ZHOU2013_SC_WWTP_SOLIDS,Sup 2013 Li-Jun Zhou ... .doc (textutil txt) Tables S8–S9,https://doi.org/10.1016/j.scitotenv.2013.03.010,True
municipal sludge,sludge,Guangdong,Plant A WWTP (South China; A2/O) - Return sludge,Roxithromycin,macrolides,35.9,,ng/g dw,2010,November,"Zhou, L.-J., Ying, G.-G., Liu, S., Zhao, J.-L., Yang, B., Chen, Z.-F., & Lai, H.-J. (2013). Occurrence and fate of eleven classes of antibiotics in two typical wastewater treatment plants in South China. Science of The Total Environment, 452–453, 365–376.",Table S8 Plant A Nov Return sludge,N_ZHOU2013_SC_WWTP_SOLIDS,Sup 2013 Li-Jun Zhou ... .doc (textutil txt) Tables S8–S9,https://doi.org/10.1016/j.scitotenv.2013.03.010,True
municipal sludge,sludge,Guangdong,Plant A WWTP (South China; A2/O) - Anoxic sludge,Lincomycin,other,11.2,,ng/g dw,2010,May,"Zhou, L.-J., Ying, G.-G., Liu, S., Zhao, J.-L., Yang, B., Chen, Z.-F., & Lai, H.-J. (2013). Occurrence and fate of eleven classes of antibiotics in two typical wastewater treatment plants in South China. Science of The Total Environment, 452–453, 365–376.",Table S8 Plant A May Anoxic sludge,N_ZHOU2013_SC_WWTP_SOLIDS,Sup 2013 Li-Jun Zhou ... .doc (textutil txt) Tables S8–S9,https://doi.org/10.1016/j.scitotenv.2013.03.010,True
municipal sludge,sludge,Guangdong,Plant A WWTP (South China; A2/O) - Anaerobic sludge,Lincomycin,other,15.1,,ng/g dw,2010,May,"Zhou, L.-J., Ying, G.-G., Liu, S., Zhao, J.-L., Yang, B., Chen, Z.-F., & Lai, H.-J. (2013). Occurrence and fate of eleven classes of antibiotics in two typical wastewater treatment plants in South China. Science of The Total Environment, 452–453, 365–376.",Table S8 Plant A May Anaerobic sludge,N_ZHOU2013_SC_WWTP_SOLIDS,Sup 2013 Li-Jun Zhou ... .doc (textutil txt) Tables S8–S9,https://doi.org/10.1016/j.scitotenv.2013.03.010,True
municipal sludge,sludge,Guangdong,Plant A WWTP (South China; A2/O) - Aerobic sludge,Lincomycin,other,19.2,,ng/g dw,2010,May,"Zhou, L.-J., Ying, G.-G., Liu, S., Zhao, J.-L., Yang, B., Chen, Z.-F., & Lai, H.-J. (2013). Occurrence and fate of eleven classes of antibiotics in two typical wastewater treatment plants in South China. Science of The Total Environment, 452–453, 365–376.",Table S8 Plant A May Aerobic sludge,N_ZHOU2013_SC_WWTP_SOLIDS,Sup 2013 Li-Jun Zhou ... .doc (textutil txt) Tables S8–S9,https://doi.org/10.1016/j.scitotenv.2013.03.010,True
municipal sludge,sludge,Guangdong,Plant A WWTP (South China; A2/O) - Return sludge,Lincomycin,other,10.8,,ng/g dw,2010,May,"Zhou, L.-J., Ying, G.-G., Liu, S., Zhao, J.-L., Yang, B., Chen, Z.-F., & Lai, H.-J. (2013). Occurrence and fate of eleven classes of antibiotics in two typical wastewater treatment plants in South China. Science of The Total Environment, 452–453, 365–376.",Table S8 Plant A May Return sludge,N_ZHOU2013_SC_WWTP_SOLIDS,Sup 2013 Li-Jun Zhou ... .doc (textutil txt) Tables S8–S9,https://doi.org/10.1016/j.scitotenv.2013.03.010,True
municipal sludge,sludge,Guangdong,Plant A WWTP (South China; A2/O) - Dewatered sludge,Lincomycin,other,31.1,,ng/g dw,2010,May,"Zhou, L.-J., Ying, G.-G., Liu, S., Zhao, J.-L., Yang, B., Chen, Z.-F., & Lai, H.-J. (2013). Occurrence and fate of eleven classes of antibiotics in two typical wastewater treatment plants in South China. Science of The Total Environment, 452–453, 365–376.",Table S8 Plant A May Dewatered sludge,N_ZHOU2013_SC_WWTP_SOLIDS,Sup 2013 Li-Jun Zhou ... .doc (textutil txt) Tables S8–S9,https://doi.org/10.1016/j.scitotenv.2013.03.010,True
municipal sludge,sludge,Guangdong,Plant A WWTP (South China; A2/O) - Anoxic sludge,Lincomycin,other,22.0,,ng/g dw,2010,November,"Zhou, L.-J., Ying, G.-G., Liu, S., Zhao, J.-L., Yang, B., Chen, Z.-F., & Lai, H.-J. (2013). Occurrence and fate of eleven classes of antibiotics in two typical wastewater treatment plants in South China. Science of The Total Environment, 452–453, 365–376.",Table S8 Plant A Nov Anoxic sludge,N_ZHOU2013_SC_WWTP_SOLIDS,Sup 2013 Li-Jun Zhou ... .doc (textutil txt) Tables S8–S9,https://doi.org/10.1016/j.scitotenv.2013.03.010,True
municipal sludge,sludge,Guangdong,Plant A WWTP (South China; A2/O) - Anaerobic sludge,Lincomycin,other,14.8,,ng/g dw,2010,November,"Zhou, L.-J., Ying, G.-G., Liu, S., Zhao, J.-L., Yang, B., Chen, Z.-F., & Lai, H.-J. (2013). Occurrence and fate of eleven classes of antibiotics in two typical wastewater treatment plants in South China. Science of The Total Environment, 452–453, 365–376.",Table S8 Plant A Nov Anaerobic sludge,N_ZHOU2013_SC_WWTP_SOLIDS,Sup 2013 Li-Jun Zhou ... .doc (textutil txt) Tables S8–S9,https://doi.org/10.1016/j.scitotenv.2013.03.010,True
municipal sludge,sludge,Guangdong,Plant B WWTP (South China; oxidation ditch) - Oxidation ditch sludge,Sulfamethazine,sulfonamides,3.43,,ng/g dw,2010,May,"Zhou, L.-J., Ying, G.-G., Liu, S., Zhao, J.-L., Yang, B., Chen, Z.-F., & Lai, H.-J. (2013). Occurrence and fate of eleven classes of antibiotics in two typical wastewater treatment plants in South China. Science of The Total Environment, 452–453, 365–376.",Table S9 Plant B May Oxidation ditch sludge,N_ZHOU2013_SC_WWTP_SOLIDS,Sup 2013 Li-Jun Zhou ... .doc (textutil txt) Tables S8–S9,https://doi.org/10.1016/j.scitotenv.2013.03.010,True
municipal sludge,sludge,Guangdong,Plant B WWTP (South China; oxidation ditch) - Dewatered sludge,Sulfamethazine,sulfonamides,3.83,,ng/g dw,2010,May,"Zhou, L.-J., Ying, G.-G., Liu, S., Zhao, J.-L., Yang, B., Chen, Z.-F., & Lai, H.-J. (2013). Occurrence and fate of eleven classes of antibiotics in two typical wastewater treatment plants in South China. Science of The Total Environment, 452–453, 365–376.",Table S9 Plant B May Dewatered sludge,N_ZHOU2013_SC_WWTP_SOLIDS,Sup 2013 Li-Jun Zhou ... .doc (textutil txt) Tables S8–S9,https://doi.org/10.1016/j.scitotenv.2013.03.010,True
municipal sludge,sludge,Guangdong,Plant B WWTP (South China; oxidation ditch) - Oxidation ditch sludge,Sulfamethazine,sulfonamides,2.49,,ng/g dw,2010,November,"Zhou, L.-J., Ying, G.-G., Liu, S., Zhao, J.-L., Yang, B., Chen, Z.-F., & Lai, H.-J. (2013). Occurrence and fate of eleven classes of antibiotics in two typical wastewater treatment plants in South China. Science of The Total Environment, 452–453, 365–376.",Table S9 Plant B Nov Oxidation ditch sludge,N_ZHOU2013_SC_WWTP_SOLIDS,Sup 2013 Li-Jun Zhou ... .doc (textutil txt) Tables S8–S9,https://doi.org/10.1016/j.scitotenv.2013.03.010,True
municipal sludge,sludge,Guangdong,Plant B WWTP (South China; oxidation ditch) - Oxidation ditch sludge,Sulfamonomethoxine,sulfonamides,2.96,,ng/g dw,2010,May,"Zhou, L.-J., Ying, G.-G., Liu, S., Zhao, J.-L., Yang, B., Chen, Z.-F., & Lai, H.-J. (2013). Occurrence and fate of eleven classes of antibiotics in two typical wastewater treatment plants in South China. Science of The Total Environment, 452–453, 365–376.",Table S9 Plant B May Oxidation ditch sludge,N_ZHOU2013_SC_WWTP_SOLIDS,Sup 2013 Li-Jun Zhou ... .doc (textutil txt) Tables S8–S9,https://doi.org/10.1016/j.scitotenv.2013.03.010,True
municipal sludge,sludge,Guangdong,Plant B WWTP (South China; oxidation ditch) - Dewatered sludge,Sulfapyridine,sulfonamides,2.31,,ng/g dw,2010,May,"Zhou, L.-J., Ying, G.-G., Liu, S., Zhao, J.-L., Yang, B., Chen, Z.-F., & Lai, H.-J. (2013). Occurrence and fate of eleven classes of antibiotics in two typical wastewater treatment plants in South China. Science of The Total Environment, 452–453, 365–376.",Table S9 Plant B May Dewatered sludge,N_ZHOU2013_SC_WWTP_SOLIDS,Sup 2013 Li-Jun Zhou ... .doc (textutil txt) Tables S8–S9,https://doi.org/10.1016/j.scitotenv.2013.03.010,True
municipal sludge,sludge,Guangdong,Plant B WWTP (South China; oxidation ditch) - Oxidation ditch sludge,Sulfapyridine,sulfonamides,2.4,,ng/g dw,2010,November,"Zhou, L.-J., Ying, G.-G., Liu, S., Zhao, J.-L., Yang, B., Chen, Z.-F., & Lai, H.-J. (2013). Occurrence and fate of eleven classes of antibiotics in two typical wastewater treatment plants in South China. Science of The Total Environment, 452–453, 365–376.",Table S9 Plant B Nov Oxidation ditch sludge,N_ZHOU2013_SC_WWTP_SOLIDS,Sup 2013 Li-Jun Zhou ... .doc (textutil txt) Tables S8–S9,https://doi.org/10.1016/j.scitotenv.2013.03.010,True
municipal sludge,sludge,Guangdong,Plant B WWTP (South China; oxidation ditch) - Oxidation ditch sludge,Doxycycline,tetracyclines,27.2,,ng/g dw,2010,May,"Zhou, L.-J., Ying, G.-G., Liu, S., Zhao, J.-L., Yang, B., Chen, Z.-F., & Lai, H.-J. (2013). Occurrence and fate of eleven classes of antibiotics in two typical wastewater treatment plants in South China. Science of The Total Environment, 452–453, 365–376.",Table S9 Plant B May Oxidation ditch sludge,N_ZHOU2013_SC_WWTP_SOLIDS,Sup 2013 Li-Jun Zhou ... .doc (textutil txt) Tables S8–S9,https://doi.org/10.1016/j.scitotenv.2013.03.010,True
municipal sludge,sludge,Guangdong,Plant B WWTP (South China; oxidation ditch) - Dewatered sludge,Doxycycline,tetracyclines,135.0,,ng/g dw,2010,May,"Zhou, L.-J., Ying, G.-G., Liu, S., Zhao, J.-L., Yang, B., Chen, Z.-F., & Lai, H.-J. (2013). Occurrence and fate of eleven classes of antibiotics in two typical wastewater treatment plants in South China. Science of The Total Environment, 452–453, 365–376.",Table S9 Plant B May Dewatered sludge,N_ZHOU2013_SC_WWTP_SOLIDS,Sup 2013 Li-Jun Zhou ... .doc (textutil txt) Tables S8–S9,https://doi.org/10.1016/j.scitotenv.2013.03.010,True
municipal sludge,sludge,Guangdong,Plant B WWTP (South China; oxidation ditch) - Oxidation ditch sludge,Doxycycline,tetracyclines,57.8,,ng/g dw,2010,November,"Zhou, L.-J., Ying, G.-G., Liu, S., Zhao, J.-L., Yang, B., Chen, Z.-F., & Lai, H.-J. (2013). Occurrence and fate of eleven classes of antibiotics in two typical wastewater treatment plants in South China. Science of The Total Environment, 452–453, 365–376.",Table S9 Plant B Nov Oxidation ditch sludge,N_ZHOU2013_SC_WWTP_SOLIDS,Sup 2013 Li-Jun Zhou ... .doc (textutil txt) Tables S8–S9,https://doi.org/10.1016/j.scitotenv.2013.03.010,True
municipal sludge,sludge,Guangdong,Plant B WWTP (South China; oxidation ditch) - Dewatered sludge,Doxycycline,tetracyclines,143.0,,ng/g dw,2010,November,"Zhou, L.-J., Ying, G.-G., Liu, S., Zhao, J.-L., Yang, B., Chen, Z.-F., & Lai, H.-J. (2013). Occurrence and fate of eleven classes of antibiotics in two typical wastewater treatment plants in South China. Science of The Total Environment, 452–453, 365–376.",Table S9 Plant B Nov Dewatered sludge,N_ZHOU2013_SC_WWTP_SOLIDS,Sup 2013 Li-Jun Zhou ... .doc (textutil txt) Tables S8–S9,https://doi.org/10.1016/j.scitotenv.2013.03.010,True
municipal sludge,sludge,Guangdong,Plant B WWTP (South China; oxidation ditch) - Oxidation ditch sludge,Methacycline,tetracyclines,5.61,,ng/g dw,2010,May,"Zhou, L.-J., Ying, G.-G., Liu, S., Zhao, J.-L., Yang, B., Chen, Z.-F., & Lai, H.-J. (2013). Occurrence and fate of eleven classes of antibiotics in two typical wastewater treatment plants in South China. Science of The Total Environment, 452–453, 365–376.",Table S9 Plant B May Oxidation ditch sludge,N_ZHOU2013_SC_WWTP_SOLIDS,Sup 2013 Li-Jun Zhou ... .doc (textutil txt) Tables S8–S9,https://doi.org/10.1016/j.scitotenv.2013.03.010,True
municipal sludge,sludge,Guangdong,Plant B WWTP (South China; oxidation ditch) - Dewatered sludge,Methacycline,tetracyclines,19.1,,ng/g dw,2010,May,"Zhou, L.-J., Ying, G.-G., Liu, S., Zhao, J.-L., Yang, B., Chen, Z.-F., & Lai, H.-J. (2013). Occurrence and fate of eleven classes of antibiotics in two typical wastewater treatment plants in South China. Science of The Total Environment, 452–453, 365–376.",Table S9 Plant B May Dewatered sludge,N_ZHOU2013_SC_WWTP_SOLIDS,Sup 2013 Li-Jun Zhou ... .doc (textutil txt) Tables S8–S9,https://doi.org/10.1016/j.scitotenv.2013.03.010,True
municipal sludge,sludge,Guangdong,Plant B WWTP (South China; oxidation ditch) - Oxidation ditch sludge,Methacycline,tetracyclines,13.2,,ng/g dw,2010,November,"Zhou, L.-J., Ying, G.-G., Liu, S., Zhao, J.-L., Yang, B., Chen, Z.-F., & Lai, H.-J. (2013). Occurrence and fate of eleven classes of antibiotics in two typical wastewater treatment plants in South China. Science of The Total Environment, 452–453, 365–376.",Table S9 Plant B Nov Oxidation ditch sludge,N_ZHOU2013_SC_WWTP_SOLIDS,Sup 2013 Li-Jun Zhou ... .doc (textutil txt) Tables S8–S9,https://doi.org/10.1016/j.scitotenv.2013.03.010,True
municipal sludge,sludge,Guangdong,Plant B WWTP (South China; oxidation ditch) - Dewatered sludge,Methacycline,tetracyclines,26.0,,ng/g dw,2010,November,"Zhou, L.-J., Ying, G.-G., Liu, S., Zhao, J.-L., Yang, B., Chen, Z.-F., & Lai, H.-J. (2013). Occurrence and fate of eleven classes of antibiotics in two typical wastewater treatment plants in South China. Science of The Total Environment, 452–453, 365–376.",Table S9 Plant B Nov Dewatered sludge,N_ZHOU2013_SC_WWTP_SOLIDS,Sup 2013 Li-Jun Zhou ... .doc (textutil txt) Tables S8–S9,https://doi.org/10.1016/j.scitotenv.2013.03.010,True
municipal sludge,sludge,Guangdong,Plant B WWTP (South China; oxidation ditch) - Oxidation ditch sludge,Oxytetracycline,tetracyclines,370.0,,ng/g dw,2010,May,"Zhou, L.-J., Ying, G.-G., Liu, S., Zhao, J.-L., Yang, B., Chen, Z.-F., & Lai, H.-J. (2013). Occurrence and fate of eleven classes of antibiotics in two typical wastewater treatment plants in South China. Science of The Total Environment, 452–453, 365–376.",Table S9 Plant B May Oxidation ditch sludge,N_ZHOU2013_SC_WWTP_SOLIDS,Sup 2013 Li-Jun Zhou ... .doc (textutil txt) Tables S8–S9,https://doi.org/10.1016/j.scitotenv.2013.03.010,True
municipal sludge,sludge,Guangdong,Plant B WWTP (South China; oxidation ditch) - Dewatered sludge,Oxytetracycline,tetracyclines,909.0,,ng/g dw,2010,May,"Zhou, L.-J., Ying, G.-G., Liu, S., Zhao, J.-L., Yang, B., Chen, Z.-F., & Lai, H.-J. (2013). Occurrence and fate of eleven classes of antibiotics in two typical wastewater treatment plants in South China. Science of The Total Environment, 452–453, 365–376.",Table S9 Plant B May Dewatered sludge,N_ZHOU2013_SC_WWTP_SOLIDS,Sup 2013 Li-Jun Zhou ... .doc (textutil txt) Tables S8–S9,https://doi.org/10.1016/j.scitotenv.2013.03.010,True
municipal sludge,sludge,Guangdong,Plant B WWTP (South China; oxidation ditch) - Oxidation ditch sludge,Oxytetracycline,tetracyclines,835.0,,ng/g dw,2010,November,"Zhou, L.-J., Ying, G.-G., Liu, S., Zhao, J.-L., Yang, B., Chen, Z.-F., & Lai, H.-J. (2013). Occurrence and fate of eleven classes of antibiotics in two typical wastewater treatment plants in South China. Science of The Total Environment, 452–453, 365–376.",Table S9 Plant B Nov Oxidation ditch sludge,N_ZHOU2013_SC_WWTP_SOLIDS,Sup 2013 Li-Jun Zhou ... .doc (textutil txt) Tables S8–S9,https://doi.org/10.1016/j.scitotenv.2013.03.010,True
municipal sludge,sludge,Guangdong,Plant B WWTP (South China; oxidation ditch) - Dewatered sludge,Oxytetracycline,tetracyclines,820.0,,ng/g dw,2010,November,"Zhou, L.-J., Ying, G.-G., Liu, S., Zhao, J.-L., Yang, B., Chen, Z.-F., & Lai, H.-J. (2013). Occurrence and fate of eleven classes of antibiotics in two typical wastewater treatment plants in South China. Science of The Total Environment, 452–453, 365–376.",Table S9 Plant B Nov Dewatered sludge,N_ZHOU2013_SC_WWTP_SOLIDS,Sup 2013 Li-Jun Zhou ... .doc (textutil txt) Tables S8–S9,https://doi.org/10.1016/j.scitotenv.2013.03.010,True
municipal sludge,sludge,Guangdong,Plant B WWTP (South China; oxidation ditch) - Oxidation ditch sludge,Tetracycline,tetracyclines,140.0,,ng/g dw,2010,May,"Zhou, L.-J., Ying, G.-G., Liu, S., Zhao, J.-L., Yang, B., Chen, Z.-F., & Lai, H.-J. (2013). Occurrence and fate of eleven classes of antibiotics in two typical wastewater treatment plants in South China. Science of The Total Environment, 452–453, 365–376.",Table S9 Plant B May Oxidation ditch sludge,N_ZHOU2013_SC_WWTP_SOLIDS,Sup 2013 Li-Jun Zhou ... .doc (textutil txt) Tables S8–S9,https://doi.org/10.1016/j.scitotenv.2013.03.010,True
